HHID,case_id,qx_type,visit,ea_id,ag_r00,ag_r27,ag_r28,ag_r29,ag_r30,ag_r31
26,101015620096,Panel B,1,10101562,Yes,0,0,0,0,0
28,101015620118,Panel B,1,10101562,No,,,,,
32,101015620140,Panel B,1,10101562,Yes,0,0,0,0,0
12,101015620162,Panel B,1,10101562,Yes,0,0,0,0,0
4,101015620184,Panel B,1,10101562,Yes,0,0,0,0,0
22,101015620195,Panel B,1,10101562,Yes,0,0,0,0,0
14,101015620205,Panel B,1,10101562,No,,,,,
24,101015620227,Panel B,1,10101562,No,,,,,
79,101020040001,Panel A,1,10102004,Yes,0,0,0,0,0
87,101020040008,Panel A,1,10102004,Yes,0,0,0,0,0
89,101020040012,Panel A,1,10102004,Yes,0,0,0,0,0
85,101020040015,Panel A,1,10102004,Yes,0,0,0,0,0
83,101020040028,Panel A,1,10102004,Yes,0,0,0,0,0
75,101020040031,Panel A,1,10102004,Yes,0,0,0,0,0
65,101020040034,Panel A,1,10102004,Yes,0,700,0,0,0
93,101020040039,Panel A,1,10102004,Yes,0,0,160,0,0
71,101020040042,Panel A,1,10102004,Yes,0,0,0,0,0
69,101020040059,Panel A,1,10102004,Yes,0,0,250,0,0
81,101020040061,Panel A,1,10102004,Yes,0,0,0,0,0
73,101020040093,Panel A,1,10102004,Yes,0,0,0,0,0
67,101020040101,Panel A,1,10102004,Yes,0,0,0,0,0
91,101020040104,Panel A,1,10102004,Yes,0,0,0,0,0
77,101020040121,Panel A,1,10102004,Yes,0,0,0,0,0
95,101020040128,Panel A,1,10102004,Yes,0,0,0,140,0
86,101034140003,Panel B,1,10103414,Yes,0,0,0,0,0
66,101034140009,Panel B,1,10103414,No,,,,,
96,101034140020,Panel B,1,10103414,Yes,0,0,0,0,0
72,101034140025,Panel B,1,10103414,No,,,,,
90,101034140031,Panel B,1,10103414,Yes,0,0,0,0,0
80,101034140042,Panel B,1,10103414,Yes,0,0,0,0,0
92,101034140047,Panel B,1,10103414,Yes,0,0,0,0,0
84,101034140053,Panel B,1,10103414,Yes,0,0,0,0,0
70,101034140064,Panel B,1,10103414,Yes,0,0,0,0,0
76,101034140069,Panel B,1,10103414,Yes,0,0,0,0,0
78,101034140075,Panel B,1,10103414,Yes,0,0,0,0,0
94,101034140086,Panel B,1,10103414,Yes,0,0,0,0,0
74,101034140091,Panel B,1,10103414,Yes,0,0,0,0,0
88,101034140097,Panel B,1,10103414,Yes,0,0,0,0,0
82,101034140108,Panel B,1,10103414,Yes,0,0,0,0,0
68,101034140114,Panel B,1,10103414,Yes,0,0,0,0,0
123,101041500004,Panel A,1,10104150,Yes,0,0,0,0,0
127,101041500006,Panel A,1,10104150,Yes,0,0,0,0,0
113,101041500012,Panel A,1,10104150,Yes,0,0,0,0,0
109,101041500013,Panel A,1,10104150,Yes,0,0,0,0,0
111,101041500015,Panel A,1,10104150,Yes,0,0,0,0,0
99,101041500023,Panel A,1,10104150,Yes,0,0,0,0,0
103,101041500027,Panel A,1,10104150,Yes,0,0,0,0,0
107,101041500045,Panel A,1,10104150,Yes,0,0,0,0,0
115,101041500048,Panel A,1,10104150,Yes,0,0,0,0,0
97,101041500053,Panel A,1,10104150,Yes,0,0,0,0,0
105,101041500054,Panel A,1,10104150,Yes,0,0,0,0,0
125,101041500057,Panel A,1,10104150,Yes,0,0,0,0,0
101,101041500063,Panel A,1,10104150,Yes,0,0,0,0,0
119,101041500067,Panel A,1,10104150,Yes,0,0,0,0,0
117,101041500076,Panel A,1,10104150,Yes,0,0,0,0,0
121,101041500079,Panel A,1,10104150,Yes,0,0,0,0,0
102,102016880002,Panel B,1,10201688,Yes,0,0,0,0,0
100,102016880010,Panel B,1,10201688,Yes,0,0,0,0,0
108,102016880018,Panel B,1,10201688,Yes,0,0,0,0,0
120,102016880033,Panel B,1,10201688,Yes,0,0,0,0,0
118,102016880041,Panel B,1,10201688,Yes,0,0,800,0,0
106,102016880049,Panel B,1,10201688,Yes,0,0,0,0,0
128,102016880064,Panel B,1,10201688,Yes,0,0,700,0,0
116,102016880072,Panel B,1,10201688,Yes,0,0,100,0,0
122,102016880080,Panel B,1,10201688,Yes,0,0,0,0,300
98,102016880095,Panel B,1,10201688,Yes,0,0,550,0,0
112,102016880103,Panel B,1,10201688,No,,,,,
110,102016880111,Panel B,1,10201688,Yes,0,0,560,0,0
126,102016880126,Panel B,1,10201688,Yes,0,500,0,0,0
104,102016880134,Panel B,1,10201688,Yes,0,0,220,0,0
114,102016880142,Panel B,1,10201688,Yes,0,0,10,0,0
124,102016880157,Panel B,1,10201688,Yes,0,0,0,0,0
139,102025140004,Panel A,1,10202514,Yes,0,0,0,0,0
155,102025140019,Panel A,1,10202514,Yes,0,0,0,0,0
145,102025140060,Panel A,1,10202514,Yes,0,0,400,0,0
143,102025140064,Panel A,1,10202514,Yes,0,0,0,0,0
131,102025140068,Panel A,1,10202514,Yes,0,1000,0,0,0
129,102025140087,Panel A,1,10202514,Yes,0,0,300,0,0
137,102025140089,Panel A,1,10202514,Yes,0,0,0,0,0
157,102025140104,Panel A,1,10202514,No,,,,,
153,102025140122,Panel A,1,10202514,Yes,0,0,500,0,0
133,102025140144,Panel A,1,10202514,Yes,0,1000,0,0,0
151,102025140145,Panel A,1,10202514,Yes,0,0,0,0,0
149,102025140149,Panel A,1,10202514,No,,,,,
147,102025140151,Panel A,1,10202514,Yes,0,0,0,0,0
135,102025140160,Panel A,1,10202514,Yes,0,0,0,0,0
159,102025140161,Panel A,1,10202514,No,,,,,
141,102025140169,Panel A,1,10202514,No,,,,,
150,102031760004,Panel B,1,10203176,Yes,0,0,0,0,0
142,102031760009,Panel B,1,10203176,Yes,0,0,0,0,0
138,102031760014,Panel B,1,10203176,Yes,0,0,0,0,0
136,102031760024,Panel B,1,10203176,Yes,0,0,0,0,0
148,102031760029,Panel B,1,10203176,Yes,0,0,0,0,0
132,102031760033,Panel B,1,10203176,Yes,0,0,0,0,0
140,102031760043,Panel B,1,10203176,Yes,0,0,0,0,0
134,102031760048,Panel B,1,10203176,Yes,0,0,0,0,0
146,102031760053,Panel B,1,10203176,Yes,0,0,0,0,0
158,102031760063,Panel B,1,10203176,Yes,0,0,0,0,0
152,102031760067,Panel B,1,10203176,Yes,0,0,0,0,0
144,102031760072,Panel B,1,10203176,Yes,0,0,0,0,0
154,102031760082,Panel B,1,10203176,Yes,0,0,0,0,0
130,102031760087,Panel B,1,10203176,Yes,0,0,0,0,0
156,102031760092,Panel B,1,10203176,No,,,,,
160,102031760101,Panel B,1,10203176,Yes,0,0,0,0,0
192,102037440001,Panel B,1,10203744,Yes,0,1200,0,0,0
182,102037440006,Panel B,1,10203744,Yes,0,0,100,0,0
188,102037440017,Panel B,1,10203744,Yes,0,0,150,0,0
164,102037440023,Panel B,1,10203744,Yes,0,0,90,0,0
172,102037440029,Panel B,1,10203744,No,,,,,
178,102037440040,Panel B,1,10203744,Yes,0,0,0,0,0
190,102037440045,Panel B,1,10203744,Yes,1200,0,2245,0,0
166,102037440051,Panel B,1,10203744,Yes,0,0,0,0,0
180,102037440062,Panel B,1,10203744,Yes,0,0,0,0,0
186,102037440068,Panel B,1,10203744,Yes,0,0,15,0,0
176,102037440073,Panel B,1,10203744,Yes,0,0,0,0,0
174,102037440084,Panel B,1,10203744,Yes,0,0,0,0,0
162,102037440090,Panel B,1,10203744,No,,,,,
170,102037440095,Panel B,1,10203744,Yes,0,0,0,0,0
168,102037440107,Panel B,1,10203744,Yes,0,0,0,0,0
184,102037440112,Panel B,1,10203744,Yes,0,0,0,0,0
202,102043220004,Panel B,1,10204322,Yes,0,0,0,0,0
194,102043220009,Panel B,1,10204322,No,,,,,
218,102043220019,Panel B,1,10204322,Yes,0,0,150,0,0
214,102043220023,Panel B,1,10204322,Yes,0,0,0,0,0
196,102043220028,Panel B,1,10204322,No,,,,,
206,102043220038,Panel B,1,10204322,No,,,,,
210,102043220043,Panel B,1,10204322,Yes,0,0,0,0,0
198,102043220047,Panel B,1,10204322,Yes,0,0,0,0,0
212,102043220057,Panel B,1,10204322,Yes,0,0,0,0,0
216,102043220062,Panel B,1,10204322,Yes,0,0,0,0,0
208,102043220067,Panel B,1,10204322,Yes,0,0,0,0,0
204,102043220081,Panel B,1,10204322,Yes,0,0,0,0,0
224,102043220086,Panel B,1,10204322,Yes,0,0,0,0,0
222,102043220095,Panel B,1,10204322,Yes,0,0,0,0,0
220,102043220100,Panel B,1,10204322,Yes,0,0,0,0,0
183,102045860004,Panel A,1,10204586,Yes,0,0,0,0,0
179,102045860010,Panel A,1,10204586,Yes,0,0,0,0,0
181,102045860012,Panel A,1,10204586,Yes,0,0,0,0,0
165,102045860025,Panel A,1,10204586,No,,,,,
191,102045860049,Panel A,1,10204586,Yes,0,0,0,0,0
173,102045860053,Panel A,1,10204586,No,,,,,
185,102045860054,Panel A,1,10204586,No,,,,,
161,102045860070,Panel A,1,10204586,Yes,0,0,0,0,0
169,102045860107,Panel A,1,10204586,No,,,,,
163,102045860112,Panel A,1,10204586,Yes,0,0,1500,0,0
189,102045860115,Panel A,1,10204586,Yes,0,0,0,0,0
177,102045860122,Panel A,1,10204586,Yes,0,0,800,0,2000
167,102045860123,Panel A,1,10204586,Yes,0,0,0,0,0
171,102045860161,Panel A,1,10204586,Yes,0,0,0,0,0
187,102045860164,Panel A,1,10204586,Yes,0,0,0,0,0
252,102201030013,Panel B,1,10220103,Yes,0,0,0,0,0
242,102201030021,Panel B,1,10220103,Yes,0,0,0,0,0
230,102201030028,Panel B,1,10220103,Yes,0,0,75,0,0
232,102201030035,Panel B,1,10220103,Yes,0,0,0,0,0
234,102201030050,Panel B,1,10220103,No,,,,,
228,102201030058,Panel B,1,10220103,No,,,,,
256,102201030065,Panel B,1,10220103,Yes,0,0,0,0,0
246,102201030073,Panel B,1,10220103,Yes,0,0,0,0,0
226,102201030088,Panel B,1,10220103,Yes,0,0,0,0,0
244,102201030095,Panel B,1,10220103,Yes,0,0,1300,0,0
250,102201030103,Panel B,1,10220103,Yes,0,0,0,0,0
248,102201030110,Panel B,1,10220103,Yes,0,0,0,0,0
254,102201030125,Panel B,1,10220103,Yes,0,0,0,0,0
240,102201030133,Panel B,1,10220103,No,,,,,
238,102201030140,Panel B,1,10220103,No,,,,,
236,102201030155,Panel B,1,10220103,Yes,0,0,0,0,0
217,102207050044,Panel A,1,10220705,Yes,1000,4000,2000,15000,0
221,102207050054,Panel A,1,10220705,Yes,0,1000,0,0,0
207,102207050056,Panel A,1,10220705,Yes,1000,3000,4500,0,0
211,102207050084,Panel A,1,10220705,Yes,0,0,0,0,0
197,102207050090,Panel A,1,10220705,No,,,,,
209,102207050112,Panel A,1,10220705,No,,,,,
203,102207050206,Panel A,1,10220705,Yes,0,5000,0,0,0
219,102207050298,Panel A,1,10220705,Yes,0,0,0,0,0
193,102207050344,Panel A,1,10220705,Yes,0,0,3000,1000,0
195,102207050359,Panel A,1,10220705,Yes,0,0,0,0,0
229,103016630124,Panel A,1,10301663,Yes,0,0,0,0,0
239,103016630160,Panel A,1,10301663,No,,,,,
243,103016630188,Panel A,1,10301663,No,,,,,
225,103016630198,Panel A,1,10301663,No,,,,,
249,103016630217,Panel A,1,10301663,Yes,0,0,0,0,0
247,103016630235,Panel A,1,10301663,Yes,0,0,0,0,0
241,103016630300,Panel A,1,10301663,Yes,0,3000,0,0,0
251,103016630307,Panel A,1,10301663,Yes,0,0,0,0,0
235,103016630351,Panel A,1,10301663,No,,,,,
233,103016630379,Panel A,1,10301663,Yes,0,0,0,0,0
237,103016630383,Panel A,1,10301663,Yes,0,0,0,0,0
273,103020100009,Panel A,1,10302010,Yes,500,2000,0,0,0
287,103020100012,Panel A,1,10302010,Yes,0,0,0,0,0
285,103020100016,Panel A,1,10302010,Yes,0,0,0,0,0
265,103020100019,Panel A,1,10302010,Yes,0,0,0,0,0
263,103020100028,Panel A,1,10302010,Yes,0,0,0,0,0
281,103020100034,Panel A,1,10302010,Yes,0,0,0,0,0
269,103020100037,Panel A,1,10302010,Yes,0,0,0,0,0
279,103020100047,Panel A,1,10302010,Yes,0,0,0,0,0
277,103020100054,Panel A,1,10302010,Yes,0,0,0,0,0
261,103020100056,Panel A,1,10302010,Yes,0,0,0,0,0
257,103020100076,Panel A,1,10302010,Yes,0,0,0,0,0
267,103020100089,Panel A,1,10302010,Yes,0,0,0,0,0
271,103020100105,Panel A,1,10302010,No,,,,,
275,103020100106,Panel A,1,10302010,No,,,,,
259,103020100107,Panel A,1,10302010,No,,,,,
283,103020100112,Panel A,1,10302010,Yes,0,0,0,0,0
313,103040120012,Panel A,1,10304012,Yes,0,0,0,0,0
309,103040120023,Panel A,1,10304012,No,,,,,
303,103040120049,Panel A,1,10304012,Yes,0,0,0,0,0
319,103040120062,Panel A,1,10304012,No,,,,,
305,103040120074,Panel A,1,10304012,Yes,0,0,0,0,0
291,103040120101,Panel A,1,10304012,No,,,,,
315,103040120105,Panel A,1,10304012,Yes,0,0,120,0,0
293,103040120125,Panel A,1,10304012,Yes,0,0,0,0,0
295,103040120126,Panel A,1,10304012,Yes,0,0,0,0,0
301,103040120129,Panel A,1,10304012,Yes,0,0,0,0,0
297,103040120132,Panel A,1,10304012,Yes,0,0,0,0,0
317,103040120141,Panel A,1,10304012,Yes,0,0,0,0,0
299,103040120148,Panel A,1,10304012,Yes,0,0,0,0,0
307,103040120153,Panel A,1,10304012,Yes,0,0,0,0,0
311,103040120166,Panel A,1,10304012,Yes,0,4000,0,0,0
289,103040120171,Panel A,1,10304012,Yes,0,0,0,0,0
268,103054460016,Panel B,1,10305446,No,,,,,
266,103054460029,Panel B,1,10305446,Yes,0,0,0,0,0
262,103054460055,Panel B,1,10305446,Yes,0,0,0,0,0
282,103054460081,Panel B,1,10305446,Yes,0,6000,0,0,0
274,103054460094,Panel B,1,10305446,Yes,0,0,0,0,0
276,103054460107,Panel B,1,10305446,Yes,0,10000,0,0,0
260,103054460146,Panel B,1,10305446,Yes,0,0,0,0,0
258,103054460159,Panel B,1,10305446,Yes,0,0,2800,0,0
272,103054460172,Panel B,1,10305446,Yes,0,0,0,0,0
270,103054460185,Panel B,1,10305446,No,,,,,
284,103054460224,Panel B,1,10305446,Yes,0,0,0,0,0
264,103054460237,Panel B,1,10305446,Yes,700,0,0,0,0
280,103054460263,Panel B,1,10305446,No,,,,,
325,103074130018,Panel A,1,10307413,Yes,0,0,0,0,0
335,103074130028,Panel A,1,10307413,Yes,0,0,0,0,0
327,103074130044,Panel A,1,10307413,Yes,0,0,0,0,0
349,103074130047,Panel A,1,10307413,No,,,,,
339,103074130052,Panel A,1,10307413,Yes,0,0,0,0,0
333,103074130071,Panel A,1,10307413,Yes,0,0,0,0,0
343,103074130087,Panel A,1,10307413,Yes,0,0,0,0,0
323,103074130099,Panel A,1,10307413,Yes,0,0,0,0,0
329,103074130110,Panel A,1,10307413,Yes,0,0,0,0,0
321,103074130139,Panel A,1,10307413,Yes,0,0,0,0,0
345,103074130171,Panel A,1,10307413,Yes,0,0,0,0,0
331,103074130190,Panel A,1,10307413,Yes,0,0,0,0,0
351,103074130225,Panel A,1,10307413,Yes,0,0,0,0,0
337,103074130252,Panel A,1,10307413,Yes,0,0,0,0,0
347,103074130255,Panel A,1,10307413,No,,,,,
341,103074130258,Panel A,1,10307413,Yes,0,0,0,0,0
292,103086360009,Panel B,1,10308636,Yes,0,0,0,0,0
312,103086360036,Panel B,1,10308636,No,,,,,
288,103086360045,Panel B,1,10308636,No,,,,,
290,103086360054,Panel B,1,10308636,Yes,0,0,0,0,0
310,103086360063,Panel B,1,10308636,Yes,0,0,0,0,0
298,103086360072,Panel B,1,10308636,Yes,0,0,0,0,0
304,103086360073,Panel B,1,10308636,Yes,0,0,0,0,0
314,103086360081,Panel B,1,10308636,Yes,0,0,0,0,0
300,103086360090,Panel B,1,10308636,No,,,,,
294,103086360099,Panel B,1,10308636,Yes,0,0,0,0,0
296,103086360117,Panel B,1,10308636,Yes,0,700,0,0,0
302,103086360126,Panel B,1,10308636,No,,,,,
316,103086360135,Panel B,1,10308636,No,,,,,
306,103086360153,Panel B,1,10308636,Yes,0,0,0,0,0
308,103086360162,Panel B,1,10308636,Yes,0,0,0,0,0
364,104011400028,Panel B,1,10401140,No,,,,,
366,104011400045,Panel B,1,10401140,No,,,,,
358,104011400079,Panel B,1,10401140,No,,,,,
374,104011400112,Panel B,1,10401140,Yes,0,0,0,0,0
380,104011400129,Panel B,1,10401140,No,,,,,
356,104011400146,Panel B,1,10401140,No,,,,,
354,104011400196,Panel B,1,10401140,Yes,0,0,0,0,0
376,104011400213,Panel B,1,10401140,No,,,,,
360,104011400229,Panel B,1,10401140,Yes,0,0,0,0,0
362,104011400263,Panel B,1,10401140,No,,,,,
368,104011400280,Panel B,1,10401140,No,,,,,
352,104011400296,Panel B,1,10401140,No,,,,,
350,104011400330,Panel B,1,10401140,Yes,0,4000,0,0,0
378,104011400347,Panel B,1,10401140,Yes,0,1000,0,0,0
359,104015020020,Panel A,1,10401502,No,,,,,
375,104015020027,Panel A,1,10401502,No,,,,,
357,104015020056,Panel A,1,10401502,Yes,0,0,0,0,0
361,104015020074,Panel A,1,10401502,Yes,0,0,0,0,0
381,104015020081,Panel A,1,10401502,No,,,,,
373,104015020084,Panel A,1,10401502,No,,,,,
383,104015020099,Panel A,1,10401502,Yes,0,0,125,0,0
369,104015020102,Panel A,1,10401502,Yes,0,0,0,0,0
363,104015020103,Panel A,1,10401502,No,,,,,
355,104015020121,Panel A,1,10401502,Yes,0,0,0,0,0
379,104015020127,Panel A,1,10401502,Yes,0,0,0,0,0
365,104015020133,Panel A,1,10401502,No,,,,,
371,104015020173,Panel A,1,10401502,Yes,0,0,0,0,0
346,104015220004,Panel B,1,10401522,Yes,0,0,0,0,0
340,104015220019,Panel B,1,10401522,Yes,0,0,0,0,0
338,104015220038,Panel B,1,10401522,Yes,0,0,0,0,0
324,104015220041,Panel B,1,10401522,Yes,0,0,0,0,0
330,104015220042,Panel B,1,10401522,Yes,0,0,0,0,0
332,104015220054,Panel B,1,10401522,Yes,0,0,0,0,0
342,104015220055,Panel B,1,10401522,Yes,0,0,0,0,0
318,104015220061,Panel B,1,10401522,Yes,0,0,0,0,0
326,104015220063,Panel B,1,10401522,Yes,0,0,0,0,0
322,104015220065,Panel B,1,10401522,Yes,0,0,0,0,0
336,104015220068,Panel B,1,10401522,Yes,0,0,0,0,0
348,104015220087,Panel B,1,10401522,Yes,0,0,0,0,0
320,104015220088,Panel B,1,10401522,Yes,0,0,0,0,0
328,104015220091,Panel B,1,10401522,Yes,0,0,0,0,0
388,104041860008,Panel B,1,10404186,Yes,0,2000,0,0,0
396,104041860012,Panel B,1,10404186,No,,,,,
384,104041860017,Panel B,1,10404186,No,,,,,
404,104041860021,Panel B,1,10404186,Yes,0,0,0,0,0
410,104041860030,Panel B,1,10404186,Yes,0,3000,0,0,0
386,104041860034,Panel B,1,10404186,Yes,0,2000,0,0,0
406,104041860039,Panel B,1,10404186,No,,,,,
394,104041860043,Panel B,1,10404186,Yes,0,1000,0,0,0
398,104041860052,Panel B,1,10404186,No,,,,,
408,104041860061,Panel B,1,10404186,Yes,0,0,0,0,0
390,104041860065,Panel B,1,10404186,Yes,0,0,0,0,0
402,104041860074,Panel B,1,10404186,Yes,0,0,0,0,0
400,104041860079,Panel B,1,10404186,No,,,,,
412,104041860083,Panel B,1,10404186,Yes,0,0,0,0,0
382,104041860092,Panel B,1,10404186,No,,,,,
411,104052130003,Panel A,1,10405213,Yes,0,0,0,0,0
385,104052130007,Panel A,1,10405213,No,,,,,
387,104052130011,Panel A,1,10405213,Yes,0,0,0,0,0
415,104052130019,Panel A,1,10405213,No,,,,,
409,104052130039,Panel A,1,10405213,Yes,0,0,0,0,0
401,104052130045,Panel A,1,10405213,Yes,0,0,0,0,0
389,104052130054,Panel A,1,10405213,Yes,0,0,0,0,0
405,104052130062,Panel A,1,10405213,No,,,,,
395,104052130081,Panel A,1,10405213,Yes,0,0,0,0,0
391,104052130093,Panel A,1,10405213,Yes,0,0,0,0,0
399,104052130100,Panel A,1,10405213,Yes,0,0,0,0,0
397,104052130110,Panel A,1,10405213,Yes,0,0,0,0,0
413,104052130122,Panel A,1,10405213,No,,,,,
407,104052130146,Panel A,1,10405213,Yes,0,0,0,0,0
403,104052130162,Panel A,1,10405213,Yes,0,0,0,0,0
393,104052130167,Panel A,1,10405213,Yes,0,0,0,0,0
424,105015050001,Panel B,1,10501505,Yes,0,0,0,0,0
428,105015050002,Panel B,1,10501505,No,,,,,
426,105015050004,Panel B,1,10501505,Yes,0,0,0,0,0
434,105015050005,Panel B,1,10501505,Yes,0,0,0,0,0
418,105015050006,Panel B,1,10501505,No,,,,,
420,105015050007,Panel B,1,10501505,No,,,,,
438,105015050008,Panel B,1,10501505,Yes,0,0,0,0,0
444,105015050009,Panel B,1,10501505,No,,,,,
436,105015050010,Panel B,1,10501505,Yes,0,0,100,0,0
414,105015050011,Panel B,1,10501505,Yes,0,0,0,0,0
432,105015050012,Panel B,1,10501505,Yes,0,0,0,0,0
416,105015050013,Panel B,1,10501505,Yes,3000,0,0,0,0
430,105015050014,Panel B,1,10501505,Yes,0,0,0,0,0
422,105015050015,Panel B,1,10501505,No,,,,,
440,105015050016,Panel B,1,10501505,Yes,0,0,0,0,0
431,105017090009,Panel A,1,10501709,Yes,0,0,0,0,0
423,105017090026,Panel A,1,10501709,Yes,0,0,0,0,0
417,105017090049,Panel A,1,10501709,No,,,,,
425,105017090050,Panel A,1,10501709,Yes,0,0,0,0,0
441,105017090062,Panel A,1,10501709,Yes,0,0,0,0,0
443,105017090064,Panel A,1,10501709,Yes,0,0,0,0,0
419,105017090069,Panel A,1,10501709,Yes,0,0,0,0,0
433,105017090077,Panel A,1,10501709,Yes,0,0,0,0,0
447,105017090083,Panel A,1,10501709,No,,,,,
439,105017090086,Panel A,1,10501709,No,,,,,
435,105017090091,Panel A,1,10501709,Yes,0,0,0,0,0
437,105017090117,Panel A,1,10501709,Yes,0,0,0,0,0
445,105017090120,Panel A,1,10501709,No,,,,,
427,105017090122,Panel A,1,10501709,Yes,0,0,0,0,0
421,105017090131,Panel A,1,10501709,No,,,,,
429,105017090142,Panel A,1,10501709,No,,,,,
457,105022680036,Panel A,1,10502268,Yes,0,0,0,0,0
463,105022680063,Panel A,1,10502268,Yes,0,0,0,0,1000
469,105022680090,Panel A,1,10502268,No,,,,,
449,105022680170,Panel A,1,10502268,Yes,0,0,0,0,0
473,105022680216,Panel A,1,10502268,No,,,,,
477,105022680242,Panel A,1,10502268,No,,,,,
475,105022680273,Panel A,1,10502268,No,,,,,
471,105022680301,Panel A,1,10502268,No,,,,,
459,105022680323,Panel A,1,10502268,Yes,0,0,0,0,0
465,105022680324,Panel A,1,10502268,Yes,0,0,0,0,0
453,105022680337,Panel A,1,10502268,Yes,0,0,0,0,0
455,105022680350,Panel A,1,10502268,Yes,0,0,0,0,0
451,105022680375,Panel A,1,10502268,No,,,,,
479,105022680376,Panel A,1,10502268,Yes,0,0,0,0,0
467,105022680391,Panel A,1,10502268,Yes,0,0,0,0,0
461,105022680406,Panel A,1,10502268,Yes,0,0,0,0,0
450,105025930009,Panel B,1,10502593,No,,,,,
472,105025930015,Panel B,1,10502593,Yes,0,0,0,0,0
476,105025930020,Panel B,1,10502593,No,,,,,
456,105025930026,Panel B,1,10502593,No,,,,,
446,105025930037,Panel B,1,10502593,Yes,0,0,0,0,0
466,105025930042,Panel B,1,10502593,Yes,0,0,0,0,0
454,105025930047,Panel B,1,10502593,No,,,,,
460,105025930064,Panel B,1,10502593,Yes,0,0,0,0,0
458,105025930069,Panel B,1,10502593,Yes,0,0,0,0,0
464,105025930075,Panel B,1,10502593,No,,,,,
474,105025930080,Panel B,1,10502593,Yes,0,0,0,0,0
462,105025930091,Panel B,1,10502593,No,,,,,
468,105025930097,Panel B,1,10502593,Yes,0,0,0,0,0
470,105025930102,Panel B,1,10502593,Yes,0,0,0,0,0
452,105025930113,Panel B,1,10502593,No,,,,,
497,105033670001,Panel A,1,10503367,Yes,0,0,0,0,0
