HHID,case_id,qx_type,ea_id,visit,ag_c0a,ag_c00,ag_c01,ag_c02,ag_c04a,ag_c04b,ag_c04c,ag_c05d_os
44,101012040020,Panel B,10101204,1,,R2,Yes,TOBACCO BARLEY,.5,Acre,.20999999,
44,101012040020,Panel B,10101204,1,,R1,Yes,HYBRID RECYCLED,.5,Acre,.38,
38,101012040024,Panel B,10101204,1,,R3,Yes,BARLEY TOBACCO,.75,Acre,.31999999,
38,101012040024,Panel B,10101204,1,,R2,Yes,HYBRID MAIZE,1,Acre,.23,
38,101012040024,Panel B,10101204,1,,R1,Yes,LOCAL MAIZE,.25,Acre,.14,
52,101012040028,Panel B,10101204,1,,R2,Yes,TOBACCO,.5,Acre,.2,
52,101012040028,Panel B,10101204,1,,R3,Yes,SOYA BEANS,.25,Acre,.079999998,
52,101012040028,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,1,Acre,.80000001,
50,101012040037,Panel B,10101204,1,,R4,Yes,BEANS,.25,Acre,.050000001,
50,101012040037,Panel B,10101204,1,,R1,Yes,COMPOSITE MAIZE,1,Acre,1,
50,101012040037,Panel B,10101204,1,,R2,Yes,HYBRID MAIZE,.5,Acre,.25999999,
50,101012040037,Panel B,10101204,1,,R3,Yes,G/NUTS,1,Acre,.5,
50,101012040037,Panel B,10101204,1,,R5,Yes,TOBACCO,.25,Acre,.18000001,
54,101012040041,Panel B,10101204,1,,R4,Yes,G/NUTS,.25,Acre,.25,
54,101012040041,Panel B,10101204,1,,R3,Yes,SOYA BEANS,.25,Acre,.050000001,
54,101012040041,Panel B,10101204,1,,R2,Yes,TOBACCO,.25,Acre,.5,
54,101012040041,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,1,Acre,.80000001,
48,101012040045,Panel B,10101204,1,,R2,Yes,HYBRID MAIZE,.25,Acre,.1,
48,101012040045,Panel B,10101204,1,,R1,Yes,COMPOSITE MAIZE,1,Acre,1,
48,101012040045,Panel B,10101204,1,,R3,Yes,G/NUTS,.25,Acre,.14,
48,101012040045,Panel B,10101204,1,,R4,Yes,TOBACCO,.5,Acre,1,
36,101012040054,Panel B,10101204,1,,R2,Yes,HYBRID MAIZE,.75,Acre,.5,
36,101012040054,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.2,
36,101012040054,Panel B,10101204,1,,R3,Yes,TOBACCO,.5,Acre,.60000002,
56,101012040058,Panel B,10101204,1,,R2,Yes,TOBACCO,.25,Acre,.16,
56,101012040058,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,.97000003,
64,101012040062,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,2,Acre,1.8,
64,101012040062,Panel B,10101204,1,,R2,Yes,TOBACCO,.5,Acre,.22,
64,101012040062,Panel B,10101204,1,,R3,Yes,G/NUTS,.25,Acre,.28999999,
34,101012040071,Panel B,10101204,1,,R3,Yes,G/NUTS,.75,Acre,.80000001,
34,101012040071,Panel B,10101204,1,,R2,Yes,TOBACCO,1.75,Acre,1.05,
34,101012040071,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,1,Acre,.69,
58,101012040075,Panel B,10101204,1,,R2,Yes,HYBRIB MAIZE,.75,Acre,.63999999,
58,101012040075,Panel B,10101204,1,,R1,Yes,HYBRID RECYCLED,.75,Acre,.41999999,
58,101012040075,Panel B,10101204,1,,R3,Yes,TOBACCO,.25,Acre,.16,
46,101012040079,Panel B,10101204,1,,R1,Yes,HYBRID MAIZE,2,Acre,.75,
46,101012040079,Panel B,10101204,1,,R2,Yes,GROUNDNUTS,.5,Acre,.28999999,
60,101012040087,Panel B,10101204,1,,R1,Yes,LOCAL MAIZE,.89999998,Acre,.64999998,
21,101012150001,Panel A,10101215,1,,R3,Yes,HYBRID,.25,Acre,.19,
21,101012150001,Panel A,10101215,1,,R4,Yes,FALLOW,.25,Acre,1.2,
21,101012150001,Panel A,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,.34999999,
21,101012150001,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.70999998,
17,101012150004,Panel A,10101215,1,,R2,Yes,LOCAL MAIZE,1.5,Acre,1.91,
17,101012150004,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,.56,
17,101012150004,Panel A,10101215,1,,R3,Yes,FALLOW,2,Acre,3.1300001,
11,101012150021,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.67,
5,101012150022,Panel A,10101215,1,,R3,Yes,LOCAL MAIZE,1,Acre,.88,
5,101012150022,Panel A,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,.33000001,
5,101012150022,Panel A,10101215,1,,R1,Yes,HYBRID MAIZE,.75,Acre,.55000001,
5,101012150022,Panel A,10101215,1,,R4,Yes,G/NUTS,.25,Acre,.31,
13,101012150026,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.82999998,
13,101012150026,Panel A,10101215,1,,R2,Yes,HYBRID MAIZE,2,Acre,1.9400001,
1,101012150028,Panel A,10101215,1,,R3,Yes,G/NUTS,.5,Acre,.30000001,
1,101012150028,Panel A,10101215,1,,R4,Yes,SWEET POTATO,.25,Acre,.07,
1,101012150028,Panel A,10101215,1,,R5,Yes,FALLOW,1.5,Acre,3.2,
1,101012150028,Panel A,10101215,1,,R2,Yes,MAIZE LOCAL,.5,Acre,1.5,
1,101012150028,Panel A,10101215,1,,R1,Yes,MAIZE HYBRID,1,Acre,.40000001,
25,101012150034,Panel A,10101215,1,,R1,Yes,MAIZE HYBRID,2,Acre,.40000001,
25,101012150034,Panel A,10101215,1,,R3,Yes,SOYA BEANS,.25,Acre,.2,
25,101012150034,Panel A,10101215,1,,R2,Yes,BARLEY TOBACCO,.5,Acre,.80000001,
25,101012150034,Panel A,10101215,1,,R4,Yes,MAIZE LOCAL,.25,Acre,.60000002,
9,101012150038,Panel A,10101215,1,,R2,Yes,G/NUTS,.5,Acre,.07,
9,101012150038,Panel A,10101215,1,,R1,Yes,"LOCAL MAIZE, BEANS/PEAS",.5,Acre,.11,
31,101012150040,Panel A,10101215,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.0700001,
31,101012150040,Panel A,10101215,1,,R2,Yes,G/NUTS,.5,Acre,.18000001,
15,101012150045,Panel A,10101215,1,,R1,Yes,BEANS/LOCAL MAIZE,.5,Acre,.28,
29,101012150048,Panel A,10101215,1,,R1,Yes,HYBRID MAIZE,2.25,Acre,2.6400001,
27,101012150049,Panel A,10101215,1,,R5,Yes,SWEET POTATO,.2,Square Meters,.0099999998,
27,101012150049,Panel A,10101215,1,,R3,Yes,LOCAL MAIZE,.5,Acre,1.01,
27,101012150049,Panel A,10101215,1,,R1,Yes,HYBRID MAIZE,.5,Acre,1.1,
27,101012150049,Panel A,10101215,1,,R4,Yes,TOBACCO,.5,Acre,.20999999,
27,101012150049,Panel A,10101215,1,,R2,Yes,LOCAL MAIZE,.5,Acre,1.08,
23,101012150053,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.22,
23,101012150053,Panel A,10101215,1,,R4,Yes,G/NUTS,.25,Acre,.059999999,
23,101012150053,Panel A,10101215,1,,R2,Yes,LOCAL MAIZE,1,Acre,.58999997,
23,101012150053,Panel A,10101215,1,,R3,Yes,LOCAL MAIZE,.5,Acre,.25999999,
19,101012150059,Panel A,10101215,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.5,
19,101012150059,Panel A,10101215,1,,R4,Yes,SWEET POTATO,.25,Acre,.059999999,
19,101012150059,Panel A,10101215,1,,R2,Yes,MAIZE HYBRID,.25,Acre,.12,
19,101012150059,Panel A,10101215,1,,R3,Yes,G/NUTS,.25,Acre,.2,
3,101012150060,Panel A,10101215,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.98000002,
7,101012150074,Panel A,10101215,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.60000002,
7,101012150074,Panel A,10101215,1,,R3,Yes,SWEET POTATO,.25,Acre,.25,
7,101012150074,Panel A,10101215,1,,R2,Yes,HYBRID MAIZE,1,Acre,1,
7,101012150074,Panel A,10101215,1,,R4,Yes,TOBACCO,.5,Acre,.5,
20,101015620009,Panel B,10101562,1,,R2,Yes,SWEET POTATO,.25,Acre,.15000001,
20,101015620009,Panel B,10101562,1,,R6,Yes,HYBRID MAIZE,.5,Acre,.40000001,
20,101015620009,Panel B,10101562,1,,R5,Yes,SOYA BEANS,.25,Acre,.40000001,
20,101015620009,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,1,Acre,2.4000001,
20,101015620009,Panel B,10101562,1,,R3,Yes,FINGER MILLET,.5,Acre,.60000002,
20,101015620009,Panel B,10101562,1,,R4,Yes,CG7,.25,Acre,.25,
30,101015620020,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.24,
30,101015620020,Panel B,10101562,1,,R2,Yes,LOCAL MAIZE,.75,Acre,.93000001,
30,101015620020,Panel B,10101562,1,,R3,Yes,G/NUTS,.5,Acre,.62,
10,101015620031,Panel B,10101562,1,,R1,Yes,HYBRID MAIZE,1,Acre,2.5899999,
10,101015620031,Panel B,10101562,1,,R2,Yes,G/NUTS,.25,Acre,.090000004,
6,101015620042,Panel B,10101562,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,1.67,
6,101015620042,Panel B,10101562,1,,R3,Yes,HYBRID RECYCLED,1,Acre,1.12,
6,101015620042,Panel B,10101562,1,,R2,Yes,FINGER MILLET,.75,Acre,.80000001,
2,101015620053,Panel B,10101562,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.5700001,
2,101015620053,Panel B,10101562,1,,R2,Yes,SWEET POTATOES,.25,Acre,.31999999,
8,101015620064,Panel B,10101562,1,,R5,Yes,FALLOW,1,Acre,2.7,
8,101015620064,Panel B,10101562,1,,R3,Yes,SOYA BEANS,.25,Acre,.25,
8,101015620064,Panel B,10101562,1,,R4,Yes,CG7 G/NUTS,.25,Acre,.15000001,
8,101015620064,Panel B,10101562,1,,R1,Yes,MAIZE HYBRID,1,Acre,1.7,
8,101015620064,Panel B,10101562,1,,R2,Yes,BEANS,.25,Acre,.15000001,
18,101015620075,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,1,Acre,.60000002,
18,101015620075,Panel B,10101562,1,,R3,Yes,,,,,
18,101015620075,Panel B,10101562,1,,R2,Yes,HYBRID MAIZE,.75,Acre,.51999998,
16,101015620086,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.85,
16,101015620086,Panel B,10101562,1,,R3,Yes,G/NUTS,.5,Acre,.31999999,
16,101015620086,Panel B,10101562,1,,R2,Yes,RECYCLED HYBRID,1,Acre,.60000002,
26,101015620096,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.36000001,
26,101015620096,Panel B,10101562,1,,R3,Yes,FINGER MILLET,.25,Acre,.11,
26,101015620096,Panel B,10101562,1,,R4,Yes,WOODLOT,3,Acre,2.8299999,
26,101015620096,Panel B,10101562,1,,R2,Yes,HYBRID MAIZE,1,Acre,1.04,
28,101015620118,Panel B,10101562,1,,R3,Yes,WOODLOT,3,Acre,4.0599999,
28,101015620118,Panel B,10101562,1,,R1,Yes,RECYLED HYBRID,1,Acre,.87,
28,101015620118,Panel B,10101562,1,,R2,Yes,G/NUTS,.25,Acre,.16,
32,101015620140,Panel B,10101562,1,,R1,Yes,MAIZE LOCAL,2,Acre,2.0599999,
32,101015620140,Panel B,10101562,1,,R3,Yes,FALLOW,1,Acre,1.4,
32,101015620140,Panel B,10101562,1,,R2,Yes,G/NUTS CHALIMBANA,.5,Acre,.2,
12,101015620162,Panel B,10101562,1,,R3,Yes,CG7 G/NUTS,.5,Acre,.80000001,
12,101015620162,Panel B,10101562,1,,R4,Yes,BARLEY TOBACCO,1,Acre,1,
12,101015620162,Panel B,10101562,1,,R5,Yes,KILOMBERO RICE,.25,Acre,.18000001,
12,101015620162,Panel B,10101562,1,,R2,Yes,MAIZE HYBRID,1,Acre,.69999999,
12,101015620162,Panel B,10101562,1,,R1,Yes,MAIZE LOCAL,1,Acre,.89999998,
4,101015620184,Panel B,10101562,1,,R1,Yes,HYBRID & G/NUTS,1,Acre,1.64,
4,101015620184,Panel B,10101562,1,,R2,Yes,SOYA BEAN,.25,Acre,.20999999,
22,101015620195,Panel B,10101562,1,,R2,Yes,SOYA BEANS SUNFLOWER,.25,Acre,.33000001,
22,101015620195,Panel B,10101562,1,,R1,Yes,HYBRID MAIZE,.5,Acre,1.04,
14,101015620205,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.62,
24,101015620227,Panel B,10101562,1,,R2,Yes,G/NUTS,1.5,Acre,1.04,
24,101015620227,Panel B,10101562,1,,R1,Yes,LOCAL MAIZE,1,Acre,.85000002,
79,101020040001,Panel A,10102004,1,,R2,Yes,BURLEY,.25,Acre,.12,
79,101020040001,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.34,
87,101020040008,Panel A,10102004,1,,R3,Yes,FINGER MILLET,.5,Acre,.5,
87,101020040008,Panel A,10102004,1,,R1,Yes,MAIZE HYBRID,.5,Acre,.60000002,
87,101020040008,Panel A,10102004,1,,R4,Yes,GROUND BEANS,.050000001,Acre,.050000001,
87,101020040008,Panel A,10102004,1,,R5,Yes,TOBACCO(BARLEY),.25,Acre,.40000001,
87,101020040008,Panel A,10102004,1,,R2,Yes,BEANS,.050000001,Acre,.02,
89,101020040012,Panel A,10102004,1,,R2,Yes,TOBACCO BARLEY,1,Acre,.54000002,
89,101020040012,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,.40000001,
85,101020040015,Panel A,10102004,1,,R3,Yes,SWEET POTATO,.25,Acre,.050000001,
85,101020040015,Panel A,10102004,1,,R1,Yes,MAIZE HYBRID,.5,Acre,.5,
85,101020040015,Panel A,10102004,1,,R2,Yes,BEANS,.25,Acre,.1,
85,101020040015,Panel A,10102004,1,,R4,Yes,,,,,
83,101020040028,Panel A,10102004,1,,R3,Yes,BEANS,.25,Acre,.2,
83,101020040028,Panel A,10102004,1,,R5,Yes,SWEET POTATO,.5,Acre,.11,
83,101020040028,Panel A,10102004,1,,R1,Yes,HYBRID RECYCLED,.25,Acre,.2,
83,101020040028,Panel A,10102004,1,,R6,Yes,GROUND BEANS,.25,Acre,.1,
83,101020040028,Panel A,10102004,1,,R4,Yes,BARLEY TOBACCO,.5,Acre,.41999999,
83,101020040028,Panel A,10102004,1,,R2,Yes,HYBRID RECYCLED,.5,Acre,.40000001,
75,101020040031,Panel A,10102004,1,,R2,Yes,TOBACCO,.5,Acre,.20999999,
75,101020040031,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE,1,Acre,1.01,
65,101020040034,Panel A,10102004,1,,R2,Yes,MAIZE HYBRID,.5,Acre,.30000001,
65,101020040034,Panel A,10102004,1,,R3,Yes,BEANS,.25,Acre,.12,
65,101020040034,Panel A,10102004,1,,R1,Yes,MAIZE HYBRID,.5,Acre,.49000001,
93,101020040039,Panel A,10102004,1,,R3,Yes,TOBACCO,.25,Acre,.11,
93,101020040039,Panel A,10102004,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.61000001,
93,101020040039,Panel A,10102004,1,,R2,Yes,FINGER MILLET,.25,Acre,.2,
71,101020040042,Panel A,10102004,1,,R1,Yes,LOCAL MAIZE,.5,Acre,.33000001,
71,101020040042,Panel A,10102004,1,,R2,Yes,G/NUTS MANI-PINTER,.5,Acre,.38,
71,101020040042,Panel A,10102004,1,,R4,Yes,RICE MWANGULU,1.5,Acre,.88,
71,101020040042,Panel A,10102004,1,,R3,Yes,TOBACCO BARLEY,1,Acre,.50999999,
69,101020040059,Panel A,10102004,1,,R2,Yes,BEANS,.25,Acre,.13,
69,101020040059,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE.,1.5,Acre,.70999998,
81,101020040061,Panel A,10102004,1,,R3,Yes,BEANS,.30000001,Acre,.1,
81,101020040061,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.30000001,
81,101020040061,Panel A,10102004,1,,R2,Yes,FINGER MILLET,.5,Acre,.30000001,
73,101020040093,Panel A,10102004,1,,R1,Yes,RECYCLED MAIZE HYBRID,1.5,Acre,.60000002,
73,101020040093,Panel A,10102004,1,,R2,Yes,TOBACCO BARLEY,.5,Acre,.28999999,
67,101020040101,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE,.5,Acre,.22,
67,101020040101,Panel A,10102004,1,,R3,Yes,SWEET POTATO,.5,Acre,.02,
67,101020040101,Panel A,10102004,1,,R2,Yes,TOBACCO,.40000001,Acre,.73000002,
91,101020040104,Panel A,10102004,1,,R1,Yes,HYBRID MAIZE & BEANS,.5,Acre,.38,
91,101020040104,Panel A,10102004,1,,R2,Yes,KILOMBELO RICE,.5,Acre,.039999999,
77,101020040121,Panel A,10102004,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.17,
95,101020040128,Panel A,10102004,1,,R2,Yes,TOBACCO BARLEY,.5,Acre,.02,
95,101020040128,Panel A,10102004,1,,R1,Yes,LOCAL MAIZE & BEANS,.5,Acre,.56999999,
86,101034140003,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.74,
66,101034140009,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1,Acre,.80000001,
96,101034140020,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1.25,Acre,1.48,
96,101034140020,Panel B,10103414,1,,R2,Yes,HYBRID MAIZE,1,Acre,.86000001,
72,101034140025,Panel B,10103414,1,,R2,Yes,SOYA,.25,Acre,.13,
72,101034140025,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1,Acre,.91000003,
90,101034140031,Panel B,10103414,1,,R1,Yes,HYBRID,3,Acre,2.8800001,
90,101034140031,Panel B,10103414,1,,R3,Yes,G/NUTS,1,Acre,.72000003,
90,101034140031,Panel B,10103414,1,,R2,Yes,SOYA,.25,Acre,.31,
80,101034140042,Panel B,10103414,1,,R2,Yes,SOYA,.25,Acre,.22,
80,101034140042,Panel B,10103414,1,,R1,Yes,HYBRID MAIZE,2,Acre,2.28,
80,101034140042,Panel B,10103414,1,,R3,Yes,G/NUTS,.25,Acre,.28999999,
92,101034140047,Panel B,10103414,1,,R3,Yes,SOYA BEANS,.25,Acre,.18000001,
92,101034140047,Panel B,10103414,1,,R2,Yes,MAIZE HYBRID,.5,Acre,.40000001,
92,101034140047,Panel B,10103414,1,,R1,Yes,MAIZE LOCAL,.5,Acre,.52999997,
92,101034140047,Panel B,10103414,1,,R4,Yes,BEANS,.25,Acre,.050000001,
84,101034140053,Panel B,10103414,1,,R4,Yes,SOYA BEANS,.25,Acre,.15000001,
84,101034140053,Panel B,10103414,1,,R3,Yes,SWEET POTATO,.5,Acre,.44999999,
84,101034140053,Panel B,10103414,1,,R2,Yes,BEANS,.25,Acre,.1,
84,101034140053,Panel B,10103414,1,,R1,Yes,MAIZE HYBRID,1,Acre,1,
84,101034140053,Panel B,10103414,1,,R5,Yes,G/NUTS(CG7),.5,Acre,.40000001,
70,101034140064,Panel B,10103414,1,,R2,Yes,CHALIMBANA,.5,Acre,.69999999,
70,101034140064,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.2,
76,101034140069,Panel B,10103414,1,,R3,Yes,G/NUTS CG7,.050000001,Acre,.2,
76,101034140069,Panel B,10103414,1,,R1,Yes,MAIZE HYBRID,1.25,Acre,1,
76,101034140069,Panel B,10103414,1,,R2,Yes,SWEET POTATO,.050000001,Acre,.050000001,
76,101034140069,Panel B,10103414,1,,R4,Yes,SOYA BEANS,.050000001,Acre,.050000001,
78,101034140075,Panel B,10103414,1,,R5,Yes,CG7,.5,Acre,.5,
78,101034140075,Panel B,10103414,1,,R3,Yes,BEANS,1,Acre,1,
78,101034140075,Panel B,10103414,1,,R1,Yes,MAIZE HYBRID,1,Acre,.75,
78,101034140075,Panel B,10103414,1,,R4,Yes,CHALIMBANA,.5,Acre,.5,
78,101034140075,Panel B,10103414,1,,R2,Yes,MAIZE LOCAL,2,Acre,1,
94,101034140086,Panel B,10103414,1,,R1,Yes,HYBRID MAIZE RECYCLED,1,Acre,.67000002,
74,101034140091,Panel B,10103414,1,,R3,Yes,SOYA BEAN,.25,Acre,.07,
74,101034140091,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.54,
74,101034140091,Panel B,10103414,1,,R2,Yes,BARLEY TOBACCO,1,Acre,.62,
88,101034140097,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1,Acre,.37,
88,101034140097,Panel B,10103414,1,,R2,Yes,HYBRID MAIZE RECYCLED,1,Acre,.38999999,
82,101034140108,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,2,Acre,1.23,
68,101034140114,Panel B,10103414,1,,R2,Yes,BURLEY TOBACCO,.25,Acre,.1,
68,101034140114,Panel B,10103414,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,1.5599999,
123,101041500004,Panel A,10104150,1,,R1,Yes,LOCAL MAIZE,.5,Acre,1.4299999,
127,101041500006,Panel A,10104150,1,,R3,Yes,CG7 G/NUTS,.25,Acre,.12,
127,101041500006,Panel A,10104150,1,,R1,Yes,MAIZE HYBRID,2.5,Acre,1.7,
127,101041500006,Panel A,10104150,1,,R2,Yes,BARLEY TOBACCO,1,Acre,.89999998,
113,101041500012,Panel A,10104150,1,,R1,Yes,LOCAL MAIZE,1.5,Acre,.85000002,
109,101041500013,Panel A,10104150,1,,R1,Yes,HYBRID MAIZE,1.5,Acre,1.7,
109,101041500013,Panel A,10104150,1,,R2,Yes,LOCAL MAIZE,.25,Acre,.33000001,
111,101041500015,Panel A,10104150,1,,R2,Yes,WOODLOT,.5,Acre,.63,
111,101041500015,Panel A,10104150,1,,R1,Yes,LOCAL MAIZE,.75,Acre,1.12,
99,101041500023,Panel A,10104150,1,,R1,Yes,LOCAL MAIZE,.5,Acre,2.04,
103,101041500027,Panel A,10104150,1,,R1,Yes,LOCAL MAIZE,1,Acre,1.52,
103,101041500027,Panel A,10104150,1,,R2,Yes,FALLOW,.25,Acre,.30000001,
107,101041500045,Panel A,10104150,1,,R1,Yes,HYBRID MAIZE,1,Acre,.75,
115,101041500048,Panel A,10104150,1,,R1,Yes,MAIZE LOCAL,1,Acre,1.1,
115,101041500048,Panel A,10104150,1,,R3,Yes,BARLEY TOBACCO,.5,Acre,.40000001,
115,101041500048,Panel A,10104150,1,,R2,Yes,HYBRID MAIZE,1,Acre,.75,
97,101041500053,Panel A,10104150,1,,R1,Yes,HYBRID RECYCLED,.5,Acre,.55000001,
