occ,y2_hhid,qx_type,interview_status,fs_j0b,fs_j0c,fs_j04,fs_j05
1,0355-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0355-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,400
3,0355-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,350
4,0355-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,0355-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,0384-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0384-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,
3,0384-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,0384-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,0384-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,0390-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0390-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,
3,0390-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,0390-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,0390-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,0406-001,PANEL B,Panel B - 2 Visits,,,,
1,0508-001,PANEL B,Panel B - 2 Visits,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,2400
2,0782-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,6000
3,0782-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,0782-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,0782-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,1069-003,PANEL A,Panel A - 2 Visits,,,,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,HIRED LABOUR,Hired Labour,NO,
2,1659-005,PANEL A,Panel A - Combined Visit,TRANSPORT,Transport,YES,700
3,1659-005,PANEL A,Panel A - Combined Visit,PACKAGING,Packaging,NO,
4,1659-005,PANEL A,Panel A - Combined Visit,ICE,Ice,NO,
5,1659-005,PANEL A,Panel A - Combined Visit,TAX,Tax,NO,
6,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,,,,
1,1879-001,PANEL A,Panel A - 2 Visits,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,,,,
1,1935-001,PANEL A,Panel A - 2 Visits,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,,,,
1,1951-001,PANEL A,Panel A - 2 Visits,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,1951-002,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,7000
3,1951-002,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,1951-002,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,1951-002,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2189-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,
3,2189-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,2189-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2189-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,200
6,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2231-004,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,800
3,2231-004,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,2231-004,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2231-004,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2403-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2403-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,2500
3,2403-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,100
4,2403-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2403-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2433-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,3600
2,2433-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,24000
3,2433-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,3000
4,2433-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2433-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2563-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2563-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1800
3,2563-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,450
4,2563-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2563-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,480
1,2569-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,2000
2,2569-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,5000
3,2569-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,1000
4,2569-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2569-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2598-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,500
2,2598-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,1500
3,2598-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,2598-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,2598-001,PANEL B,Panel B - 2 Visits,TAX,Tax,YES,200
6,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2603-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2603-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,
3,2603-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,2603-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2603-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,50
6,2603-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2656-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2656-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,
3,2656-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,2656-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,2656-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2703-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2703-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,
3,2703-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,2703-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2703-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2777-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2777-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1000
3,2777-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,300
4,2777-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2777-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2788-003,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,500
2,2788-003,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,15000
3,2788-003,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,YES,1000
4,2788-003,PANEL B,Panel B - 2 Visits,ICE,Ice,YES,7000
5,2788-003,PANEL B,Panel B - 2 Visits,TAX,Tax,YES,300
6,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,2812-003,PANEL B,Panel B - Combined Visit,HIRED LABOUR,Hired Labour,NO,
2,2812-003,PANEL B,Panel B - Combined Visit,TRANSPORT,Transport,YES,400
3,2812-003,PANEL B,Panel B - Combined Visit,PACKAGING,Packaging,NO,
4,2812-003,PANEL B,Panel B - Combined Visit,ICE,Ice,NO,
5,2812-003,PANEL B,Panel B - Combined Visit,TAX,Tax,NO,
6,2812-003,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,
1,2835-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,2835-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1500
3,2835-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,210
4,2835-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,2835-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,280
6,2835-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,1000
1,2984-001,PANEL B,Panel B - 2 Visits,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,2300
2,3074-002,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,3500
3,3074-002,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,3074-002,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,3074-002,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,3074-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,
