HHID,case_id,qx_type,visit,ea_id,hh_x01,hh_x02,hh_x03,hh_x04,hh_x05,hh_x06,hh_x07,hh_x08,hh_x09,hh_x10,hh_x11,hh_x12,hh_x13,hh_x14,hh_x15,hh_x16
52,101012040028,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
50,101012040037,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
54,101012040041,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
48,101012040045,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
36,101012040054,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
56,101012040058,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
64,101012040062,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
34,101012040071,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
58,101012040075,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
46,101012040079,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
60,101012040087,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
21,101012150001,Panel A,1,10101215,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
17,101012150004,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
11,101012150021,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
5,101012150022,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
13,101012150026,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
1,101012150028,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
25,101012150034,Panel A,1,10101215,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
9,101012150038,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
31,101012150040,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
15,101012150045,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
29,101012150048,Panel A,1,10101215,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
27,101012150049,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
23,101012150053,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
19,101012150059,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
3,101012150060,Panel A,1,10101215,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
7,101012150074,Panel A,1,10101215,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
20,101015620009,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
30,101015620020,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
10,101015620031,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
6,101015620042,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
2,101015620053,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
8,101015620064,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
18,101015620075,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
16,101015620086,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
26,101015620096,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
28,101015620118,Panel B,2,10101562,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
32,101015620140,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
12,101015620162,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
4,101015620184,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
22,101015620195,Panel B,2,10101562,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
14,101015620205,Panel B,2,10101562,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
24,101015620227,Panel B,2,10101562,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
79,101020040001,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
87,101020040008,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
89,101020040012,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
85,101020040015,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
83,101020040028,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
75,101020040031,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
65,101020040034,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
93,101020040039,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
71,101020040042,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
69,101020040059,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
81,101020040061,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
73,101020040093,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
67,101020040101,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
91,101020040104,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
77,101020040121,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
95,101020040128,Panel A,1,10102004,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
86,101034140003,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
66,101034140009,Panel B,2,10103414,Yes,,,,,,,,,Yes,No,Yes,Yes,No,Yes,No
96,101034140020,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
72,101034140025,Panel B,2,10103414,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
90,101034140031,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
80,101034140042,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
92,101034140047,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
84,101034140053,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
70,101034140064,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76,101034140069,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
78,101034140075,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
94,101034140086,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
74,101034140091,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
88,101034140097,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
82,101034140108,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
68,101034140114,Panel B,2,10103414,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
123,101041500004,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
127,101041500006,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
113,101041500012,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
109,101041500013,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
111,101041500015,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
99,101041500023,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
103,101041500027,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
107,101041500045,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
115,101041500048,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
97,101041500053,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
105,101041500054,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
125,101041500057,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
101,101041500063,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
119,101041500067,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
117,101041500076,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
121,101041500079,Panel A,1,10104150,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
102,102016880002,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
100,102016880010,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
108,102016880018,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
120,102016880033,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
118,102016880041,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
106,102016880049,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
128,102016880064,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
116,102016880072,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
122,102016880080,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
98,102016880095,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
112,102016880103,Panel B,2,10201688,Yes,,,,,,,,,Yes,No,Yes,No,Yes,Yes,No
110,102016880111,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
126,102016880126,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
104,102016880134,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
114,102016880142,Panel B,2,10201688,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
124,102016880157,Panel B,2,10201688,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
139,102025140004,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
155,102025140019,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
145,102025140060,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
143,102025140064,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
131,102025140068,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
129,102025140087,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
137,102025140089,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
157,102025140104,Panel A,1,10202514,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
153,102025140122,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
133,102025140144,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
151,102025140145,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
149,102025140149,Panel A,1,10202514,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
147,102025140151,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
135,102025140160,Panel A,1,10202514,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
159,102025140161,Panel A,1,10202514,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
141,102025140169,Panel A,1,10202514,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
150,102031760004,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
142,102031760009,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
138,102031760014,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
136,102031760024,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
148,102031760029,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
132,102031760033,Panel B,2,10203176,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
140,102031760043,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
134,102031760048,Panel B,2,10203176,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
146,102031760053,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
158,102031760063,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
152,102031760067,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
144,102031760072,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
154,102031760082,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
130,102031760087,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
156,102031760092,Panel B,2,10203176,Yes,,,,,,,,,Yes,No,Yes,Yes,No,Yes,No
160,102031760101,Panel B,2,10203176,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
192,102037440001,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
182,102037440006,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
188,102037440017,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
164,102037440023,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
172,102037440029,Panel B,2,10203744,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
178,102037440040,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
190,102037440045,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
166,102037440051,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
180,102037440062,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
186,102037440068,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
176,102037440073,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
174,102037440084,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
162,102037440090,Panel B,2,10203744,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
170,102037440095,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
168,102037440107,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
184,102037440112,Panel B,2,10203744,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
202,102043220004,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
194,102043220009,Panel B,2,10204322,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
218,102043220019,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
214,102043220023,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
196,102043220028,Panel B,2,10204322,Yes,,,,,,,,,Yes,No,Yes,Yes,No,Yes,No
206,102043220038,Panel B,2,10204322,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
210,102043220043,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
198,102043220047,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
212,102043220057,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
216,102043220062,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
208,102043220067,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
200,102043220076,Panel B,2,10204322,Yes,,,,,,,,,No,No,No,No,No,No,No
204,102043220081,Panel B,2,10204322,Yes,,,,,,,,,No,Yes,Yes,No,No,No,No
224,102043220086,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
222,102043220095,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
220,102043220100,Panel B,2,10204322,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
183,102045860004,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
179,102045860010,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
181,102045860012,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
165,102045860025,Panel A,1,10204586,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
191,102045860049,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
173,102045860053,Panel A,1,10204586,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
185,102045860054,Panel A,1,10204586,Yes,,,,,,,,,Yes,No,Yes,No,Yes,Yes,No
175,102045860065,Panel A,1,10204586,Yes,,,,,,,,,No,No,No,No,No,No,No
161,102045860070,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
169,102045860107,Panel A,1,10204586,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
163,102045860112,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
189,102045860115,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
177,102045860122,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
167,102045860123,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
171,102045860161,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
187,102045860164,Panel A,1,10204586,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
252,102201030013,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
242,102201030021,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
230,102201030028,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
232,102201030035,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
234,102201030050,Panel B,2,10220103,Yes,,,,,,,,,Yes,No,Yes,No,Yes,Yes,No
228,102201030058,Panel B,2,10220103,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
256,102201030065,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
246,102201030073,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
226,102201030088,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
244,102201030095,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
250,102201030103,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
248,102201030110,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
254,102201030125,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
240,102201030133,Panel B,2,10220103,Yes,,,,,,,,,Yes,No,Yes,No,No,No,Yes
238,102201030140,Panel B,2,10220103,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
236,102201030155,Panel B,2,10220103,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
205,102207050019,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
217,102207050044,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
221,102207050054,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
207,102207050056,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
213,102207050062,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
211,102207050084,Panel A,1,10220705,Yes,,,,,,,,,No,Yes,Yes,No,No,No,No
197,102207050090,Panel A,1,10220705,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
209,102207050112,Panel A,1,10220705,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
201,102207050138,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
199,102207050170,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
223,102207050199,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
203,102207050206,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
219,102207050298,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
215,102207050319,Panel A,1,10220705,Yes,,,,,,,,,No,No,No,No,No,No,No
193,102207050344,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
195,102207050359,Panel A,1,10220705,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
255,103016630054,Panel A,1,10301663,Yes,,,,,,,,,No,No,No,No,No,No,No
229,103016630124,Panel A,1,10301663,Yes,,,,,,,,,No,Yes,Yes,No,No,No,No
239,103016630160,Panel A,1,10301663,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
253,103016630181,Panel A,1,10301663,Yes,,,,,,,,,No,No,No,No,No,No,No
243,103016630188,Panel A,1,10301663,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
225,103016630198,Panel A,1,10301663,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
249,103016630217,Panel A,1,10301663,Yes,,,,,,,,,No,Yes,Yes,No,No,No,No
231,103016630224,Panel A,1,10301663,Yes,,,,,,,,,No,No,No,No,No,No,No
245,103016630233,Panel A,1,10301663,Yes,,,,,,,,,No,No,No,No,No,No,No
247,103016630235,Panel A,1,10301663,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
227,103016630289,Panel A,1,10301663,Yes,,,,,,,,,No,No,No,No,No,No,No
241,103016630300,Panel A,1,10301663,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
251,103016630307,Panel A,1,10301663,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes
235,103016630351,Panel A,1,10301663,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
233,103016630379,Panel A,1,10301663,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
237,103016630383,Panel A,1,10301663,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
273,103020100009,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes
287,103020100012,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
285,103020100016,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
265,103020100019,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
263,103020100028,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
281,103020100034,Panel A,1,10302010,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
