HHID,case_id,ea_id,qx_type,visit,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
61,101010160069,10101016,Panel A,1,Yes,GROUNDNUT MANIPINTA,,1,Acre,No,,,,,2,90 kg bag,,Unshelled,May,May,Yes,4,Pail (large),,U: Unshelled,2000,1,,600,1,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,1,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Seed for planting,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
61,101010160069,10101016,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,3,90 kg bag,,Shelled,June,June,Yes,7,Pail (large),,S: Shelled,4900,1,,0,2,Pail (small),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,3,Pail (large),,S: Shelled,,Rodents/Pests,,,,Yes,Bags in house,,1,Pail (large),,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,2,90 kg Bag,,S: Shelled
51,101010160070,10101016,Panel A,1,Yes,FINGER MILLET(MAWERE),,1,Acre,No,,,,,10,Basket (dengu),,Not applicable,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Other (Specify),BEER BREWING,,,No,,,,,,,,,,,,,,,,,,,,,
51,101010160070,10101016,Panel A,1,Yes,GROUNDNUT CHALIMBANA,,1,Acre,No,,,,,5,90 kg bag,,Shelled,June,July,Yes,3,50 kg Bag,,S: Shelled,22500,2,,0,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
51,101010160070,10101016,Panel A,1,Yes,MAIZE LOCAL,,2,Acre,No,,,,,20,90 kg bag,,Shelled,June,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,50,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,5,50 kg Bag,,S: Shelled,No,,,,,5,50 kg Bag,,S: Shelled,0,,,
57,101010160074,10101016,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,4,90 kg bag,,Shelled,July,July,No,,,,,,,,,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,1,Pail (large),,S: Shelled,,Rotting,,Rodents/Pests,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,1,90 kg Bag,,S: Shelled
57,101010160074,10101016,Panel A,1,Yes,GROUNDNUT CG7,,1,Acre,No,,,,,9,90 kg bag,,Unshelled,May,May,Yes,1,90 kg Bag,,U: Unshelled,25000,1,2,0,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,2,Pail (large),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
57,101010160074,10101016,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,2,Bale,,Not applicable,March,May,Yes,2,Bale,,Not Applicable,65000,1,2,3350,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
57,101010160074,10101016,Panel A,1,Yes,MAIZE HYBRID RECYCLED,,1,Acre,No,,,,,5,90 kg bag,,Shelled,July,July,Yes,1,50 kg Bag,,S: Shelled,1200,1,2,100,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,1,50 kg Bag,,S: Shelled,,Rotting,,,,Yes,Bags in house,,2,Pail (large),,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,1,90 kg Bag,,S: Shelled
55,101010160086,10101016,Panel A,1,Yes,MAIZE HYBRID,,2,Acre,No,,,,,12,90 kg bag,,Shelled,August,August,Yes,4,90 kg Bag,,S: Shelled,14000,1,2,0,0,,,,0,,,,0,,,,0,,,,25,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
55,101010160086,10101016,Panel A,1,Yes,SOYABEAN,,.25,Acre,No,,,,,2,Pail (large),,Shelled,June,June,Yes,1,Pail (large),,S: Shelled,1000,1,2,0,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
47,101010160096,10101016,Panel A,1,Yes,GROUND BEAN(NZAMA),,.5,Acre,Yes,Drought,,,,20,Kilogram,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,3,Kilogram,,S: Shelled,10,Kilogram,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
47,101010160096,10101016,Panel A,1,Yes,GROUNDNUT CHALIMBANA,,.5,Acre,Yes,Drought,,,,1,50 kg bag,,Shelled,June,June,No,,,,,,,,,10,Kilogram,,U: Unshelled,0,,,,0,,,,0,,,,25,Kilogram,,S: Shelled,1,Pail (large),,U: Unshelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
47,101010160096,10101016,Panel A,1,Yes,SOYABEAN,,.5,Acre,Yes,Drought,,,,40,Kilogram,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,Yes,Bags in house,,5,Kilogram,,S: Shelled,Did Nothing,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
47,101010160096,10101016,Panel A,1,Yes,MAIZE LOCAL,,.5,Acre,No,,,,,2,90 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,5,Pail (large),,S: Shelled
47,101010160096,10101016,Panel A,1,Yes,SWEET POTATO,,.25,Acre,No,,,,,10,Pail (large),,Not applicable,March,March,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
63,101010160143,10101016,Panel A,1,Yes,TOBACCO BURLEY,,1,Acre,No,,,,,90,Kilogram,,Not applicable,April,May,Yes,90,Kilogram,,Not Applicable,6000,1,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
63,101010160143,10101016,Panel A,1,Yes,MAIZE LOCAL,,.5,Acre,Yes,Rains,,,,3,90 kg bag,,Shelled,April,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,3,Pail (large),,S: Shelled,3,Pail (large),,S: Shelled,No,,,,,1,Pail (large),,S: Shelled,0,,,
59,101010160159,10101016,Panel A,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,10,50 kg bag,,Unshelled,May,May,Yes,1,50 kg Bag,,S: Shelled,1500,1,,0,2,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,1,Pail (large),,S: Shelled,6,50 kg Bag,,U: Unshelled
33,101010160180,10101016,Panel A,1,Yes,MAIZE HYBRID RECYCLED,,.5,Acre,No,,,,,5,Pail (large),,Shelled,April,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,2,50 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,1,90 kg Bag,,S: Shelled
33,101010160180,10101016,Panel A,1,Yes,SWEET POTATO,,.25,Acre,No,,,,,2,Pail (large),,Not applicable,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (small),,Not Applicable,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
33,101010160180,10101016,Panel A,1,Yes,GROUNDNUT CG7,,.25,Acre,No,,,,,1,50 kg bag,,Unshelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
49,101010160207,10101016,Panel A,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,10101016,Panel A,1,Yes,MAIZE HYBRID RECYCLED,,1,Acre,No,,,,,3,90 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,Yes,Bags in house,,20,Kilogram,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,3,Pail (large),,S: Shelled,1,Pail (large),,S: Shelled
53,101010160235,10101016,Panel A,1,Yes,TOBACCO FLUE CURED,,5,Acre,No,,,,,3,Bale,,Not applicable,January,March,Yes,3,Bale,,Not Applicable,67000,1,2,500,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
43,101010160254,10101016,Panel A,1,Yes,SWEET POTATO,,.25,Acre,No,,,,,1,90 kg bag,,Not applicable,October,October,Yes,1,50 kg Bag,,Not Applicable,550,1,2,0,1,Pail (small),,Not Applicable,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Wait for the arrival of buyer,,,,No,,,,,,,,,,,,,,,,,,,,,
43,101010160254,10101016,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,3,Bale,,Not applicable,March,April,Yes,3,Bale,,Not Applicable,17000,1,2,300,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
43,101010160254,10101016,Panel A,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,3,90 kg bag,,Shelled,July,July,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,1,90 kg Bag,,S: Shelled,Spraying,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,2,90 kg Bag,,S: Shelled
39,101010160265,10101016,Panel A,1,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,20,Basket (dengu),,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,15,Kilogram,,S: Shelled,5,Basket (Dengu),,U: Unshelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
40,101012040003,10101204,Panel B,1,Yes,MAIZE HYBRID RECYCLED,,2,Acre,Yes,Insects,,,,2,90 kg bag,,Shelled,June,July,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,1,90 kg Bag,,S: Shelled,,Insects,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,5,Pail (large),,S: Shelled,No,,,,,0,,,,0,,,
62,101012040007,10101204,Panel B,1,Yes,MAIZE HYBRID,,.5,Acre,No,,,,,1,90 kg bag,,Shelled,June,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
42,101012040011,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.75,Acre,Yes,Diseases,,,,1,Bale,,Not applicable,March,April,Yes,1,Bale,,Not Applicable,12000,1,,300,0,,,,0,,,,0,,,,0,,,,0,,,,1,Basket (Dengu),,Not Applicable,,Rodents/Pests,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
42,101012040011,10101204,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,3,90 kg bag,,Shelled,June,July,No,,,,,,,,,3,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
44,101012040020,10101204,Panel B,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,10101204,Panel B,1,Yes,MAIZE LOCAL,,.25,Acre,No,,,,,3,50 kg bag,,Shelled,July,July,Yes,2,50 kg Bag,,S: Shelled,4400,1,2,0,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,24,Piece,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
38,101012040024,10101204,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Animals,,,,5,90 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,50 kg Bag,,U: Unshelled,,Insects,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,4,Pail (large),,S: Shelled
38,101012040024,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.75,Acre,No,,,,,4,Bale,,Not applicable,February,April,Yes,4,Bale,,Not Applicable,59340,1,2,8000,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
52,101012040028,10101204,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,No,,,,,5,90 kg bag,,Shelled,July,July,Yes,2,Pail (large),,S: Shelled,1600,1,2,0,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,1,50 kg Bag,,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,2,90 kg Bag,,S: Shelled
52,101012040028,10101204,Panel B,1,Yes,SOYABEAN,,.25,Acre,No,,,,,1,50 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
52,101012040028,10101204,Panel B,1,Yes,GROUNDNUT CG7,,.5,Acre,No,,,,,2,90 kg bag,,Unshelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
52,101012040028,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,350,Kilogram,,Not applicable,March,May,Yes,350,Kilogram,,Not Applicable,80000,1,2,2300,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
50,101012040037,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,110,Kilogram,,Not applicable,February,May,Yes,110,Kilogram,,Not Applicable,38000,1,,3600,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
50,101012040037,10101204,Panel B,1,Yes,CMAIZE OMPOSITE/OPV,,1.5,Acre,No,,,,,4,90 kg bag,,Shelled,July,August,Yes,1,90 kg Bag,,S: Shelled,9000,1,,0,0,,,,0,,,,0,,,,0,,,,15,Kilogram,,S: Shelled,2,Pail (large),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
50,101012040037,10101204,Panel B,1,Yes,GROUNDNUT CG7,,1,Acre,No,,,,,5,90 kg bag,,Unshelled,June,June,Yes,3,90 kg Bag,,U: Unshelled,14000,1,,500,0,,,,0,,,,0,,,,0,,,,60,Kilogram,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
54,101012040041,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.5,Acre,Yes,Lack of hired labor,,,,150,Kilogram,,Not applicable,January,April,Yes,150,Kilogram,,Not Applicable,30000,1,2,1800,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
54,101012040041,10101204,Panel B,1,Yes,GROUNDNUT CG7,,.25,Acre,Yes,Diseases,,,,3,50 kg bag,,Unshelled,May,May,No,,,,,,,,,2,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,2,Pail (large),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
54,101012040041,10101204,Panel B,1,Yes,MAIZE HYBRID,,1,Acre,Yes,Community problems,,,,3,90 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,8,Pail (large),,S: Shelled,No,,,,,0,,,,0,,,
48,101012040045,10101204,Panel B,1,Yes,GROUNDNUT CG7,,.5,Acre,Yes,Diseases,,,,1,90 kg bag,,Unshelled,August,August,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,U: Unshelled,0,,,,,,,,,Yes,Bags in house,,2,Pail (large),,U: Unshelled,Did Nothing,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
48,101012040045,10101204,Panel B,1,Yes,BEANS,,.25,Acre,No,,,,,1,50 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
48,101012040045,10101204,Panel B,1,Yes,CMAIZE OMPOSITE/OPV,,1,Acre,No,,,,,4,90 kg bag,,Shelled,August,August,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
48,101012040045,10101204,Panel B,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,379,Kilogram,,Not applicable,January,May,Yes,379,Kilogram,,Not Applicable,61000,1,2,1500,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
36,101012040054,10101204,Panel B,1,Yes,GROUNDNUT CG7,,.5,Acre,Yes,Rains,,,,5,90 kg bag,,Unshelled,June,June,Yes,2,90 kg Bag,,U: Unshelled,18000,1,2,0,0,,,,0,,,,0,,,,0,,,,40,Kilogram,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
