occ,y2_hhid,qx_type,interview_status,fs_e0b,fs_e0c,fs_e14,fs_e15,fs_e16
2,0266-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0266-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0266-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0266-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0266-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0268-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0268-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0268-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0268-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0268-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0268-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0279-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0279-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0279-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0279-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0279-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0279-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0297-002,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0297-002,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0297-002,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0297-002,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0297-002,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0297-002,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0300-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0300-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0300-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0300-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0300-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0300-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0301-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0301-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0301-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0301-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0301-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),YES,0,0
6,0301-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0306-004,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0306-004,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0306-004,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0306-004,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0306-004,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0306-004,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0316-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0316-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0316-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0316-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0316-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0316-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0343-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0343-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0343-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0343-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0343-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0343-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0355-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0355-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0355-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0355-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0355-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0355-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0384-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0384-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0384-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0384-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0384-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0384-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0390-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0390-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0390-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0390-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0390-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0390-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0406-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0406-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0406-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0406-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0406-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0406-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0508-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0508-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0508-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0508-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0508-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0508-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0782-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0782-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0782-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,0782-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,0782-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0782-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1069-003,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1069-003,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1069-003,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1069-003,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1069-003,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1069-003,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1134-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1134-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1134-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1134-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1134-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1134-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1218-002,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1218-002,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1218-002,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1218-002,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1218-002,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1218-002,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1325-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1325-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1325-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1325-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1325-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1325-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1659-005,PANEL A,Panel A - Combined Visit,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1659-005,PANEL A,Panel A - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1659-005,PANEL A,Panel A - Combined Visit,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1659-005,PANEL A,Panel A - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1659-005,PANEL A,Panel A - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1659-005,PANEL A,Panel A - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1740-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1740-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1740-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1740-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1740-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1740-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1804-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1804-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1804-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1804-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1804-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1804-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1879-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1879-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1879-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1879-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1879-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1879-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1921-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1921-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1921-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1921-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1921-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1921-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1935-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1935-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,1935-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,
4,1935-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,,,
5,1935-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,1935-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,1945-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1945-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1945-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1945-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1945-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1945-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1949-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1949-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1949-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1949-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1949-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1949-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1951-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,YES,1,140000
2,1951-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1951-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1951-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1951-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1951-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1951-002,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1951-002,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1951-002,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,1951-002,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,1951-002,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1951-002,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2053-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2053-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2053-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2053-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2053-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2053-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2073-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2073-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2073-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2073-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2073-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2073-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2103-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,
2,2103-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,2103-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,,,
4,2103-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,,,
5,2103-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,2103-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,2189-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2189-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2189-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,
4,2189-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET,Mbuka/ntaya/ukonde (,NO,,
5,2189-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2189-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2202-002,PANEL B,Panel B - Combined Visit,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2202-002,PANEL B,Panel B - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
