occ,y2_hhid,qx_type,interview_status,fs_i0a,fs_i01,fs_i02,fs_i03,fs_i04a,fs_i04b,fs_i04c,fs_i04d,fs_i04e,fs_i04f,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i07,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i09,fs_i10,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i12,fs_i13
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,1,YES,CHAMBO,12,18,PIECE,FRESH,,,,216,,216,PIECE,FRESH,,,,"YES, THE FIGURES MATCHED",16,PIECE,FRESH,300,,,,,12,YES,2,PIECE,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,0406-001,PANEL B,Panel B - 2 Visits,2,YES,MLAMBA,12,5,PIECE,FRESH,,,,60,,60,PIECE,FRESH,,,,,4,PIECE,FRESH,500,,,,,12,,1,PIECE,FRESH,,,,ALMOST NONE,
1,0508-001,PANEL B,Panel B - 2 Visits,1,YES,MLAMBA,4,4,PIECE,FRESH,,,,24,,24,PIECE,FRESH,,,,"YES, THE FIGURES MATCHED",0,PIECE,FRESH,0,,,,,4,YES,24,PIECE,FRESH,,,,ALMOST ALL,"YES, THE FIGURES MATCHED"
1,0782-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,1,YES,OTHER (SPECIFY),5,1,SMALL BASKET,FRESH,,,,5,,5,SMALL BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",1,SMALL BASKET,FRESH,12000,,,,,5,YES,9,PIECE,FRESH,,,,1/4,"YES, THE FIGURES MATCHED"
2,1069-003,PANEL A,Panel A - 2 Visits,2,YES,AGGREGATED,5,1,LARGE BASKET,FRESH,,,,5,,5,LARGE BASKET,FRESH,,,,,1,LARGE BASKET,FRESH,11500,,,,,5,,1,KILOGRAM,FRESH,,,,1/4,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,1,YES,OTHER (SPECIFY),2,3,DOZEN/BUNDLE,FRESH,,,,12,,12,DOZEN/BUNDLE,FRESH,,,,"YES, THE FIGURES MATCHED",3,DOZEN/BUNDLE,FRESH,60000,,,,,2,NO,0,0,0,0,0,0,ALMOST NONE,"NO, THE ENTRIES WERE ADJUSTED"
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,2,26,LARGE BASKET,FRESH,,,,52,,52,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",51,LARGE BASKET,FRESH,61200,,,,,2,YES,1,LARGE BASKET,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,1921-001,PANEL A,Panel A - 2 Visits,2,YES,NCHENI,2,7,LARGE BASKET,FRESH,,,,14,,14,LARGE BASKET,FRESH,,,,,14,LARGE BASKET,FRESH,21000,,,,,2,,0,,,,,,ALMOST NONE,
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,6,200,KILOGRAM,FRESH,,,,1200,,1200,KILOGRAM,FRESH,,,,"YES, THE FIGURES MATCHED",200,KILOGRAM,FRESH,5000,,,,,6,YES,2,KILOGRAM,FRESH,,,,1/4,"YES, THE FIGURES MATCHED"
2,1949-001,PANEL A,Panel A - 2 Visits,2,YES,OTHER (SPECIFY),6,200,KILOGRAM,FRESH,,,,1200,,1200,KILOGRAM,FRESH,,,,,200,KILOGRAM,FRESH,5000,,,,,6,,2,KILOGRAM,FRESH,,,,1/4,
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,1,YES,CHAMBO,2,6,DOZEN/BUNDLE,FRESH,,,,12,,12,DOZEN/BUNDLE,FRESH,,,,"YES, THE FIGURES MATCHED",6,DOZEN/BUNDLE,FRESH,5000,,,,,2,NO,10,PIECE,SUN-DRIED,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,2073-001,PANEL A,Panel A - 2 Visits,2,YES,NCHENI,2,1,DOZEN/BUNDLE,FRESH,,,,2,,2,DOZEN/BUNDLE,FRESH,,,,,1,DOZEN/BUNDLE,FRESH,2000,,,,,2,,2,PIECE,SUN-DRIED,,,,ALMOST NONE,
3,2073-001,PANEL A,Panel A - 2 Visits,3,YES,OTHER (SPECIFY),1,1,DOZEN/BUNDLE,FRESH,,,,1,,1,DOZEN/BUNDLE,FRESH,,,,,1,DOZEN/BUNDLE,FRESH,2000,,,,,1,,12,DOZEN/BUNDLE,FRESH,,,,ALMOST NONE,
4,2073-001,PANEL A,Panel A - 2 Visits,4,YES,OTHER (SPECIFY),1,1,DOZEN/BUNDLE,FRESH,,,,1,,1,DOZEN/BUNDLE,FRESH,,,,,1,DOZEN/BUNDLE,FRESH,1000,,,,,1,,8,PIECE,FRESH,,,,ALMOST NONE,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2598-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2777-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2835-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
