HHID,case_id,qx_type,visit,ea_id,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f07_os,hh_f08,hh_f08_os,hh_f09,hh_f09_os,hh_f10,hh_f11,hh_f11_os,hh_f12,hh_f12_os,hh_f13,hh_f14,hh_f15,hh_f15_os,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20a_os,hh_f20b,hh_f20b_os,hh_f21,hh_f22,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f31,hh_f32,hh_f33a,hh_f33b,hh_f34,hh_f35,hh_f36,hh_f36_os,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f41_os,hh_f42,hh_f43,hh_f43_os,hh_f44,hh_f45,hh_f46,hh_f47
59,101010160159,Panel A,1,10101016,Owned,12000,500,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,10,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
33,101010160180,Panel A,1,10101016,Owned,5000,250,Month,,,10,Traditional,Mud brick,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,2,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,8,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
49,101010160207,Panel A,1,10101016,Owned,20000,2000,Month,,,1,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Electricity,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,1,Hour,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,No,,,
53,101010160235,Panel A,1,10101016,Owned,8000,600,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,200,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
43,101010160254,Panel A,1,10101016,Owned,10000,500,Month,,,1,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Community woodlot,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,1,320,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
39,101010160265,Panel A,1,10101016,Owned,30000,500,Month,,,Don't Know,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,Yes,No,
40,101012040003,Panel B,2,10101204,Owned,29000,750,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Community woodlot,,7,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
62,101012040007,Panel B,2,10101204,Owned,25000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,10,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,No,
42,101012040011,Panel B,2,10101204,Owned,15000,300,Month,,,6,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,1,1000,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Other (specify),BUSH,Yes,Yes,Yes,"Yes, for all children under five"
44,101012040020,Panel B,2,10101204,Owned,18500,700,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
38,101012040024,Panel B,2,10101204,Owned,24000,600,Month,,,3,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
52,101012040028,Panel B,2,10101204,Owned,40000,1000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,600,Borehole,,0,2,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
50,101012040037,Panel B,2,10101204,Owned,30000,200,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Forest reserve,,90,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,100,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
54,101012040041,Panel B,2,10101204,Owned,14000,700,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
48,101012040045,Panel B,2,10101204,Owned,10000,500,Month,,,9,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,4,Minute,All year around,,Traditional latrine with roof,,Household members only,Burning,,No,,,
36,101012040054,Panel B,2,10101204,Owned,60000,1000,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,200,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
56,101012040058,Panel B,2,10101204,Owned,35000,400,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Forest reserve,,70,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Latrine without roof,,Household members only,Rubbish pit,,Yes,Yes,No,
64,101012040062,Panel B,2,10101204,Owned,15000,500,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
34,101012040071,Panel B,2,10101204,Rented,,,,200,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Forest reserve,,90,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,1,2000,Communal standpipe,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
58,101012040075,Panel B,2,10101204,Owned,10000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,120,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
46,101012040079,Panel B,2,10101204,Owned,25000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,120,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,Yes,"Yes, for all children under five"
60,101012040087,Panel B,2,10101204,Owned,50000,1000,Month,,,8,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,25,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,8,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,No,
21,101012150001,Panel A,1,10101215,Owned,15000,1000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,No,
17,101012150004,Panel A,1,10101215,"Free, authorised",,100,Month,,,Don't Know,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
11,101012150021,Panel A,1,10101215,Owned,15000,400,Month,,,9,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Collected firewood,,Collected firewood,,,,Forest reserve,,3,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for some children under five"
5,101012150022,Panel A,1,10101215,Owned,28000,800,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,210,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,12,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
13,101012150026,Panel A,1,10101215,Owned,15000,200,Month,,,8,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,1,1500,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
1,101012150028,Panel A,1,10101215,Owned,12000,3000,Year,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,100,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,No,,,
25,101012150034,Panel A,1,10101215,Owned,40000,1000,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,1,300,Borehole,,150,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
9,101012150038,Panel A,1,10101215,Owned,3000,200,Month,,,4,Traditional,Mud,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,100,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
31,101012150040,Panel A,1,10101215,Owned,11000,1000,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,70,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
15,101012150045,Panel A,1,10101215,Owned,15000,300,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Other (specify),PIPED AT HEALTH CENTER,0,15,Minute,All year around,,None,,,Public rubbish heap,,Yes,Yes,No,
29,101012150048,Panel A,1,10101215,Owned,150000,1500,Month,,,1,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,6,Parrafin,,Puchased firewood,,,Yes,Unfarmed areas of community,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,2,750,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
27,101012150049,Panel A,1,10101215,Owned,40000,1500,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Puchased firewood,,,No,,,,,,300,No,,,,,,,,,,,,No,,,,No,,,,2,2000,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
23,101012150053,Panel A,1,10101215,Owned,12000,800,Month,,,8,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
19,101012150059,Panel A,1,10101215,Owned,20000,2000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
3,101012150060,Panel A,1,10101215,Owned,13000,500,Month,,,22,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,None,,,Public rubbish heap,,No,,,
7,101012150074,Panel A,1,10101215,Owned,20000,6000,Year,,,11,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,700,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
20,101015620009,Panel B,2,10101562,Owned,45000,800,Month,,,13,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,2,Hour,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,800,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
30,101015620020,Panel B,2,10101562,Owned,50000,600,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
10,101015620031,Panel B,2,10101562,Owned,80000,2000,Month,,,0,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Forest reserve,,1,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,2,800,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,No,,,
6,101015620042,Panel B,2,10101562,Owned,48000,600,Month,,,12,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,25,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,1,300,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
2,101015620053,Panel B,2,10101562,Owned,27000,300,Month,,,5,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,45,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,20,Minute,All year around,,None,,,None,,Yes,No,Yes,"Yes, for all children under five"
8,101015620064,Panel B,2,10101562,Owned,70000,1500,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Community woodlot,,2,Hour,None,400,No,,,,,,,,,,,,No,,,,No,,,,2,1000,Communal standpipe,,100,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
18,101015620075,Panel B,2,10101562,Owned,30000,500,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
16,101015620086,Panel B,2,10101562,Owned,100000,1500,Month,,,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,2,300,Communal standpipe,,100,3,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,No,,,
26,101015620096,Panel B,2,10101562,Owned,20000,300,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
28,101015620118,Panel B,2,10101562,Owned,15000,200,Month,,,12,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
32,101015620140,Panel B,2,10101562,Owned,100000,2000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Community woodlot,,1,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,2,1500,Communal standpipe,,100,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
12,101015620162,Panel B,2,10101562,Employer provides,,2000,Month,,,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
4,101015620184,Panel B,2,10101562,Owned,150000,5000,Month,,,10,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,1,1000,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
22,101015620195,Panel B,2,10101562,Owned,35000,250,Month,,,0,Traditional,Mud brick,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,None,,,Other (specify),BUSH,No,,,
14,101015620205,Panel B,2,10101562,Owned,37000,400,Month,,,Don't Know,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Collected firewood,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,No,,,
24,101015620227,Panel B,2,10101562,Rented,,,,815,Month,32,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Electricity,,Collected firewood,,,,Forest reserve,,1,Hour,None,350,Yes,Paraffin,,,,No,,,,Never pays,,,,,,,No,,,,2,2500,Piped into dwelling,,100,On Permises,,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,No,
79,101020040001,Panel A,1,10102004,Owned,9000,200,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,4,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Open public well,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
87,101020040008,Panel A,1,10102004,Owned,20000,1500,Month,,,4,Traditional,Mud,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Open public well,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
89,101020040012,Panel A,1,10102004,Owned,200000,3000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Battery/dry cell,,Collected firewood,,,,Community woodlot,,5,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Other (specify),SHALLOW WELL,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
85,101020040015,Panel A,1,10102004,Owned,5000,1000,Year,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,1,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Other (specify),SHALLOW WELL,100,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
