HHID,case_id,qx_type,visit,ea_id,hh_t01,hh_t02,hh_t03,hh_t04,hh_t05,hh_t06,hh_t07,hh_t08,hh_t09,hh_t10,hh_t10_os,hh_t11,hh_t11_os,hh_t12,hh_t12_os
59,101010160159,Panel A,1,10101016,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,2,2,Only just meets your expenses,12,Mat (grass) on floor,,Blanket only,,Nothing,
33,101010160180,Panel A,1,10101016,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,3,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Sheets only,
49,101010160207,Panel A,1,10101016,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Is not sufficient so need to use savings to meet expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
53,101010160235,Panel A,1,10101016,It was just adequate for household needs,It was more than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,8,Mattress on floor,,Blanket only,,Blanket only,
43,101010160254,Panel A,1,10101016,It was just adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,13,Mat (grass) on floor,,Blanket only,,Blanket only,
39,101010160265,Panel A,1,10101016,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,2,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
40,101012040003,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,6,Bed & mat (Grass),,Blanket & sheets,,Sheets only,
62,101012040007,Panel B,2,10101204,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,2,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
42,101012040011,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,2,Bed & mat (Grass),,Blanket only,,Sheets only,
44,101012040020,Panel B,2,10101204,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,2,2,Only just meets your expenses,4,Bed & mat (Grass),,Blanket & sheets,,Sheets only,
38,101012040024,Panel B,2,10101204,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Is not sufficient so need to use savings to meet expenses,5,Mat (grass) on floor,,Blanket only,,Blanket only,
52,101012040028,Panel B,2,10101204,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,3,2,2,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
50,101012040037,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,4,Bed & mattress,,Blanket & sheets,,Sheets only,
54,101012040041,Panel B,2,10101204,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Blanket only,
48,101012040045,Panel B,2,10101204,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
36,101012040054,Panel B,2,10101204,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is not sufficient so need to use savings to meet expenses,6,Bed & mattress,,Blanket only,,Sheets only,
56,101012040058,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
64,101012040062,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,3,1,1,Is not sufficient so need to use savings to meet expenses,4,Bed & mattress,,Blanket only,,Sheets only,
34,101012040071,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,3,3,2,Only just meets your expenses,5,Bed & mattress,,Blanket & sheets,,Sheets only,
58,101012040075,Panel B,2,10101204,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mattress,,Blanket only,,Sheets only,
46,101012040079,Panel B,2,10101204,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,7,Bed & mat (Grass),,Blanket only,,Sheets only,
60,101012040087,Panel B,2,10101204,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,2,3,2,Is not sufficient so need to use savings to meet expenses,6,Bed & mattress,,Blanket only,,Sheets only,
21,101012150001,Panel A,1,10101215,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,2,Bed & mat (Grass),,Blanket only,,Blanket only,
17,101012150004,Panel A,1,10101215,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,4,4,Only just meets your expenses,6,Mat (grass) on floor,,Blanket & sheets,,Sheets only,
11,101012150021,Panel A,1,10101215,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
5,101012150022,Panel A,1,10101215,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,2,Only just meets your expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
13,101012150026,Panel A,1,10101215,It was more than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,3,2,2,Only just meets your expenses,13,Bed & mattress,,Blanket & sheets,,Sheets only,
1,101012150028,Panel A,1,10101215,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
25,101012150034,Panel A,1,10101215,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,3,3,3,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
9,101012150038,Panel A,1,10101215,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,1,2,2,Only just meets your expenses,2,Mat (grass) on floor,,Blanket only,,Sheets only,
31,101012150040,Panel A,1,10101215,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,11,Bed & mat (Grass),,Blanket only,,Sheets only,
15,101012150045,Panel A,1,10101215,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
29,101012150048,Panel A,1,10101215,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,3,2,3,Allows you to save just a little,12,Bed & mat (Grass),,Blanket & sheets,,Sheets only,
27,101012150049,Panel A,1,10101215,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,5,Bed & mattress,,Blanket & sheets,,Sheets only,
23,101012150053,Panel A,1,10101215,It was more than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,1,2,Only just meets your expenses,4,Bed & mattress,,Blanket only,,Blanket only,
19,101012150059,Panel A,1,10101215,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Is not sufficient so need to use savings to meet expenses,2,Bed alone,,Blanket only,,Sheets only,
3,101012150060,Panel A,1,10101215,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,10,Bed & mattress,,Blanket & sheets,,Sheets only,
7,101012150074,Panel A,1,10101215,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,2,Mat (grass) on floor,,Blanket only,,Sheets only,
20,101015620009,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,3,5,5,Is really not sufficient so you need to borrow to meet expenses,6,Bed & mat (Grass),,Blanket only,,Sheets only,
30,101015620020,Panel B,2,10101562,It was more than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,2,3,3,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Sheets only,
10,101015620031,Panel B,2,10101562,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,3,Bed & mattress,,Blanket only,,Sheets only,
6,101015620042,Panel B,2,10101562,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,4,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Sheets only,
2,101015620053,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Nothing,
8,101015620064,Panel B,2,10101562,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,3,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mattress,,Blanket only,,Sheets only,
18,101015620075,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,2,2,3,Only just meets your expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
16,101015620086,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mattress,,Blanket only,,Sheets only,
26,101015620096,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,1,2,Is not sufficient so need to use savings to meet expenses,6,Bed & mattress,,Blanket only,,Sheets only,
28,101015620118,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,3,Is not sufficient so need to use savings to meet expenses,3,Bed & mattress,,Blanket only,,Chitenje cloth,
32,101015620140,Panel B,2,10101562,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,8,Bed & mattress,,Blanket & sheets,,Sheets only,
12,101015620162,Panel B,2,10101562,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mattress,,Blanket only,,Sheets only,
4,101015620184,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,3,2,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Sheets only,
22,101015620195,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
14,101015620205,Panel B,2,10101562,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,3,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Nothing,
24,101015620227,Panel B,2,10101562,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,3,Is really not sufficient so you need to borrow to meet expenses,7,Bed & mattress,,Blanket & sheets,,Sheets only,
79,101020040001,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Only just meets your expenses,4,Bed & mat (Grass),,Blanket only,,Blanket only,
87,101020040008,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,1,Is not sufficient so need to use savings to meet expenses,3,Mat (grass) on floor,,Blanket only,,Sheets only,
89,101020040012,Panel A,1,10102004,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,3,2,3,Allows you to save just a little,7,Bed & mattress,,Blanket only,,Sheets only,
85,101020040015,Panel A,1,10102004,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,3,Is not sufficient so need to use savings to meet expenses,3,Mat (grass) on floor,,Blanket only,,Sheets only,
83,101020040028,Panel A,1,10102004,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
75,101020040031,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,1,3,Only just meets your expenses,4,Bed & mattress,,Blanket only,,Sheets only,
65,101020040034,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,1,Is not sufficient so need to use savings to meet expenses,2,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
93,101020040039,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,1,1,Only just meets your expenses,2,Bed & mat (Grass),,Blanket only,,Chitenje cloth,
71,101020040042,Panel A,1,10102004,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,13,Bed & mat (Grass),,Blanket only,,Sheets only,
69,101020040059,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Only just meets your expenses,2,Mat (grass) on floor,,Blanket only,,Sheets only,
81,101020040061,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,3,2,4,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Sheets only,
73,101020040093,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,6,Bed & mat (Grass),,Blanket only,,Nothing,
67,101020040101,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,1,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Sheets only,
91,101020040104,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Blanket & sheets,
77,101020040121,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,16,Bed & mat (Grass),,Blanket only,,Blanket only,
95,101020040128,Panel A,1,10102004,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,2,Bed & mat (Grass),,Blanket only,,Blanket only,
86,101034140003,Panel B,2,10103414,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,5,Bed & mattress,,Blanket only,,Blanket only,
66,101034140009,Panel B,2,10103414,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Is really not sufficient so you need to borrow to meet expenses,3,Bed & mat (Grass),,Blanket only,,Chitenje cloth,
96,101034140020,Panel B,2,10103414,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,3,2,2,Is not sufficient so need to use savings to meet expenses,5,Bed & mattress,,Blanket only,,Sheets only,
72,101034140025,Panel B,2,10103414,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Nothing,
90,101034140031,Panel B,2,10103414,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,4,3,Is really not sufficient so you need to borrow to meet expenses,15,Bed & mattress,,Blanket & sheets,,Sheets only,
80,101034140042,Panel B,2,10103414,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,3,Is really not sufficient so you need to borrow to meet expenses,5,Bed & mattress,,Blanket & sheets,,Sheets only,
92,101034140047,Panel B,2,10103414,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,3,Is not sufficient so need to use savings to meet expenses,3,Mattress on floor,,Blanket only,,Blanket only,
84,101034140053,Panel B,2,10103414,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Is not sufficient so need to use savings to meet expenses,4,Bed & mat (Grass),,Blanket only,,Blanket only,
70,101034140064,Panel B,2,10103414,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
76,101034140069,Panel B,2,10103414,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,3,Is not sufficient so need to use savings to meet expenses,3,Bed & mat (Grass),,Blanket only,,Blanket only,
78,101034140075,Panel B,2,10103414,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,4,1,2,Allows you to save just a little,6,Bed & mattress,,Blanket & sheets,,Blanket & sheets,
94,101034140086,Panel B,2,10103414,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,1,Only just meets your expenses,7,Bed & mat (Grass),,Blanket & sheets,,Nothing,
74,101034140091,Panel B,2,10103414,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,2,4,Only just meets your expenses,4,Bed & mattress,,Blanket & sheets,,Sheets only,
88,101034140097,Panel B,2,10103414,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,1,2,1,Is not sufficient so need to use savings to meet expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
82,101034140108,Panel B,2,10103414,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,3,Only just meets your expenses,5,Bed & mattress,,Blanket & sheets,,Sheets only,
68,101034140114,Panel B,2,10103414,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Sheets only,
123,101041500004,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Blanket only,
127,101041500006,Panel A,1,10104150,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,3,3,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
113,101041500012,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,3,Only just meets your expenses,8,Mat (grass) on floor,,Blanket only,,Sheets only,
109,101041500013,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Is really not sufficient so you need to borrow to meet expenses,4,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
111,101041500015,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
99,101041500023,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Sheets only,
103,101041500027,Panel A,1,10104150,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,2,Is really not sufficient so you need to borrow to meet expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
107,101041500045,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,3,2,Is really not sufficient so you need to borrow to meet expenses,3,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
115,101041500048,Panel A,1,10104150,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,3,Is really not sufficient so you need to borrow to meet expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
97,101041500053,Panel A,1,10104150,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,4,Mat (grass) on floor,,Blanket only,,Sheets only,
105,101041500054,Panel A,1,10104150,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,1,2,Is not sufficient so need to use savings to meet expenses,5,Mat (grass) on floor,,Blanket only,,Chitenje cloth,
125,101041500057,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Blanket only,
101,101041500063,Panel A,1,10104150,It was more than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,3,2,Only just meets your expenses,2,Mat (grass) on floor,,Blanket only,,Blanket only,
119,101041500067,Panel A,1,10104150,It was less than adequate for household needs,It was more than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,2,4,Only just meets your expenses,9,Bed & mattress,,Blanket & sheets,,Sheets only,
117,101041500076,Panel A,1,10104150,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,3,4,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Sheets only,
121,101041500079,Panel A,1,10104150,It was less than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,2,Only just meets your expenses,5,Mat (grass) on floor,,Blanket only,,Blanket only,
102,102016880002,Panel B,2,10201688,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,3,2,2,Allows you to build your savings,5,Bed & mattress,,Blanket only,,Sheets only,
100,102016880010,Panel B,2,10201688,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,1,Is not sufficient so need to use savings to meet expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
108,102016880018,Panel B,2,10201688,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,3,Bed & mattress,,Blanket only,,Blanket only,
120,102016880033,Panel B,2,10201688,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,1,Is not sufficient so need to use savings to meet expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
118,102016880041,Panel B,2,10201688,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,5,Bed & mattress,,Blanket & sheets,,Sheets only,
106,102016880049,Panel B,2,10201688,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,3,2,Only just meets your expenses,4,Mat (grass) on floor,,Blanket only,,Nothing,
128,102016880064,Panel B,2,10201688,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,3,4,Only just meets your expenses,5,Bed & mat (Grass),,Blanket & sheets,,Sheets only,
116,102016880072,Panel B,2,10201688,It was more than adequate for household needs,It was more than adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,3,2,Only just meets your expenses,6,Bed & mattress,,Blanket & sheets,,Sheets only,
122,102016880080,Panel B,2,10201688,It was just adequate for household needs,It was more than adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,2,2,2,Only just meets your expenses,7,Bed & mattress,,Blanket & sheets,,Sheets only,
98,102016880095,Panel B,2,10201688,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,2,2,3,Only just meets your expenses,5,Bed & mat (Grass),,Blanket only,,Sheets only,
