occ,y2_hhid,qx_type,interview_status,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20b,hh_f21,hh_f22,hh_f22a,hh_f22b,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f34,hh_f35,hh_f36,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f42,hh_f43,hh_f44,hh_f45,hh_f46,hh_f47,hh_f48,hh_f49,hh_f50,hh_f51a,hh_f51b,hh_f51c,hh_f52,hh_f53,hh_f54,hh_f55a,hh_f55b,hh_f55c
1,0009-001,PANEL A,Panel A - 2 Visits,OWNED,50000,5000,MONTH,,,4,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,1,OTHER (SPECIFY),COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,20,HOUR,NONE,600,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,FLUSH TOILET,HOUSEHOLD MEMBERS ONLY,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
1,0010-001,PANEL B,Panel B - 2 Visits,OWNED,30000,1000,MONTH,,,3,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,NONE,300,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,0,,COMMUNAL STANDPIPE,1000,30,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,NO,,,,2,,NO,,,,NO,,NO,,,
1,0010-002,PANEL B,Panel B - Combined Visit,EMPLOYER PROVIDES,,2000,MONTH,,,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,1,CANDLES,CHARCOAL,YES,NO,,,,,300,NO,,,,,,,,,,,,YES,NO,,,1,600,COMMUNAL STANDPIPE,800,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0011-001,PANEL A,Panel A - 2 Visits,OWNED,15000,600,MONTH,,,3,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0011-004,PANEL A,Panel A - Combined Visit,RENTED,,,,3000,MONTH,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,1,BATTERY/DRY CELL,CHARCOAL,NO,,,,,,,NO,,,,,,,,,,,,YES,NO,,,1,3000,PIPED INTO YARD/PLOT,750,990,,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,YES,NO,,2,,NO,,,,NO,,NO,,,
1,0012-001,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,3000,MONTH,,,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,PUCHASED FIREWOOD,,NO,,,,,400,NO,,,,,,,,,,,,YES,NO,,,1,1500,COMMUNAL STANDPIPE,1000,10,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,NO,,2,,YES,1,,,YES,2,YES,1,,
1,0012-003,PANEL B,Panel B - 2 Visits,EMPLOYER PROVIDES,,7000,MONTH,,,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,400,NO,,,,,,,,,,,,NO,,,,1,3000,BOREHOLE,0,70,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,NO,,NO,,,
1,0012-010,PANEL B,Panel B - 2 Visits,"FREE, AUTHORISED",,2000,MONTH,,,DON'T KNOW,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,180,MINUTE,NONE,250,NO,,,,,,,,,,,,NO,,,,1,3000,BOREHOLE,0,190,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,NO,,1,1,NO,,,,NO,,NO,,,
1,0013-001,PANEL A,Panel A - 2 Visits,OWNED,2500000,9000,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,3,ELECTRICITY,PUCHASED FIREWOOD,,YES,UNFARMED AREAS OF COMMUNITY,10,HOUR,ALL,800,YES,PARAFFIN,FIREWOOD,YES,,1,YEAR,YES,SEVERAL TIMES A MONTH,500,1,MONTH,,,,,1,2000,COMMUNAL STANDPIPE,900,10,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,YES,2,NO,,,
1,0014-001,PANEL B,Panel B - 2 Visits,OWNED,15000,350,MONTH,,,2,TRADITIONAL,WOOD,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,20,MINUTE,NONE,250,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0015-001,PANEL A,Panel A - 2 Visits,OWNED,22000,400,MONTH,,,6,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,1,PARRAFIN,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,200,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,NO,,2,,NO,,,,NO,,NO,,,
1,0016-001,PANEL B,Panel B - 2 Visits,OWNED,250000,1500,MONTH,,,DON'T KNOW,PERMANENT,CONCRETE,IRON SHEETS,SMOOTH CEMENT,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,20,MINUTE,NONE,900,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,1,3500,COMMUNAL STANDPIPE,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,NO,,2,,NO,,,,NO,,NO,,,
1,0016-002,PANEL B,Panel B - Combined Visit,OWNED,3000000,35000,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,ELECTRICITY,ELECTRICITY,NO,,,,,,,YES,CANDLES,CHARCOAL,YES,,1,YEAR,NO,SEVERAL TIMES A MONTH,7000,1,MONTH,,,,,2,6600,PIPED INTO DWELLING,0,990,,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,2,YES,1,,,YES,2,YES,1,,
1,0017-001,PANEL A,Panel A - 2 Visits,OWNED,100000,2000,MONTH,,,9,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,5,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,300,MINUTE,ALL,300,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,60,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0018-001,PANEL B,Panel B - 2 Visits,OWNED,100000,700,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,1,PARRAFIN,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,15,HOUR,NONE,400,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,0,,COMMUNAL STANDPIPE,0,40,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0019-001,PANEL A,Panel A - 2 Visits,OWNED,80000,10000,MONTH,,,5,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,10,HOUR,NONE,700,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,300,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,NONE,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0020-001,PANEL B,Panel B - 2 Visits,OWNED,20000,800,MONTH,,,16,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,0,,COMMUNAL STANDPIPE,100,30,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
1,0021-001,PANEL A,Panel A - 2 Visits,OWNED,40000,1000,MONTH,,,7,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,1,PARRAFIN,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,HALF,120,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,150,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0022-001,PANEL B,Panel B - 2 Visits,OWNED,60000,1500,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,PARRAFIN,COLLECTED FIREWOOD,,,FOREST RESERVE,150,MINUTE,ALL,200,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,NONE,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0023-001,PANEL A,Panel A - 2 Visits,OWNED,50000,7000,MONTH,,,6,TRADITIONAL,MUD,GRASS,SAND,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,10,HOUR,NONE,800,NO,,,,,,,,,,,,NO,,,,1,2000,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
1,0024-001,PANEL B,Panel B - 2 Visits,OWNED,70000,2500,MONTH,,,7,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,60,MINUTE,ALL,200,NO,,,,,,,,,,,,NO,,,,2,1600,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0025-001,PANEL A,Panel A - 2 Visits,OWNED,75000,500,MONTH,,,5,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,4,PARRAFIN,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,10,HOUR,NONE,200,NO,,,,,,,,,,,,NO,,,,1,300,BOREHOLE,0,10,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,YES,1,NO,,,
1,0026-001,PANEL B,Panel B - 2 Visits,OWNED,50000,1200,MONTH,,,1,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,ALMOST ALL,250,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,0,,COMMUNAL STANDPIPE,0,30,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,OTHER HOUSEHOLDS ALSO,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0027-001,PANEL A,Panel A - 2 Visits,OWNED,38000,2500,MONTH,,,10,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,ALL,200,NO,,,,,,,,,,,,NO,,,,1,1400,BOREHOLE,0,120,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,YES,1,NO,,,
1,0028-001,PANEL B,Panel B - 2 Visits,OWNED,30000,1200,MONTH,,,6,TRADITIONAL,MUD,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,100,MINUTE,NONE,250,NO,,,,,,,,,,,,NO,,,,0,,COMMUNAL STANDPIPE,150,120,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0029-001,PANEL A,Panel A - 2 Visits,OWNED,60000,7000,MONTH,,,4,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,2,BATTERY/DRY CELL,PUCHASED FIREWOOD,,YES,UNFARMED AREAS OF COMMUNITY,200,MINUTE,ALL,200,NO,,,,,,,,,,,,NO,,,,3,7000,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0030-001,PANEL B,Panel B - 2 Visits,OWNED,180000,2500,MONTH,,,5,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,350,MINUTE,NONE,300,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,70,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0031-001,PANEL A,Panel A - 2 Visits,OWNED,40000,1300,MONTH,,,8,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,ALMOST ALL,150,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0032-001,PANEL B,Panel B - 2 Visits,OWNED,300000,5000,MONTH,,,4,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,120,MINUTE,NONE,400,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,1,3000,COMMUNAL STANDPIPE,0,120,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,NO,,1,1,NO,,,,NO,,NO,,,
1,0033-001,PANEL A,Panel A - 2 Visits,OWNED,8000,4000,MONTH,,,2,TRADITIONAL,COMPACTED EARTH,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,150,MINUTE,NONE,500,NO,,,,,,,,,,,,NO,,,,0,,COMMUNAL STANDPIPE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,NONE,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0034-001,PANEL B,Panel B - 2 Visits,RENTED,,,,7000,MONTH,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,PUCHASED FIREWOOD,,YES,UNFARMED AREAS OF COMMUNITY,180,MINUTE,ALMOST ALL,300,NO,,,,,,,,,,,,YES,NO,,,1,5000,PIPED INTO YARD/PLOT,1400,990,,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,NO,,1,1,YES,1,2,,YES,1,YES,1,2,
1,0035-001,PANEL A,Panel A - 2 Visits,OWNED,48000,3500,MONTH,,,6,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,200,MINUTE,ALMOST ALL,180,NO,,,,,,,,,,,,NO,,,,1,1000,BOREHOLE,0,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,4,NO,,,,YES,4,NO,,,
1,0036-001,PANEL B,Panel B - 2 Visits,OWNED,100000,1000,MONTH,,,1,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,FOREST RESERVE,200,MINUTE,NONE,1500,NO,,,,,,,,,,,,NO,,,,1,2000,COMMUNAL STANDPIPE,0,40,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,YES,2,,,NO,,NO,,,
