HHID,case_id,qx_type,ea_id,ag_nr00,ag_nr02,ag_nr02_os,ag_nr03
54,101012040041,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
54,101012040041,Panel B,10101204,N05,MOBILE MARKET,,OUTSIDE THE DISTRICT
54,101012040041,Panel B,10101204,N06,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
48,101012040045,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
48,101012040045,Panel B,10101204,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
48,101012040045,Panel B,10101204,N03,PARASTATAL ORGANIZATION,,NEAR THE TOWN
48,101012040045,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
36,101012040054,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
36,101012040054,Panel B,10101204,N02,PARASTATAL ORGANIZATION,,NEAR THE DISTRICT/URBAN CENTER
36,101012040054,Panel B,10101204,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
36,101012040054,Panel B,10101204,N04,NGO,,NEAR THE DISTRICT/URBAN CENTER
36,101012040054,Panel B,10101204,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
36,101012040054,Panel B,10101204,N06,LOCAL MARKET,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
56,101012040058,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N05,PRIVATE TRADER IN LOCAL MARKET,,NEAR THE VILLAGE
56,101012040058,Panel B,10101204,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N07,LOCAL MARKET,,NEAR THE VILLAGE
56,101012040058,Panel B,10101204,N08,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
56,101012040058,Panel B,10101204,N09,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
56,101012040058,Panel B,10101204,N10,ROADSIDE,,NEAR THE VILLAGE
64,101012040062,Panel B,10101204,N01,RELATIVE,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
64,101012040062,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N05,LOCAL MARKET,,NEAR THE VILLAGE
64,101012040062,Panel B,10101204,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N07,RELATIVE,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N08,LOCAL MARKET,,NEAR THE VILLAGE
64,101012040062,Panel B,10101204,N09,AUCTION IN MAIN MARKET,,OUTSIDE THE REGION
64,101012040062,Panel B,10101204,N10,RELATIVE,,WITHIN THE VILLAGE
64,101012040062,Panel B,10101204,N11,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
34,101012040071,Panel B,10101204,N01,OTHER (SPECIFY),SCHOOL LAND,WITHIN THE VILLAGE
34,101012040071,Panel B,10101204,N02,PRIVATE TRADER IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
34,101012040071,Panel B,10101204,N03,PRIVATE COMPANY/BUSINESS PERSON,,WITHIN THE VILLAGE
34,101012040071,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
34,101012040071,Panel B,10101204,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
58,101012040075,Panel B,10101204,N01,PRIVATE TRADER IN LOCAL MARKET,,WITHIN THE VILLAGE
58,101012040075,Panel B,10101204,N02,LOCAL MERCHANT/GROCERY,,WITHIN THE VILLAGE
58,101012040075,Panel B,10101204,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
58,101012040075,Panel B,10101204,N04,LOCAL MARKET,,NEAR THE VILLAGE
46,101012040079,Panel B,10101204,N01,PRIVATE TRADER IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
46,101012040079,Panel B,10101204,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
46,101012040079,Panel B,10101204,N03,RELATIVE,,WITHIN THE VILLAGE
46,101012040079,Panel B,10101204,N04,MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
60,101012040087,Panel B,10101204,N01,RELATIVE,,WITHIN THE VILLAGE
60,101012040087,Panel B,10101204,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
60,101012040087,Panel B,10101204,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
60,101012040087,Panel B,10101204,N04,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
60,101012040087,Panel B,10101204,N05,LOCAL MERCHANT/GROCERY,,WITHIN THE VILLAGE
21,101012150001,Panel A,10101215,N01,RELIGIOUS GROUP/INSTITUTION,,WITHIN THE VILLAGE
21,101012150001,Panel A,10101215,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
21,101012150001,Panel A,10101215,N03,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
21,101012150001,Panel A,10101215,N04,RELATIVE,,OUTSIDE THE REGION
21,101012150001,Panel A,10101215,N05,PRIVATE COMPANY/BUSINESS PERSON,,OUTSIDE THE REGION
17,101012150004,Panel A,10101215,N01,PRIVATE TRADER IN LOCAL MARKET,,WITHIN THE VILLAGE
17,101012150004,Panel A,10101215,N02,RELATIVE,,WITHIN THE VILLAGE
17,101012150004,Panel A,10101215,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
17,101012150004,Panel A,10101215,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
17,101012150004,Panel A,10101215,N05,DISTRICT VETERINARY,,WITHIN THE VILLAGE
11,101012150021,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
11,101012150021,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
11,101012150021,Panel A,10101215,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
11,101012150021,Panel A,10101215,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
11,101012150021,Panel A,10101215,N05,MOBILE MARKET,,WITHIN THE VILLAGE
5,101012150022,Panel A,10101215,N01,RELIGIOUS GROUP/INSTITUTION,,WITHIN THE VILLAGE
5,101012150022,Panel A,10101215,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
5,101012150022,Panel A,10101215,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
5,101012150022,Panel A,10101215,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
5,101012150022,Panel A,10101215,N05,OTHER (SPECIFY),KUCHIGAYO,WITHIN THE VILLAGE
5,101012150022,Panel A,10101215,N06,PRIVATE COMPANY/BUSINESS PERSON,,OUTSIDE THE REGION
13,101012150026,Panel A,10101215,N01,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
13,101012150026,Panel A,10101215,N02,MOBILE MARKET,,NEAR THE VILLAGE
13,101012150026,Panel A,10101215,N03,PRIVATE VETERINARY,,NEAR THE VILLAGE
1,101012150028,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
1,101012150028,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
1,101012150028,Panel A,10101215,N03,RELATIVE,,WITHIN THE VILLAGE
25,101012150034,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
25,101012150034,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
25,101012150034,Panel A,10101215,N03,FARMER BASED CLUB/ASSOCIATION,,NEAR THE DISTRICT/URBAN CENTER
25,101012150034,Panel A,10101215,N04,DISTRICT VETERINARY,,WITHIN THE VILLAGE
25,101012150034,Panel A,10101215,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
9,101012150038,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
9,101012150038,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
9,101012150038,Panel A,10101215,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
9,101012150038,Panel A,10101215,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
9,101012150038,Panel A,10101215,N05,LOCAL MARKET,,OUTSIDE THE REGION
31,101012150040,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
31,101012150040,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
31,101012150040,Panel A,10101215,N03,RELATIVE,,WITHIN THE VILLAGE
31,101012150040,Panel A,10101215,N04,LOCAL MARKET,,NEAR THE VILLAGE
31,101012150040,Panel A,10101215,N05,MOBILE MARKET,,WITHIN THE VILLAGE
15,101012150045,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
15,101012150045,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
15,101012150045,Panel A,10101215,N03,LOCAL MARKET,,NEAR THE VILLAGE
15,101012150045,Panel A,10101215,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
15,101012150045,Panel A,10101215,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
29,101012150048,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
29,101012150048,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
29,101012150048,Panel A,10101215,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
29,101012150048,Panel A,10101215,N04,RELATIVE,,WITHIN THE VILLAGE
29,101012150048,Panel A,10101215,N05,MOBILE MARKET,,NEAR THE VILLAGE
27,101012150049,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
27,101012150049,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
27,101012150049,Panel A,10101215,N03,PRIVATE MICROFINANCE INSTITUTION,,NEAR THE TOWN
27,101012150049,Panel A,10101215,N04,MOBILE MARKET,,NEAR THE VILLAGE
27,101012150049,Panel A,10101215,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
23,101012150053,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
23,101012150053,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
23,101012150053,Panel A,10101215,N03,MOBILE MARKET,,WITHIN THE VILLAGE
19,101012150059,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
19,101012150059,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
19,101012150059,Panel A,10101215,N03,RELATIVE,,WITHIN THE VILLAGE
19,101012150059,Panel A,10101215,N04,LOCAL MARKET,,NEAR THE VILLAGE
19,101012150059,Panel A,10101215,N05,MOBILE MARKET,,NEAR THE VILLAGE
3,101012150060,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
3,101012150060,Panel A,10101215,N02,MOBILE MARKET,,NEAR THE VILLAGE
7,101012150074,Panel A,10101215,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
7,101012150074,Panel A,10101215,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
7,101012150074,Panel A,10101215,N03,RELATIVE,,NEAR THE VILLAGE
7,101012150074,Panel A,10101215,N04,LOCAL MARKET,,NEAR THE VILLAGE
7,101012150074,Panel A,10101215,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
7,101012150074,Panel A,10101215,N06,LOCAL MARKET,,WITHIN THE VILLAGE
20,101015620009,Panel B,10101562,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
20,101015620009,Panel B,10101562,N02,LOCAL MARKET,,NEAR THE VILLAGE
20,101015620009,Panel B,10101562,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
20,101015620009,Panel B,10101562,N04,MOBILE MARKET,,WITHIN THE VILLAGE
30,101015620020,Panel B,10101562,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
30,101015620020,Panel B,10101562,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
30,101015620020,Panel B,10101562,N03,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
30,101015620020,Panel B,10101562,N04,MOBILE MARKET,,NEAR THE VILLAGE
30,101015620020,Panel B,10101562,N05,RELATIVE,,WITHIN THE VILLAGE
30,101015620020,Panel B,10101562,N06,LOCAL MARKET,,NEAR THE VILLAGE
10,101015620031,Panel B,10101562,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
10,101015620031,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
10,101015620031,Panel B,10101562,N03,MOBILE MARKET,,NEAR THE VILLAGE
6,101015620042,Panel B,10101562,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
6,101015620042,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
6,101015620042,Panel B,10101562,N03,MOBILE MARKET,,NEAR THE VILLAGE
6,101015620042,Panel B,10101562,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
2,101015620053,Panel B,10101562,N01,RELATIVE,,WITHIN THE VILLAGE
2,101015620053,Panel B,10101562,N02,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
2,101015620053,Panel B,10101562,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
8,101015620064,Panel B,10101562,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
8,101015620064,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
8,101015620064,Panel B,10101562,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
8,101015620064,Panel B,10101562,N04,PRIVATE TRADER IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
8,101015620064,Panel B,10101562,N05,PRIVATE TRADER IN MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
8,101015620064,Panel B,10101562,N06,LOCAL MARKET,,WITHIN THE VILLAGE
8,101015620064,Panel B,10101562,N07,MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
8,101015620064,Panel B,10101562,N08,RELATIVE,,NEAR THE VILLAGE
8,101015620064,Panel B,10101562,N09,MOBILE MARKET,,WITHIN THE VILLAGE
8,101015620064,Panel B,10101562,N10,OTHER (SPECIFY),SCHOOL,NEAR THE TOWN
18,101015620075,Panel B,10101562,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
18,101015620075,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
18,101015620075,Panel B,10101562,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
16,101015620086,Panel B,10101562,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
16,101015620086,Panel B,10101562,N02,MAIN MARKET,,NEAR THE DISTRICT/URBAN CENTER
16,101015620086,Panel B,10101562,N03,RELATIVE,,NEAR THE VILLAGE
16,101015620086,Panel B,10101562,N04,LOCAL MARKET,,WITHIN THE VILLAGE
26,101015620096,Panel B,10101562,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
26,101015620096,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,WITHIN THE VILLAGE
26,101015620096,Panel B,10101562,N03,LOCAL MARKET,,NEAR THE VILLAGE
26,101015620096,Panel B,10101562,N04,PRIVATE TRADER IN LOCAL MARKET,,WITHIN THE VILLAGE
26,101015620096,Panel B,10101562,N05,LOCAL MARKET,,WITHIN THE VILLAGE
28,101015620118,Panel B,10101562,N01,RELATIVE,,WITHIN THE VILLAGE
28,101015620118,Panel B,10101562,N02,PRIVATE TRADER IN LOCAL MARKET,,NEAR THE VILLAGE
32,101015620140,Panel B,10101562,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
32,101015620140,Panel B,10101562,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
32,101015620140,Panel B,10101562,N03,PARASTATAL ORGANIZATION,,NEAR THE DISTRICT/URBAN CENTER
12,101015620162,Panel B,10101562,N01,FARMER BASED CLUB/ASSOCIATION,,NEAR THE DISTRICT/URBAN CENTER
12,101015620162,Panel B,10101562,N02,LOCAL MARKET,,NEAR THE VILLAGE
12,101015620162,Panel B,10101562,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
12,101015620162,Panel B,10101562,N04,MAIN MARKET,,NEAR THE VILLAGE
12,101015620162,Panel B,10101562,N05,RELATIVE,,WITHIN THE VILLAGE
12,101015620162,Panel B,10101562,N06,MOBILE MARKET,,WITHIN THE VILLAGE
12,101015620162,Panel B,10101562,N07,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
4,101015620184,Panel B,10101562,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
4,101015620184,Panel B,10101562,N02,VILLAGE HEADMAN,,WITHIN THE VILLAGE
