ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27
10105119,yes,1ST HALF DEC,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,7,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED",no,no,1,acre,.5,acre,6,acre,0,30,0,0,0,5
10105120,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,8,km,no,,0,0,no,no,no,no,1,acre,1000,SQ METER,5,acre,6,4,0,2,0,40
10105121,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,1,acre,7,acre,5,50,5,0,0,0
10120122,yes,2ND HALF DEC,1ST HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,35,km,no,,0,0,no,no,no,no,1,acre,.3,acre,4,acre,0,0,0,0,0,0
10120123,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,yes,yes,yes,.5,acre,.25,acre,2,acre,0,50,0,0,0,70
10201124,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,1,acre,.5,acre,7,acre,40,15,0,0,0,30
10201125,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,1.5,acre,.5,acre,8,acre,0,0,0,0,0,0
10201126,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,.25,acre,5,acre,22,15,0,0,0,5
10201127,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,2,2,no,no,no,no,1,acre,20,SQ METER,4,acre,0,0,0,0,0,0
10201128,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,7,km,no,,0,0,no,no,no,no,1,acre,.25,acre,6,acre,20,25,0,0,0,10
10201129,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,25,km,no,,5,5,no,no,no,no,1,acre,.25,acre,2,acre,0,0,0,0,0,0
10202131,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,1,acre,1,acre,8,acre,0,0,41,0,102,32
10203132,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,.5,acre,6,acre,50,40,0,0,0,60
10203133,yes,1ST HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,2.5,acre,.25,acre,5,acre,0,0,0,0,0,55
10203134,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,4,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,.2,acre,5,acre,5,100,0,0,0,20
10203135,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,16,0,0,no,no,no,no,1,acre,50,SQ METER,2,acre,20,0,0,0,5,100
10203136,yes,2ND HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,19,km,no,,0,0,no,no,no,no,1.5,acre,.5,acre,4,acre,0,0,0,0,0,0
10203137,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,20,km,no,,0,0,no,no,no,no,2,acre,.25,acre,5,acre,0,0,0,0,0,0
10204138,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",yes,,,yes,50,0,0,no,no,no,no,1,acre,.5,acre,8,acre,12,40,5,0,0,50
10204139,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,1,acre,25,SQ METER,8,acre,23,0,0,0,0,45
10204140,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",.75,acre,.2,acre,5,acre,10,35,0,0,0,35
10204141,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,25,km,yes,100,0,0,no,no,no,no,2,acre,.5,acre,6,acre,0,0,0,0,0,0
10205142,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,.5,acre,6,acre,20,5,0,0,0,20
10205143,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,12,km,no,,0,0,no,no,no,no,1,acre,50,SQ METER,12,acre,0,0,0,0,0,67
10205144,yes,2ND HALF DEC,1ST HALF JUN,none,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),no,1,km,yes,10,0,0,no,"YES,BUT NOT IF HH IS IN NEED",no,"YES,BUT NOT IF HH IS IN NEED",1,acre,.25,acre,6,acre,5,0,0,0,0,50
10220145,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,4,4,no,no,no,no,1,acre,.25,acre,2,acre,0,0,0,0,0,0
10220146,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,500,meter,no,,0,0,no,yes,yes,yes,.5,acre,.25,acre,3,acre,10,70,0,0,0,30
10220147,yes,2ND HALF DEC,2ND HALF APR,none,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),no,2,km,no,,0,0,no,no,no,no,20,SQ METER,5,SQ METER,2,acre,0,0,0,0,0,0
10301148,yes,1ST HALF NOV,1ST HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",no,13,km,no,,0,0,no,no,no,no,3,acre,2,acre,5,acre,15,2,0,0,0,1
10301149,yes,2ND HALF NOV,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,86,0,0,no,no,no,no,2,acre,1,acre,4,acre,10,10,15,20,12,15
10301150,yes,2ND HALF NOV,2ND HALF MAR,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,63,0,0,no,no,no,no,3,acre,2,acre,6,acre,10,10,0,0,7,26
10301151,yes,1ST HALF DEC,1ST HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,500,meter,yes,90,0,0,no,no,no,no,1.5,acre,.5,acre,2.5,acre,70,30,0,0,10,20
10302152,yes,1ST HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,18,km,no,,0,0,no,no,no,no,2,acre,1,acre,3,acre,0,0,0,0,1,0
10302153,yes,1ST HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,1,acre,.5,acre,5,acre,1,1,5,1,1,10
10303154,yes,2ND HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,1,acre,.5,acre,2,acre,0,0,3,0,5,0
10304155,yes,1ST HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,1,acre,.25,acre,1,acre,0,0,0,0,0,500
10304156,yes,1ST HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,4,km,no,,0,0,no,no,no,no,3,acre,1,acre,7,acre,0,0,0,0,15,0
10305157,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,no,no,1,acre,.25,acre,2.5,acre,0,0,0,0,33,0
10305158,yes,1ST HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,4,km,no,,0,0,no,no,no,no,.5,acre,.25,acre,1,acre,0,0,0,0,0,50
10306159,yes,1ST HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,1,acre,.5,acre,2.5,acre,2,2,5,10,50,100
10306160,yes,2ND HALF NOV,2ND HALF MAR,none,,no,5,km,no,,0,0,no,no,no,no,2,acre,5,acre,3,acre,1,0,2,4,0,0
10307161,yes,1ST HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,2500,SQ METER,2000,SQ METER,.5,acre,15,15,0,0,0,0
10308162,yes,1ST HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,1,acre,.5,acre,2,acre,0,0,0,0,26,2
10309163,yes,1ST HALF JAN,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,11,km,no,,0,0,no,no,no,no,2,acre,1,acre,5,acre,0,0,0,0,0,0
10309164,yes,2ND HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,900,SQ METER,300,SQ METER,2400,SQ METER,0,0,0,0,15,0
10310165,yes,1ST HALF DEC,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,100,0,0,yes,no,no,no,5,acre,1,acre,7,acre,15,15,0,0,400,400
10312166,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,41,km,no,,0,0,no,no,no,no,5,acre,1,acre,10,acre,4,4,0,0,12,5
10312167,yes,2ND HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,2,acre,.5,acre,1,acre,0,0,0,0,0,100
10312168,yes,1ST HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,2,acre,1,acre,3,acre,22,22,50,0,450,300
10312169,yes,1ST HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,7,km,yes,75,0,0,no,yes,no,no,2,acre,.5,acre,6,acre,10,10,0,0,10,7
10320170,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,18,km,no,,0,0,no,no,no,no,1,acre,.5,acre,5,acre,6,0,0,0,175,170
10320171,yes,1ST HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,no,no,1,acre,.5,acre,1.5,acre,90,121,0,0,0,50
10401172,yes,1ST HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,no,no,1,acre,.5,acre,2,acre,0,0,0,0,50,15
10401173,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,9,km,yes,175,0,0,yes,no,no,no,2.5,acre,1,acre,5,acre,12,6,0,3,180,7
10401174,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,yes,no,no,no,2,acre,1,acre,5,acre,42,42,0,0,100,90
10401175,yes,2ND HALF DEC,1ST HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,5,acre,2,acre,7,acre,6,6,2,0,30,100
10401176,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,2,acre,1,acre,4,acre,0,9,10,0,27,5
10401177,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,500,meter,no,,0,0,no,no,no,no,1,acre,.75,acre,2,acre,0,0,0,0,200,40
10401178,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,1,acre,.5,acre,3,acre,10,10,35,0,250,250
10401179,yes,1ST HALF JAN,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,63,0,0,no,no,no,no,1,acre,5,acre,2,acre,20,2,0,400,330,30
10401180,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,"YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED","YES,BUT NOT IF HH IS IN NEED",1,acre,.5,acre,6,acre,20,50,5,0,5,80
10402181,yes,1ST HALF JAN,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,0,0,no,no,no,no,1,acre,200,SQ METER,5,acre,0,0,0,0,0,0
10403182,yes,1ST HALF JAN,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,yes,160,0,0,no,no,no,no,2,acre,1,acre,4,acre,200,50,0,0,250,250
10403183,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",no,2,km,no,,0,0,no,no,no,no,2,acre,1,acre,20,acre,82,0,0,0,32,45
10404184,yes,2ND HALF DEC,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,16,km,yes,67,0,0,no,no,no,no,4,acre,2,acre,6,acre,25,0,0,0,40,0
10404185,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,0,0,no,no,no,no,1.5,acre,8,acre,9,acre,0,0,0,0,0,21
10404186,yes,2ND HALF NOV,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,150,0,0,no,no,no,no,1,acre,.5,acre,4,acre,0,0,0,0,0,150
10405187,yes,1ST HALF JAN,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,yes,92,0,0,no,no,no,no,2,acre,50,SQ METER,9,acre,13,0,12,92,0,0
10407188,yes,1ST HALF JAN,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,no,no,no,1,acre,.5,acre,3,acre,12,6,0,0,300,250
10407189,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,200,meter,yes,40,0,0,no,no,no,no,1,acre,.5,acre,2,acre,30,15,10,7,80,10
10407190,yes,1ST HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,2,acre,1,acre,3,acre,0,0,0,0,0,50
10408191,yes,1ST HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,yes,210,0,0,no,no,no,no,4,acre,2,acre,10,acre,150,10,0,0,10,5
10408192,yes,1ST HALF DEC,1ST HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",no,7,km,no,,0,0,no,no,no,no,1,acre,1,acre,5,acre,4,1,0,0,3,370
10420193,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,yes,20,0,0,no,no,no,no,5,acre,150,SQ METER,2000,SQ METER,20,15,6,5,300,40
10420194,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,700,meter,no,,0,0,no,yes,no,yes,.75,acre,.2,acre,3,acre,10,25,0,0,0,100
10420195,yes,2ND HALF DEC,2ND HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,no,no,no,2500,SQ METER,600,SQ METER,10000,SQ METER,1,1,2,0,1,0
10501196,yes,1ST HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,no,,0,0,no,no,no,no,4,acre,1,acre,6,acre,0,8,0,0,0,100
10501197,yes,1ST HALF DEC,1ST HALF JUN,<=1/4,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),no,10,km,no,,0,0,no,no,no,no,4,acre,2,acre,5,acre,2,2,0,0,0,100
10501198,yes,2ND HALF NOV,2ND HALF MAY,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,4,3,no,no,no,no,2,acre,1,acre,3,acre,0,50,0,0,1,230
10501199,yes,1ST HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,2,2,yes,no,no,no,3,acre,1,acre,3,acre,0,30,0,0,0,1
10502200,yes,1ST HALF DEC,1ST HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",no,23,km,no,,0,0,no,no,no,no,5,hectare,3,hectare,10,hectare,0,0,0,0,0,80
10502201,yes,1ST HALF DEC,1ST HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,4,km,no,,0,0,no,yes,yes,yes,2,acre,2000,SQ METER,3,acre,2,0,0,0,0,300
10502202,yes,1ST HALF DEC,1ST HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,no,,4,4,no,no,no,no,5,acre,1,acre,10,acre,0,0,0,0,1,200
10502203,yes,1ST HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,3,acre,1,acre,5,acre,7,5,0,0,4,3
10503204,yes,1ST HALF DEC,1ST HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,no,no,no,3,acre,1,acre,5,acre,10,10,0,0,5,100
10503205,yes,2ND HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,8,km,no,,0,0,no,no,no,no,3,acre,1,acre,5,acre,0,0,0,0,6,150
10503206,yes,2ND HALF NOV,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,6,km,no,,0,0,no,no,no,no,2,acre,1,acre,4,acre,5,0,0,0,10,120
10504207,yes,2ND HALF DEC,2ND HALF MAY,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,yes,20,0,0,no,no,no,no,3,acre,1,acre,5,hectare,0,0,0,0,0,20
10505208,yes,1ST HALF DEC,1ST HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,6,km,no,,0,0,no,no,no,no,4,hectare,1,hectare,6,hectare,2,0,0,0,0,240
10505209,yes,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,18,km,no,,0,0,no,no,no,no,2,hectare,1,hectare,10,hectare,0,0,0,0,0,0
10505210,yes,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,1,1,no,no,no,no,8,acre,3,acre,10,acre,0,8,0,0,0,80
10506211,yes,1ST HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,12,km,yes,68,0,0,yes,no,no,no,6,acre,2,acre,10,acre,0,13,0,0,18,6
10506212,yes,1ST HALF DEC,2ND HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,yes,36,0,0,no,no,no,no,5,acre,2,acre,8,acre,0,3,0,0,0,150
10507213,yes,1ST HALF DEC,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,6,km,no,,7,7,no,no,no,yes,1,acre,1,acre,3,acre,0,0,0,0,0,0
10507214,yes,2ND HALF DEC,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,9,km,no,,0,0,no,no,no,no,3,acre,1,acre,6,acre,2,0,0,0,4,180
10508215,yes,2ND HALF NOV,2ND HALF JUN,<=3/4,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",yes,,,no,,0,0,no,no,no,no,2,acre,1,acre,3,acre,0,0,0,0,0,0
10508216,yes,1ST HALF DEC,2ND HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",no,24,km,no,,0,0,no,no,no,yes,5,acre,2,acre,10,acre,0,0,0,0,0,160
10509217,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,0,0,no,no,no,no,2,acre,1,acre,10,acre,0,0,0,0,0,150
10510218,yes,2ND HALF NOV,2ND HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,2,hectare,1.5,acre,3,hectare,4,1,0,0,41,250
10520219,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
10601220,yes,2ND HALF DEC,1ST HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,300,SQ METER,100,SQ METER,1,acre,0,0,1,10,400,0
10601221,yes,2ND HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,yes,yes,no,.5,acre,200,SQ METER,1.5,acre,6,0,180,35,20,45
10601223,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,no,no,200,SQ METER,50,SQ METER,600,SQ METER,0,0,0,0,50,0
10601224,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,.5,acre,.25,acre,2,acre,0,0,0,0,7,5
10601225,yes,2ND HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,yes,yes,no,.5,acre,200,SQ METER,1,acre,0,0,0,0,0,35
10601226,yes,2ND HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,yes,yes,no,2,acre,.5,acre,3,acre,0,0,0,0,200,0
10601227,yes,1ST HALF JAN,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,5,km,no,,0,0,no,yes,yes,no,.5,acre,.25,acre,2,acre,0,0,200,75,250,75
10601228,yes,2ND HALF DEC,2ND HALF MAR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,yes,yes,no,.5,acre,200,SQ METER,1.5,acre,6,0,200,25,11,41
10601229,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",yes,,,no,,0,0,no,no,no,no,.5,acre,400,acre,1,acre,0,0,200,0,250,5
