ea_id,com_ch0b,com_ch01,com_ch02,com_ch04,com_ch05,com_ch05_oth,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch07_oth,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch09_1_oth,com_ch10,com_ch11,com_ch12,com_ch12_oth,com_ch13a,com_ch13b,com_ch13c,com_ch13_oth,com_ch14,com_ch14_oth,com_ch15
10101108,Public Transportation: Initiation/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10102109,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,100000,0,,,No,Yes,No,,GROUP VILLAGE HEADMAN,,
10102110,Secondary School: Construction,yes,yes,yes,SCHOOL COMMITTEE,,yes,No,No,Yes,Yes,Yes,Yes,Yes,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10102110,Health Center/Clinic/Dispensary: Construction,yes,yes,yes,HEALTH COMMITTEE,,yes,Yes,Yes,Yes,No,No,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10102110,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,,,Addressed/Being Addressed,Other (Specify),Central Government,District/CityAssembly,DISTRICT LEADERSHIP,8000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10102110,Public Transportation: Initiation/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10102111,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,200000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10102111,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,50000,50000,Compulsary,,No,Yes,No,,VILLAGE RESIDENTS,,
10102112,Bridge: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,No,No,Yes,No,0,,To be Addressed; Response Positive,masaf,,,,2000000,0,,,No,Yes,No,,VILLAGE RESIDENTS,,
10102112,Health Center/Clinic/Dispensary: Construction,yes,yes,yes,HEALTH COMMITTEE,,yes,Yes,No,Yes,No,No,Yes,No,0,,Addressed/Being Addressed,masaf,,,,10000000,0,,,No,Yes,No,,VILLAGE RESIDENTS,,
10102112,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,No,No,No,No,0,,To be Addressed; Response Positive,masaf,,,,3000000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10103114,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10103114,Road: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,Yes,Yes,Yes,Yes,No,0,,Addressed/Being Addressed,masaf,District/CityAssembly,,,650000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10104116,Road: Construction,yes,yes,no,,,,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,masaf,District/CityAssembly,,,500000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10104116,Health Center/Clinic/Dispensary: Construction,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,Yes,No,Yes,No,Yes,Yes,No,1,Ministry of Healthy ,To be Addressed; Response Positive,Central Government,,,,3000000,0,,,Yes,Yes,Yes,FOOD,VILLAGE RESIDENTS,,
10104117,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,200000,0,,,No,Yes,No,,VILLAGE HEADMAN,,
10104118,Primary School: Construction,yes,yes,yes,mp,,yes,Yes,No,Yes,No,Yes,Yes,Yes,0,,Addressed/Being Addressed,Central Government,,,,21000000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10104118,Road: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,Yes,Yes,No,No,Yes,Yes,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10104118,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,Yes,No,No,No,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10105119,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,150000,150000,Voluntary,,Yes,No,No,,VILLAGE RESIDENTS,,
10105120,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,Yes,No,No,Yes,No,0,,Addressed/Being Addressed,Other (Specify),,,DISTRICT LEADERSHIP,3000000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10105120,Secondary School: Construction,yes,yes,yes,SCHOOL COMMITTEE,,yes,No,No,Yes,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10105120,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,HEALTH COMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10105121,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,80000,80000,Compulsary,,No,Yes,No,,VILLAGE HEADMAN,,
10120122,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10120123,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,120000,120000,Compulsary,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10201124,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,800000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10201125,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,Yes,No,Yes,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10201126,Road: Maintenance,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,0,0,,,No,Yes,No,,NO PROJECT COMMITTEE,,
10201127,Secondary School: Construction,yes,yes,yes,SCHOOL COMMITTEE,,yes,No,No,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10201127,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,no,Yes,No,No,No,Yes,No,No,0,,Not Addressed; Attempts Failed,,,,,,,,,No,No,No,,,,
10201128,Piped Water/Boreholes/Wells: Construction,no,yes,no,,,,No,No,No,No,No,Yes,No,0,,Addressed/Being Addressed,Central Government,,,,700000,0,,,No,No,No,,NO PROJECT COMMITTEE,,
10201129,Road: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,No,No,No,No,0,,Addressed/Being Addressed,masaf,Central Government,,,4000000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10201129,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,Yes,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10202131,Road: Construction,yes,yes,no,,,,No,No,Yes,No,No,Yes,No,0,,Addressed/Being Addressed,masaf,,,,6000000,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10203132,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,800000,0,,,No,Yes,No,,VILLAGE HEADMAN,,
10203133,Road: Maintenance,yes,no,no,,,,Yes,No,Yes,No,Yes,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10203133,Agricultural/Fishery/ Livestock Extension Services,yes,yes,yes,OTHER (SPECIFY),VETERINARY OFFICER,yes,Yes,No,No,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10203133,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,Yes,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10203134,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,No,No,No,No,0,,Addressed/Being Addressed,masaf,,,,200000,0,,,No,Yes,No,,VILLAGE RESIDENTS,,
10203135,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,No,Yes,No,No,No,No,0,,To be Addressed; Response Positive,masaf,,,,2000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10203136,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,No,Yes,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10203137,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,Yes,Yes,Yes,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10204138,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,250000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10204139,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,No,Yes,No,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10204140,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,Addressed/Being Addressed,Central Government,,,,1000000,0,,,No,Yes,No,,GROUP VILLAGE HEADMAN,,
10204141,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,Yes,Yes,No,No,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10204141,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10205142,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,Community Fundraising,,,150000,30000,Compulsary,,No,Yes,No,,VILLAGE ELDERS,,
10205143,Road: Construction,yes,yes,no,,,,No,No,Yes,No,No,Yes,No,0,,Addressed/Being Addressed,masaf,,,,5000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10205143,Secondary School: Construction,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10205143,Bridge: Construction,yes,yes,no,,,,No,No,Yes,No,No,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10205144,Road: Maintenance,yes,yes,yes,VILLAGE HEADMAN,,no,Yes,No,No,No,No,No,No,0,,Not Addressed; Attempts Failed,,,,,,,,,No,No,No,,,,
10220146,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,Community Fundraising,,,100000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10301148,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,no,Yes,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301148,Road: Construction,yes,no,yes,VILLAGE HEADMAN,,no,No,No,Yes,Yes,No,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10301149,Road: Maintenance,yes,no,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Other (Specify),,,N/A,0,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10301149,Community Based Child Care Center/Nursery: Initiation/ Improvement,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,No,No,Yes,No,No,0,,Addressed/Being Addressed,Community Fundraising,Central Government,,,0,40000,Compulsary,,Yes,No,No,,VILLAGE RESIDENTS,,
10301149,Secondary School: Construction,yes,yes,yes,VILLAGE HEADMAN,,no,No,No,Yes,No,Yes,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301149,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,No,Yes,No,No,No,No,Yes,0,,Addressed/Being Addressed,Religious Organization/Institution,,,,300000,50000,Compulsary,,Yes,No,No,,VILLAGE ELDERS,,
10301149,Bridge: Construction,yes,no,no,,,,No,No,Yes,No,Yes,No,No,0,,Addressed/Being Addressed,Central Government,,,,0,0,,,No,Yes,No,,VILLAGE HEADMAN,,
10301149,Road: Construction,yes,no,no,,,,No,No,Yes,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301149,Primary School: Maintenance/Improvement,yes,no,yes,VILLAGE HEADMAN,,no,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301149,Health Center/Clinic/Dispensary: Construction,yes,yes,yes,VILLAGE HEADMAN,,no,No,No,No,Yes,Yes,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301150,Piped Water/Boreholes/Wells: Construction,yes,yes,no,,,,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,Religious Organization/Institution,,,,7000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10301150,Primary School: Maintenance/Improvement,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,No,No,No,No,Yes,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301150,Bridge: Maintenance,yes,yes,no,,,,No,No,No,Yes,Yes,Yes,No,0,,Addressed/Being Addressed,District/CityAssembly,,,,1000000,0,,,No,No,No,,NO PROJECT COMMITTEE,,
10301150,Road: Maintenance,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,No,No,No,No,Yes,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10301151,Road: Construction,yes,no,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301151,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,no,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301151,Health Center/Clinic/Dispensary: Construction,yes,no,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10301151,Bridge: Construction,yes,no,yes,VILLAGE HEADMAN,,yes,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10302152,Road: Maintenance,yes,yes,yes,GROUP VILLAGE HEADMAN,,no,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10302153,Road: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,Yes,Yes,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10302153,Primary School: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,12000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10303154,Maize Mill: Construction/ Maintenance/Improvement,yes,no,yes,VILLAGE HEADMAN,,no,No,No,No,No,Yes,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10303154,Bridge: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,Yes,Yes,No,0,,Addressed/Being Addressed,District/CityAssembly,,,,300000,0,,,Yes,Yes,No,,VILLAGE HEADMAN,,
10303154,Community Based Child Care Center/Nursery: Initiation/ Improvement,yes,yes,yes,VILLAGE HEADMAN,,no,Yes,No,No,No,Yes,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10303154,Piped Water/Boreholes/Wells: Construction,yes,no,yes,VILLAGE HEADMAN,,yes,No,No,No,No,Yes,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10304155,Primary School: Maintenance/Improvement,yes,yes,no,,,,No,No,Yes,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10304155,Secondary School: Maintenance/Improvement,yes,yes,no,,,,No,No,Yes,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10304155,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,no,no,,,,No,Yes,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,13000,13000,Compulsary,,No,No,No,,OTHER (SPECIFY),SCHOOL COMMITTEE,
10304155,Health Center/Clinic/Dispensary: Construction,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10304155,Piped Water/Boreholes/Wells: Construction,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10304155,Bridge: Construction,yes,yes,no,,,,No,No,Yes,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10304155,Community Based Child Care Center/Nursery: Initiation/ Improvement,yes,no,yes,GROUP VILLAGE HEADMAN,,yes,Yes,Yes,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,1200000,45000,Compulsary,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10304156,Piped Water/Boreholes/Wells: Construction,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Attempts Failed,,,,,,,,,No,No,No,,,,
10304156,Bridge: Construction,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,Yes,No,No,No,No,Yes,No,0,,To be Addressed; Response Positive,District/CityAssembly,,,,1000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10304156,Piped Water/Boreholes/Wells: Maintenance/Improvement,yes,yes,yes,GROUP VILLAGE HEADMAN,,no,No,No,No,No,No,No,No,0,,,,,,,,,,,No,No,No,,,,yes
10305157,Bridge: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,Yes,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10305157,Primary School: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,10000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10305157,Primary School: Maintenance/Improvement,yes,no,yes,SCHOOL COMMITTEE,,yes,Yes,Yes,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10305158,Piped Water/Boreholes/Wells: Construction,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10305158,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,no,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10305158,Road: Maintenance,yes,yes,no,,,,No,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10305158,Bridge: Maintenance,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,Yes,No,No,Yes,No,0,,Addressed/Being Addressed,Community Fundraising,,,,40000,30000,Voluntary,,No,No,No,,VILLAGE HEADMAN,,
10305158,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,No,No,No,No,Yes,No,0,,Addressed/Being Addressed,Religious Organization/Institution,,,,2000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10306159,Road: Construction,yes,yes,no,,,,Yes,Yes,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10306159,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,Yes,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10306159,Bridge: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,No,No,Yes,No,No,0,,Addressed/Being Addressed,District/CityAssembly,,,,8000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10306159,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,Yes,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10306160,Road: Construction,yes,yes,yes,GROUP VILLAGE HEADMAN,,no,Yes,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10307161,Road: Construction,yes,yes,yes,VILLAGE HEADMAN,,no,No,No,No,No,Yes,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10307161,Bridge: Maintenance,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,0,10000,Compulsary,,Yes,No,No,,VILLAGE RESIDENTS,,
10307161,Community Based Child Care Center/Nursery: Initiation/ Improvement,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,Yes,No,Yes,No,No,No,No,0,,Addressed/Being Addressed,masaf,Community Fundraising,,,0,60000,Compulsary,,Yes,No,No,,GROUP VILLAGE HEADMAN,,
10307161,Road: Maintenance,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Other (Specify),,,N/A,0,0,,,Yes,No,No,,VILLAGE RESIDENTS,,
10307161,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,GROUP VILLAGE HEADMAN,,yes,No,No,Yes,No,No,No,No,0,,Addressed/Being Addressed,Central Government,,,,0,0,,,No,No,No,,NO PROJECT COMMITTEE,,
10307161,Primary School: Construction,yes,yes,yes,VILLAGE HEADMAN,,no,No,No,Yes,No,Yes,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10308162,Primary School: Maintenance/Improvement,yes,yes,no,,,,Yes,No,No,No,No,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10308162,Piped Water/Boreholes/Wells: Construction,yes,yes,no,,,,Yes,No,No,No,No,Yes,No,0,,Addressed/Being Addressed,District/CityAssembly,,,,6000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10308162,Bridge: Maintenance,yes,yes,no,,,,Yes,No,Yes,No,No,No,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10309163,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,Yes,No,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10309163,Road: Construction,yes,yes,yes,VILLAGE HEADMAN,,yes,Yes,Yes,Yes,Yes,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
