case_id,hhid,gardenid,plotid,ag_o01,ag_o01a,ag_o03_2a,ag_o03_2b,ag_o03_2c,ag_o04a,ag_o04b,ag_o04b_oth,ag_o04c,ag_o05e,ag_o05e_oth,ag_o06,ag_o06a,ag_o07
101011060166,6d105aac831a404481ab6b2edfb131ee,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.2,acre,,.11,,,12,3,Partly Cloudy / Partly Sunny
101011070039,649214366d5f4a71998705c5618628ea,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.46,,,11,3,Partly Cloudy / Partly Sunny
101011070151,524ca16282a7466a84897b5ae0b61e06,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.3,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011070170,919b0d0d8feb48dfa741c873ef606ced,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.64,,,11,3,Partly Cloudy / Partly Sunny
101011070207,7d1df01124a9445ab18c4e9d1ec4f2bf,RG02,T01,yes,RAINY SEASON GARDENS,RG02,.,.,1.5,acre,,7.22,,,8,3,Partly Cloudy / Partly Sunny
101011070282,13c91cc2889c4d66a30e50e88bd84e37,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1.5,acre,,1.65,,,11,3,Partly Cloudy / Partly Sunny
101011080017,5858dd2f986c4aa98156f2278684e25f,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.4,,,9,3,Clear/Sunny
101021090054,3ae0b83292a04feb945ecfa7654f85af,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090092,fa7181b8a48141e9b5375f9f07696b4a,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090092,fa7181b8a48141e9b5375f9f07696b4a,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090187,2db8307e59ca47ff9feba949444840f5,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090302,bb4ad46308fd47f2a1734aea35038427,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.2,,,10,3,Clear/Sunny
101021100020,63ed8484afcc4d81a94787f181daaa9c,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.7,acre,,.3,,,11,3,Clear/Sunny
101021100061,97cf255d846147d4a761af2f93534d47,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.15,,,8,3,Clear/Sunny
101021100082,6877f51463284bab9776e27ac99ffe4e,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.3,acre,,.19,,,9,3,Clear/Sunny
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.03,,,10,3,Clear/Sunny
101021100102,284147d74bcf4cbab27b13738cd1bf9e,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.75,acre,,.75,,,9,3,Clear/Sunny
101021100112,1066643538b2448bb6f3576d99b93963,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.75,acre,,.18,,,9,3,Clear/Sunny
101021100112,1066643538b2448bb6f3576d99b93963,TG02,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.5,acre,,.03,,,10,3,Clear/Sunny
101021100133,1273a65b2b7e4d1580a3d46f44830ea9,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.14,,,9,3,Clear/Sunny
101021100143,a183a0d1519b417fb227c3bf6833f6b5,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1.5,acre,,1.46,,,9,3,Clear/Sunny
101021100153,470ec0d9ff1443938cd195042ff9ac05,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.39,,,10,3,Clear/Sunny
101021100173,b172ac557f21486cbaf35a846610de85,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.3,acre,,.19,,,10,3,Clear/Sunny
101021100173,b172ac557f21486cbaf35a846610de85,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.5,acre,,.47,,,11,3,Clear/Sunny
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.7,acre,,.4,,,10,3,Clear/Sunny
101021100213,881c0760605f4f278e2c1ab74ee0c3be,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.7,acre,,.39,,,9,4,Mostly Clear / Mostly Sunny
101021100213,881c0760605f4f278e2c1ab74ee0c3be,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.3,acre,,.39,,,9,4,Mostly Clear / Mostly Sunny
101021110011,e1dd613e0dc44885b2de4a350297c701,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.01,acre,,.04,,,9,3,Partly Cloudy / Partly Sunny
101021110038,fcef9cc7c9024178bb6fd8033aa1d344,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.5,acre,,.45,,,8,3,Mostly Cloudy / Considerable Cloudiness
101021110045,d031baf10320462c8169b7d8d2c799f7,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,1.1,,,7,3,Mostly Cloudy / Considerable Cloudiness
101021110052,6d2b5a8bd4b74a128d41bb2b04959bd6,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,.17,,,9,3,Mostly Cloudy / Considerable Cloudiness
101021110107,2a343158cb7a4274b38cc558b7645077,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021120044,3a3a0e3cd64c489cad153e73187f93e4,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.3,,,10,3,Partly Cloudy / Partly Sunny
101021120049,417f0741731a425e9d47f453747952c0,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.2,,,10,3,Partly Cloudy / Partly Sunny
101021120097,157117141b2346699658084dc0cf0cba,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.88,,,10,3,Mostly Cloudy / Considerable Cloudiness
101031130020,ab780e8f0dd747eeb83fda74bef48737,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.4,,,12,3,Mostly Cloudy / Considerable Cloudiness
101031130030,c642eb5bae004f2bb7510eaf740e3fc3,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.3,,,11,3,Mostly Cloudy / Considerable Cloudiness
101031130039,2cf6fa2186b04e53b11b5ba9ba3b230b,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.43,,,10,3,Mostly Cloudy / Considerable Cloudiness
101031140020,2d67e904c12e4c3d9e619e355b6e0a29,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.26,,,11,3,Clear/Sunny
101031140020,2d67e904c12e4c3d9e619e355b6e0a29,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.5,acre,,.1,,,11,3,Clear/Sunny
101031140020,2d67e904c12e4c3d9e619e355b6e0a29,TG03,T03,yes,TREE/PERMANENT CROP GARDENS,.,.,TG03,1,acre,,.2,,,11,3,Clear/Sunny
101031140020,2d67e904c12e4c3d9e619e355b6e0a29,TG04,T04,yes,TREE/PERMANENT CROP GARDENS,.,.,TG04,.5,acre,,.3,,,11,3,Clear/Sunny
101031140041,6a4e0128607e4cdf810a934164776c0e,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.1,acre,,.05,,,11,3,Clear/Sunny
101031140048,b2a2026c83ae41a7923a98816df65b14,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.86,,,12,3,Mostly Clear / Mostly Sunny
101031140063,493266144833480db51fec24dfab1ad3,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.42,,,12,3,Clear/Sunny
101031140070,163eadee65014697a8b245e2ef6d29b7,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.22,,,11,3,Clear/Sunny
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.03,,,10,3,Clear/Sunny
101031140098,2fe9f709b5864c2bb02d93614ddf5d56,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.09,,,11,3,Clear/Sunny
101031140098,2fe9f709b5864c2bb02d93614ddf5d56,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.25,acre,,.01,,,11,3,Clear/Sunny
101031140104,2f91f9906b3c4c6ab0c363655380ad10,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.01,,,10,3,Partly Cloudy / Partly Sunny
101031140117,1b182b8196d34a598c0f5aaab4ca616f,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.27,,,10,3,Clear/Sunny
101031140130,7cc3a746c9e6481db3f3561a0fbdef3f,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.7,,,10,3,Clear/Sunny
101031140130,7cc3a746c9e6481db3f3561a0fbdef3f,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.5,acre,,.13,,,10,3,Clear/Sunny
101031140130,7cc3a746c9e6481db3f3561a0fbdef3f,TG03,T03,yes,TREE/PERMANENT CROP GARDENS,.,.,TG03,.5,acre,,.1,,,10,3,Clear/Sunny
101031150002,037262fcbf354cf09c3ca7b8787c072a,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,.83,,,10,3,Clear/Sunny
101031150020,c684602dbd8c44c5853e6927745ede1e,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,2,acre,,3.32,,,10,3,Clear/Sunny
101031150028,e8fc80e85f07427b8c4458b9bb8174fd,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.92,,,9,3,Partly Cloudy / Partly Sunny
101031150081,acb4e05ab69646ebbbcc87b136a17838,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.26,,,9,3,Clear/Sunny
101031150133,70ba408860bd46a3ae605ad6834d1faf,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.28,,,10,3,Clear/Sunny
101041160040,b3a42df4b698489a82b063dc6db5d14f,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.3,acre,,.2,,,11,3,Clear/Sunny
101041170080,8c07a08578284555a027c2b24e915520,TG01,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101041170138,0303fa000b8c494fb0de4c0812b84cf6,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.27,,,11,3,Rainy
101041170150,c6464cd2a2a5447ab2f678abf5896594,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101041170173,0a7f7dc214a94447b1fa9dfaac858248,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.7,,,11,3,Mostly Cloudy / Considerable Cloudiness
101041180012,9eaabc41fef74a1688e6c9692fb9e18d,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.33,,,10,3,Partly Cloudy / Partly Sunny
101041180023,48bbaf1126a64d8b89f89ae4673a968d,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,2,acre,,2.13,,,12,3,Partly Cloudy / Partly Sunny
101041180058,5fa7f3e67ac94eb7b3beb3a05387c2d1,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.14,,,10,3,Partly Cloudy / Partly Sunny
101041180081,3134188d461f428e9ba381c0347cb9db,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,hectare,,.02,,,11,3,Clear/Sunny
101041180197,60db1081c0bc40bfaaec10060a5228af,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.33,,,11,3,Partly Cloudy / Partly Sunny
101041180209,80d65cf4719c489c88176fa5cdb04d78,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.23,,,11,3,Partly Cloudy / Partly Sunny
101041180243,5f18328c9ef1440e9e8e2667ae43f1d4,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,,,,11,3,Partly Cloudy / Partly Sunny
101041180243,5f18328c9ef1440e9e8e2667ae43f1d4,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.25,acre,,,,,10,3,Partly Cloudy / Partly Sunny
102011240003,6a35aa61c3c14b1298998803d2c41361,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,,,,12,4,Partly Cloudy / Partly Sunny
102011240011,00e67fc92b434910ae4a588825f8a22c,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.4,,,10,3,Partly Cloudy / Partly Sunny
102011240018,719ec9083f294582a03dd54632d77324,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,,,10,3,Partly Cloudy / Partly Sunny
102011240018,719ec9083f294582a03dd54632d77324,TG03,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG03,.25,acre,,,,,10,3,Partly Cloudy / Partly Sunny
102011240026,f8b29212b2234318bdccd5637977ab62,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.2,,,11,3,Partly Cloudy / Partly Sunny
102011240033,be62801d20984d8c9fccacf3ac631ada,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.19,,,11,2,Mostly Clear / Mostly Sunny
102011240048,70a440d821cb4a049a9dbe2f8cb44433,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.6,,,11,3,Mostly Clear / Mostly Sunny
102011240056,2fbe6c27bc344764bf9d38a9a4757d38,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.75,acre,,.37,,,12,3,Mostly Cloudy / Considerable Cloudiness
102011240063,9406a2627951431ca617091d295c9c25,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.24,,,10,3,Mostly Cloudy / Considerable Cloudiness
102011240071,323edb614c48487d90d8cb78cc98543c,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
102011240078,023cc5425bb84a50ac7d40e551636ed2,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.16,,,10,3,Partly Cloudy / Partly Sunny
102011240086,abd95c8c631e4b43a5fe4b9c950dddfa,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.02,,,10,3,Partly Cloudy / Partly Sunny
102011240093,fceaccbdda184f9293e5525f37f2e0ed,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,.8100000000000001,,,9,4,Partly Cloudy / Partly Sunny
102011240101,5dcbbbedd30b41968b25c302d8b9d2b8,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.18,,,9,5,Partly Cloudy / Partly Sunny
102011250014,dc16a812db7e47ce92b4d6855d903379,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.25,acre,,.45,,,11,3,Clear/Sunny
102011250028,5fb15c46222c4221b9fbb4fd50076129,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.41,,,10,2,Clear/Sunny
102011250042,325b0424c2f940f6a3a871ef4e5025c1,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,1.2,,,11,5,Clear/Sunny
102011250042,325b0424c2f940f6a3a871ef4e5025c1,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.2,acre,,.14,,,12,3,Clear/Sunny
102011250071,74be87fb7ce94f31a1ab7b16744afb1b,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.51,,,11,3,Clear/Sunny
102011250085,f60f66c0e50f4e829909a6eac3408dff,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,1.22,,,11,3,Clear/Sunny
102011250085,f60f66c0e50f4e829909a6eac3408dff,TG01,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,.1,,,10,3,Clear/Sunny
102011250099,dd4471d372d146b1ab10037c91688e9d,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,.61,,,11,3,Clear/Sunny
102011250142,9debc33173dd4be9a6c3a14706911ec8,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.08,,,10,3,Mostly Clear / Mostly Sunny
102011250157,63bb3a1ccb0745e3ac4bd8a5339d5788,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.08,,,10,3,Clear/Sunny
102011250157,63bb3a1ccb0745e3ac4bd8a5339d5788,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.25,acre,,.14,,,12,3,Mostly Clear / Mostly Sunny
102011250185,e48d208a1f1a474db3573cf6c8264a88,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.48,,,11,3,Clear/Sunny
102011250185,e48d208a1f1a474db3573cf6c8264a88,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.5,acre,,.32,,,11,3,Mostly Clear / Mostly Sunny
102011250185,e48d208a1f1a474db3573cf6c8264a88,TG03,T03,yes,TREE/PERMANENT CROP GARDENS,.,.,TG03,.25,acre,,.04,,,11,3,Mostly Clear / Mostly Sunny
102011250200,0ee100db409a486091a900b79e7b3ba6,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.55,,,12,3,Mostly Clear / Mostly Sunny
102011250214,cd6f3350284c4ddabc64506a4f9aa29c,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.1,acre,,.06,,,10,3,Clear/Sunny
102011250242,6e0e9fc7b19841d08358c834b7da0c6f,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.5,acre,,.33,,,10,3,Clear/Sunny
102011250256,9dc6a9e74ed447b696a95b2838132606,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1.5,acre,,1.38,,,9,3,Clear/Sunny
102011250256,9dc6a9e74ed447b696a95b2838132606,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.1,acre,,.08,,,9,3,Clear/Sunny
102011250270,47401c3a6a2a4ed3a649ce330e6e7505,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1.5,acre,,.98,,,12,3,Clear/Sunny
102011250270,47401c3a6a2a4ed3a649ce330e6e7505,RG03,T02,yes,RAINY SEASON GARDENS,RG03,.,.,.5,acre,,.25,,,12,3,Clear/Sunny
102011250270,47401c3a6a2a4ed3a649ce330e6e7505,TG03,T03,yes,TREE/PERMANENT CROP GARDENS,.,.,TG03,.25,acre,,.27,,,11,4,Clear/Sunny
102011250298,ec6f51c5915848149791752e6043c8cc,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.25,acre,,.17,,,11,3,Clear/Sunny
102011250298,ec6f51c5915848149791752e6043c8cc,RG02,T01,yes,RAINY SEASON GARDENS,RG02,.,.,.25,acre,,.18,,,11,3,Clear/Sunny
102011270130,74afc3c104a84405a2e11cdd6f5b79b0,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.23,,,10,3,Clear/Sunny
102011270244,ba6b368d5a3e456886afcfa134dceb5d,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.3,acre,,.3,,,11,3,Clear/Sunny
102011280021,e9ed99054cfc4ca5b0549b99a0464b0d,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.11,,,10,3,Mostly Clear / Mostly Sunny
102011280077,c2e1ba6facd9421d8909175e64b234d0,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,,,,10,3,Mostly Clear / Mostly Sunny
102011280105,a60b0962b5a648e18a4051df0a1341a0,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,,,,11,3,Mostly Clear / Mostly Sunny
102011280133,4d6a8fa344f940379a623b3bca909bdf,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.5,acre,,1.44,,,11,3,Mostly Clear / Mostly Sunny
102011280133,4d6a8fa344f940379a623b3bca909bdf,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.25,acre,,.11,,,11,3,Mostly Clear / Mostly Sunny
102011280161,428766adb2c64665b0b8d2b81d50b6fe,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
102011280188,5c6f09ebaa084056979b55734ce91f89,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.75,acre,,.37,,,12,3,Clear/Sunny
102011290024,ba858b0ae0f2474595ba7f2724e6cb0b,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
102011290073,1aec409ab4f249b3a1b61099dd8a627f,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,50,SQUARE METERS,,.29,,,12,2,Clear/Sunny
102011290073,1aec409ab4f249b3a1b61099dd8a627f,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.25,acre,,.04,,,11,2,Clear/Sunny
102011290174,63db764e92354067948b19ec053a355b,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,.04,,,11,3,Clear/Sunny
102011290249,8186c02218a8453280ea560c028c678e,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,.03,,,11,3,Mostly Clear / Mostly Sunny
102011290249,8186c02218a8453280ea560c028c678e,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.2,acre,,.03,,,11,3,Clear/Sunny
102011290274,d8ae44f0e05540ca8b2cf609bde50981,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.25,acre,,.16,,,10,3,Clear/Sunny
102011290423,9b339f7537c8467baf20ca8e6b602533,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.21,,,12,3,Clear/Sunny
102011290447,1a5874887203409c90433b1c2b3e7f23,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.45,,,12,3,Clear/Sunny
102011290447,1a5874887203409c90433b1c2b3e7f23,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.2,acre,,,,,12,3,Clear/Sunny
102011290521,b952fdff004f45bbb2fa8c798cb46354,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.21,,,10,3,Clear/Sunny
102011290521,b952fdff004f45bbb2fa8c798cb46354,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,10,SQUARE METERS,,,,,9,3,Clear/Sunny
102021300009,6b510080a30a43e8a3f4e1a02dff0467,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.3,acre,,.33,,,11,4,Clear/Sunny
102021300025,63be641f446b4f8086a0f1ffa81b6add,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.4,acre,,1.61,,,11,3,Clear/Sunny
