case_id,hhid,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n14_oth,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n16_oth,hh_n17,hh_n18,hh_n19,hh_n19_oth,hh_n20a,hh_n20b,hh_n20_oth,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_oth,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26b,hh_n26_oth,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n29_oth,hh_n30a1,hh_n30b1,hh_n30c1,hh_n30d1,hh_n30a2,hh_n30b2,hh_n30c2,hh_n30d2,hh_n30a3,hh_n30b3,hh_n30c3,hh_n30d3,hh_n30a4,hh_n30b4,hh_n30c4,hh_n30d4,hh_n30a5,hh_n30b5,hh_n30c5,hh_n30d5,hh_n30a6,hh_n30b6,hh_n30c6,hh_n30d6,hh_n31a1,hh_n31b1,hh_n31c1,hh_n31d1,hh_n31a2,hh_n31b2,hh_n31c2,hh_n31d2,hh_n31a3,hh_n31b3,hh_n31c3,hh_n31d3,hh_n32,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h,hh_n41h_oth
101011020112,2f251fa85857436b8bc97011ef49b193,1,BUYS AND SELLS MAIZE,47,2,,2,2,,0,0,,,May,2016,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,Lack of cash,,,Yes,,,,,2,10,6,10,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,4600,0,1000,1800,0,0,0,0,0,0,0,
101011020122,b4d30795984f4926b4ae8d785caea106,1,KABAZA,49,1,,1,1,,0,0,,,May,2011,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,Lack of cash,,,Yes,,,,,1,24,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,26500,,,,,0,22000,18500,8000,0,0,0,0,0,0,0,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,1,MAKES AND SELLS CHARCOAL,2,2,,2,2,,0,0,,,January,2010,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,yes,Own land,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,8,2,12,2,10,4,12,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,24000,,,,,0,0,22000,0,0,2000,0,0,0,0,0,
101011020157,81b7adc57d8f433bb500d588db7013fd,1,Selling washing soap,47,1,2,1,1,2,0,0,,,September,2010,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,Other (Specify),,CAPITAL SHORTAGE (UNSPECIFIED),No,yes,,,,1,12,9,3,2,21,9,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,61000,,,24000,61000,,,14000,0,42000,8000,0,0,0,0,0,
101011020168,4d61a019440549c59a61dcd5e240221d,1,"""SELLING MANDASI """,47,1,,1,1,,0,0,,,May,2012,Loan from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,28,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,28000,28000,40000,,,,,8000,18000,0,0,0,0,0,0,1500,PERSONAL / HOUSEHOLD USE
101011020200,bd062ea22aa446f79088768b5aeb42c9,1,"""TIMBER CONSTRUCTION BUSINESS """,16,1,,2,1,,1,0,About half,,February,2015,Loan from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,yes,Purchased from someone else,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,14,4,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,16000,,,6000,16000,,,5000,1500,1000,0,0,0,0,0,0,
101011020211,dfc01ccdb1df402ea02ece42b6da4859,1,CHARCOAL BUSINESS,2,1,,1,1,,0,0,,,June,2003,No start-up capital,,,Mobile,,,,Final consumers,Traders,,no,no,no,no,yes,Forest/wild park reserve,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Bad weather,,,Yes,,,,,2,2,4,3,1,13,5,11,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,12000,,,11000,1500,,,120000,100,0,0,0,0,0,0,0,
101011020232,55bd88a435e247a38499356dc01ef67f,1,CHINAKA BUSINESS,47,2,,1,2,,0,0,,,March,2016,Other (specify),,SAVINGS FROM WORK (UNSPECIFIED),Mobile,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,No,no,Lack of cash,,,2,3,6,3,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,3600,,,,,1800,2300,700,1100,450,0,0,0,0,0,300,UNSPECIFIED FEES
101011030142,36f89949d50a40f9a7a1d0b8b6956903,1,SELLINGTIMBER,47,1,,2,1,,0,0,,,August,2008,Own-savings from non-agriculture,,,Traditional market place,,,,Other (specify),Final consumers,FINAL CONSUMER,no,no,no,no,yes,Forest/wild park reserve,,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,low,,,,,Yes,,,,,1,21,7,11,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,,,35000,50000,,,20000,0,0,10000,0,0,0,0,5000,LABOUR FEES/WAGES
101011040032,f400eed29e264fa49662363907672d02,1,SELLINGFIREWOOD,47,1,,1,1,,0,0,,,December,2015,No start-up capital,,,Mobile,,,,Final consumers,,,no,no,no,no,yes,Communal land,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,,,,,Other (Specify),,BUSINESS IS NEW,Yes,,,,,1,4,5,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,,,1200,4000,,,3000,0,0,0,0,0,0,0,0,
101011040046,40dcd6e8a88041c09e55c30c1b37bb2a,1,BUYING AND SELLING TOMATOES,47,2,,1,2,,0,0,,,May,2015,Loan from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,yes,,,,3,6,3,2,2,26,6,9,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,7000,,,3000,18000,,,2000,0,5000,0,0,0,0,0,0,
101011040057,dbfad8566e874eb8935491a9af0da618,1,"""Grocery """,47,1,2,1,1,2,0,0,,,August,2013,Gift from family/friends,,,Commercial area shop,No,,,Final consumers,,,no,no,yes,no,no,,,,,,,,,,,,,,,NOT OPERATE,,,,,,,,,,,,,Not profitable,Other (Specify),BUSY WITH OTHER ACTIVITIES,No,yes,,,,2,29,8,11,1,8,4,10,3,6,3,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,50000,35000,80000,,,,,8000,0,20000,0,0,0,0,0,3300,UNSPECIFIED FEES
101011040093,9e989d2cb9154e7cbd99765f37d34c29,1,"""selling thatching grass """,2,1,,1,1,,0,0,,,June,2013,No start-up capital,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,yes,Communal land,,,NOT OPERATE,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Seasonal work,Not profitable,,No,yes,,,,1,12,6,2,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,4000,4000,,,,,3000,0,0,0,0,0,0,0,0,
101011040139,c0d87be3e5d24f87a020184c049999cf,1,grocery /shop,47,1,,1,1,,0,0,,,May,2004,Loan from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Own-Illness/Need to care for household members,,,No,yes,,,,2,26,2,4,1,30,8,4,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,5000,4000,5000,,,,,1500,0,3500,500,0,0,0,0,0,
101011050067,31b142bf5dd64786ae59e2d877af7628,1,makes and sells mandasi,47,2,,2,2,,0,0,,,January,2012,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,6,10,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,16500,,,0,18500,,,5000,11500,0,0,0,0,0,0,0,
101011050081,7764873d877d489a8025244ef8a916ea,1,BREWING AND SELLING BEER,47,1,,1,1,,0,0,,,June,2008,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,1,4,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,48000,52000,68000,,,,,-500,48000,0,0,0,0,0,0,0,
101011050096,2bb461a1e7a441d4b4cbbd26c8f67382,1,BUYING AND SELLING TOMATOES,47,2,,2,2,,0,0,,,April,2014,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,2,8,6,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,12000,,,0,20000,,,2000,0,100000,0,0,0,0,0,0,
101011050227,42d9cb8792914abfae376b502c5242cd,1,KACHASU BEER BUSINESS,47,2,,2,2,,0,0,,,October,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,Lack of cash,,,Yes,,,,,2,25,6,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,40000,,,40000,60000,,,20000,20000,0,0,0,0,0,0,0,
101011060074,e3d68f1e4eba4e22ad8f9b36be65a6be,1,Selling mandasi,47,2,,2,2,,0,0,,,September,1999,Gift from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2,24,6,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,56000,56000,72000,,,,,19200,32000,0,0,0,0,0,0,4000,UNSPECIFIED FEES
101011060240,59e6561f7dec462e8a56c6ed7ee71bdf,1,BUYING AND SELLING TOMATOES,47,1,2,2,1,2,0,0,,,February,2015,Gift from family/friends,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,2,12,3,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,56000,,,,,36000,50000,16000,0,52000,0,0,0,0,0,0,
101011060276,e5533c9c4f3b464ba0edef04d7b04493,1,BUYS AND SELLS SPIRITS-BEER,47,2,,2,2,,0,0,,,August,2016,Loan from money lender,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,2,20,18,4,1,20,18,3,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,72000,,,,,0,0,18000,0,54000,0,0,0,0,0,0,
101011080009,141a598190d449b9a206076e14abe56c,1,SELLINGMAKAKANIANDSOKOLO,47,2,,1,2,,0,0,,,May,2014,Loan from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,NOT OPERATE,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Not profitable,Other (Specify),BUSY WITH OTHER ACTIVITIES,Yes,,,,,2,11,6,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,5000,,,,,,,1200,0,0,0,0,0,0,0,0,
101011080035,497c0a87e9a246fcb7967ad7bd37fb38,1,GROCERIESSHOP,47,1,,1,1,,0,0,,,October,2008,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,24,8,12,2,15,4,12,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,200000,,,75000,200000,,,60000,0,120000,15000,0,0,0,0,5000,UNSPECIFIED FEES
101011080155,4646abacab934180abfb849459f22287,1,SELLINGBEANS,47,1,,1,1,2,0,0,,,May,2013,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,Lack of cash,Not profitable,,No,yes,,,,1,12,4,6,2,5,3,6,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,14000,6000,17000,,,,,2000,0,0,0,0,0,0,0,0,
101021090111,c3687a5f0fd743b1aaab426bb6dee85a,1,WEAVINGWEANOWERS,2,1,,1,1,,0,0,,,July,2014,Own-savings from agriculture,,,Traditional market place,,,,Traders,Final consumers,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,Lack of credit,Lack of cash,,Yes,,,,,1,8,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,17000,,,6000,20000,,,12000,2000,0,3000,0,0,0,0,0,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,1,MAKING AND SELLING ZITUMBUWA,47,2,,2,2,,0,0,,,April,2013,Gift from family/friends,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,No,yes,,,,2,5,3,9,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,18500,,,,,0,15000,6500,12000,0,0,0,0,0,0,0,
101021100030,01a06fc892d44c048f6c506608135c41,1,MAKING AND SELLING ZITUMBUWA,47,2,,1,2,,0,0,,,October,2011,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,No,yes,,,,2,21,5,10,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,28500,,,,,0,21000,7500,19500,0,0,0,0,0,0,0,
101021100041,30030be4664344f48cdffa84e8b5dfa9,1,BEER BREWING,11,2,,2,2,,0,0,,,March,2013,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,Lack of cash,,,Yes,,,,,2,18,8,12,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,12280,,,,,0,0,9210,3070,0,0,0,0,0,0,0,
101021100143,a183a0d1519b417fb227c3bf6833f6b5,1,BEERBUSINESS(CHIPUMUBEER),11,2,,2,2,,0,0,,,April,1995,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,NOT OPERATE,,,,,,,,,,,Not profitable,Lack of non-labour inputs,,Yes,,,,,2,20,7,8,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,100000,,,,,60000,100000,50000,50000,0,0,0,0,0,0,0,
101021120079,5fdab8a3b4974c93a25d4111b8537761,1,GROCERY,47,1,,1,1,,0,0,,,January,2015,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,average,average,average,average,average,average,average,average,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,30,6,6,2,8,5,2,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,4000,,,3000,6000,,,3500,2000,3000,3000,0,0,0,0,0,
101021120088,4dc7c816227c4b3d9b63eff09785aced,1,OWNINGAGROCERY/SHOP,47,1,2,1,1,2,0,0,,,January,2013,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,yes,no,no,,,average,average,average,average,average,average,average,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,average,,,,,,,,,,,,,,Other (Specify),,FARMING ACTIVITIES TIME,Yes,,,,,2,30,16,9,1,8,16,5,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,75000,,,70000,83000,,,30000,0,60000,14000,0,0,0,0,4000,UNSPECIFIED FEES
