case_id,hhid,ag_l0c,ag_l0c_oth,ag_l01a,ag_l01b,ag_l01b_oth,ag_l02,ag_l03,ag_l04,ag_l06a,ag_l06b,ag_l07a,ag_l07b,ag_l07b_oth,ag_l08,ag_l08_oth,ag_l09,ag_l10,ag_l11,ag_l12,ag_l13,ag_l14a,ag_l14b,ag_l37,ag_l38a,ag_l38b,ag_l38b_oth,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l42b_oth,ag_l43,ag_l44a,ag_l44b,ag_l44b_oth
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,urea,,10,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100112,1066643538b2448bb6f3576d99b93963,Organic Fertilizer,,55,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,yes,55,kilogram,
101021100173,b172ac557f21486cbaf35a846610de85,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,23:21:0+4S/CHITOWE,,25,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,25,kilogram,,On Foot,,0,10500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,urea,,25,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,25,kilogram,,On Foot,,0,9700,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021110025,836edbfc80c94c69b37ece683ba793ee,23:21:0+4S/CHITOWE,,50,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,1,50 KG BAG,,Truck / Bus/ Minibus,,2000,23000,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
101021110025,836edbfc80c94c69b37ece683ba793ee,can,,50,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,1,50 KG BAG,,Truck / Bus/ Minibus,,2000,19500,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
101021110031,1932530af3c64641ad687e22df626239,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021110080,212b7fc57c6244409360297e64fe0a95,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021110086,06329ecc71e5430fadb9d1b4b752806d,23:21:0+4S/CHITOWE,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,.,,,yes,5,kilogram,,,,,
101021110086,06329ecc71e5430fadb9d1b4b752806d,fungicide,,60,liter,,"YES, THE FIGURES MATCHED",no,yes,2,,60,liter,,Truck / Bus/ Minibus,,1000,3500,"Paid in full, with own-savings",,,,.,no,,,,-999999999,,,no,,,,,,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,23:21:0+4S/CHITOWE,,7,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,.,,,yes,7,kilogram,,,,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,fungicide,,20,liter,,"YES, THE FIGURES MATCHED",no,yes,3,,20,liter,,On Foot,,0,1800,"Paid in full, with own-savings",,,,.,no,,,,-999999999,,,no,,,,,,,
101031130010,43da15b392404c87b88b661009658646,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101031130099,720d9bece54b440d9d8f75454d2eb823,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101031140007,765a3f45dc214e938ee78815efb7fcd9,23:21:0+4S/CHITOWE,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,5 KG BAG,,On Foot,,0,3000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101031140007,765a3f45dc214e938ee78815efb7fcd9,urea,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,5 KG BAG,,On Foot,,0,3000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101031140035,c86f5e596dfd4128a54ff60878980c25,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101031140063,493266144833480db51fec24dfab1ad3,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,kilogram,,On Foot,,0,3000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101031140070,163eadee65014697a8b245e2ef6d29b7,23:21:0+4S/CHITOWE,,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,3,kilogram,,On Foot,,0,900,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101031140070,163eadee65014697a8b245e2ef6d29b7,urea,,6,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,6,kilogram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101031140076,3359041e1cf84a61805765d90fe888c6,Organic Fertilizer,,40,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,40,kilogram,
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101201220072,4f095bc5a2cb4e88ac6abf9693274645,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101201220126,3137d33aef354c79a3893ad1299c67b0,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
102011290274,d8ae44f0e05540ca8b2cf609bde50981,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
102021310082,f4623e291cb848d69108a32be83d42b3,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
102021310153,8d7d92d2ad9743e493457857543fcdf0,23:21:0+4S/CHITOWE,.,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,yes,5,kilogram,,,,,
102021310153,8d7d92d2ad9743e493457857543fcdf0,urea,.,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,5,kilogram,,Own Bicycle or Oxcart,,0,1000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,23:21:0+4S/CHITOWE,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,kilogram,,Own Bicycle or Oxcart,,0,8000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,urea,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,10,kilogram,,Own Bicycle or Oxcart,,0,3500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,10 KG BAG,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,urea,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,10 KG BAG,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,OTHER FERTILIZER (SPECIFY),SA,50,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,50 KG BAG,,Own Bicycle or Oxcart,,0,18750,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
102201460108,dd740077bdda4f22a19aeed32aa49570,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103011490056,c53d66cb5b0d40028ef9e5d1a9fc93db,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103011490078,3a6cf555beb1457cb33b89d7eae2f2e0,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103011500110,41207209b17946139ac5b3595bb197c3,Organic Fertilizer,,5,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,5,bucket,,4,,0,no,,,,no,,,
103011500198,ab7d4ea95a884b5faf2a60c5914482a9,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103011500209,9af857c963b947ef9b088c66d8b35061,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103011500230,607dbe75f1c144078d5533439c735f0b,Organic Fertilizer,,3,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,3,bucket,
103041550268,62e206e8acfc4fa8bd272e9209053f33,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103051580104,524e5e1613a64298a6f8337b731da874,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103051580282,78b5289f3e9643e687043eba15237d00,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103071610002,1d62400f2d5b4d87bad4b6b6687f5462,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103071610009,5df9c16f99b5413d854aef3d65e2f90e,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103101650213,cd448e191a6b4afabf6f3a9e871ec9c5,23:21:0+4S/CHITOWE,,25,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,.,,,yes,25,kilogram,,,,,
103101650213,cd448e191a6b4afabf6f3a9e871ec9c5,urea,,25,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,.,,,yes,25,kilogram,,,,,
103121660077,cd87c1ae6f6247a791610f0148dc90a8,Organic Fertilizer,,50,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,50,kilogram,,2,,0,no,,,,no,,,
103121670070,ad2ecea049444414b91da38fa986b46c,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103121670133,6c5378ff2c914065b860dea3ab84016a,Organic Fertilizer,,25,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,25,kilogram,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,23:21:0+4S/CHITOWE,.,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,urea,.,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104011730016,d1587128075c48f88d589d7fd5bb6bdf,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104011730042,0e1721da5d0d4ae9b43a51ead0527ea7,Organic Fertilizer,,50,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,no,,,
104011730119,feb5cf23b9ce4f86aa6d86dc1cce1106,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104011730159,d59f72a96e124548b8d21e55ae92a9ae,23:21:0+4S/CHITOWE,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,20,kilogram,,4,,0,no,,,,,,,
104011730159,d59f72a96e124548b8d21e55ae92a9ae,urea,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,yes,20,kilogram,,,,,
104011740025,b42dfe9761254b8cafc19effdd13425d,Organic Fertilizer,,1,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,1,OTHER (SPECIFY),50 KG BAG,2,,0,no,,,,no,,,
104011770042,c50e32f6a4e74eaaa30c4dd546da8046,Organic Fertilizer,,2,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,2,bucket,,2,,0,no,,,,no,,,
104011770273,92a1d7fad0ea4e6aae1ede4e5529c2fe,Organic Fertilizer,,50,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,50,kilogram,
104011790060,12914a7c16fc4ecbb7fda0f8b2243f23,Organic Fertilizer,,100,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,yes,2,50 KG BAG,
104011790060,12914a7c16fc4ecbb7fda0f8b2243f23,urea,.,15,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,yes,15,kilogram,,,,,
104041850010,24cd76c79f4e47e9bbc60db566e8ce88,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,10,kilogram,,On Foot,,0,10000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
104041850100,e7934eef156d460aa29a5d720cf960e8,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104041850130,e1dc21c97fbf41eaa51389d4a6ab305b,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104041850170,098034d09e5b4fcfb9dfde728b7deafa,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104041850180,eeb094721982434e9329e37f209e9210,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104041860043,a925b3d0984b479c85b99184eb2c96c4,23:21:0+4S/CHITOWE,,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,kilogram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104041860074,483851ba0f754097b92f16cf7e7b8818,Organic Fertilizer,,15,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,15,50 KG BAG,
104041860115,4990e5678b1a4d67891deb59868b4e28,Organic Fertilizer,,100,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,100,kilogram,
104041860115,4990e5678b1a4d67891deb59868b4e28,23:21:0+4S/CHITOWE,,25,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,25,kilogram,,On Foot,,0,7500,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104041860115,4990e5678b1a4d67891deb59868b4e28,OTHER PESTICIDE/ HERBICIDE(SPECIFY),SEPAMETHRANE,300,milliliter,,"YES, THE FIGURES MATCHED",no,yes,2,,300,milliliter,,On Foot,,0,4000,"Paid in full, with own-savings",,,,.,no,0,,,-999999999,,0,no,0,,,,,,
104041860136,ee40da2d83bb4591bac47a2cd1c0fee6,23:21:0+4S/CHITOWE,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,5,kilogram,,On Foot,,0,3500,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104041860136,ee40da2d83bb4591bac47a2cd1c0fee6,urea,,7,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,5,kilogram,,On Foot,,0,3500,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104051870020,55aa2da676e44367999dce7dc070d9d7,23:21:0+4S/CHITOWE,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,10,kilogram,,Truck / Bus/ Minibus,,400,4000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
104051870020,55aa2da676e44367999dce7dc070d9d7,urea,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,10,kilogram,,Truck / Bus/ Minibus,,400,3500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
104051870036,913c32c225514ec7bff1b7e41baaca67,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104051870049,1a4eb6cfb3e64022920c986e2424345b,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104051870108,637a657a4f874a6a800d6e97a3c7eabc,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104051870115,b49eb7613bba41d780ca1085e7062b6b,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104051870121,b48bcb0ff441452589ab77a9315188d9,23:21:0+4S/CHITOWE,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,On Foot,,0,5400,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
104051870121,b48bcb0ff441452589ab77a9315188d9,insecticide,,25,liter,,"YES, THE FIGURES MATCHED",no,yes,5,,25,liter,,On Foot,,0,2260,"Paid in full, with own-savings",,,,.,no,0,,,5,,0,no,0,,,,,,
104071890046,d03e5afc80a34699a8ab239df3726df6,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
104071900179,2f37d92641f046b2baf941f8c0aa24c2,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104071900179,2f37d92641f046b2baf941f8c0aa24c2,urea,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
104071900283,e1344f0d7ca546feb8196e54862f2066,Organic Fertilizer,,3,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,3,50 KG BAG,
104081910019,5ebbbe66932d43d1947485f6b42ee93c,23:21:0+4S/CHITOWE,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,yes,1,10 KG BAG,,,,,
104081910085,fd1f4bf0fb5f4a55b02b01c6e2ae0b93,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
105011970006,2dcdf35d99f247ae97880d0fb61bacb2,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
105011970013,e62147afc7ed48ef9fbf348735aa8017,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
105011970039,25153b50efa54c24b335c502f4c14e73,Organic Fertilizer,,50,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,yes,50,kilogram,
105011970046,c2d52e826e024d919799387bf29cd80e,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
105011970059,025aa6c330234024a159947a74a27cb7,Organic Fertilizer,,175,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,no,,,
105011970059,025aa6c330234024a159947a74a27cb7,23:21:0+4S/CHITOWE,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
105011970059,025aa6c330234024a159947a74a27cb7,urea,.,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,10,kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
105011970059,025aa6c330234024a159947a74a27cb7,insecticide,,8,liter,,"YES, THE FIGURES MATCHED",no,yes,5,,8,liter,,On Foot,,0,600,"Paid in full, with own-savings",,,,.,no,0,,,.,,0,no,0,,,,,,
105011970111,451641988c5e4997a0eb2769423e8225,Organic Fertilizer,,100,kilogram,,"NO, THE ENTRIES IN MODULE K, AND QUESTION 1 OF MODULE L WERE ADJUSTED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,yes,2,50 KG BAG,
105011970111,451641988c5e4997a0eb2769423e8225,23:21:0+4S/CHITOWE,.,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,yes,1,kilogram,,,,,
105011980010,c6a20ebc4ab146d0b971bc5b242ec9d4,Organic Fertilizer,,1,OX CART,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,1,OX CART,,1,,0,no,,,,no,,,
105011980071,20e8ee8fd4e24923990c39ba6f0cda33,Organic Fertilizer,,16,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,yes,16,bucket,,2,,0,no,,,,no,,,
105011980105,7447f0f393ed47d79a8128800a2edcc4,Organic Fertilizer,,2,OTHER (SPECIFY),PAIL,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,2,OTHER (SPECIFY),LARGE PAIL
105011980122,de2fe800ded2494981770ca7ef609b02,Organic Fertilizer,,4,OX CART,,"YES, THE FIGURES MATCHED",no,yes,5,,4,OX CART,,Own Bicycle or Oxcart,,0,6000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,no,,,
