ea_id,com_ci0b,com_ci0b_oth,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
10101104,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101105,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Unallocated Arable Land,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,,,,,Use threat of fine,,Social sanctions,,,,Fully Effective,no,,,no,
10101106,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101106,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,,,,,Use threat of fine,,Social sanctions,,Use the threat of physical punishment,,Fully Effective,no,,,no,
10101107,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101107,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101107,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101107,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101107,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101108,Unallocated Arable Land,,Yes,yes,yes,no,no,yes,Other (Specify),SET UP COMMITTEE TO MONITOR USAGE,,,,,Limitations on number of users at a given time,,,,,,Confiscation of tools/products,,Taking away [RESOURCE] use rights,,Use the threat of physical punishment,,Fully Effective,no,,,no,
10101108,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101108,Forest,,Yes,yes,yes,no,no,no,,,,,,,Limitations on number of users at a given time,,,,,,Taking away [RESOURCE] use rights,,Use the threat of religious sanctions,,,,Somewhat Effective,no,,,no,
10101108,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101108,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102109,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Water Body: Specify,RIVER,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10102110,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102110,Forest,,Yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10102110,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102111,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102111,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102111,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102111,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102111,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102112,Water Body: Specify,RIVER,Yes,no,no,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10102112,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102112,Pasture,,Yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10102112,Forest,,Yes,yes,yes,no,yes,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10102112,Unallocated Arable Land,,Yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10103114,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103114,Water Body: Specify,RIVER,Yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10103114,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103114,Unallocated Arable Land,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10103114,Forest,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10104116,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104116,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104116,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104116,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104116,Forest,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,FREE TO USE,Other (Specify),most of the land is forestry so everyone  uses forest land as they wish,,,Fully Effective,no,,,no,
10104117,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104117,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104117,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104117,Forest,,Yes,no,yes,yes,yes,no,,,,,,,Time restrictions,,,,,,Use the threat of physical punishment,,,,,,Somewhat Effective,no,,,no,
10104117,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104118,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104118,Unallocated Arable Land,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,Use the threat of Physical punishment,,,,No restrictions,,,,,,Confiscation of tools/products,,Use the threat of physical punishment,,,,Fully Effective,no,,,no,
10104118,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104118,Forest,,Yes,yes,yes,yes,no,yes,Use the threat of Physical punishment,,Use the threat of Fine,,Use guards,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10104118,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105119,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105119,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105119,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105119,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105119,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105120,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105120,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105120,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105120,Unallocated Arable Land,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,Use the threat of Physical punishment,,,,Other (Specify),GET PERMISSION BEFORE USE,,,,,Taking away [RESOURCE] use rights,,Social sanctions,,Use the threat of physical punishment,,Fully Effective,no,,,no,
10105120,Water Body: Specify,RIVER,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10105121,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105121,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105121,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105121,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105121,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Water Body: Specify,LAKE,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10201127,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201129,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201129,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201129,Water Body: Specify,KAPOLO,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10201129,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201129,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202131,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202131,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202131,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202131,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202131,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Pasture,,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10203133,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Water Body: Specify,LAKE,Yes,no,no,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10203135,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203136,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203136,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203136,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203136,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203136,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203137,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203137,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203137,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203137,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203137,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204141,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204141,Forest,,Yes,yes,yes,no,yes,yes,Use guards,,Use the threat of Physical punishment,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10204141,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204141,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204141,Water Body: Specify,RIVER,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10205142,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205143,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205143,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205143,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205143,Water Body: Specify,LAKE,Yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10205143,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205144,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205144,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205144,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205144,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205144,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Forest,,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10301150,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10302152,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10302152,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302152,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302152,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302152,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302153,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302153,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302153,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302153,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302153,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10303154,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303154,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303154,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303154,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303154,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304155,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304155,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304155,Water Body: Specify,LAKE,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,yes,CONVERT INTO WILDLIFE PARK LAND,,no,
10304155,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304155,Forest,,Yes,no,yes,no,no,no,,,,,,,No restrictions,,,,,,Confiscation of tools/products,,,,,,Fully Effective,yes,CONVERT INTO FOREST RESERVE,,no,
10304156,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304156,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304156,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304156,Forest,,Yes,yes,yes,no,no,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10304156,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
