ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg35c_oth,com_cg36,com_cg37
10203136,C,,,,,
10203136,A,drought,drought,,2015,3/4
10203136,,Events that made people better off,,,,
10203136,D,,,,,
10203136,A,Relief Money by World vision,,,,
10203136,,Events that made people worse off,,,,
10203136,B,,,,,
10203136,D,,,,,
10203137,B,,,,,
10203137,A,drought,drought,,2013,ALMOST ALL
10203137,,Events that made people worse off,,,,
10203137,B,Floods,flood,,2013,1/4
10203137,,Events that made people better off,,,,
10203137,C,,,,,
10203137,D,,,,,
10203137,C,,,,,
10203137,D,,,,,
10203137,A,Relief food,,,,
10204138,A,MEDICAL FACILITIES,,,,
10204138,D,,,,,
10204138,,Events that made people worse off,,,,
10204138,D,,,,,
10204138,B,,,,,
10204138,,Events that made people better off,,,,
10204138,B,"""HIGH COST OF FERTILIZER """,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10204138,C,,,,,
10204138,C,,,,,
10204138,A,FLOODS,flood,,2015,3/4
10204139,,Events that made people better off,,,,
10204139,D,,,,,
10204139,A,drought,drought,,2015,3/4
10204139,B,,,,,
10204139,,Events that made people worse off,,,,
10204139,B,,,,,
10204139,C,,,,,
10204139,A,Icrisat Pegion Peas Project,,,,
10204139,C,,,,,
10204139,D,,,,,
10204140,D,,,,,
10204140,C,,,,,
10204140,,Events that made people better off,,,,
10204140,,Events that made people worse off,,,,
10204140,B,,,,,
10204140,C,,,,,
10204140,A,IMPROVEMENT OF MEDICAL FACILITY,,,,
10204140,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10204140,D,,,,,
10204140,B,HIGH COST OF MAIZE,SHARP CHANGE IN PRICES,,2015,ALMOST ALL
10204141,B,hunger,OTHER GOOD (SPECIFY),FAMINE,2014,ALMOST ALL
10204141,D,,,,,
10204141,C,,,,,
10204141,C,,,,,
10204141,A,Drought,drought,,2014,ALMOST ALL
10204141,B,,,,,
10204141,D,,,,,
10204141,,Events that made people better off,,,,
10204141,,Events that made people worse off,,,,
10204141,A,Improvement of Wovwe Electricity Scheme,,,,
10205142,B,,,,,
10205142,A,CONSTRUCTION OF BOREHORES,,,,
10205142,C,,,,,
10205142,,Events that made people better off,,,,
10205142,D,,,,,
10205142,,Events that made people worse off,,,,
10205142,B,,,,,
10205142,D,,,,,
10205142,C,,,,,
10205142,A,HIGH FERTILIZER COST,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10205143,A,Floods,flood,,2016,3/4
10205143,,Events that made people worse off,,,,
10205143,B,,,,,
10205143,C,,,,,
10205143,A,Masaf project,,,,
10205143,D,,,,,
10205143,,Events that made people better off,,,,
10205143,B,,,,,
10205143,D,,,,,
10205143,C,,,,,
10205144,A,NEW CLINIC Nearby,,,,
10205144,C,,,,,
10205144,C,,,,,
10205144,D,,,,,
10205144,,Events that made people better off,,,,
10205144,B,,,,,
10205144,A,IRREGULAR RAINS,drought,,2015,ALMOST ALL
10205144,B,,,,,
10205144,,Events that made people worse off,,,,
10205144,D,,,,,
10220145,,Events that made people worse off,,,,
10220145,D,,,,,
10220145,,Events that made people better off,,,,
10220145,C,,,,,
10220145,A,Drought,drought,,2015,3/4
10220145,B,,,,,
10220145,C,,,,,
10220145,D,,,,,
10220145,B,Cholera,HUMAN EPIDEMIC DISEASE,,2014,1/2
10220145,A,,,,,
10220146,D,,,,,
10220146,C,,,,,
10220146,D,,,,,
10220146,A,NEW EMPLOYMENT OPPORTUNITIES,,,,
10220146,B,,,,,
10220146,C,,,,,
10220146,A,FLOODS,flood,,2016,ALMOST ALL
10220146,B,,,,,
10220146,,Events that made people worse off,,,,
10220146,,Events that made people better off,,,,
10220147,B,high food prices,OTHER GOOD (SPECIFY),PRICES FLUCTUATION OF COMMODITIES,2014,3/4
10220147,D,,,,,
10220147,,Events that made people better off,,,,
10220147,D,,,,,
10220147,A,closure of Kayerekela,,,,
10220147,C,,,,,
10220147,,Events that made people worse off,,,,
10220147,A,Earth quakes,OTHER GOOD (SPECIFY),EARTHQUAKE,2013,3/4
10220147,B,,,,,
10220147,C,,,,,
10301148,B,,,,,
10301148,C,,,,,
10301148,,Events that made people better off,,,,
10301148,A,CONSTRUCTION  OF A SCHOOL BLOCK.,,,,
10301148,A,DROUGHT,drought,,2014,3/4
10301148,D,,,,,
10301148,C,,,,,
10301148,D,,,,,
10301148,,Events that made people worse off,,,,
10301148,B,FALLING DOWN OF HOUSES,OTHER BAD (SPECIFY),,2016,3/4
10301149,,Events that made people worse off,,,,
10301149,,Events that made people better off,,,,
10301149,D,,,,,
10301149,C,,,,,
10301149,B,CONSTRUCTION OF SEED BAG HOUSE AND IT'S LIBRARY,,,,
10301149,A,HIGH COST OF FARM INPUTS,SHARP CHANGE IN PRICES,,2016,1/4
10301149,C,,,,,
10301149,B,SCARCITY OF MEDICINE IN THE HOSPITAL,HUMAN EPIDEMIC DISEASE,,2016,3/4
10301149,D,,,,,
10301149,A,MAINTENANCE OF BRIDGE,,,,
10301150,A,CONSTRUCTION  OF  SHALLOW  WELLS,,,,
10301150,B,MAINTENANCE  OF  BRIDGE,,,,
10301150,C,LACK OF MARKETS,OTHER BAD (SPECIFY),,2015,1/2
10301150,D,LACK OF TRANSPORT ON HOSPITAL,OTHER BAD (SPECIFY),,2015,3/4
10301150,,Events that made people better off,,,,
10301150,A,DROUGHT,drought,,2015,1/2
10301150,,Events that made people worse off,,,,
10301150,B,FLOODS,flood,,2014,1/4
10301150,D,CONSTRUCTION  OF  TOILETS AT THE HOSPITAL,,,,
10301150,C,INTRODUCTION  OF  ELECTRICITY,,,,
10301151,C,HEAVY RAINS DESTROYED  MAIZE,OTHER BAD (SPECIFY),,2016,1/2
10301151,A,FLOODS,flood,,2015,1/2
10301151,C,,,,,
10301151,A,"""INTRODUCTION OF SHALLOW WELLS """,,,,
10301151,B,NEW WAYS OF FARMING,,,,
10301151,D,,,,,
10301151,,Events that made people worse off,,,,
10301151,,Events that made people better off,,,,
10301151,B,OUTBREAK OF FORE AMY WORMS,CROP DISEASE/PESTS,,2016,3/4
10301151,D,DROUGHT,drought,,2016,1/2
10302152,D,,,,,
10302152,C,LOW YIELDS DUE TO LATE RECEIVING OF SUBSIDY INPUTS,OTHER BAD (SPECIFY),,2016,1/4
10302152,B,SHORTAGE OF SAFE DRINKING WATER,OTHER BAD (SPECIFY),,2014,1/2
10302152,C,,,,,
10302152,A,CONSTRUCTION OF TEACHER'S HOUSES,,,,
10302152,A,DESTRUCTION  OF  HOUSES DUE  TO HEAVY  RAINS,OTHER BAD (SPECIFY),,2016,ALMOST NONE
10302152,,Events that made people worse off,,,,
10302152,,Events that made people better off,,,,
10302152,B,CONSTRUCTION  OF COUNSELING HOUSE,,,,
10302152,D,,,,,
10302153,B,OUTBREAK OF FORE ARMY WORMS IN MAIZE,CROP DISEASE/PESTS,,2016,3/4
10302153,D,OUTBREAK  OF MALARIA DISEASE,HUMAN EPIDEMIC DISEASE,,2016,1/4
10302153,B,CONSTRUCTION OF  SHALLOW WELLS,,,,
10302153,,Events that made people better off,,,,
10302153,C,DROUGHT,drought,,2016,3/4
10302153,A,HIGH PRICES OF COMMODITIES,OTHER BAD (SPECIFY),,2015,3/4
10302153,D,,,,,
10302153,A,GOOD MARKET OF RICE,,,,
10302153,C,CONSTRUCTION OF PRIMARY SCHOOL,,,,
10302153,,Events that made people worse off,,,,
10303154,B,FOOT AND MOUTH DISEASE IN CATTLE,LIVESTOCK DISEASE,,2014,1/4
10303154,A,CONSTRUCTION OF  BRIDGE,,,,
10303154,,Events that made people worse off,,,,
10303154,C,SHORTAGE OF WATER,OTHER BAD (SPECIFY),,2014,1/2
10303154,C,,,,,
10303154,A,DROUGHT,drought,,2013,1/4
10303154,B,TAUGHT NEW WAYS OF FARMING,,,,
10303154,D,,,,,
10303154,,Events that made people better off,,,,
10303154,D,""" STRONG WINDS""",OTHER BAD (SPECIFY),,2015,ALMOST NONE
10304155,C,,,,,
10304155,C,,,,,
10304155,,Events that made people worse off,,,,
10304155,A,HUNGER,drought,,2016,3/4
10304155,,Events that made people better off,,,,
10304155,B,LACK OF EMPOYMENT,MASSIVE JOB LAY-OFFS,,2015,1/4
10304155,A,MASAF WORK,,,,
10304155,D,,,,,
10304155,B,,,,,
10304155,D,,,,,
10304156,B,CONSTRUCTION OF SCHOOL BLOCKS,,,,
10304156,A,MAINTENANCE  OF THE ROAD,,,,
10304156,D,,,,,
10304156,B,HEAVY RAINS,OTHER BAD (SPECIFY),,2015,1/4
10304156,,Events that made people better off,,,,
10304156,,Events that made people worse off,,,,
10304156,C,HIGH PRICES OF COMMODITIES,SHARP CHANGE IN PRICES,,2015,1/2
10304156,D,SHORTAGE OF DRUGS ON OUR NEAREST HEALTH CLNIC.,NEW HEALTH FACILITY,,2014,3/4
10304156,C,PROVISION OF SOLARS,,,,
10304156,A,FLOODS,flood,,2015,1/2
10305157,B,DISEASES OF BANANAS AND CASSAVA.,CROP DISEASE/PESTS,,2016,3/4
10305157,D,OUTBREAK OF SKIN RASHES,HUMAN EPIDEMIC DISEASE,,2016,1/4
10305157,A,INTRODUCTION OF PRIMARY SCHOOL,,,,
10305157,C,OUTBREAK OF NEW CASTLE DISEASE IN CHICKENS.,LIVESTOCK DISEASE,,2016,1/2
10305157,,Events that made people better off,,,,
10305157,A,DROUGHT,drought,,2014,3/4
10305157,B,NEW WAYS OF FARMING,,,,
10305157,,Events that made people worse off,,,,
10305157,C,INTRODUCTION  OF  BOREHOLES,,,,
10305157,D,,,,,
10305158,D,,,,,
10305158,,Events that made people worse off,,,,
10305158,B,NEW CASTLE DISEASE,LIVESTOCK DISEASE,,2014,3/4
10305158,B,INTRODUCTION OF ELECTRICITY,,,,
10305158,A,FOOT AND MOUTH DISEASE OF CATTLE,LIVESTOCK DISEASE,,2015,1/4
10305158,D,,,,,
10305158,,Events that made people better off,,,,
10305158,C,,,,,
10305158,A,CONSTRUCTION OF SCHOOL BLOCKS,,,,
10305158,C,SHORTAGE OF WATER,OTHER BAD (SPECIFY),,2013,3/4
10306159,C,INTRODUCTION OF PIPED WATER,,,,
10306159,C,DROUGHT,drought,,2016,3/4
10306159,D,STRONG WINDS DESTROYED HOUSES,OTHER BAD (SPECIFY),,2016,1/4
10306159,,Events that made people better off,,,,
10306159,A,FLOODS,flood,,2014,1/4
10306159,D,,,,,
10306159,,Events that made people worse off,,,,
10306159,B,FORE AMY WORMS IN MAIZE,CROP DISEASE/PESTS,,2016,3/4
10306159,B,CONSTRUCTION OF NURSERY SCHOOL,,,,
10306159,A,CONSTRUCTION OF SCHOOL BLOCKS,,,,
10306160,,Events that made people worse off,,,,
10306160,B,CONSTRUCTION OF A SCHOOL BLOCK,,,,
10306160,D,,,,,
10306160,A,INTRODUCTION  OF A VILLAGE CLINIC,,,,
10306160,C,INTRODUCTION OF AN IRRIGATION SCHEME,,,,
10306160,C,,,,,
10306160,,Events that made people better off,,,,
10306160,B,POOR HARVEST,OTHER BAD (SPECIFY),,2015,ALMOST ALL
10306160,A,FLOODS,flood,,2015,1/2
10306160,D,,,,,
10307161,A,DROUGHT,drought,,2016,3/4
10307161,C,SOIL EROSION,flood,,2016,3/4
10307161,B,HIGH COST OF FOOD,SHARP CHANGE IN PRICES,,2016,3/4
10307161,,Events that made people better off,,,,
10307161,,Events that made people worse off,,,,
10307161,D,HIGH RATE OF DROWNING,OTHER BAD (SPECIFY),,2015,1/4
10307161,D,,,,,
10307161,C,construction of Nursery school,,,,
10307161,A,ROAD MENTANANCE,,,,
10307161,B,TREE PLANTING PROJECT,,,,
10308162,B,,,,,
10308162,A,CONSTRUCTION OF  BOREHOLES,,,,
10308162,,Events that made people better off,,,,
10308162,D,,,,,
10308162,B,OUTBREAK  OF NEW CASTLE DISEASE FOR CHICKENS,LIVESTOCK DISEASE,,2015,3/4
10308162,A,DROUGHT,drought,,2014,3/4
10308162,D,,,,,
10308162,C,,,,,
10308162,C,,,,,
10308162,,Events that made people worse off,,,,
10309163,A,SHORTAGE OF TEACHERS,OTHER BAD (SPECIFY),,2014,1/2
10309163,C,,,,,
10309163,D,,,,,
10309163,,Events that made people better off,,,,
10309163,B,,,,,
10309163,D,,,,,
10309163,B,OUTBREAK OF FORE AMY WORMS,CROP DISEASE/PESTS,,2016,3/4
10309163,,Events that made people worse off,,,,
10309163,A,INTRODUCTION OF PIPED WATER,,,,
10309163,C,OUTBREAK OF NEW CASTLE DISEASE,LIVESTOCK DISEASE,,2016,3/4
10309164,A,FLOODS,flood,,2012,3/4
10309164,D,,,,,
10309164,A,INTRODUCTION OF VILLAGE  HEALTH CLINIC,,,,
10309164,,Events that made people better off,,,,
10309164,D,,,,,
10309164,C,DROUGHT,drought,,2016,3/4
10309164,B,INTRODUCTION  OF PIPED WATER,,,,
10309164,B,OUTBREAK OF CHOLERA DISEASE,HUMAN EPIDEMIC DISEASE,,2014,ALMOST NONE
10309164,C,,,,,
10309164,,Events that made people worse off,,,,
10310165,D,THE OUTBREAK OF MALARIA,HUMAN EPIDEMIC DISEASE,,2016,3/4
10310165,,Events that made people better off,,,,
10310165,B,HIGH PRICES OF COMMODITIES,OTHER BAD (SPECIFY),,2014,3/4
10310165,A,CONSTRUCTION OF COMMUNITY DAY SECONDARY SCHOOL.,,,,
10310165,C,THE OUTBREAK OF  STALK BORER PESTS,CROP DISEASE/PESTS,,2016,3/4
10310165,C,INCREASE OF CROP AND LIVESTOCK PRODUCTION,,,,
10310165,A,DROUGHT,drought,,2015,3/4
10310165,D,,,,,
10310165,,Events that made people worse off,,,,
10310165,B,NEW SCHOOL BLOCKS,,,,
10312166,C,CONSTRUCTION  OF  TOILETS  AT SCHOOL,,,,
10312166,,Events that made people better off,,,,
10312166,B,HIGH PRICES OF COMMODITIES,OTHER BAD (SPECIFY),,2013,1/2
10312166,B,CONSTRUCTION OF  TEACHER'S  OFFICE,,,,
10312166,,Events that made people worse off,,,,
10312166,C,SHORTAGE OF TEACHER'S AT THE PRIMARY SCHOOL,NEW SCHOOL,,2014,1/2
10312166,D,"""STALK BORERS OUTBREAK """,CROP DISEASE/PESTS,,2016,3/4
10312166,D,,,,,
10312166,A,HEAVY RAINS WITH STRONG WINDS,OTHER BAD (SPECIFY),,2014,1/2
10312166,A,INTRODUCTION  OF PIPED WATER,,,,
10312167,C,,,,,
10312167,D,,,,,
10312167,A,MASAF WORK,,,,
10312167,,Events that made people better off,,,,
10312167,A,hunger,drought,,2015,3/4
10312167,,Events that made people worse off,,,,
10312167,B,,,,,
10312167,C,,,,,
10312167,D,,,,,
10312167,B,,,,,
10312168,B,HEAVY RAINS,OTHER BAD (SPECIFY),,2015,ALMOST ALL
10312168,D,,,,,
10312168,,Events that made people better off,,,,
10312168,A,FLOODS,flood,,2016,3/4
10312168,D,,,,,
10312168,B,CONSTRUCTION  OF  COMMUNITY  DAY SECONDARY SCHOOL,,,,
10312168,C,,,,,
10312168,C,DROUGHT,drought,,2015,ALMOST ALL
10312168,,Events that made people worse off,,,,
10312168,A,CONSTRUCTION OF SCHOOL BLOCKS,,,,
10312169,D,SWINE FEVER DISEASE IN PIGS,LIVESTOCK DISEASE,,2014,ALMOST NONE
10312169,C,DISEASES  OF CASSAVA,CROP DISEASE/PESTS,,2016,1/4
10312169,B,STRONG WINDS DESTROYED  HOUSES,OTHER BAD (SPECIFY),,2016,ALMOST NONE
10312169,A,FLOODS,flood,,2016,ALMOST NONE
10312169,D,CONSTRUCTION  OF SHALLOW WELLS,,,,
10312169,A,CONSTRUCTION OF UNDER FIVE CLINIC,,,,
10312169,,Events that made people better off,,,,
10312169,,Events that made people worse off,,,,
10312169,C,CONSTRUCTION OF BRIDGES,,,,
10312169,B,CONSTRUCTION OF TEACHER'S HOUSE,,,,
10320170,C,OUTBREAK OF SWINE FEVER  DISEASES FOR PIGS,LIVESTOCK DISEASE,,2014,3/4
10320170,,Events that made people worse off,,,,
10320170,D,,,,,
10320170,B,DISEASES OF BANANAS,CROP DISEASE/PESTS,,2014,3/4
10320170,A,DROUGHT,drought,,2014,3/4
10320170,B,INTRODUCTION OF PIPED WATER,,,,
10320170,D,OUTBREAK  OF NEW CASTLE DISEASE FOR CHICKENS,LIVESTOCK DISEASE,,2015,3/4
10320170,C,CONSTRUCTION  OF TEACHER'S HOUSE,,,,
10320170,,Events that made people better off,,,,
10320170,A,MAINTENANCE  OF GRAVEL ROAD,,,,
10320171,A,DROUGHT,drought,,2015,3/4
10320171,C,,,,,
