case_id,hhid,gardenid,ag_i203_2,ag_i204a_1,ag_i204a_2,ag_i204a_3,ag_i204a_4,ag_i204b_1,ag_i204b_2,ag_i202,ag_i203,ag_i203_oth,ag_i203_1a,ag_i203_1b,ag_i204_1,ag_i204_1oth,ag_i204_2a_1,ag_i204_2a_2,ag_i204_2a_3,ag_i204_2a_4,ag_i204_2b_1,ag_i204_2b_2,ag_i204_3,ag_i204_3_oth,ag_i204_4a_1,ag_i204_4a_2,ag_i204_4a_3,ag_i204_4a_4,ag_i204_4b_1,ag_i204_4b_2,ag_i204_5,ag_i204_6a_1,ag_i204_6a_2,ag_i204_6a_3,ag_i204_6a_4,ag_i204_6b_1,ag_i204_6b_2,ag_i204_7,ag_i204_8a_1,ag_i204_8a_2,ag_i204_8a_3,ag_i204_8a_4,ag_i204_8b_1,ag_i204_8b_2,ag_i204_9,ag_i205,ag_i206,ag_i208a,ag_i208a_oth,ag_i208b,ag_i208c,ag_i208c_oth,ag_i208d,ag_i209a,ag_i209b,ag_i212,ag_i212_oth,ag_i213a,ag_i213b,ag_i213_1a,ag_i213_1b,ag_i214,ag_i214_oth,ag_i216a,ag_i216a_oth,ag_i216b,ag_i216c,ag_i216c_oth,ag_i216d,ag_i217a,ag_i217b
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,1999,1,2,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,150000,500000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,DG01,2012,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,2,,,,,no,,,,,,,no,300000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101021090225,d2eff8458cbc4973bd19540049a785b6,DG01,2000,1,2,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,200000,7000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,DG01,2010,2,,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,45000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,4,,1,2,Cultivated,,,,,,,,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,DG01,2015,1,2,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,30000,3000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,6,,1,2,Cultivated,,,,,,,,,
101021100061,97cf255d846147d4a761af2f93534d47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,DG01,2013,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,2,,,,,no,500000,6000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,1,2,Cultivated,,,,,,,,,
101021100082,6877f51463284bab9776e27ac99ffe4e,DG01,2015,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,50000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,2,Cultivated,,,,,,,,,
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,DG01,2012,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,,,,,,no,200000,10000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,,Cultivated,,,,,,,,,
101021100112,1066643538b2448bb6f3576d99b93963,DG01,1994,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,1000000,15000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,1,2,Cultivated,,,,,,,,,
101021100173,b172ac557f21486cbaf35a846610de85,DG01,1970,1,,,,,,2,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,80000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,,Cultivated,,,,,,,,,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,DG01,2013,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,6,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,60000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,6,,1,2,Cultivated,,,,,,,,,
101021110025,836edbfc80c94c69b37ece683ba793ee,DG01,1990,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,100000,15000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,
101021110031,1932530af3c64641ad687e22df626239,DG01,1989,1,2,,,,,1,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,no,,,,,,,yes,1,2,,,,,no,50000,7000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101021110080,212b7fc57c6244409360297e64fe0a95,DG01,2013,1,2,3,4,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,no,,,,,,,yes,1,,,,,,no,240000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101021110086,06329ecc71e5430fadb9d1b4b752806d,DG01,1998,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,2,,,,,no,50000,5000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,DG01,,,,,,,,1,BORROWED FOR FREE,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,2,Cultivated,,,,,,,,,
101031130010,43da15b392404c87b88b661009658646,DG01,2009,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,40000,3000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031130099,720d9bece54b440d9d8f75454d2eb823,DG01,2012,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,,,,,,,,no,,,,,,,,no,,,,,,,yes,1,2,,,,,no,100000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140007,765a3f45dc214e938ee78815efb7fcd9,DG01,2007,1,,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,35000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140035,c86f5e596dfd4128a54ff60878980c25,DG01,2012,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,35000,10000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140063,493266144833480db51fec24dfab1ad3,DG01,2001,1,2,,,,,2,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,no,40000,10000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140070,163eadee65014697a8b245e2ef6d29b7,DG01,2014,1,,,,,,1,GIFT FROM NON-HOUSEHOLD MEMBER,,3,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,,,,,,no,20000,1000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140076,3359041e1cf84a61805765d90fe888c6,DG01,1992,1,2,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,yes,500000,7000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,DG01,2015,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,70000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,DG01,1999,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,650000,9000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,DG01,2014,1,,,,1,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,1,,no,,,,,1,,no,40000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
101201220072,4f095bc5a2cb4e88ac6abf9693274645,DG01,,,,,,,,2,BORROWED FOR FREE,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,Cultivated,,,,,,,,,
101201220126,3137d33aef354c79a3893ad1299c67b0,DG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102011290274,d8ae44f0e05540ca8b2cf609bde50981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102021310082,f4623e291cb848d69108a32be83d42b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102021310153,8d7d92d2ad9743e493457857543fcdf0,DG01,,,,,,,,1,RENT SHORT-TERM,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,,0,,,,2000,0,Full Year (Rainy & Dimba Seasons),,2,,1,2,Cultivated,,,,,,,,,
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,DG01,2007,1,2,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,300000,6000,,,,,,,,,Other (Specify),,1,,1,2,Cultivated,,,,,,,,,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,DG01,1978,2,,,,,,2,GIFT FROM NON-HOUSEHOLD MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,2,,,,,yes,1,2,,,,,no,150000,45000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
102201460108,dd740077bdda4f22a19aeed32aa49570,DG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102201460108,dd740077bdda4f22a19aeed32aa49570,DG02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103011490056,c53d66cb5b0d40028ef9e5d1a9fc93db,DG01,2015,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,11500,9000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
103011490078,3a6cf555beb1457cb33b89d7eae2f2e0,DG01,1996,1,,,,,,3,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,60000,20000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
103011500110,41207209b17946139ac5b3595bb197c3,DG01,2009,1,,,,,,1,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,20000,3000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
103011500198,ab7d4ea95a884b5faf2a60c5914482a9,DG01,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103011500209,9af857c963b947ef9b088c66d8b35061,DG01,1990,1,,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,20000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
103011500230,607dbe75f1c144078d5533439c735f0b,DG01,1992,1,2,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,10000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
103041550268,62e206e8acfc4fa8bd272e9209053f33,DG01,,,,,,,,1,MOVED IN WITHOUT PERMISSION,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,Cultivated,,,,,,,,,
103051580104,524e5e1613a64298a6f8337b731da874,DG01,,,,,,,,2,MOVED IN WITHOUT PERMISSION,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Cultivated,,,,,,,,,
103051580282,78b5289f3e9643e687043eba15237d00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103071610002,1d62400f2d5b4d87bad4b6b6687f5462,DG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103071610009,5df9c16f99b5413d854aef3d65e2f90e,DG01,1988,2,,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,2,,,,,,yes,1,,,,,,no,100000,20000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
103101650213,cd448e191a6b4afabf6f3a9e871ec9c5,DG01,,,,,,,,1,PURCHASED WITHOUT TITLE,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,
103121660077,cd87c1ae6f6247a791610f0148dc90a8,DG01,2000,1,,,,,,2,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,50000,10000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
103121670070,ad2ecea049444414b91da38fa986b46c,DG01,2005,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,200000,30000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
103121670133,6c5378ff2c914065b860dea3ab84016a,DG01,2000,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,80000,5000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,DG01,1996,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,50000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,1,,Cultivated,,,,,,,,,
104011730016,d1587128075c48f88d589d7fd5bb6bdf,DG01,,,,,,,,1,MOVED IN WITHOUT PERMISSION,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Cultivated,,,,,,,,,
104011730042,0e1721da5d0d4ae9b43a51ead0527ea7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104011730119,feb5cf23b9ce4f86aa6d86dc1cce1106,DG01,,,,,,,,1,RENT SHORT-TERM,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,,0,,,,4500,0,Full Year (Rainy & Dimba Seasons),,4,,1,,Cultivated,,,,,,,,,
104011730159,d59f72a96e124548b8d21e55ae92a9ae,DG01,,,,,,,,2,RENT SHORT-TERM,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,,0,,,,7000,0,Other (Specify),DIMBA SEASON,7,,2,,Cultivated,,,,,,,,,
104011740025,b42dfe9761254b8cafc19effdd13425d,DG01,1990,1,,,,,,1,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,yes,250000,20000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104011770042,c50e32f6a4e74eaaa30c4dd546da8046,DG01,,,,,,,,1,RENT SHORT-TERM,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,0,Full Year (Rainy & Dimba Seasons),,1,,1,2,Cultivated,,,,,,,,,
104011770273,92a1d7fad0ea4e6aae1ede4e5529c2fe,DG01,9999,1,,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,no,100000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104011790060,12914a7c16fc4ecbb7fda0f8b2243f23,DG01,2007,1,2,,,1,,1,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,2,,,,,no,20000,8000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,,Cultivated,,,,,,,,,
104041850010,24cd76c79f4e47e9bbc60db566e8ce88,DG01,,,,,,,,1,RENT SHORT-TERM,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,,0,,,,4000,0,Full Year (Rainy & Dimba Seasons),,3,,1,2,Cultivated,,,,,,,,,
104041850100,e7934eef156d460aa29a5d720cf960e8,DG01,2008,1,,,,,,2,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,,,,,,no,150000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104041850130,e1dc21c97fbf41eaa51389d4a6ab305b,DG01,1992,1,2,,,,,2,ALLOCATED BY FAMILY MEMBER,,2,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,50000,4000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104041850170,098034d09e5b4fcfb9dfde728b7deafa,DG01,2015,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,1,,yes,1,,,,1,,no,30000,2000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104041850180,eeb094721982434e9329e37f209e9210,DG01,1970,1,2,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,35000,3000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
104041860043,a925b3d0984b479c85b99184eb2c96c4,DG01,,,,,,,,1,BORROWED FOR FREE,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,Cultivated,,,,,,,,,
104041860074,483851ba0f754097b92f16cf7e7b8818,DG01,,,,,,,,1,PURCHASED WITHOUT TITLE,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,
104041860115,4990e5678b1a4d67891deb59868b4e28,DG01,2003,1,,,,,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,,,,,,,,no,,,,,,,,yes,1,,,,,,yes,1,,,,,,no,50000,5000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,
104041860136,ee40da2d83bb4591bac47a2cd1c0fee6,DG01,,,,,,,,1,RENT SHORT-TERM,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,,0,,,,2500,0,Other (Specify),DIMBA SEASON,6,,1,,Cultivated,,,,,,,,,
104051870020,55aa2da676e44367999dce7dc070d9d7,DG01,2006,1,,,,2,,1,ALLOCATED BY FAMILY MEMBER,,2,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,3,,,2,,no,120000,8000,,,,,,,,,Other (Specify),DIMBA SEASON,2,,1,3,Cultivated,,,,,,,,,
104051870036,913c32c225514ec7bff1b7e41baaca67,DG01,1990,1,2,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,.,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,no,75000,15000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,1,2,Cultivated,,,,,,,,,
104051870049,1a4eb6cfb3e64022920c986e2424345b,DG01,,,,,,,,1,OTHER (SPECIFY),FOUND IT FREE AND OCCUPIED,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,Cultivated,,,,,,,,,
104051870108,637a657a4f874a6a800d6e97a3c7eabc,DG01,2015,1,,,,1,,1,ALLOCATED BY FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,no,,,,,,,yes,1,,,,1,,no,450000,20000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,,Gave out for free,,,,,,,,,
104051870115,b49eb7613bba41d780ca1085e7062b6b,DG01,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104051870121,b48bcb0ff441452589ab77a9315188d9,DG01,1991,1,2,,,1,,2,INHERITED BY THE DEATH OF A FAMILY MEMBER,,1,,no,.,,,,,,,no,,,,,,,,yes,1,,,,1,,yes,1,,,,1,,no,40000,5000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,1,,1,,Cultivated,,,,,,,,,
104071890046,d03e5afc80a34699a8ab239df3726df6,DG01,,,,,,,,1,BORROWED FOR FREE,,,,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,Cultivated,,,,,,,,,
104071900179,2f37d92641f046b2baf941f8c0aa24c2,DG01,1999,2,,,,,,2,GRANTED BY LOCAL LEADERS,,,,no,,,,,,,,no,,,,,,,,no,,,,,,,no,,,,,,,no,100000,20000,,,,,,,,,Full Year (Rainy & Dimba Seasons),,,,,,Cultivated,,,,,,,,,
