case_id,hhid,CostsID,fs_f04,fs_f04_oth,fs_f05
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,4,yes,,5000
106012200044,a76b724c2f83402d8decd8eaf428326e,1,yes,,6000
106012200044,a76b724c2f83402d8decd8eaf428326e,2,yes,,7000
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,2,yes,,5800
106012200096,d9e64ae237c5421495e282d113f1b33c,1,yes,,4000
106012200096,d9e64ae237c5421495e282d113f1b33c,2,yes,,10000
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,2,yes,,2000
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,2,yes,,6000
106012200154,15301a838151412593a5aaa0a9ee3dd4,2,yes,,17200
106012210032,e582a4d6e6a9412a86d4b162d1993ba6,2,yes,,10000
106012210083,c6147f79ff9e4a7ebc0b750678530acd,2,yes,,10000
106012210096,8897f4ccfd9a442699d5d4a5df36ad32,2,yes,,8000
106012210135,8f83af46a9364299825f1bbff6c76b06,2,yes,,10000
106012210148,c5e469c7fc2441398185c7f79b5ece13,2,yes,,11000
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,1,yes,,15000
106012220058,5424559a24a244fa9e09001adf3b7338,2,yes,,3500
106012220058,5424559a24a244fa9e09001adf3b7338,3,yes,,1000
106012220100,1b3b07c731f049e3aaaf2a381aa34112,2,yes,,5600
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,1,yes,,7500
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,2,yes,,32000
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,3,yes,,6000
106012220216,db8f2497fb26445b812c09f0489579de,6,yes,"""Buying Firewood """,3000
106012220236,8fe45ed101d248b69bfbec8dff4e906d,1,yes,,5000
106012220271,7084ffb8fe874654a9760d30a398bca4,2,yes,,15000
106012230025,543c2daae0a74ab4ae162333c2a8773c,2,yes,,10000
106012230025,543c2daae0a74ab4ae162333c2a8773c,3,yes,,2500
106012230025,543c2daae0a74ab4ae162333c2a8773c,5,yes,,1500
106012230076,b8efd333b2634467b5b1792e5ced2351,1,yes,,2000
106012230139,268577bab7d041518347492975d84a26,2,yes,,3900
106012230177,a21dcb576aab47498258a551704d0e1a,2,yes,,3500
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,1,yes,,6000
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,2,yes,,4500
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,1,yes,,6000
106012240077,7806a20262774f9a8ee03b614d519d3f,2,yes,,5000
106012240118,c93e664735a04fbcb7b64d6373f9d187,2,yes,,10000
106012240213,5be039c8d1b847cab12920c270d4550b,2,yes,,8000
106012250073,f5c2b9e0a1564d72ad39e5451938a74d,1,yes,,10000
106012250073,f5c2b9e0a1564d72ad39e5451938a74d,2,yes,,8000
106012250125,12ab5c1acc054bbe96f5891e1bbbef35,1,yes,,5000
106012250146,e860248dd75d4a31b23797207e238d3a,1,yes,,5000
106012260040,8b0ebd3d0c924e9a9b4bd21cc002d741,1,yes,,8000
106012260130,24f61a0bb3ae4063aa695299a1c2a06f,1,yes,,5000
106012260130,24f61a0bb3ae4063aa695299a1c2a06f,2,yes,,4000
106012270069,7e11ef02f9b34c8e9c4c53e77030ba51,2,yes,,10000
106012270237,a4ff3f3e76a34cb7b272ec5035aac380,2,yes,,8000
106012270293,2ac54c7210634102a098006563a6109e,1,yes,,8000
106012270293,2ac54c7210634102a098006563a6109e,3,yes,,7000
106012280009,78b197b91ead4fb9b1e4169ed8a70414,2,yes,,11000
106012280047,de883c94d8d34853b61115cdd00fdf46,2,yes,,8000
106012280086,6c0b94731eee47a2b5f6df8121cf5a88,1,yes,,8000
106012280086,6c0b94731eee47a2b5f6df8121cf5a88,2,yes,,5000
106012280112,4d7b3586ebbb4dbe8fc6c8aa42001680,1,yes,,2000
106012280112,4d7b3586ebbb4dbe8fc6c8aa42001680,2,yes,,10000
106012280125,d51a234aa5ad4429b8b6544e6fc7f9ef,2,yes,,5000
106012290014,3791687e2dce4cb0a821cc40e1168138,1,yes,,1500
106012290014,3791687e2dce4cb0a821cc40e1168138,2,yes,,10000
106012290014,3791687e2dce4cb0a821cc40e1168138,3,yes,,3000
106012290028,d07e0bc3673e4f3999f6d05ef71292c0,2,yes,,5000
106012290035,69ba1df06ccf48db9ddecb90fe7e939b,1,yes,,2000
106012290035,69ba1df06ccf48db9ddecb90fe7e939b,2,yes,,2000
106012290099,e6b53d2272664802be315ddb143b7ca6,2,yes,,8000
106012290148,75d146ba5d274fe5a5ce4d5839b79d90,1,yes,,8000
106202300013,61ee173f98a8446aaa4958952332d3a8,2,yes,,8500
107322320200,8ac2991da71f46e1b385efaf513c6fb6,2,yes,,10000
107322330277,3b9aff7d8c404323a58199ee00fcd049,2,yes,,1800
107332340503,d5be36c2998a48a68ac4c1ba6410543e,2,yes,,15000
107332340910,358e06d5b8524baa882ce3d0c260cbd9,2,yes,,1200
107362430282,a4fe5fe843c14aee824c609b106c60d5,2,yes,,6000
107362430500,bc4b9c77aa524ecc8c32cd5dad9ac1b1,2,yes,,5000
107362450085,facbe5743ed6473bbf36171476664030,2,yes,,12000
201012550061,af53298f2257416d92bb0a6387f4c8b6,2,yes,,800
201202780377,3aa902aca4bf4ecea0d28df88dab9a8a,5,yes,,700
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,2,yes,,1200
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,5,yes,,300
202012790040,7241cd8f32ff4106b55025b4a6f5d740,1,yes,,4500
202012790058,3d3b7a43da3d48799c2091f8a6f74da8,1,yes,,20000
202012790082,f3931272aa644e458f05c63146321d94,2,yes,,6000
202012790121,73039d062d694c268787010492da465f,2,yes,,2000
202012800326,3fbd7b37724e455dacc437a553c71494,4,yes,,1000
202012820295,a3ff4ca2b2d0422ca90b696d1555b361,2,yes,,1200
202012830237,f1e45c98b9aa4142aa04d55d518d6618,1,yes,,9000
202012830237,f1e45c98b9aa4142aa04d55d518d6618,2,yes,,14700
202032900124,0d032afe0afd4b21aad2c2d193047d54,2,yes,,5000
202032900124,0d032afe0afd4b21aad2c2d193047d54,4,yes,,2000
202042920250,df201e07e33d498e88849bae523fe4fb,1,yes,,20000
202042920250,df201e07e33d498e88849bae523fe4fb,2,yes,,15000
202042930039,4a44c65028c0441ebcec6279f89cd169,2,yes,,15000
202052940093,61c9e748bb344bc3ba535a8178b69293,2,yes,,5500
202052960016,708689c50f3e464baf957a6322770d1f,2,yes,,3000
202052980446,9e675de9b63c42e7a24eb9a8501cfecd,2,yes,,8000
202052980446,9e675de9b63c42e7a24eb9a8501cfecd,3,yes,,2500
204013290361,d0e7292b2751426d8dbccb604e7a5637,2,yes,,800
204073490117,cec7d1c2f9e94674af21c60ec197216b,6,yes,PLASTIC BAGS,40
204073490314,55979eee64554e1289d1d0def5e2c98d,2,yes,,4000
205013520002,c98aa0e64d244cf282e499f933bd9013,2,yes,,6000
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,1,yes,,5000
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,2,yes,,15000
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,3,yes,,4500
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,4,yes,,4000
205073660215,6be01cfaa04340bba2fe0bfaddaea4f7,2,yes,,58500
205073660215,6be01cfaa04340bba2fe0bfaddaea4f7,3,yes,,15000
205073690098,6309510319224b90a8b1c9a7b86d1d8a,1,yes,,40000
206023810092,19999a7f57e14193a4c9da2c6912cae9,2,yes,,2000
206023810554,f1d320e5dee143feb8d0a61d8a17ac13,2,yes,,1500
207204340029,ab04801d0c304c8d9b9847efd92646d1,2,yes,,5000
208074560039,81a57628687f42b982a6f9bc5c4c67dd,1,yes,,50000
210374850023,727b994c7d5645c79c25721f927f4db6,2,yes,,12000
210554990115,a0c88c606aba4243919fc58a511ecf92,1,yes,,10500
210554990115,a0c88c606aba4243919fc58a511ecf92,2,yes,,3500
210554990115,a0c88c606aba4243919fc58a511ecf92,4,yes,,3500
210805070191,ed21f28c6ce84bbbba2e339a1133791e,1,yes,,20000
210805070191,ed21f28c6ce84bbbba2e339a1133791e,2,yes,,10000
210805080289,94707d2cf0d0412e89fbac899ad7b35b,2,yes,,3000
210865120474,d7b785220d5f4c0f97941d0db6959d61,2,yes,,5000
210875140870,b390fcb5bd0f4a16adc6b6aa9c2ede77,2,yes,,1000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,1,yes,,30000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,2,yes,,50000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,3,yes,,5000
210875151070,e8705d98dfd04f49a6b97f4e407ba94e,2,yes,,500
301015200213,b1996666a3424c91ba9b4e65358293f2,2,yes,,1400
301025240017,f461be67c7ff4396b43392d0274e262e,2,yes,,3600
301035250264,99c9b70b452f42adb3653c2fbdac459f,2,yes,,1000
301035250264,99c9b70b452f42adb3653c2fbdac459f,3,yes,,300
301035280256,f43028dc885a427aac52422c3df57cf4,2,yes,,3000
301035280256,f43028dc885a427aac52422c3df57cf4,4,yes,,500
301055320260,85bde2595a884ce7b4a397db85b877dd,2,yes,,4500
301065340227,1e3682f76ba944d387b91829b93c0f6f,2,yes,,500
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,2,yes,,2000
301215420102,8fe404afd210435ebf7f864bb9439bd9,2,yes,,35000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,1,yes,,5000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,2,yes,,3000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,3,yes,,3000
301215420387,46a12026a67544e99cd141708ce0698c,2,yes,,8000
302015440278,27c8b4f27c694ba4b642b7519c491401,5,yes,,200
302035540060,4bf25f3de9f34ebf91fc9fc3775d4d95,2,yes,,2500
302035540271,d7ff56ed5b444e3493fd0b78d27a9cc5,2,yes,,10000
302225660326,74bc7010bacb4017a8aae5c7777b0798,4,yes,,200
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,1,yes,,1500
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,2,yes,,5000
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,3,yes,,1200
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,6,yes,Market fees,500
303015690120,922113266ae24517a43844caa8a37750,2,yes,,1200
303025700103,0eb287db17c24a99999f8988247a7abd,3,yes,,1000
303025700103,0eb287db17c24a99999f8988247a7abd,4,yes,,1000
303025700103,0eb287db17c24a99999f8988247a7abd,6,yes,MARKET FEES,100
303025730018,cceb5c77d3e84c32986566ca1771284d,1,yes,,60000
303025730018,cceb5c77d3e84c32986566ca1771284d,2,yes,,2800
303025730018,cceb5c77d3e84c32986566ca1771284d,4,yes,,6000
303025730018,cceb5c77d3e84c32986566ca1771284d,5,yes,,2500
303055780289,1be1a225a48d412ba1cab999e4834d5d,3,yes,,380
303055780289,1be1a225a48d412ba1cab999e4834d5d,6,yes,COUNCIL RATES,400
303055800023,4dd8a0e807d04c03a2bf1155f21b36bb,3,yes,,250
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,3,yes,,1000
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,6,yes,Council rates,400
303055820216,7a23a24a40fd4f1d8e9768779ce9fb36,3,yes,,2000
303055820216,7a23a24a40fd4f1d8e9768779ce9fb36,6,yes,Council rates,400
304015920124,af4a9f1c63364ea69500412b8f26c274,2,yes,,600
304025950424,6987648215c242c8b6d495d7142a3237,2,yes,,1000
304025980144,b94c59bd9c184e95ac23128e2295d938,2,yes,,1500
304036040048,981d44710cb94b1d8014424f53f1c3a0,2,yes,,5000
305016170215,0516be73b8c246a98c954963f4bde6cc,2,yes,,1600
305016190456,d9525b0f771f455096b7c2c792aa21cf,2,yes,,800
305016190456,d9525b0f771f455096b7c2c792aa21cf,6,yes,council rates,300
306026510196,9d4449ecd0cb48c6a6d42832a895f56f,2,yes,,1000
307086750075,e0401c946e5c4ba48085bacd60bac87a,2,yes,,2000
307106830175,1c161fa67069488e8c3fbecbaa794851,2,yes,,1200
308057040251,f8d95247df0f4a5fb80ce2e6ae6b0217,2,yes,,1000
308057040251,f8d95247df0f4a5fb80ce2e6ae6b0217,6,yes,shade renting,2000
308207100056,462be412cdc7434fae547cf40bdcd14e,2,yes,,15000
308207100056,462be412cdc7434fae547cf40bdcd14e,3,yes,,6000
308207100056,462be412cdc7434fae547cf40bdcd14e,4,yes,,3500
309017130078,0efc68515967476cb7731b9a3aa6e407,1,yes,,10000
309017130078,0efc68515967476cb7731b9a3aa6e407,2,yes,,5000
309017210120,9b4f8d0572834553baa0b8b9d8b23e5c,3,yes,,1600
309027280038,16e326ad87924bd5941f15f3a800c567,2,yes,,4000
309027280038,16e326ad87924bd5941f15f3a800c567,3,yes,,2500
310037450096,7153c2c65b0d45e8acce91b1a2318529,2,yes,,12000
310037490103,a69cb4b685ad49d5aca705ae92733104,2,yes,,3000
311057710280,544b3d6ccd84498d85911c4649a17139,1,yes,,10000
311057710280,544b3d6ccd84498d85911c4649a17139,2,yes,,20000
311057710280,544b3d6ccd84498d85911c4649a17139,3,yes,,5000
311057710280,544b3d6ccd84498d85911c4649a17139,4,yes,,25000
311057710280,544b3d6ccd84498d85911c4649a17139,5,yes,,20000
311057710308,4658ff81394f4c798120107d9b2bfde2,2,yes,,2000
311067750056,8452d6e2e58d4ef38043d23768dfeb15,1,yes,,1000
311067750056,8452d6e2e58d4ef38043d23768dfeb15,2,yes,,300
312047990066,2ebe9c08289c4087935012dfc9f5ce45,3,yes,,160
312047990066,2ebe9c08289c4087935012dfc9f5ce45,4,yes,,300
313018070014,090c129e99c04721937dfd9c90edcba2,2,yes,,70000
313018070048,cc01320b172b411681e05f7252144c7d,1,yes,,1000
313018070048,cc01320b172b411681e05f7252144c7d,2,yes,,12000
313018070067,c24c51d7535247bf88d327efaa31a3e5,2,yes,,4000
313038230214,fca3fb36419040eaa13c5bdc2a8b40dd,2,yes,,3000
313068290048,3cfcd91201b54ab883b4b490d6762d10,2,yes,,1000
314318320128,2aba7338613b4eebb963a0cee9c9ab43,2,yes,,600
314318320128,2aba7338613b4eebb963a0cee9c9ab43,3,yes,,340
314318320128,2aba7338613b4eebb963a0cee9c9ab43,6,yes,City fees,900
314358370415,dd156401fbe44f2db6c547347da9cc79,2,yes,,300
314358370415,dd156401fbe44f2db6c547347da9cc79,3,yes,,100
314378420017,517c7c83d45240b39542015b350195aa,2,yes,,1400
314378420017,517c7c83d45240b39542015b350195aa,3,yes,,600
314388430049,1e8e6b36417d4b0b9fff118f9b059117,2,yes,,3000
314388430049,1e8e6b36417d4b0b9fff118f9b059117,5,yes,,900
314388450011,f478fb201e6348658245b54bf778e6aa,2,yes,,20000
314388450011,f478fb201e6348658245b54bf778e6aa,3,yes,,4000
314428510040,78103eec633f4f3a90cc0cc4d429f1d3,2,yes,,2000
