case_id,hhid,gardenid,plotid,ag_j04_1,ag_j04_2a,ag_j04_2b,ag_j05a,ag_j05b,ag_j05b_oth,ag_j05c,ag_j06e,ag_j06e_oth,ag_j07,ag_j07_1,ag_j08
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,RG02,D01,A RAINY SEASON GARDEN,RG02,,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090225,d2eff8458cbc4973bd19540049a785b6,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.03,,,9,2,Clear/Sunny
101021100020,63ed8484afcc4d81a94787f181daaa9c,DG01,D01,A DIMBA SEASON GARDEN,,DG01,20,SQUARE METERS,,.15,,,9,4,Clear/Sunny
101021100061,97cf255d846147d4a761af2f93534d47,RG01,D01,A RAINY SEASON GARDEN,RG01,,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,DG01,D01,A DIMBA SEASON GARDEN,,DG01,,,,,LONG DISTANCE OUTSIDE THIS DISTRICT,,,,
101021100082,6877f51463284bab9776e27ac99ffe4e,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.4,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,,,,,
101021100112,1066643538b2448bb6f3576d99b93963,RG02,D01,A RAINY SEASON GARDEN,RG02,,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021100173,b172ac557f21486cbaf35a846610de85,RG01,D01,A RAINY SEASON GARDEN,RG01,,.7,acre,,.52,,,9,3,Clear/Sunny
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.3,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021110025,836edbfc80c94c69b37ece683ba793ee,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,Partly Cloudy / Partly Sunny
101021110031,1932530af3c64641ad687e22df626239,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021110080,212b7fc57c6244409360297e64fe0a95,DG01,D01,A DIMBA SEASON GARDEN,,DG01,,,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021110086,06329ecc71e5430fadb9d1b4b752806d,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101031130010,43da15b392404c87b88b661009658646,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101031130099,720d9bece54b440d9d8f75454d2eb823,DG01,D01,A DIMBA SEASON GARDEN,,DG01,,,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101031140007,765a3f45dc214e938ee78815efb7fcd9,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101031140035,c86f5e596dfd4128a54ff60878980c25,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.15,,,11,2,Clear/Sunny
101031140063,493266144833480db51fec24dfab1ad3,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.22,,,12,3,Clear/Sunny
101031140070,163eadee65014697a8b245e2ef6d29b7,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.06,,,11,3,Clear/Sunny
101031140076,3359041e1cf84a61805765d90fe888c6,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.17,,,11,3,Partly Cloudy / Partly Sunny
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.2,,,11,3,Clear/Sunny
101031140104,2f91f9906b3c4c6ab0c363655380ad10,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.3,acre,,.21,,,11,3,Clear/Sunny
101201220072,4f095bc5a2cb4e88ac6abf9693274645,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.22,,,12,2,Clear/Sunny
101201220126,3137d33aef354c79a3893ad1299c67b0,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
102011290274,d8ae44f0e05540ca8b2cf609bde50981,RG01,D01,A RAINY SEASON GARDEN,RG01,,.25,acre,,.16,,,10,3,Clear/Sunny
102021310082,f4623e291cb848d69108a32be83d42b3,RG01,D01,A RAINY SEASON GARDEN,RG01,,.5,acre,,.8,,,11,3,Clear/Sunny
102021310153,8d7d92d2ad9743e493457857543fcdf0,RG02,D01,A RAINY SEASON GARDEN,RG02,,.5,acre,,.29,,,12,3,Clear/Sunny
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,RG01,D01,A RAINY SEASON GARDEN,RG01,,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,Clear/Sunny
102041410031,bdfc54401c7b4caf8c616d40f77c617b,RG02,D01,A RAINY SEASON GARDEN,RG02,,,,,,,,,,
103011490056,c53d66cb5b0d40028ef9e5d1a9fc93db,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.35,,,10,3,Clear/Sunny
103011490078,3a6cf555beb1457cb33b89d7eae2f2e0,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.29,,,10,3,Partly Cloudy / Partly Sunny
103011500110,41207209b17946139ac5b3595bb197c3,DG01,D01,A DIMBA SEASON GARDEN,,DG01,100,SQUARE METERS,,.01,,,11,3,Clear/Sunny
103011500209,9af857c963b947ef9b088c66d8b35061,DG01,D01,A DIMBA SEASON GARDEN,,DG01,20,SQUARE METERS,,.06,,,11,3,Clear/Sunny
103011500230,607dbe75f1c144078d5533439c735f0b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,50,SQUARE METERS,,.03,,,10,3,Clear/Sunny
103041550268,62e206e8acfc4fa8bd272e9209053f33,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,.83,,,11,4,Rainy
103051580104,524e5e1613a64298a6f8337b731da874,DG01,D01,A DIMBA SEASON GARDEN,,DG01,50,SQUARE METERS,,.18,,,11,3,Clear/Sunny
103051580282,78b5289f3e9643e687043eba15237d00,RG01,D01,A RAINY SEASON GARDEN,RG01,,.5,acre,,.22,,,9,3,Partly Cloudy / Partly Sunny
103051580282,78b5289f3e9643e687043eba15237d00,RG01,D02,A RAINY SEASON GARDEN,RG01,,.5,acre,,.21,,,9,3,Partly Cloudy / Partly Sunny
103071610009,5df9c16f99b5413d854aef3d65e2f90e,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.36,,,11,3,Clear/Sunny
103101650213,cd448e191a6b4afabf6f3a9e871ec9c5,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.25,,,6,3,Clear/Sunny
103121660077,cd87c1ae6f6247a791610f0148dc90a8,DG01,D01,A DIMBA SEASON GARDEN,,DG01,50,SQUARE METERS,,.05,,,10,3,Clear/Sunny
103121670070,ad2ecea049444414b91da38fa986b46c,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,1,,,10,3,Partly Cloudy / Partly Sunny
103121670133,6c5378ff2c914065b860dea3ab84016a,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.13,,,8,3,Partly Cloudy / Partly Sunny
104011730016,d1587128075c48f88d589d7fd5bb6bdf,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.14,,,9,3,Clear/Sunny
104011730042,0e1721da5d0d4ae9b43a51ead0527ea7,RG02,D01,A RAINY SEASON GARDEN,RG02,,1,acre,,.73,,,9,3,Clear/Sunny
104011730119,feb5cf23b9ce4f86aa6d86dc1cce1106,DG01,D01,A DIMBA SEASON GARDEN,,DG01,30,SQUARE METERS,,.04,,,10,3,Clear/Sunny
104011730159,d59f72a96e124548b8d21e55ae92a9ae,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.16,,,10,3,Clear/Sunny
104011740025,b42dfe9761254b8cafc19effdd13425d,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.2,,,12,3,Clear/Sunny
104011770042,c50e32f6a4e74eaaa30c4dd546da8046,DG01,D01,A DIMBA SEASON GARDEN,,DG01,50,SQUARE METERS,,.05,,,10,3,Clear/Sunny
104011770273,92a1d7fad0ea4e6aae1ede4e5529c2fe,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,,,9,3,Clear/Sunny
104011790060,12914a7c16fc4ecbb7fda0f8b2243f23,DG01,D01,A DIMBA SEASON GARDEN,,DG01,50,SQUARE METERS,,.24,,,9,3,Clear/Sunny
104041850010,24cd76c79f4e47e9bbc60db566e8ce88,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
104041850100,e7934eef156d460aa29a5d720cf960e8,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.03,,,12,3,Mostly Clear / Mostly Sunny
104041850130,e1dc21c97fbf41eaa51389d4a6ab305b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.13,,,10,3,Clear/Sunny
104041850170,098034d09e5b4fcfb9dfde728b7deafa,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.21,,,9,3,Clear/Sunny
104041850180,eeb094721982434e9329e37f209e9210,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
104041860043,a925b3d0984b479c85b99184eb2c96c4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.04,,,11,3,Completely Cloudy
104041860074,483851ba0f754097b92f16cf7e7b8818,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.65,,,9,3,Mostly Cloudy / Considerable Cloudiness
104041860115,4990e5678b1a4d67891deb59868b4e28,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.13,,,9,3,Completely Cloudy
104041860136,ee40da2d83bb4591bac47a2cd1c0fee6,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.11,,,8,3,Completely Cloudy
104051870020,55aa2da676e44367999dce7dc070d9d7,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.02,,,9,3,Clear/Sunny
104051870036,913c32c225514ec7bff1b7e41baaca67,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,,,,,
104051870108,637a657a4f874a6a800d6e97a3c7eabc,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.24,,,10,3,Clear/Sunny
104051870121,b48bcb0ff441452589ab77a9315188d9,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.2,acre,,,,,,,
104071890046,d03e5afc80a34699a8ab239df3726df6,DG01,D01,A DIMBA SEASON GARDEN,,DG01,20,SQUARE METERS,,.06,,,10,3,Clear/Sunny
104071900179,2f37d92641f046b2baf941f8c0aa24c2,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.22,,,10,3,Mostly Clear / Mostly Sunny
104071900179,2f37d92641f046b2baf941f8c0aa24c2,RG01,D01,A RAINY SEASON GARDEN,RG01,,,,,,,,,,
104071900283,e1344f0d7ca546feb8196e54862f2066,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.12,,,10,3,Mostly Clear / Mostly Sunny
104081910019,5ebbbe66932d43d1947485f6b42ee93c,DG01,D01,A DIMBA SEASON GARDEN,,DG01,100,SQUARE METERS,,.53,,,10,3,Clear/Sunny
105011970013,e62147afc7ed48ef9fbf348735aa8017,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.08,,,10,3,Clear/Sunny
105011970039,25153b50efa54c24b335c502f4c14e73,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.05,,,11,3,Clear/Sunny
105011970046,c2d52e826e024d919799387bf29cd80e,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.01,,,11,3,Clear/Sunny
105011970046,c2d52e826e024d919799387bf29cd80e,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.07,,,11,3,Clear/Sunny
105011970059,025aa6c330234024a159947a74a27cb7,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.05,,,8,3,Clear/Sunny
105011970059,025aa6c330234024a159947a74a27cb7,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.04,acre,,.02,,,9,3,Clear/Sunny
105011970059,025aa6c330234024a159947a74a27cb7,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.04,acre,,.02,,,10,3,Clear/Sunny
105011970059,025aa6c330234024a159947a74a27cb7,DG01,D04,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.05,,,10,3,Clear/Sunny
105011970059,025aa6c330234024a159947a74a27cb7,DG01,D05,A DIMBA SEASON GARDEN,,DG01,.2,acre,,.1,,,10,3,Clear/Sunny
105011970111,451641988c5e4997a0eb2769423e8225,DG01,D01,A DIMBA SEASON GARDEN,,DG01,10,SQUARE METERS,,.09,,,11,3,Clear/Sunny
105011970111,451641988c5e4997a0eb2769423e8225,DG01,D02,A DIMBA SEASON GARDEN,,DG01,20,SQUARE METERS,,.2,,,11,3,Clear/Sunny
105011980010,c6a20ebc4ab146d0b971bc5b242ec9d4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,,,,,,,,,
105011980071,20e8ee8fd4e24923990c39ba6f0cda33,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.4,acre,,.46,,,12,3,Mostly Cloudy / Considerable Cloudiness
105011980105,7447f0f393ed47d79a8128800a2edcc4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.2,acre,,,OTHER (SPECIFY),FLOODED,,,
105011980105,7447f0f393ed47d79a8128800a2edcc4,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.2,acre,,,OTHER (SPECIFY),FLOODED,,,
105011980122,de2fe800ded2494981770ca7ef609b02,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,,OTHER (SPECIFY),FLOODED,,,
105011980191,7bae69c3e69749b39ac5a43455ee5bd8,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.29,,,11,3,Clear/Sunny
105011980191,7bae69c3e69749b39ac5a43455ee5bd8,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.04,,,11,3,Clear/Sunny
105011980191,7bae69c3e69749b39ac5a43455ee5bd8,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.05,,,11,3,Clear/Sunny
105022000014,9b68cedb0d9043a2afc997421b1bf310,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,OTHER (SPECIFY),FLOODED,,,
105022000058,cecc19af2e0f43ddb3e518dc88f22713,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.06,,,10,3,Clear/Sunny
105022000058,cecc19af2e0f43ddb3e518dc88f22713,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.15,acre,,.03,,,10,3,Clear/Sunny
105022000058,cecc19af2e0f43ddb3e518dc88f22713,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.02,,,11,3,Clear/Sunny
105022000072,8a5e4492221e48b3af2d29c709134dc0,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,,,,,
105022010127,706dc57e5d094975aa145056deb3e74b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,25,SQUARE METERS,,.2,,,10,3,Clear/Sunny
105022010127,706dc57e5d094975aa145056deb3e74b,DG01,D02,A DIMBA SEASON GARDEN,,DG01,5,SQUARE METERS,,.07,,,10,3,Clear/Sunny
105022010280,1e2ab03feb0b4b8aa6a197b3b874473f,DG01,D01,A DIMBA SEASON GARDEN,,DG01,30,SQUARE METERS,,.2,,,10,3,Clear/Sunny
105022010280,1e2ab03feb0b4b8aa6a197b3b874473f,DG01,D02,A DIMBA SEASON GARDEN,,DG01,30,SQUARE METERS,,.07,,,10,3,Clear/Sunny
105022020063,ec1a5e3ddac4401dae21cd5862d347d8,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,OTHER (SPECIFY),FLOODED,,,
105022020063,ec1a5e3ddac4401dae21cd5862d347d8,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,OTHER (SPECIFY),FLOODED,,,
105022020063,ec1a5e3ddac4401dae21cd5862d347d8,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,OTHER (SPECIFY),FLOODED,,,
105022020063,ec1a5e3ddac4401dae21cd5862d347d8,DG01,D04,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,OTHER (SPECIFY),FLOODED,,,
105022030198,e3652b13b7e84c48b696f51de01b79d5,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.38,,,11,3,Clear/Sunny
105032050060,de0e525ed0c34bad85c5dec4ca1048c4,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.08,,,11,3,Clear/Sunny
105032050060,de0e525ed0c34bad85c5dec4ca1048c4,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.05,,,11,3,Clear/Sunny
105032050060,de0e525ed0c34bad85c5dec4ca1048c4,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.2,acre,,.1,,,11,3,Clear/Sunny
105032050060,de0e525ed0c34bad85c5dec4ca1048c4,DG01,D04,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.01,,,11,3,Clear/Sunny
105032050180,a01f25b3c0b14e0fb86dc4f07a46754b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,12,SQUARE METERS,,.05,,,9,3,Clear/Sunny
105032060016,7490a13e8f594768bc8d9fa9b94eec18,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,OTHER (SPECIFY),FLOODED,,,
105032060049,430fc75a461d4c64bb3e9092230a9bac,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1.5,acre,,,OTHER (SPECIFY),FLOODED,,,
105032060057,ca795b6a5b7c4834b392d59dbf7a4823,DG01,D01,A DIMBA SEASON GARDEN,,DG01,8,SQUARE METERS,,0,,,10,3,Clear/Sunny
105032060091,9a36c4bd2976443cab2ba70aa8fc6f28,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.2,acre,,.05,,,9,3,Clear/Sunny
105042070030,48e83f28d8b9426591c2a2e8446fca35,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,,OTHER (SPECIFY),FLOODED,,,
105042070030,48e83f28d8b9426591c2a2e8446fca35,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.15,acre,,,OTHER (SPECIFY),FLOODED,,,
105042070030,48e83f28d8b9426591c2a2e8446fca35,DG01,D03,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,OTHER (SPECIFY),FLOODED,,,
105052100133,eef8bb38aa394a97915144cbaa33a265,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,.7,,,10,3,Mostly Clear / Mostly Sunny
105062110014,55485d16f27649dcb46d9b06961387dc,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.4,acre,,.05,,,12,3,Clear/Sunny
105062110028,14c33cc8fde64dfaa9ccec3c1131c109,DG01,D01,A DIMBA SEASON GARDEN,,DG01,10,SQUARE METERS,,.12,,,12,3,Clear/Sunny
105062110042,c6d73f63ef1c47fbb3fa5a54fe5ae033,DG01,D01,A DIMBA SEASON GARDEN,,DG01,25,SQUARE METERS,,.01,,,10,3,Clear/Sunny
105062110255,a2b9329f40a54de5b4df5b650e0b0383,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.3,acre,,.12,,,12,3,Mostly Clear / Mostly Sunny
105062110255,a2b9329f40a54de5b4df5b650e0b0383,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.2,acre,,.05,,,12,3,Mostly Clear / Mostly Sunny
105062120029,c730ca40adc241e2a004e599a92afcd5,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
105062120087,984444435d654380a624ac679abcf2ee,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.04,,,10,3,Clear/Sunny
105062120099,d3668aac6ce2407086d39e50836b1d33,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.32,,,12,3,Clear/Sunny
105062120122,8898457296724b959bdb007da8d83a1d,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.66,,,12,3,Partly Cloudy / Partly Sunny
105062120134,c8779802e14d45ad8ecdb6266b29049d,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,1.13,,,10,3,Mostly Cloudy / Considerable Cloudiness
105072130440,809f065358244612afa33340f34e33fc,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,.48,,,11,3,Clear/Sunny
105072140048,8fa7f51c3dd448b4bc95d5fce4b0444e,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.18,,,10,3,Mostly Cloudy / Considerable Cloudiness
105072140060,37b36c1a8b2f4c77b10d19a55d7f3b54,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.23,,,10,3,Partly Cloudy / Partly Sunny
105072140173,19e7cea004b848b6bb8622179de22524,DG01,D01,A DIMBA SEASON GARDEN,,DG01,30,SQUARE METERS,,.16,,,11,3,Mostly Clear / Mostly Sunny
105072140198,da36ed05591e4042a3fe650d23a409ce,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.4,acre,,.28,,,12,3,Clear/Sunny
105082150020,52e28aa88123496a9d1e6c8a77b557ec,RG01,D01,A RAINY SEASON GARDEN,RG01,,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
105082150042,ebde2566b4394d87ba71b996d8da3b80,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.3,acre,,.21,,,10,3,Mostly Cloudy / Considerable Cloudiness
105082150064,14ead7b4140e4ddf92be9113ff85e644,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.3,acre,,.1,,,9,3,Completely Cloudy
105082150093,3adae65a0a7b4e988e8196b9efac5a2f,DG01,D01,A DIMBA SEASON GARDEN,,DG01,10,SQUARE METERS,,.01,,,,,
105082150093,3adae65a0a7b4e988e8196b9efac5a2f,DG01,D02,A DIMBA SEASON GARDEN,,DG01,15,SQUARE METERS,,.02,,,11,3,Completely Cloudy
105082160109,d1c17fbf983e4c4f9ae8f2ba4bf48a63,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,,OTHER (SPECIFY),FLOODED,,,
105082160109,d1c17fbf983e4c4f9ae8f2ba4bf48a63,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.15,acre,,,OTHER (SPECIFY),FLOODED,,,
105102180233,2ef4b1d919264aa0a51f43e57e5e6d3f,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.04,,,10,3,Clear/Sunny
105102180233,2ef4b1d919264aa0a51f43e57e5e6d3f,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.4,acre,,.09,,,10,3,Clear/Sunny
105102180269,cd9bb62795ac49e184882a20011838a6,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.44,,,11,3,Clear/Sunny
105102180269,cd9bb62795ac49e184882a20011838a6,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.03,,,10,3,Clear/Sunny
105202190624,e41faff95818480fad4f0903cda4d66a,DG01,D01,A DIMBA SEASON GARDEN,,DG01,10,SQUARE METERS,,.01,,,12,3,Clear/Sunny
107312310059,6608aecf4a574cdeb0d6e03febe82e87,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.15,,,11,3,Clear/Sunny
107312310059,6608aecf4a574cdeb0d6e03febe82e87,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.5,acre,,.12,,,10,3,Clear/Sunny
107312310084,39a7a77554fb46aea77fa04b4e05511d,DG01,D01,A DIMBA SEASON GARDEN,,DG01,20,SQUARE METERS,,.03,,,10,3,Clear/Sunny
