case_id,hhid,hh_q0a,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q02_1,hh_q02_2,hh_q02_2oth,hh_q02_3,hh_q03a,hh_q03b
101011000160,385985f835dc464cbbf5f99690525f81,Cash Transfers/Gifts,No,,,,,,,,,
101011000160,385985f835dc464cbbf5f99690525f81,Food Transfers/Gifts,No,,,,,,,,,
101011000160,385985f835dc464cbbf5f99690525f81,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,Cash Transfers/Gifts,No,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,Food Transfers/Gifts,No,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,Cash Transfers/Gifts,No,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,Food Transfers/Gifts,No,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011003026,882b198fc9a04f429bb18bd01e9e6515,Cash Transfers/Gifts,No,,,,,,,,,
101011003026,882b198fc9a04f429bb18bd01e9e6515,Food Transfers/Gifts,No,,,,,,,,,
101011003026,882b198fc9a04f429bb18bd01e9e6515,Non-Food In-Kind Transfers/Gifts,Yes,2000,0,0,,,,,1,
101011003077,94c058d21de14526aa9af6c8af68f199,Cash Transfers/Gifts,No,,,,,,,,,
101011003077,94c058d21de14526aa9af6c8af68f199,Food Transfers/Gifts,No,,,,,,,,,
101011003077,94c058d21de14526aa9af6c8af68f199,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010003,ef37079e35714e28acce62ac74da4e5e,Cash Transfers/Gifts,No,,,,,,,,,
101011010003,ef37079e35714e28acce62ac74da4e5e,Food Transfers/Gifts,No,,,,,,,,,
101011010003,ef37079e35714e28acce62ac74da4e5e,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010011,4b960c91581241ce99030c91a1eb0b16,Cash Transfers/Gifts,No,,,,,,,,,
101011010011,4b960c91581241ce99030c91a1eb0b16,Food Transfers/Gifts,No,,,,,,,,,
101011010011,4b960c91581241ce99030c91a1eb0b16,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,Cash Transfers/Gifts,No,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,Food Transfers/Gifts,No,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,Cash Transfers/Gifts,No,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,Food Transfers/Gifts,No,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010036,a60210b86f654bccb7ae6371d7c00d18,Cash Transfers/Gifts,No,,,,,,,,,
101011010036,a60210b86f654bccb7ae6371d7c00d18,Food Transfers/Gifts,Yes,500,0,0,,,,,1,
101011010036,a60210b86f654bccb7ae6371d7c00d18,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,Cash Transfers/Gifts,No,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,Food Transfers/Gifts,Yes,5000,0,0,,,,,2,
101011010044,76b4f23afd144083b3d600ec4a339744,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,Cash Transfers/Gifts,No,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,Food Transfers/Gifts,Yes,4000,0,0,,,,,1,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,Cash Transfers/Gifts,No,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,Food Transfers/Gifts,No,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,Non-Food In-Kind Transfers/Gifts,Yes,1000,0,0,,,,,1,
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,Cash Transfers/Gifts,No,,,,,,,,,
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,Food Transfers/Gifts,No,,,,,,,,,
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,Cash Transfers/Gifts,No,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,Food Transfers/Gifts,No,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010085,0c64e3469dfc49cd809df49978c365ad,Cash Transfers/Gifts,No,,,,,,,,,
101011010085,0c64e3469dfc49cd809df49978c365ad,Food Transfers/Gifts,No,,,,,,,,,
101011010085,0c64e3469dfc49cd809df49978c365ad,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010093,665bc90643f046e4a9574fb8f69096a9,Cash Transfers/Gifts,No,,,,,,,,,
101011010093,665bc90643f046e4a9574fb8f69096a9,Food Transfers/Gifts,No,,,,,,,,,
101011010093,665bc90643f046e4a9574fb8f69096a9,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010102,d43d0e3e75774a6c99239cf5679efd17,Cash Transfers/Gifts,Yes,5000,0,0,no,,,,1,2
101011010102,d43d0e3e75774a6c99239cf5679efd17,Food Transfers/Gifts,No,,,,,,,,,
101011010102,d43d0e3e75774a6c99239cf5679efd17,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010110,ca1dc73c3b224454874d2535455cd0dc,Cash Transfers/Gifts,No,,,,,,,,,
101011010110,ca1dc73c3b224454874d2535455cd0dc,Food Transfers/Gifts,Yes,10000,5000,0,,,,,1,2
101011010110,ca1dc73c3b224454874d2535455cd0dc,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010118,4276b62241204cb0b265cf2240b7f573,Cash Transfers/Gifts,No,,,,,,,,,
101011010118,4276b62241204cb0b265cf2240b7f573,Food Transfers/Gifts,No,,,,,,,,,
101011010118,4276b62241204cb0b265cf2240b7f573,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011010126,b2856f2dc800493dacc8fea33a1ca304,Cash Transfers/Gifts,No,,,,,,,,,
101011010126,b2856f2dc800493dacc8fea33a1ca304,Food Transfers/Gifts,No,,,,,,,,,
101011010126,b2856f2dc800493dacc8fea33a1ca304,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,Cash Transfers/Gifts,No,,,,,,,,,
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,Food Transfers/Gifts,No,,,,,,,,,
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,Cash Transfers/Gifts,No,,,,,,,,,
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,Food Transfers/Gifts,No,,,,,,,,,
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020032,7efe8aed09d34ed281a3589e70a288f1,Cash Transfers/Gifts,No,,,,,,,,,
101011020032,7efe8aed09d34ed281a3589e70a288f1,Food Transfers/Gifts,Yes,10000,0,0,,,,,1,2
101011020032,7efe8aed09d34ed281a3589e70a288f1,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020045,1cbe9c472ed746a9b8ce264705636140,Cash Transfers/Gifts,No,,,,,,,,,
101011020045,1cbe9c472ed746a9b8ce264705636140,Food Transfers/Gifts,No,,,,,,,,,
101011020045,1cbe9c472ed746a9b8ce264705636140,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,Cash Transfers/Gifts,Yes,20000,0,0,no,,,,1,2
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,Food Transfers/Gifts,No,,,,,,,,,
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020067,401dabded77840c9add12c88d52ae841,Cash Transfers/Gifts,No,,,,,,,,,
101011020067,401dabded77840c9add12c88d52ae841,Food Transfers/Gifts,Yes,0,2000,0,,,,,1,
101011020067,401dabded77840c9add12c88d52ae841,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020077,276bc07604c94755a89011471cea0640,Cash Transfers/Gifts,No,,,,,,,,,
101011020077,276bc07604c94755a89011471cea0640,Food Transfers/Gifts,No,,,,,,,,,
101011020077,276bc07604c94755a89011471cea0640,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020112,2f251fa85857436b8bc97011ef49b193,Cash Transfers/Gifts,No,,,,,,,,,
101011020112,2f251fa85857436b8bc97011ef49b193,Food Transfers/Gifts,Yes,8000,0,0,,,,,1,
101011020112,2f251fa85857436b8bc97011ef49b193,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020122,b4d30795984f4926b4ae8d785caea106,Cash Transfers/Gifts,No,,,,,,,,,
101011020122,b4d30795984f4926b4ae8d785caea106,Food Transfers/Gifts,Yes,6000,0,0,,,,,2,
101011020122,b4d30795984f4926b4ae8d785caea106,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,Cash Transfers/Gifts,No,,,,,,,,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,Food Transfers/Gifts,Yes,4000,0,0,,,,,2,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,Cash Transfers/Gifts,No,,,,,,,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,Food Transfers/Gifts,Yes,4000,0,0,,,,,1,
101011020157,81b7adc57d8f433bb500d588db7013fd,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020168,4d61a019440549c59a61dcd5e240221d,Cash Transfers/Gifts,No,,,,,,,,,
101011020168,4d61a019440549c59a61dcd5e240221d,Food Transfers/Gifts,No,,,,,,,,,
101011020168,4d61a019440549c59a61dcd5e240221d,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,Cash Transfers/Gifts,No,,,,,,,,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,Food Transfers/Gifts,Yes,2500,0,0,,,,,1,2
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,Cash Transfers/Gifts,Yes,9000,0,0,no,,,,1,
101011020200,bd062ea22aa446f79088768b5aeb42c9,Food Transfers/Gifts,Yes,5000,0,0,,,,,1,2
101011020200,bd062ea22aa446f79088768b5aeb42c9,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020211,dfc01ccdb1df402ea02ece42b6da4859,Cash Transfers/Gifts,No,,,,,,,,,
101011020211,dfc01ccdb1df402ea02ece42b6da4859,Food Transfers/Gifts,No,,,,,,,,,
101011020211,dfc01ccdb1df402ea02ece42b6da4859,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,Cash Transfers/Gifts,No,,,,,,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,Food Transfers/Gifts,Yes,3500,0,0,,,,,1,2
101011020232,55bd88a435e247a38499356dc01ef67f,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030009,31128106f3094ec3bd6b1cbf15393636,Cash Transfers/Gifts,No,,,,,,,,,
101011030009,31128106f3094ec3bd6b1cbf15393636,Food Transfers/Gifts,Yes,1000,0,0,,,,,2,
101011030009,31128106f3094ec3bd6b1cbf15393636,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030019,1e400f9c55ea41eeac21729659f77ab8,Cash Transfers/Gifts,No,,,,,,,,,
101011030019,1e400f9c55ea41eeac21729659f77ab8,Food Transfers/Gifts,Yes,500,0,0,,,,,1,
101011030019,1e400f9c55ea41eeac21729659f77ab8,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030029,3477c2d69064427eb335c42cb9cf698d,Cash Transfers/Gifts,No,,,,,,,,,
101011030029,3477c2d69064427eb335c42cb9cf698d,Food Transfers/Gifts,Yes,2000,0,0,,,,,1,2
101011030029,3477c2d69064427eb335c42cb9cf698d,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030039,631c003461c247d8bb3ee7c947f82a14,Cash Transfers/Gifts,No,,,,,,,,,
101011030039,631c003461c247d8bb3ee7c947f82a14,Food Transfers/Gifts,Yes,1000,0,0,,,,,1,2
101011030039,631c003461c247d8bb3ee7c947f82a14,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030050,aaa976a8aa654ffb9ead2b47414f7d35,Cash Transfers/Gifts,No,,,,,,,,,
101011030050,aaa976a8aa654ffb9ead2b47414f7d35,Food Transfers/Gifts,No,,,,,,,,,
101011030050,aaa976a8aa654ffb9ead2b47414f7d35,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030060,1c9a57637eb14cb982ce59701ff45e86,Cash Transfers/Gifts,No,,,,,,,,,
101011030060,1c9a57637eb14cb982ce59701ff45e86,Food Transfers/Gifts,No,,,,,,,,,
101011030060,1c9a57637eb14cb982ce59701ff45e86,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030070,a752da93287d4a81bdd5573694bc2325,Cash Transfers/Gifts,No,,,,,,,,,
101011030070,a752da93287d4a81bdd5573694bc2325,Food Transfers/Gifts,No,,,,,,,,,
101011030070,a752da93287d4a81bdd5573694bc2325,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030080,84478d9243fd4d5ab454e0fb43860a13,Cash Transfers/Gifts,Yes,105000,0,0,no,,,,1,2
101011030080,84478d9243fd4d5ab454e0fb43860a13,Food Transfers/Gifts,No,,,,,,,,,
101011030080,84478d9243fd4d5ab454e0fb43860a13,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030091,14efef72ed9a4ff7b2df71e2fb469931,Cash Transfers/Gifts,No,,,,,,,,,
101011030091,14efef72ed9a4ff7b2df71e2fb469931,Food Transfers/Gifts,No,,,,,,,,,
101011030091,14efef72ed9a4ff7b2df71e2fb469931,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030101,e7a66a9a76ce46daa8195fc3a0c9f2ef,Cash Transfers/Gifts,No,,,,,,,,,
101011030101,e7a66a9a76ce46daa8195fc3a0c9f2ef,Food Transfers/Gifts,No,,,,,,,,,
101011030101,e7a66a9a76ce46daa8195fc3a0c9f2ef,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030111,347e6a0f17974dcbb27676090cd0d18d,Cash Transfers/Gifts,No,,,,,,,,,
101011030111,347e6a0f17974dcbb27676090cd0d18d,Food Transfers/Gifts,No,,,,,,,,,
101011030111,347e6a0f17974dcbb27676090cd0d18d,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030121,7a27e482a5c44b29967ef1f29576a6dd,Cash Transfers/Gifts,No,,,,,,,,,
101011030121,7a27e482a5c44b29967ef1f29576a6dd,Food Transfers/Gifts,No,,,,,,,,,
101011030121,7a27e482a5c44b29967ef1f29576a6dd,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030132,e43a31bd6b534b2ea804470e112c119b,Cash Transfers/Gifts,No,,,,,,,,,
101011030132,e43a31bd6b534b2ea804470e112c119b,Food Transfers/Gifts,No,,,,,,,,,
101011030132,e43a31bd6b534b2ea804470e112c119b,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030142,36f89949d50a40f9a7a1d0b8b6956903,Cash Transfers/Gifts,No,,,,,,,,,
101011030142,36f89949d50a40f9a7a1d0b8b6956903,Food Transfers/Gifts,No,,,,,,,,,
101011030142,36f89949d50a40f9a7a1d0b8b6956903,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030152,d80a12c4f33b42b4a09d8550299f5f83,Cash Transfers/Gifts,No,,,,,,,,,
101011030152,d80a12c4f33b42b4a09d8550299f5f83,Food Transfers/Gifts,No,,,,,,,,,
101011030152,d80a12c4f33b42b4a09d8550299f5f83,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011030162,7a6bbe16901844d68aeece49409d6b0c,Cash Transfers/Gifts,No,,,,,,,,,
101011030162,7a6bbe16901844d68aeece49409d6b0c,Food Transfers/Gifts,No,,,,,,,,,
101011030162,7a6bbe16901844d68aeece49409d6b0c,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040011,65756133432d42daa5726b763055cfd1,Cash Transfers/Gifts,No,,,,,,,,,
101011040011,65756133432d42daa5726b763055cfd1,Food Transfers/Gifts,No,,,,,,,,,
101011040011,65756133432d42daa5726b763055cfd1,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040021,f2a3b88951344e909aeafdb5c255683a,Cash Transfers/Gifts,No,,,,,,,,,
101011040021,f2a3b88951344e909aeafdb5c255683a,Food Transfers/Gifts,No,,,,,,,,,
101011040021,f2a3b88951344e909aeafdb5c255683a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040032,f400eed29e264fa49662363907672d02,Cash Transfers/Gifts,No,,,,,,,,,
101011040032,f400eed29e264fa49662363907672d02,Food Transfers/Gifts,No,,,,,,,,,
101011040032,f400eed29e264fa49662363907672d02,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040046,40dcd6e8a88041c09e55c30c1b37bb2a,Cash Transfers/Gifts,No,,,,,,,,,
101011040046,40dcd6e8a88041c09e55c30c1b37bb2a,Food Transfers/Gifts,No,,,,,,,,,
101011040046,40dcd6e8a88041c09e55c30c1b37bb2a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040057,dbfad8566e874eb8935491a9af0da618,Cash Transfers/Gifts,No,,,,,,,,,
101011040057,dbfad8566e874eb8935491a9af0da618,Food Transfers/Gifts,Yes,4000,0,0,,,,,1,
101011040057,dbfad8566e874eb8935491a9af0da618,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040068,1f3bfebd944e42738e54e6dbf36c527c,Cash Transfers/Gifts,No,,,,,,,,,
101011040068,1f3bfebd944e42738e54e6dbf36c527c,Food Transfers/Gifts,Yes,6000,0,0,,,,,1,
101011040068,1f3bfebd944e42738e54e6dbf36c527c,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040093,9e989d2cb9154e7cbd99765f37d34c29,Cash Transfers/Gifts,No,,,,,,,,,
101011040093,9e989d2cb9154e7cbd99765f37d34c29,Food Transfers/Gifts,No,,,,,,,,,
101011040093,9e989d2cb9154e7cbd99765f37d34c29,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040103,152a2b3f7ec14824839f5977dfd765ce,Cash Transfers/Gifts,No,,,,,,,,,
101011040103,152a2b3f7ec14824839f5977dfd765ce,Food Transfers/Gifts,No,,,,,,,,,
101011040103,152a2b3f7ec14824839f5977dfd765ce,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040114,57dc37ab79cf4ed1802e7b78c983a5f8,Cash Transfers/Gifts,No,,,,,,,,,
101011040114,57dc37ab79cf4ed1802e7b78c983a5f8,Food Transfers/Gifts,No,,,,,,,,,
101011040114,57dc37ab79cf4ed1802e7b78c983a5f8,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040125,9601d01ffd4a430296968504916409b1,Cash Transfers/Gifts,No,,,,,,,,,
101011040125,9601d01ffd4a430296968504916409b1,Food Transfers/Gifts,No,,,,,,,,,
101011040125,9601d01ffd4a430296968504916409b1,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040139,c0d87be3e5d24f87a020184c049999cf,Cash Transfers/Gifts,No,,,,,,,,,
101011040139,c0d87be3e5d24f87a020184c049999cf,Food Transfers/Gifts,Yes,9000,0,0,,,,,1,
101011040139,c0d87be3e5d24f87a020184c049999cf,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040150,2177247656d04683b2c5c6c70bc685a2,Cash Transfers/Gifts,No,,,,,,,,,
101011040150,2177247656d04683b2c5c6c70bc685a2,Food Transfers/Gifts,No,,,,,,,,,
101011040150,2177247656d04683b2c5c6c70bc685a2,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040160,cff35fad07f2489f8463a2e208a7d0f0,Cash Transfers/Gifts,No,,,,,,,,,
101011040160,cff35fad07f2489f8463a2e208a7d0f0,Food Transfers/Gifts,No,,,,,,,,,
101011040160,cff35fad07f2489f8463a2e208a7d0f0,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,Cash Transfers/Gifts,No,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,Food Transfers/Gifts,No,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040182,5c7677fa4d2b4c8db3c8a4c91e791280,Cash Transfers/Gifts,No,,,,,,,,,
101011040182,5c7677fa4d2b4c8db3c8a4c91e791280,Food Transfers/Gifts,No,,,,,,,,,
101011040182,5c7677fa4d2b4c8db3c8a4c91e791280,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011040192,dbbf5bfff1294e99b21020baad14034a,Cash Transfers/Gifts,No,,,,,,,,,
101011040192,dbbf5bfff1294e99b21020baad14034a,Food Transfers/Gifts,No,,,,,,,,,
101011040192,dbbf5bfff1294e99b21020baad14034a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050009,ee70ce43019c45daad1b468ff3b61f51,Cash Transfers/Gifts,No,,,,,,,,,
101011050009,ee70ce43019c45daad1b468ff3b61f51,Food Transfers/Gifts,No,,,,,,,,,
101011050009,ee70ce43019c45daad1b468ff3b61f51,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,Cash Transfers/Gifts,No,,,,,,,,,
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,Food Transfers/Gifts,Yes,0,8000,0,,,,,1,2
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050038,de0b25e3e7c545ce90af622ec9039464,Cash Transfers/Gifts,No,,,,,,,,,
101011050038,de0b25e3e7c545ce90af622ec9039464,Food Transfers/Gifts,No,,,,,,,,,
101011050038,de0b25e3e7c545ce90af622ec9039464,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050052,9d812b9f4979431d9f1ddabd9babe54b,Cash Transfers/Gifts,No,,,,,,,,,
101011050052,9d812b9f4979431d9f1ddabd9babe54b,Food Transfers/Gifts,No,,,,,,,,,
101011050052,9d812b9f4979431d9f1ddabd9babe54b,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050067,31b142bf5dd64786ae59e2d877af7628,Cash Transfers/Gifts,No,,,,,,,,,
101011050067,31b142bf5dd64786ae59e2d877af7628,Food Transfers/Gifts,Yes,6000,0,0,,,,,2,
101011050067,31b142bf5dd64786ae59e2d877af7628,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011050081,7764873d877d489a8025244ef8a916ea,Cash Transfers/Gifts,No,,,,,,,,,
