case_id,hhid,CostsID,fs_j04a,fs_j04b,fs_j05
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,Other (Specify),yes,"""Plastic papers """,200
105202190223,bc6852e572de444e85158af694a0bc75,Transport,yes,,10000
105202190223,bc6852e572de444e85158af694a0bc75,Transport,yes,.,10000
106012200044,a76b724c2f83402d8decd8eaf428326e,Hired Labour,yes,,2000
106012200044,a76b724c2f83402d8decd8eaf428326e,Transport,yes,,3000
106012200044,a76b724c2f83402d8decd8eaf428326e,Ice,yes,,2000
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Transport,yes,.,5000
106012200096,d9e64ae237c5421495e282d113f1b33c,Hired Labour,yes,.,8000
106012200096,d9e64ae237c5421495e282d113f1b33c,Transport,yes,.,5700
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,Transport,yes,.,8000
106012200154,15301a838151412593a5aaa0a9ee3dd4,Transport,yes,,17200
106012210096,8897f4ccfd9a442699d5d4a5df36ad32,Transport,yes,,10000
106012210135,8f83af46a9364299825f1bbff6c76b06,Transport,yes,,10000
106012210148,c5e469c7fc2441398185c7f79b5ece13,Transport,yes,,8000
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Hired Labour,yes,,8000
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Transport,yes,.,5600
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,Transport,yes,.,30000
106012220216,db8f2497fb26445b812c09f0489579de,Other (Specify),yes,"""Firewood """,1500
106012220271,7084ffb8fe874654a9760d30a398bca4,Transport,yes,,10000
106012230025,543c2daae0a74ab4ae162333c2a8773c,Transport,yes,.,8500
106012230025,543c2daae0a74ab4ae162333c2a8773c,Packaging,yes,.,1500
106012230025,543c2daae0a74ab4ae162333c2a8773c,Tax,yes,.,500
106012230177,a21dcb576aab47498258a551704d0e1a,Transport,yes,.,5000
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,Transport,yes,.,3500
106012240077,7806a20262774f9a8ee03b614d519d3f,Hired Labour,yes,,5000
106012240118,c93e664735a04fbcb7b64d6373f9d187,Transport,yes,,6000
106012240213,5be039c8d1b847cab12920c270d4550b,Transport,yes,,10000
106012250073,f5c2b9e0a1564d72ad39e5451938a74d,Hired Labour,yes,,10000
106012250073,f5c2b9e0a1564d72ad39e5451938a74d,Transport,yes,,7000
106012250115,57edb87ee5654b2d95bf3ef82268309b,Hired Labour,yes,,6000
106012250125,12ab5c1acc054bbe96f5891e1bbbef35,Hired Labour,yes,,8000
106012250146,e860248dd75d4a31b23797207e238d3a,Hired Labour,yes,,6000
106012270069,7e11ef02f9b34c8e9c4c53e77030ba51,Transport,yes,,10000
106012270237,a4ff3f3e76a34cb7b272ec5035aac380,Transport,yes,,8000
106012270293,2ac54c7210634102a098006563a6109e,Hired Labour,yes,,6000
106012270293,2ac54c7210634102a098006563a6109e,Transport,yes,,8000
106012270293,2ac54c7210634102a098006563a6109e,Packaging,yes,,9000
106012280009,78b197b91ead4fb9b1e4169ed8a70414,Transport,yes,,11000
106012280047,de883c94d8d34853b61115cdd00fdf46,Transport,yes,,8000
106012280086,6c0b94731eee47a2b5f6df8121cf5a88,Hired Labour,yes,,10000
106012280086,6c0b94731eee47a2b5f6df8121cf5a88,Transport,yes,,11000
106012280112,4d7b3586ebbb4dbe8fc6c8aa42001680,Hired Labour,yes,,2000
106012280112,4d7b3586ebbb4dbe8fc6c8aa42001680,Transport,yes,,10000
106012280125,d51a234aa5ad4429b8b6544e6fc7f9ef,Transport,yes,,5000
106012280202,c92aa55251ef4f77bc3ad73272131d59,Hired Labour,yes,,8000
106012290014,3791687e2dce4cb0a821cc40e1168138,Hired Labour,yes,.,2500
106012290014,3791687e2dce4cb0a821cc40e1168138,Transport,yes,.,5000
106012290028,d07e0bc3673e4f3999f6d05ef71292c0,Transport,yes,.,5000
106012290035,69ba1df06ccf48db9ddecb90fe7e939b,Transport,yes,.,3000
106012290099,e6b53d2272664802be315ddb143b7ca6,Transport,yes,.,6000
106012290099,e6b53d2272664802be315ddb143b7ca6,Tax,yes,.,500
106202300013,61ee173f98a8446aaa4958952332d3a8,Transport,yes,,5000
107322320200,8ac2991da71f46e1b385efaf513c6fb6,Transport,yes,,10000
107332340503,d5be36c2998a48a68ac4c1ba6410543e,Transport,yes,,5000
107332340910,358e06d5b8524baa882ce3d0c260cbd9,Transport,yes,,1200
107362430500,bc4b9c77aa524ecc8c32cd5dad9ac1b1,Transport,,.,5000
107362450085,facbe5743ed6473bbf36171476664030,Transport,yes,.,12000
201012550061,af53298f2257416d92bb0a6387f4c8b6,Transport,yes,,800
201202780377,3aa902aca4bf4ecea0d28df88dab9a8a,Tax,yes,,700
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Transport,yes,.,1500
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Ice,yes,.,2000
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Tax,yes,.,300
202012830237,f1e45c98b9aa4142aa04d55d518d6618,Hired Labour,yes,,10000
202012830237,f1e45c98b9aa4142aa04d55d518d6618,Other (Specify),yes,FUEL,84000
202032880190,b08aa2f097364d9aac1ff7894c3c1cab,Ice,yes,,3500
202042920250,df201e07e33d498e88849bae523fe4fb,Hired Labour,yes,,5000
202042920250,df201e07e33d498e88849bae523fe4fb,Transport,yes,,6000
202052980446,9e675de9b63c42e7a24eb9a8501cfecd,Transport,yes,,8500
202052980446,9e675de9b63c42e7a24eb9a8501cfecd,Packaging,yes,,3500
204013290361,d0e7292b2751426d8dbccb604e7a5637,Transport,yes,,800
204213500237,3c9c87d185594c99acf7801c92890fc7,Transport,yes,.,600
204213500237,3c9c87d185594c99acf7801c92890fc7,Transport,yes,,600
205013520002,c98aa0e64d244cf282e499f933bd9013,Transport,yes,,4800
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,Hired Labour,yes,.,3500
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,Transport,yes,.,13500
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,Packaging,yes,.,2800
205053610028,6893c0ddf8ba4480a581b0e5013b3a58,Ice,yes,.,2000
205073660215,6be01cfaa04340bba2fe0bfaddaea4f7,Transport,yes,,28000
205073660215,6be01cfaa04340bba2fe0bfaddaea4f7,Packaging,yes,,5000
206023810092,19999a7f57e14193a4c9da2c6912cae9,Transport,yes,,1500
207204340029,ab04801d0c304c8d9b9847efd92646d1,Transport,yes,,5000
207204340029,ab04801d0c304c8d9b9847efd92646d1,Transport,yes,.,5000
210374850023,727b994c7d5645c79c25721f927f4db6,Transport,yes,.,15000
210554990115,a0c88c606aba4243919fc58a511ecf92,Hired Labour,yes,.,7500
210554990115,a0c88c606aba4243919fc58a511ecf92,Transport,yes,.,3500
210554990115,a0c88c606aba4243919fc58a511ecf92,Ice,yes,.,2800
210805070191,ed21f28c6ce84bbbba2e339a1133791e,Hired Labour,yes,.,10000
210805070191,ed21f28c6ce84bbbba2e339a1133791e,Hired Labour,yes,,10000
210805070191,ed21f28c6ce84bbbba2e339a1133791e,Transport,yes,,5000
210805070191,ed21f28c6ce84bbbba2e339a1133791e,Transport,yes,.,5000
210805080289,94707d2cf0d0412e89fbac899ad7b35b,Transport,,,3000
210865120474,d7b785220d5f4c0f97941d0db6959d61,Transport,yes,,3000
210875140870,b390fcb5bd0f4a16adc6b6aa9c2ede77,Transport,yes,,3000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,Hired Labour,yes,.,12000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,Transport,yes,.,20000
210875150460,190c7b9e5cf54fd29cc63a8c52958266,Packaging,yes,.,2000
210885170286,7acafc1403574c2698ef86f309ca1fe3,Transport,yes,,1500
210885170286,7acafc1403574c2698ef86f309ca1fe3,Ice,yes,,250
301035280256,f43028dc885a427aac52422c3df57cf4,Transport,yes,,3000
301035280256,f43028dc885a427aac52422c3df57cf4,Ice,yes,,500
301055320260,85bde2595a884ce7b4a397db85b877dd,Transport,yes,.,4500
301065340227,1e3682f76ba944d387b91829b93c0f6f,Transport,yes,.,500
301065350203,cce2c24618604956b7430f0549b208b3,Transport,yes,,1000
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,Transport,yes,,5000
301215420102,8fe404afd210435ebf7f864bb9439bd9,Transport,yes,,2000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,Hired Labour,yes,,5000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,Transport,yes,,3000
301215420316,a1b108372db640c6a66e9b79ac79ddb8,Packaging,yes,,3000
302035540060,4bf25f3de9f34ebf91fc9fc3775d4d95,Transport,yes,.,2500
302035540196,ac0bc9d9b3264e80bece616687522955,Transport,yes,.,5000
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,Hired Labour,yes,,2000
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,Transport,yes,,1400
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,Packaging,yes,,1000
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,Other (Specify),yes,MARKET FEE,400
303025700103,0eb287db17c24a99999f8988247a7abd,Packaging,yes,,1000
303025730018,cceb5c77d3e84c32986566ca1771284d,Tax,yes,,2500
303055780289,1be1a225a48d412ba1cab999e4834d5d,Packaging,yes,,180
303055780289,1be1a225a48d412ba1cab999e4834d5d,Other (Specify),yes,COUNCIL RATES,400
303055800023,4dd8a0e807d04c03a2bf1155f21b36bb,Packaging,yes,,300
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,Packaging,yes,,700
303055820201,b10327d29eda4cd0ae7e6787e55bfbd7,Other (Specify),yes,COUNCIL RATES,200
304025950424,6987648215c242c8b6d495d7142a3237,Transport,yes,,1000
304025980144,b94c59bd9c184e95ac23128e2295d938,Transport,yes,.,1500
304036040048,981d44710cb94b1d8014424f53f1c3a0,Hired Labour,yes,.,5000
304036040048,981d44710cb94b1d8014424f53f1c3a0,Transport,yes,.,10000
305016170215,0516be73b8c246a98c954963f4bde6cc,Transport,yes,.,1600
305016190456,d9525b0f771f455096b7c2c792aa21cf,Transport,yes,.,800
306026510196,9d4449ecd0cb48c6a6d42832a895f56f,Transport,yes,,600
307086750075,e0401c946e5c4ba48085bacd60bac87a,Transport,yes,,2000
307086750075,e0401c946e5c4ba48085bacd60bac87a,Transport,yes,.,2000
307106810150,ce6a8c8a21394f179a66afd1ce6d05d5,Transport,yes,,1500
308207100056,462be412cdc7434fae547cf40bdcd14e,Transport,yes,.,20000
308207100056,462be412cdc7434fae547cf40bdcd14e,Transport,yes,,20000
308207100056,462be412cdc7434fae547cf40bdcd14e,Packaging,yes,.,3500
308207100056,462be412cdc7434fae547cf40bdcd14e,Packaging,yes,,3500
309017130078,0efc68515967476cb7731b9a3aa6e407,Hired Labour,yes,,5000
309017130078,0efc68515967476cb7731b9a3aa6e407,Transport,yes,,3000
309017130078,0efc68515967476cb7731b9a3aa6e407,Packaging,yes,,2500
311057710150,a0c68262af9248adbd39f263f4a84599,Transport,yes,.,240
311057710308,4658ff81394f4c798120107d9b2bfde2,Transport,yes,.,3000
313018070014,090c129e99c04721937dfd9c90edcba2,Transport,yes,.,7000
313018070048,cc01320b172b411681e05f7252144c7d,Transport,yes,.,6500
313018070067,c24c51d7535247bf88d327efaa31a3e5,Transport,yes,.,4000
313038230214,fca3fb36419040eaa13c5bdc2a8b40dd,Transport,yes,.,3000
313038230214,fca3fb36419040eaa13c5bdc2a8b40dd,Transport,yes,,3000
313068290048,3cfcd91201b54ab883b4b490d6762d10,Transport,yes,.,1000
314318320128,2aba7338613b4eebb963a0cee9c9ab43,Transport,yes,,600
314318320128,2aba7338613b4eebb963a0cee9c9ab43,Packaging,yes,,170
314318320128,2aba7338613b4eebb963a0cee9c9ab43,Other (Specify),yes,"""CITY FEES """,900
314358370415,dd156401fbe44f2db6c547347da9cc79,Transport,yes,,300
314358370415,dd156401fbe44f2db6c547347da9cc79,Packaging,yes,,100
314388430049,1e8e6b36417d4b0b9fff118f9b059117,Transport,yes,.,3000
314388430049,1e8e6b36417d4b0b9fff118f9b059117,Tax,yes,.,900
314388450011,f478fb201e6348658245b54bf778e6aa,Transport,yes,.,4000
314388450011,f478fb201e6348658245b54bf778e6aa,Packaging,yes,.,200
314428510040,78103eec633f4f3a90cc0cc4d429f1d3,Transport,yes,.,3000
