case_id,hhid,gardenid,ag_b100,ag_b102,ag_b103_2,ag_b103_2a,ag_b104a,ag_b104b,ag_b104b_oth,ag_b104a2,ag_b105e,ag_b105e_oth,ag_b106,ag_b106a,ag_b107
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,RG01,RG01,Home Garden 1,1,yes,1,acre,,.85,,,10,3,Mostly Clear / Mostly Sunny
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,RG02,RG02,Home Garden 2,3,no,1.5,acre,,.93,,,10,3,Mostly Clear / Mostly Sunny
101011003026,882b198fc9a04f429bb18bd01e9e6515,RG01,Munda wa ku CCAP RG01,Munda wa ku CCAP,1,no,1,acre,,.73,,,11,3,Partly Cloudy / Partly Sunny
101011003026,882b198fc9a04f429bb18bd01e9e6515,RG02,Munda wa kwa Mtambo RG02,Munda wa kwa Mtambo,2,no,1,acre,,1.03,,,10,3,Partly Cloudy / Partly Sunny
101011003077,94c058d21de14526aa9af6c8af68f199,RG01,munda WA pakhomo,munda WA pa khomo,1,yes,.3,acre,,.4,,,11,3,Partly Cloudy / Partly Sunny
101011003077,94c058d21de14526aa9af6c8af68f199,RG02,munda WA ku mphanjirwe,munda WA ku mphanjirwe,2,no,18,SQUARE METERS,,20,,,12,3,Mostly Clear / Mostly Sunny
101011010003,ef37079e35714e28acce62ac74da4e5e,RG01,RGO1,Maize garden,1,yes,1,acre,,.4,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011010003,ef37079e35714e28acce62ac74da4e5e,RG02,RGO2,Maize and beans garden,1,yes,1,acre,,.45,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011010003,ef37079e35714e28acce62ac74da4e5e,RG03,RGO3,Sweet potatoes garden,1,yes,.5,acre,,.2,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011010011,4b960c91581241ce99030c91a1eb0b16,RG01,RGO1,Maize and sunflower garden,1,yes,1,acre,,.55,,,10,3,Partly Cloudy / Partly Sunny
101011010019,6cbfe46ffb234d5e907432b5acbff30a,RG01,RGO1,Maize garden,1,no,1,acre,,.5,,,12,3,Mostly Cloudy / Considerable Cloudiness
101011010019,6cbfe46ffb234d5e907432b5acbff30a,RG02,RG02,Maize and beans garden,1,yes,1,acre,,.4,,,12,3,Mostly Cloudy / Considerable Cloudiness
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,RG01,RGO1,Maize garden,1,no,1,acre,,1.2,,,11,4,Completely Cloudy
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,RG02,RGO2,Ground nuts garden,1,no,.5,acre,,.4,,,11,4,Completely Cloudy
101011010036,a60210b86f654bccb7ae6371d7c00d18,RG01,RG01,MUNDA WAPAKHOMO,1,yes,.5,acre,,.92,,,11,2,Partly Cloudy / Partly Sunny
101011010044,76b4f23afd144083b3d600ec4a339744,RG01,RG01,munda WA pakhomo,1,yes,1,acre,,1.4,,,11,2,Mostly Clear / Mostly Sunny
101011010044,76b4f23afd144083b3d600ec4a339744,RG02,RG02,Munda close to parents house,1,no,.85,acre,,1.53,,,10,2,Mostly Clear / Mostly Sunny
101011010044,76b4f23afd144083b3d600ec4a339744,RG03,RG03,MUNDA close to parents house,1,no,.5,acre,,.22,,,10,2,Mostly Clear / Mostly Sunny
101011010052,416ebdcaf6064e5084cc70055feeeb0f,RG01,RG01,munda WA pa khomo,1,yes,.5,acre,,1.3,,,12,2,Partly Cloudy / Partly Sunny
101011010052,416ebdcaf6064e5084cc70055feeeb0f,RG02,RG02,MUNDA CLOSE TO NASATO DAMBO,1,no,1,acre,,1.8,,,11,2,Mostly Clear / Mostly Sunny
101011010060,3f75a144ff9047bdbc4afd90aad82de6,RG01,RG01,Munda close to household,1,no,1,acre,,.99,,,10,2,Mostly Clear / Mostly Sunny
101011010060,3f75a144ff9047bdbc4afd90aad82de6,RG02,RG02,MUNDA CLOSE TO DAMBO,1,no,.8,acre,,.53,,,10,2,Mostly Clear / Mostly Sunny
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,RG01,RG01,HOME GARDEN,1,yes,1,acre,,.51,,,10,3,Rainy
101011010077,490bcc64d31f46d587a7703cfbc07a78,RG01,RG01,HOME GARDEN,1,yes,1,acre,,1.54,,,11,3,Completely Cloudy
101011010077,490bcc64d31f46d587a7703cfbc07a78,RG02,RG02,NAMTEGAWANA GARDEN,1,no,2,acre,,3.8,,,10,3,Completely Cloudy
101011010085,0c64e3469dfc49cd809df49978c365ad,RG01,RG01,HOME GARDEN,1,yes,1,acre,,.98,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011010085,0c64e3469dfc49cd809df49978c365ad,RG02,RG02, MWAZEMBE  GARDEN,1,no,.5,acre,,.91,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011010093,665bc90643f046e4a9574fb8f69096a9,RG01,RG01,HOME GARDEN,1,no,.5,acre,,.37,,,12,3,Completely Cloudy
101011010093,665bc90643f046e4a9574fb8f69096a9,RG02,RG02,KANWELA GARDEN,1,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011010102,d43d0e3e75774a6c99239cf5679efd17,RG01,MUNDA WAKU NGOYA RG01,MUNDA WAKU NGOYA RG01,1,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011010110,ca1dc73c3b224454874d2535455cd0dc,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO RG01,1,yes,2.5,acre,,5.02,,,12,3,Completely Cloudy
101011010118,4276b62241204cb0b265cf2240b7f573,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO,1,yes,1.5,acre,,1.68,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011010126,b2856f2dc800493dacc8fea33a1ca304,RG01,MUNDA WAPAKHOMO RG01,MUNDA WAPAKHOMO RG01,1,yes,1.25,acre,,1.22,,,11,3,Rainy
101011010126,b2856f2dc800493dacc8fea33a1ca304,RG02,MUNDA WA MTCHUNGA RG02,MUNDA WA MTCHUNGA,1,no,.3,acre,,.28,,,12,3,Rainy
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,RG01,MUNDA WA PAKHOMO RG01,MUNDA WAPAKHOMO,1,yes,1.5,acre,,1.56,,,10,3,Clear/Sunny
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,RG02,MUNDA WA CHIMANGA RG02,MUNDA WA CHIMANGA,1,no,.5,acre,,.46,,,10,3,Clear/Sunny
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,RG01,MUNDA WA CHIMANGA RG01,MUNDA WA CHIMANGA RG01,1,yes,1,acre,,.86,,,9,3,Clear/Sunny
101011020032,7efe8aed09d34ed281a3589e70a288f1,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO RG01,1,yes,1,acre,,1,,,11,3,Clear/Sunny
101011020032,7efe8aed09d34ed281a3589e70a288f1,RG02,MUNDA WA PAKHOMO WACHIWIRI RG02,MUNDA WA PAKHOMO WACHIWIRI,2,yes,2.5,acre,,2.54,,,11,3,Clear/Sunny
101011020045,1cbe9c472ed746a9b8ce264705636140,RG01,RG01,MAIZE GARDEN,1,yes,.5,acre,,.68,,,10,2,Mostly Clear / Mostly Sunny
101011020045,1cbe9c472ed746a9b8ce264705636140,RG02,RG02,MAIZE AND GROUNDNUTS,1,yes,1.5,acre,,2.42,,,11,2,Mostly Clear / Mostly Sunny
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO,2,yes,1.5,acre,,1.38,,,10,3,Clear/Sunny
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,RG02,MUNDA WAKU SELE RG02,MUNDA WAKU SELE,1,no,1,acre,,1.01,,,10,3,Clear/Sunny
101011020067,401dabded77840c9add12c88d52ae841,RG01,RGO1,Maize garden,1,no,.5,acre,,.3,,,10,3,Clear/Sunny
101011020067,401dabded77840c9add12c88d52ae841,RG02,RGO2,Fallow garden,1,no,.5,acre,,.49,,,11,3,Clear/Sunny
101011020067,401dabded77840c9add12c88d52ae841,RG03,RGO3,Fallow garden,1,no,.5,acre,,.27,,,11,3,Clear/Sunny
101011020067,401dabded77840c9add12c88d52ae841,RG04,RGO4,Sweet potato garden,1,no,.3,acre,,.19,,,11,4,Clear/Sunny
101011020067,401dabded77840c9add12c88d52ae841,RG05,RGO5,Maize garden,1,yes,.3,acre,,.2,,,12,3,Clear/Sunny
101011020077,276bc07604c94755a89011471cea0640,RG01,RGO1,Maize garden,1,no,1,acre,,.9399999999999999,,,11,3,Clear/Sunny
101011020077,276bc07604c94755a89011471cea0640,RG02,RGO2,Ground nuts garden,1,no,.25,acre,,.15,,,11,3,Clear/Sunny
101011020112,2f251fa85857436b8bc97011ef49b193,RG01,RG01,MAIZE GARDEN,1,no,.75,acre,,.7,,,11,2,Clear/Sunny
101011020112,2f251fa85857436b8bc97011ef49b193,RG02,RG02,SOYA GARDEN,1,no,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011020122,b4d30795984f4926b4ae8d785caea106,RG01,RG01,MAIZE D BEANS GARDEN,1,yes,.25,acre,,.24,,,10,2,Clear/Sunny
101011020122,b4d30795984f4926b4ae8d785caea106,RG02,RG02,MAIZE GARDEN,1,no,1,acre,,1.29,,,12,2,Clear/Sunny
101011020146,5ab09f2e137f497e9d3f4918db6e2457,RG01,RG01,MAIZE AND NKHWANI,1,yes,1.5,acre,,2.43,,,10,2,Clear/Sunny
101011020146,5ab09f2e137f497e9d3f4918db6e2457,RG02,RG02,BEANS GARDEN,1,yes,.25,acre,,.15,,,12,2,Clear/Sunny
101011020157,81b7adc57d8f433bb500d588db7013fd,RG01,RGO 1,Maize garden,1,yes,1,acre,,.85,,,11,3,Clear/Sunny
101011020157,81b7adc57d8f433bb500d588db7013fd,RG02,RGO2,Maize garden,1,yes,1,acre,,1.5,,,10,3,Clear/Sunny
101011020157,81b7adc57d8f433bb500d588db7013fd,RG03,RGO3,Sweet potatoes,1,no,.5,acre,,.2,,,11,3,Clear/Sunny
101011020168,4d61a019440549c59a61dcd5e240221d,RG01,RGO1,Maize garden,1,no,1,acre,,2.2,,,12,3,Clear/Sunny
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,RG01,RG01,HOME GARDEN,1,yes,1,acre,,1.54,,,12,3,Clear/Sunny
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,RG02,RG02,HOME GARDEN,1,yes,.5,acre,,.38,,,12,3,Clear/Sunny
101011020200,bd062ea22aa446f79088768b5aeb42c9,RG01,RG01,HOME GARDEN,1,yes,.5,acre,,1.34,,,12,3,Clear/Sunny
101011020200,bd062ea22aa446f79088768b5aeb42c9,RG02,RG02,LOCAL MAIZE AND SUNFLOWER GARDEN,1,no,2.5,acre,,2.98,,,11,3,Clear/Sunny
101011020211,dfc01ccdb1df402ea02ece42b6da4859,RG01,RG01,HOME GARDEN,2,yes,1.5,acre,,1.83,,,12,3,Clear/Sunny
101011020211,dfc01ccdb1df402ea02ece42b6da4859,RG02,RG02,MWAKAPENDA GARDEN,1,no,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,RG01,RG01,HOME GARDEN,1,yes,.25,acre,,.17,,,10,3,Clear/Sunny
101011020232,55bd88a435e247a38499356dc01ef67f,RG02,RG02,SAZEMBE GARDEN,1,no,.75,acre,,1.23,,,11,3,Clear/Sunny
101011020232,55bd88a435e247a38499356dc01ef67f,RG03,RG03,SASENGA  GARDEN,1,no,.25,acre,,,,,,,
101011030009,31128106f3094ec3bd6b1cbf15393636,RG01,RGO1,HYBRID MAIZE,1,yes,.5,acre,,.31,,,8,2,Mostly Clear / Mostly Sunny
101011030009,31128106f3094ec3bd6b1cbf15393636,RG02,RGO2,munda WA pakhomo,1,yes,.25,acre,,.14,,,8,2,Mostly Clear / Mostly Sunny
101011030009,31128106f3094ec3bd6b1cbf15393636,RG03,RG03,munda WA ku phiri,1,no,.75,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030019,1e400f9c55ea41eeac21729659f77ab8,RG01,RG01,munda WA pakhomo,1,yes,.25,acre,,.3,,,7,3,Partly Cloudy / Partly Sunny
101011030019,1e400f9c55ea41eeac21729659f77ab8,RG02,RGO2,munda up the mountain,1,yes,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030029,3477c2d69064427eb335c42cb9cf698d,RG01,RG01,munda WA ku phiri,2,no,1.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030029,3477c2d69064427eb335c42cb9cf698d,RG02,RGO2,munda pakhomo,1,yes,.6,acre,,.12,,,9,2,Partly Cloudy / Partly Sunny
101011030039,631c003461c247d8bb3ee7c947f82a14,RG01,RG01,Munda WA pakhomo,1,yes,1,acre,,.88,,,8,2,Partly Cloudy / Partly Sunny
101011030039,631c003461c247d8bb3ee7c947f82a14,RG02,RG02,munda WA ku Phiri,2,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030050,aaa976a8aa654ffb9ead2b47414f7d35,RG01,RG01,HOME GARDEN,1,yes,.5,acre,,.48,,,8,3,Partly Cloudy / Partly Sunny
101011030050,aaa976a8aa654ffb9ead2b47414f7d35,RG02,RG02,SATO GARDEN,1,no,1.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030060,1c9a57637eb14cb982ce59701ff45e86,RG01,RG01,MULIMA GARDEN,1,yes,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030070,a752da93287d4a81bdd5573694bc2325,RG01,RG01,META GARDEN,1,yes,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030070,a752da93287d4a81bdd5573694bc2325,RG02,RG02,LULINDO GARDEN,1,yes,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030080,84478d9243fd4d5ab454e0fb43860a13,RG01,MUNDA WA CHIMANGA RG01,MUNDA WA CHIMANGA RG01,1,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030091,14efef72ed9a4ff7b2df71e2fb469931,RG01,RG01,CHIWALE GARDEN,1,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030091,14efef72ed9a4ff7b2df71e2fb469931,RG02,RG02,TCHUWA GARDEN,1,no,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030101,e7a66a9a76ce46daa8195fc3a0c9f2ef,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO RG01,1,yes,.25,acre,,.27,,,7,3,Partly Cloudy / Partly Sunny
101011030111,347e6a0f17974dcbb27676090cd0d18d,RG01,MUNDA WA PAKHOMO RG01,MUNDA WA PAKHOMO RG01,1,yes,.25,acre,,.1,,,9,3,Partly Cloudy / Partly Sunny
101011030111,347e6a0f17974dcbb27676090cd0d18d,RG02,MUNDA WA CHIMANGA RG02,MUNDA WA CHIMANGA RG02,1,no,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030121,7a27e482a5c44b29967ef1f29576a6dd,RG01,MUNDA WA CHIMANGA RG01,MUNDA WA CHIMANGA RG01,1,no,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030132,e43a31bd6b534b2ea804470e112c119b,RG01,RGO1,Maize garden,1,yes,1,acre,,.5,,,11,3,Mostly Clear / Mostly Sunny
101011030132,e43a31bd6b534b2ea804470e112c119b,RG02,RGO2,GALICK garden,1,no,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030142,36f89949d50a40f9a7a1d0b8b6956903,RG01,RG01,Maize garden,1,no,1.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030142,36f89949d50a40f9a7a1d0b8b6956903,RG02,RGO2,IRISH POTATOES,1,no,.5,acre,,.3,,,11,3,Mostly Clear / Mostly Sunny
101011030152,d80a12c4f33b42b4a09d8550299f5f83,RG01,RGO1,Maize garden,1,yes,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011030152,d80a12c4f33b42b4a09d8550299f5f83,RG02,RGO2,Galick garden,1,yes,.5,acre,,.24,,,11,3,Mostly Clear / Mostly Sunny
101011030162,7a6bbe16901844d68aeece49409d6b0c,RG01,RG01,Maize garden,1,yes,.5,acre,,.3,,,9,3,Partly Cloudy / Partly Sunny
101011030162,7a6bbe16901844d68aeece49409d6b0c,RG02,RG02,Sweet potatoes,1,no,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011040011,65756133432d42daa5726b763055cfd1,RG01,"""Munda WA pakhomo """,MUNDA WAPAKHOMO,1,no,.5,acre,,.47,,,8,2,Mostly Cloudy / Considerable Cloudiness
101011040011,65756133432d42daa5726b763055cfd1,RG02,munda WA ku mkono,Munda WA ku mkono,1,no,1,acre,,.55,,,8,6,Mostly Cloudy / Considerable Cloudiness
101011040021,f2a3b88951344e909aeafdb5c255683a,RG01,Munda WA ku sika,Munda WA ku sika,1,no,.5,acre,,.1,,,10,2,Mostly Cloudy / Considerable Cloudiness
101011040032,f400eed29e264fa49662363907672d02,RG01,RG01,Maize garden,1,no,.5,acre,,1.3,,,11,3,Partly Cloudy / Partly Sunny
101011040046,40dcd6e8a88041c09e55c30c1b37bb2a,RG01,RG01,Garden at home,1,yes,1.5,acre,,2.2,,,11,3,Partly Cloudy / Partly Sunny
101011040057,dbfad8566e874eb8935491a9af0da618,RG01,RG01,maize garden at home,2,yes,1,acre,,.8,,,9,3,Mostly Clear / Mostly Sunny
101011040057,dbfad8566e874eb8935491a9af0da618,RG02,RG02,soya garden,1,no,1,acre,,.5,,,9,3,Mostly Clear / Mostly Sunny
101011040068,1f3bfebd944e42738e54e6dbf36c527c,RG01,Munda wapakhomo RGO1,Munda wapakhomo,1,yes,2.5,acre,,2.27,,,10,3,Partly Cloudy / Partly Sunny
101011040068,1f3bfebd944e42738e54e6dbf36c527c,RG02,Munda Wapakhomo wachiwiri RG02,Munda wapakhomo wachiwiri,1,yes,.25,acre,,.07,,,11,3,Partly Cloudy / Partly Sunny
101011040068,1f3bfebd944e42738e54e6dbf36c527c,RG03,Munda wapakhomo wachitatu RG03,Munda wapakhomo wachitatu,1,yes,.25,acre,,.12,,,11,3,Partly Cloudy / Partly Sunny
101011040093,9e989d2cb9154e7cbd99765f37d34c29,RG01,RG01,Maize and beans garden,1,no,.5,acre,,.3,,,9,3,Partly Cloudy / Partly Sunny
101011040103,152a2b3f7ec14824839f5977dfd765ce,RG01,RG01,HOME GARDEN,1,yes,1,acre,,1.32,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011040103,152a2b3f7ec14824839f5977dfd765ce,RG02,RG02,HOME GARDEN,1,yes,.25,acre,,.41,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011040114,57dc37ab79cf4ed1802e7b78c983a5f8,RG01,RG01,HOME GARDEN,1,yes,2,acre,,.93,,,9,3,Mostly Cloudy / Considerable Cloudiness
101011040125,9601d01ffd4a430296968504916409b1,RG01,RG01,LUSOKO GARDEN,1,no,2,acre,,2.08,,,11,3,Partly Cloudy / Partly Sunny
101011040139,c0d87be3e5d24f87a020184c049999cf,RG01,RG01,Maize garden,1,no,1,acre,,.5,,,10,3,Partly Cloudy / Partly Sunny
101011040139,c0d87be3e5d24f87a020184c049999cf,RG02,RG02,Soya garden,1,no,.3,acre,,.2,,,10,3,Partly Cloudy / Partly Sunny
101011040150,2177247656d04683b2c5c6c70bc685a2,RG01,Munda wa Chimanga RG01,Munda wa Chimanga,2,no,1,acre,,.97,,,9,3,Partly Cloudy / Partly Sunny
101011040160,cff35fad07f2489f8463a2e208a7d0f0,RG01,Munda WA panyumba,Munda WA panyumba,1,no,1,acre,,.62,,,8,2,Partly Cloudy / Partly Sunny
101011040160,cff35fad07f2489f8463a2e208a7d0f0,RG02,Munda WA kwa moses,Munda WA kwa moses,1,no,1.5,acre,,1.5,,,11,6,Mostly Clear / Mostly Sunny
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,RG01,RGO1,HOME GARDEN,1,yes,1,acre,,.55,,,10,3,Partly Cloudy / Partly Sunny
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,RG02,RGO2,HOME GARDEN,2,yes,2.5,acre,,1.8,,,12,3,Clear/Sunny
101011040192,dbbf5bfff1294e99b21020baad14034a,RG01,Munda wapakhomo RG01,Munda wapakhomo RG01,1,yes,2,acre,,1.91,,,11,3,Partly Cloudy / Partly Sunny
101011040192,dbbf5bfff1294e99b21020baad14034a,RG02,Munda wa Mtedza RG02,Munda wa Mtedza,1,yes,.25,acre,,.09,,,11,3,Partly Cloudy / Partly Sunny
101011050009,ee70ce43019c45daad1b468ff3b61f51,RG01,RGO1,Maize garden,1,yes,1,acre,,.61,,,12,3,Mostly Cloudy / Considerable Cloudiness
101011050009,ee70ce43019c45daad1b468ff3b61f51,RG02,RGO2,Sweet potatoes garden,1,no,.5,acre,,.2,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011050009,ee70ce43019c45daad1b468ff3b61f51,RG03,RGO3,Millet garden,1,no,.5,acre,,.4,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,RG01,RGO1,Maize garden,1,no,1,acre,,.6,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,RG02,RGO 2,TOBACCO GARDEN,1,yes,1,acre,,.4,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011050023,f337b1997b7849929d2a7d2c1cba8d1d,RG03,RGO3,Ground nuts garden,1,no,.5,acre,,.13,,,10,3,Completely Cloudy
101011050038,de0b25e3e7c545ce90af622ec9039464,RG01,RGO1,Maize  garden,1,no,1,acre,,.7,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011050038,de0b25e3e7c545ce90af622ec9039464,RG02,RGO2,Sweet potatoes,1,no,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011050052,9d812b9f4979431d9f1ddabd9babe54b,RG01,RGO1,Maize garden,1,yes,.5,acre,,.2,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011050067,31b142bf5dd64786ae59e2d877af7628,RG01,RGO1,Munda WA pakhomo,1,yes,1,acre,,1.39,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011050067,31b142bf5dd64786ae59e2d877af7628,RG02,RG02,MUNDA CLOSE TO SON HOUSEHOLD,1,no,.5,acre,,.48,,,10,2,Mostly Cloudy / Considerable Cloudiness
101011050067,31b142bf5dd64786ae59e2d877af7628,RG03,RG03,munda WA pakhomo,1,yes,.75,acre,,.71,,,10,3,Mostly Cloudy / Considerable Cloudiness
101011050081,7764873d877d489a8025244ef8a916ea,RG01,RG01,MUNDA WA PANKHOMO,1,yes,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
