case_id,hhid,gardenid,plotid,ag_k01,ag_k01b,ag_k02,ag_k02_1,ag_k02_2a,ag_k02_2b,ag_k03,ag_k21a,ag_k21b,ag_k21c,ag_k21d,ag_k21e,ag_k21_oth,ag_k22,ag_k22_oth,ag_k23,ag_k24,ag_k25_oth,ag_k25a,ag_k25b,ag_k26a,ag_k26b,ag_k26_oth,ag_k26_1a,ag_k26_1b,ag_k26_2a,ag_k26_2b,ag_k26_2_oth,ag_k27,ag_k28,ag_k29a,ag_k29b,ag_k29_oth,ag_k30,ag_k30_oth,ag_k31,ag_k31_oth,ag_k33,ag_k34,ag_k35a,ag_k35b,ag_k35_oth,ag_k36,ag_k36_1a,ag_k36_1b,ag_k37,ag_k38a,ag_k38b,ag_k38b_oth,ag_k39,ag_k40,ag_k40_1,ag_k40_2,ag_k40a,ag_k40a_oth,ag_k40b,ag_k40c,ag_k40c_oth,ag_k40d,ag_k40e,ag_k40f,ag_k40f_oth,ag_k40g,ag_k40h,ag_k40h_oth,ag_k40i,ag_k41,ag_k42a,ag_k42a_oth,ag_k42b,ag_k42c,ag_k42c_oth,ag_k42d,ag_k42e,ag_k42e_oth,ag_k42f,ag_k42g,ag_k42g_oth,ag_k43a1,ag_k43b1,ag_k43c1,ag_k43d1,ag_k43a2,ag_k43b2,ag_k43c2,ag_k43d2,ag_k43a3,ag_k43b3,ag_k43c3,ag_k43d3,ag_k43a4,ag_k43b4,ag_k43c4,ag_k43d4,ag_k43a5,ag_k43b5,ag_k43c5,ag_k43d5,ag_k43a6,ag_k43b6,ag_k43c6,ag_k43d6,ag_k43a7,ag_k43b7,ag_k43c7,ag_k43d7,ag_k44a1,ag_k44b1,ag_k44c1,ag_k44d1,ag_k44a2,ag_k44b2,ag_k44c2,ag_k44d2,ag_k44a3,ag_k44b3,ag_k44c3,ag_k44d3,ag_k44a4,ag_k44b4,ag_k44c4,ag_k44d4,ag_k44a5,ag_k44b5,ag_k44c5,ag_k44d5,ag_k44a6,ag_k44b6,ag_k44c6,ag_k44d6,ag_k44a7,ag_k44b7,ag_k44c7,ag_k44d7,ag_k45a1,ag_k45b1,ag_k45c1,ag_k45d1,ag_k45a2,ag_k45b2,ag_k45c2,ag_k45d2,ag_k45a3,ag_k45b3,ag_k45c3,ag_k45d3,ag_k45a4,ag_k45b4,ag_k45c4,ag_k45d4,ag_k45a5,ag_k45b5,ag_k45c5,ag_k45d5,ag_k45a6,ag_k45b6,ag_k45c6,ag_k45d6,ag_k45a7,ag_k45b7,ag_k45c7,ag_k45d7,ag_k46a1,ag_k46b1,ag_k46a2,ag_k46b2,ag_k46a3,ag_k46b3,ag_k46c,ag_k46c_oth,ag_k46d,ag_k46e,ag_k46e_oth,ag_k46f,ag_k47a,ag_k47b,ag_k47c,ag_k48a,ag_k48b,ag_k48c
101021090035,9bfac3ebe5b945dab24a3a6cf3f531c7,DG01,D01,no,.,1,,,,1,IRISH [MALAWI] POTATO,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Slight slope,yes,Gravity,,,Other (Specify),DIVERTED STREAM,River / Stream,,0,,,,,yes,july,2ND HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,1,1,2,5,2,2,2,4,,,,,,,,,,,,,,,,,,,,,1,1,2,4,2,2,2,3,,,,,,,,,,,,,,,,,,,,,2,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D01,no,.,1,,,,2,cabbage,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,More than 5 years ago,,,,,Slight slope,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,september,1ST HALF,no,,,,yes,yes,2,4,23:21:0+4S/CHITOWE,,1,50 KG BAG,,50,3,23:21:0+4S/CHITOWE,,1,50 KG BAG,,50,no,,,,,,,,,,,,3,2,6,8,4,2,5,8,5,2,2,8,2,2,6,8,1,2,6,8,6,2,2,8,,,,,2,1,6,8,5,1,2,8,1,1,6,8,4,1,6,8,3,1,6,8,6,1,2,6,,,,,4,4,2,6,1,4,2,8,2,4,1,8,3,4,2,6,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D02,no,.,1,,,,2,onion,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,More than 5 years ago,,,,,Flat,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,september,1ST HALF,yes,12,bucket,,yes,yes,2,3,23:21:0+4S/CHITOWE,,25,kilogram,,25,2,23:21:0+4S/CHITOWE,,25,kilogram,,25,no,,,,,,,,,,,,3,1,6,8,2,1,6,8,6,1,2,8,1,1,6,8,5,1,2,8,4,1,6,8,,,,,4,1,4,8,2,1,4,8,6,1,2,6,3,1,4,8,5,1,2,6,1,1,4,8,,,,,2,4,1,5,3,4,1,4,1,4,1,5,4,4,1,3,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D03,no,.,1,,,,2,IRISH [MALAWI] POTATO,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,More than 5 years ago,,,,,Flat,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,august,1ST HALF,no,,,,yes,yes,2,3,23:21:0+4S/CHITOWE,,25,kilogram,,25,3,23:21:0+4S/CHITOWE,,25,kilogram,,25,no,,,,,,,,,,,,2,2,5,8,4,2,5,8,3,2,5,8,5,2,2,6,1,2,5,8,6,2,5,6,,,,,7,1,6,6,1,1,6,8,5,1,6,8,4,1,6,8,6,1,2,6,2,1,6,8,3,1,6,8,1,4,2,8,3,4,2,8,6,4,2,6,5,4,2,6,4,4,2,2,2,4,2,8,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,RG02,D01,yes,2,,yes,2,,1,maize,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,,Flooding,,Erosion control bunds,,,4 years ago,,,,,"Steep, hilly",no,Bucket,Rainfed/No irrigation,,Watering can,,River / Stream,,0,,,,,yes,september,2ND HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,2,1,2,5,2,,,,,,,,,,,,,,,,,,,,,1,1,1,5,2,1,1,5,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021090225,d2eff8458cbc4973bd19540049a785b6,DG01,D01,no,.,1,,,,2,maize,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,,Flooding,,Erosion control bunds,,,4 years ago,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,0,,,,,yes,july,2ND HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,2,3,3,1,2,3,2,,,,,,,,,,,,,,,,,,,,,2,2,4,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,,2,1,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,DG01,D01,no,.,2,,,,2,maize,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,no,Bucket,,,Watering can,,Well,,0,,,,,yes,august,2ND HALF,no,,,,yes,yes,1,4,23:21:0+4S/CHITOWE,,20,kilogram,,20,2,urea,,20,kilogram,,20,no,,,,,,,,,,,,1,1,4,5,2,1,4,5,,,,,,,,,,,,,,,,,,,,,1,1,1,6,2,1,1,6,,,,,,,,,,,,,,,,,,,,,1,1,1,5,2,1,1,5,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,DG01,D01,no,.,1,,,,2,maize,beans,,,,,Clay (Katondo),,Good,Low,,Flooding,,Drainage ditches,,,During last 12 months,,,,,Flat,yes,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,september,1ST HALF,no,,,,yes,yes,2,2,23:21:0+4S/CHITOWE,,15,kilogram,,15,2,urea,,15,kilogram,,15,no,,,,,,,,,,,,2,1,2,6,1,1,2,4,,,,,,,,,,,,,,,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100061,97cf255d846147d4a761af2f93534d47,RG01,D01,yes,1,,yes,2,,1,SWEET POTATO,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,High,,Flooding,Terrain,Terraces,,,2 years ago,2 years ago,,,,"Steep, hilly",no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,july,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,3,3,4,1,3,5,4,,,,,,,,,,,,,,,,,,,,,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,DG01,D01,no,.,1,,,,1,maize,beans,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,,Animals,Flooding,Drainage ditches,,,2 years ago,3 years ago,,,,Slight slope,no,Bucket,,,Other (Specify),COLLECTION USING PAILS/BUCKET/BASIN,River / Stream,,0,,,,,yes,september,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,1,4,1,3,1,3,1,1,1,4,1,,,,,,,,,,,,,,,,,4,2,3,1,2,2,3,1,1,2,3,1,3,2,3,1,,,,,,,,,,,,,4,1,1,1,3,1,1,1,2,1,1,2,5,1,1,1,1,1,1,2,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100082,6877f51463284bab9776e27ac99ffe4e,DG01,D01,no,.,1,,,,1,SWEET POTATO,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,yes,Gravity,,,Flooding,,River / Stream,,0,,,,,yes,august,2ND HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,2,4,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,1,1,3,3,2,1,3,2,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,3,2,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,DG01,D01,no,.,1,,,,1,tomato,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,yes,Rainfed/No irrigation,,,,,,,0,,,,,yes,august,2ND HALF,no,,,,yes,yes,2,1,23:21:0+4S/CHITOWE,,10,kilogram,,10,2,urea,,10,kilogram,,10,no,,,,,,,,,,,,2,2,4,2,1,2,4,2,,,,,,,,,,,,,,,,,,,,,2,3,3,1,1,3,3,1,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,1,4,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100112,1066643538b2448bb6f3576d99b93963,RG02,D01,yes,.,1,,,,1,maize,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,RAIN WATER,Other (Specify),,Erosion control bunds,,,3 years ago,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,0,,,,,yes,august,2ND HALF,yes,55,kilogram,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,1,2,4,2,3,2,4,2,2,2,4,2,,,,,,,,,,,,,,,,,4,2,2,1,1,2,3,1,2,2,3,1,3,2,3,1,,,,,,,,,,,,,2,1,1,2,4,1,1,2,1,1,1,2,3,1,1,2,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100173,b172ac557f21486cbaf35a846610de85,RG01,D01,yes,1,,yes,2,,2,IRISH [MALAWI] POTATO,,,,,,Clay (Katondo),,Good,No Erosion,,,,Erosion control bunds,,,,,,,,Slight slope,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,july,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,DG01,D01,no,.,1,,,,1,maize,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,yes,Bucket,,,Other (Specify),COLLECTION USING PAILS/BUCKET/BASIN,River / Stream,,0,,,,,yes,september,1ST HALF,no,,,,yes,yes,2,2,23:21:0+4S/CHITOWE,,25,kilogram,,25,2,urea,,25,kilogram,,25,no,,,,,,,,,,,,2,2,2,3,1,2,3,3,,,,,,,,,,,,,,,,,,,,,2,2,4,3,1,2,4,3,,,,,,,,,,,,,,,,,,,,,2,1,2,4,1,1,2,4,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,.,,,.,,0,0,0,,,
101021110025,836edbfc80c94c69b37ece683ba793ee,DG01,D01,no,.,1,,,,1,cabbage,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,april,1ST HALF,no,,,,yes,yes,2,4,23:21:0+4S/CHITOWE,,1,50 KG BAG,,50,3,can,,1,50 KG BAG,,50,no,,,,,,,,,,,,1,2,4,6,2,2,4,6,3,2,2,6,4,2,2,6,,,,,,,,,,,,,1,1,6,6,2,1,6,6,,,,,,,,,,,,,,,,,,,,,2,4,2,8,3,4,2,6,1,4,2,8,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021110031,1932530af3c64641ad687e22df626239,DG01,D01,no,.,1,,,,1,tomato,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Moderate,,Flooding,,Erosion control bunds,,,2 years ago,,,,,Slight slope,no,Bucket,,,Other (Specify),COLLECTION USING PAILS/BUCKET/BASIN,River / Stream,,0,,,,,yes,may,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,1,2,3,4,2,2,3,4,4,2,3,4,3,2,3,4,,,,,,,,,,,,,1,1,3,4,2,1,3,4,3,1,2,3,,,,,,,,,,,,,,,,,1,2,3,3,4,2,3,3,3,2,3,3,2,2,3,3,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021110080,212b7fc57c6244409360297e64fe0a95,DG01,D01,no,.,1,,,,1,maize,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,RAIN WATER,Other (Specify),,Erosion control bunds,,,4 years ago,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,9999,,,,,yes,july,2ND HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,1,3,1,1,1,4,2,3,1,4,1,,,,,,,,,,,,,,,,,1,2,3,1,3,2,2,1,2,2,3,1,,,,,,,,,,,,,,,,,3,1,1,2,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021110086,06329ecc71e5430fadb9d1b4b752806d,DG01,D01,no,.,1,,,,1,tomato,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,yes,Gravity,,,Watering can,,River / Stream,,0,,,,,yes,june,1ST HALF,no,,,,yes,no,2,1,23:21:0+4S/CHITOWE,,5,kilogram,,5,2,,,,,,,yes,fungicide,,60,liter,,no,,,,,,2,1,4,4,1,2,3,5,,,,,,,,,,,,,,,,,,,,,1,1,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,1,4,3,1,3,4,1,1,2,4,4,1,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,DG01,D01,no,.,1,,,,1,tomato,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,yes,Gravity,,,Watering can,,River / Stream,,9999,,,,,yes,june,2ND HALF,no,,,,yes,no,2,1,23:21:0+4S/CHITOWE,,7,kilogram,,7,2,,,,,,,yes,fungicide,,20,liter,,no,,,,,,2,1,3,3,1,1,5,3,,,,,,,,,,,,,,,,,,,,,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,1,1,4,4,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101031130010,43da15b392404c87b88b661009658646,DG01,D01,no,.,1,,,,1,maize,,,,,,Clay (Katondo),,Good,No Erosion,,,,Drainage ditches,,,,,,,,Flat,yes,Gravity,,,Flooding,,Well,,0,,,,,yes,july,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,3,1,2,3,5,1,1,3,2,1,2,3,1,1,2,4,,,,,,,,,,,,,2,2,2,4,1,2,2,4,,,,,,,,,,,,,,,,,,,,,2,1,1,4,4,1,1,2,3,1,1,2,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
