ea_id,com_ce01a,com_ce01a_oth,com_ce01b,com_ce01b_oth,com_ce01c,com_ce01c_oth,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_oth,com_ce05b,com_ce05b_oth,com_ce06,com_ce07,com_ce08_1,com_ce08_2,com_ce08a,com_ce08a_oth,com_ce08b,com_ce08b_oth,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10404185,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,LARGE-SCALE COMMERCIAL INDUSTRY,,PROFESSIONAL OCCUPATIONS,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10404186,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10405187,farming,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,,,no,,500,500,,,,,no,,,,,,,,
10407188,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,500,farming,,,,no,,,,,,,,
10407189,farming,,,,,,no,,,,,,,yes,RURAL AREAS,2000,2000,farming,,,,no,,,,,,,,
10407190,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,yes,RURAL AREAS,500,500,farming,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10408191,farming,,,,,,yes,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,no,,,,,,,,
10408192,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,1500,1500,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10420193,OTHER (SPECIFY),PRIVATE BUSINESS UNSPECIFIED,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1500,600,farming,,,,yes,680,1,day,1/4,680,1,day,1/4
10420194,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,2000,2000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10420195,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,300,300,,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10501196,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,700,700,farming,,,,no,,,,,,,,
10501197,farming,,fishing,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,350,farming,,,,yes,485,1,day,1/4,485,1,day,1/4
10501198,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,700,700,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10501199,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,yes,600,600,day,3/4,600,1,day,1/4
10502200,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,700,700,farming,,,,no,,,,,,,,
10502201,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10502202,farming,EMPLOYMENT (UNSPECIFIED),OTHER (SPECIFY),EMPLOYMENT (UNSPECIFIED),,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,,,yes,RURAL AREAS,800,800,farming,,,,no,,,,,,,,
10502203,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,7200,12,day,1/4,7200,12,day,3/4
10503204,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,RURAL AREAS,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10503205,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
10503206,farming,CASUAL LABOUR UNSPECIFIED(GANYU),"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",CASUAL LABOUR UNSPECIFIED(GANYU),OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,no,,1000,1000,,,,,yes,14000,24,day,1/4,14000,24,day,3/4
10504207,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,2000,farming,,,,no,,,,,,,,
10505208,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10505209,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,"BEER BREWING, KACHASU",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,no,,,,,,,,
10505210,farming,,"BEER BREWING, KACHASU",,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10506211,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
10506212,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10507213,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,MOUDLING BRICKS,OTHER (SPECIFY),MOUDLING BRICKS,yes,7200,12,day,3/4,7200,12,day,1/4
10507214,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,no,,,,,,,,
10508215,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,RURAL AREAS,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,12,day,1/4,600,1,day,3/4
10508216,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,2000,2000,farming,,,,yes,7200,12,day,1/4,7200,12,day,3/4
10509217,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,700,farming,,,,no,,,,,,,,
10510218,farming,CASUAL LABOUR UNSPECIFIED(GANYU),SMALL-SCALE TRADE & SERVICE PROVISION,CASUAL LABOUR UNSPECIFIED(GANYU),OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,600,1,day,1/4,600,1,day,3/4
10520219,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,"BEER BREWING, KACHASU",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,800,800,OTHER (SPECIFY),CASUAL LABOR(GANYU),,,yes,600,1,day,1/4,600,1,day,3/4
10601220,fishing,,,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,1000,1000,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10601221,fishing,,,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,2000,1000,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10601223,fishing,,,,,,no,,,,,,,no,,1000,1000,,,,,yes,14400,24,day,ALMOST NONE,14400,24,day,ALMOST NONE
10601224,fishing,,,,,,yes,1/4,RURAL AREAS,fishing,,,,yes,RURAL AREAS,2000,1500,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10601225,fishing,,,,,,yes,1/4,RURAL AREAS,fishing,,,,yes,RURAL AREAS,1500,1500,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10601226,fishing,,,,,,yes,ALMOST NONE,RURAL AREAS,fishing,,,,yes,RURAL AREAS,2000,2000,fishing,CASUAL LABOR(GANYU),OTHER (SPECIFY),CASUAL LABOR(GANYU),yes,600,1,day,ALMOST NONE,600,1,day,1/4
10601227,fishing,,,,,,yes,1/4,RURAL AREAS,fishing,,,,yes,RURAL AREAS,2000,2000,fishing,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
