ea_id,com_cc01,com_cc02,com_cc03,com_cc03_1,com_cc04a,com_cc04a_oth,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05a_oth,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07a_oth,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc08,com_cc09,com_cc09_oth,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14
10104118,ABOUT THE SAME OF BOTH,1600,480,0,christian,,480,,,,,tumbuka,,480,,,,,father,Patrilineal and patrilocal,.,480,,,,,30,farming,,Moderately sloping,ALMOST NONE,ALMOST NONE,1/4,3/4
10105119,MORE MOVED OUT,628,175,0,traditional,,20,christian,155,,,lambya,CHINDALI,150,other,25,,,father,Patrilineal and patrilocal,.,175,,,,,50,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,ALMOST ALL
10105120,MORE MOVED OUT,1530,220,0,christian,,220,,,,,lambya,,220,,,,,father,Patrilineal and patrilocal,,220,,,,,15,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10105121,MORE MOVED OUT,2400,300,10,traditional,,20,christian,280,,,lambya,CHINDALI,200,other,100,,,father,Patrilineal and patrilocal,.,300,,,,,30,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,ALMOST ALL
10120122,ABOUT THE SAME OF BOTH,1300,480,0,christian,,480,,,,,tumbuka,,480,,,,,father,Patrilineal and patrilocal,.,480,,,,,42,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10120123,MORE MOVED IN,1200,318,2,christian,,318,,,,,lambya,CHINDALI,200,sukwa,100,other,18,father,Patrilineal and patrilocal,.,318,,,,,30,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10201124,MORE MOVED OUT,680,144,2,christian,,144,,,,,nkhonde,,144,,,,,father,Patrilineal and patrilocal,.,144,,,,,30,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10201125,ABOUT THE SAME OF BOTH,800,350,0,christian,,350,,,,,nkhonde,,350,,,,,father,Patrilineal and patrilocal,.,350,,,,,31,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10201126,MORE MOVED OUT,780,115,3,christian,,115,,,,,nkhonde,,115,,,,,father,Patrilineal and patrilocal,.,115,,,,,25,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10201127,MORE MOVED IN,3100,143,0,christian,,143,,,,,tumbuka,,20,nkhonde,123,,,father,Patrilineal and patrilocal,,143,,,,,21,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10201128,MORE MOVED OUT,1420,500,5,traditional,,50,christian,450,,,nkhonde,,500,,,,,father,Patrilineal and patrilocal,.,500,,,,,100,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10201129,ABOUT THE SAME OF BOTH,2150,700,0,christian,,700,,,,,tumbuka,,300,nkhonde,400,,,father,Patrilineal and patrilocal,.,700,,,,,31,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10202131,MORE MOVED OUT,2041,523,0,christian,,523,,,,,nyakyusa,,523,,,,,father,Patrilineal and patrilocal,,523,,,,,270,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10203132,MORE MOVED OUT,1000,301,5,traditional,,25,christian,276,,,tumbuka,,50,nkhonde,251,,,father,Patrilineal and patrilocal,.,301,,,,,40,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10203133,ABOUT THE SAME OF BOTH,2100,350,0,christian,,350,,,,,nkhonde,,350,,,,,father,Patrilineal and patrilocal,.,350,,,,,70,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10203134,MORE MOVED IN,830,148,2,christian,,148,,,,,nkhonde,,120,sukwa,28,,,father,Patrilineal and neolocal,.,20,Patrilineal and patrilocal,128,,,15,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10203135,MORE MOVED IN,3392,456,0,christian,,456,,,,,nkhonde,,456,,,,,father,Patrilineal and patrilocal,,456,,,,,30,PLANNED HOUSING,,Flat,1/4,ALMOST NONE,ALMOST NONE,1/4
10203136,ABOUT THE SAME OF BOTH,1400,500,0,christian,,500,,,,,nkhonde,,500,,,,,father,Patrilineal and patrilocal,.,500,,,,,36,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10203137,ABOUT THE SAME OF BOTH,1400,400,0,christian,,400,,,,,tumbuka,,400,,,,,father,Patrilineal and patrilocal,.,400,,,,,22,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10204138,MORE MOVED OUT,1380,330,0,traditional,,30,christian,300,,,tumbuka,,330,,,,,father,Patrilineal and patrilocal,.,330,,,,,30,farming,,Both flat &amp; hilly,1/4,1/4,ALMOST NONE,ALMOST ALL
10204139,MORE MOVED OUT,2465,439,0,christian,,439,,,,,tumbuka,,439,,,,,father,Patrilineal and patrilocal,,439,,,,,60,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10204140,MORE MOVED OUT,1100,315,2,christian,,315,,,,,tumbuka,,315,,,,,mother,Patrilineal and patrilocal,.,315,,,,,50,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10204141,ABOUT THE SAME OF BOTH,1900,470,0,christian,,470,,,,,tumbuka,,470,,,,,father,Patrilineal and patrilocal,.,470,,,,,28,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,1/4,3/4
10205142,MORE MOVED OUT,920,280,3,traditional,,250,christian,30,,,tumbuka,,280,,,,,father,Patrilineal and patrilocal,.,280,,,,,54,farming,,Both flat &amp; hilly,1/4,1/4,ALMOST NONE,ALMOST ALL
10205143,ABOUT THE SAME OF BOTH,3086,640,0,christian,,640,,,,,chewa,,20,tumbuka,100,nkhonde,520,father,Patrilineal and patrilocal,,640,,,,,130,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10205144,MORE MOVED OUT,1400,328,10,traditional,,28,christian,300,,,tumbuka,,328,,,,,father,Patrilineal and neolocal,.,320,,,,,52,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10220145,MORE MOVED OUT,3400,1600,0,islam,,100,christian,1500,,,tumbuka,,1000,nkhonde,600,,,father,Patrilineal and patrilocal,.,1600,,,,,500,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10220146,MORE MOVED IN,1080,290,3,islam,,10,christian,280,,,tumbuka,,100,nkhonde,190,,,father,Patrilineal and patrilocal,.,290,,,,,35,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10220147,MORE MOVED IN,2100,400,5,islam,,20,christian,380,,,chewa,,50,yao,10,tumbuka,100,father,Patrilineal and patrilocal,,400,,,,,46,PLANNED HOUSING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10301148,MORE MOVED IN,1120,224,20,islam,,1,christian,219,none,4,chewa,,7,tumbuka,190,tonga,12,both,Patrilineal and patrilocal,,224,,,,,17,farming,,Slightly sloping,1/4,ALMOST NONE,1/4,3/4
10301149,MORE MOVED IN,385,146,15,christian,,146,,,,,chewa,,4,tumbuka,12,tonga,130,father,Patrilineal and patrilocal,.,146,,,,,20,farming,,Steeply sloping,3/4,1/4,1/2,3/4
10301150,MORE MOVED IN,1360,272,4,islam,,5,christian,267,,,chewa,,50,tumbuka,25,tonga,197,father,Matrilineal and matrilocal (chikamwini),.,5,Patrilineal and patrilocal,267,,,89,farming,,Both flat &amp; hilly,1/2,1/4,ALMOST NONE,3/4
10301151,MORE MOVED IN,1050,150,0,christian,,150,,,,,chewa,,40,tumbuka,20,nkhonde,10,both,Patrilineal and patrilocal,.,150,,,,,10,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10302152,MORE MOVED IN,960,120,0,islam,,6,christian,113,none,1,chewa,,2,yao,6,tumbuka,12,both,Patrilineal and patrilocal,,120,,,,,4,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10302153,MORE MOVED IN,1750,250,5,christian,,250,,,,,chewa,,30,tumbuka,10,tonga,210,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,240,,,15,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10303154,MORE MOVED IN,1200,150,0,islam,,1,christian,149,,,chewa,,7,tumbuka,7,tonga,136,both,Matrilineal and matrilocal (chikamwini),.,3,Patrilineal and patrilocal,147,,,3,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,1/2
10304155,MORE MOVED IN,5700,2007,0,christian,,2007,,,,,chewa,,15,tumbuka,30,lomwe,5,father,Patrilineal and neolocal,.,10,Patrilineal and patrilocal,2907,,,40,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10304156,MORE MOVED IN,4280,428,0,christian,,427,none,1,,,chewa,,10,tumbuka,25,tonga,393,both,Matrilineal and matrilocal (chikamwini),,15,Matrilineal and patrilocal (chitengwa),413,,,15,farming,,Slightly sloping,3/4,ALMOST NONE,1/4,3/4
10305157,MORE MOVED IN,3000,500,0,islam,,3,christian,497,,,chewa,,10,tumbuka,25,nkhonde,5,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,490,,,20,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10305158,MORE MOVED IN,2200,400,0,christian,,400,,,,,chewa,,10,tumbuka,15,tonga,375,both,Matrilineal and matrilocal (chikamwini),.,15,Patrilineal and patrilocal,385,,,20,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10306159,MORE MOVED OUT,300,300,0,islam,,1,christian,289,none,10,chewa,,15,tumbuka,20,nkhonde,2,both,Matrilineal and matrilocal (chikamwini),.,8,Patrilineal and patrilocal,292,,,15,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10306160,MORE MOVED IN,3700,850,10,islam,,7,christian,843,,,chewa,,24,tumbuka,10,tonga,816,both,Matrilineal and matrilocal (chikamwini),,5,Patrilineal and patrilocal,845,,,4,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10307161,MORE MOVED OUT,522,115,0,christian,,115,,,,,chewa,,5,yao,1,tumbuka,3,father,Patrilineal and neolocal,.,5,Patrilineal and patrilocal,110,,,0,farming,,Slightly sloping,3/4,ALMOST NONE,3/4,3/4
10308162,NEITHER ARRIVALS NOR DEPARTURES,3750,350,0,islam,,3,christian,347,,,chewa,,4,tumbuka,20,tonga,326,father,Matrilineal and matrilocal (chikamwini),.,2,Patrilineal and patrilocal,348,,,10,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10309163,MORE MOVED IN,2100,300,0,christian,,295,none,5,,,chewa,,5,tumbuka,290,tonga,5,both,Matrilineal and matrilocal (chikamwini),.,1,Patrilineal and patrilocal,299,,,20,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10309164,ABOUT THE SAME OF BOTH,2892,482,32,christian,,482,,,,,tumbuka,SWAHILI,305,tonga,153,other,24,both,Patrilineal and patrilocal,,482,,,,,40,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10310165,MORE MOVED IN,4550,650,2,islam,,5,christian,645,,,chewa,,100,tumbuka,400,tonga,50,both,Matrilineal and matrilocal (chikamwini),.,15,Patrilineal and patrilocal,635,,,50,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10312166,MORE MOVED IN,1200,200,0,christian,,196,none,4,,,chewa,,6,tumbuka,20,tonga,174,both,Matrilineal and matrilocal (chikamwini),.,5,Patrilineal and patrilocal,195,,,30,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,3/4
10312167,MORE MOVED OUT,1700,320,0,islam,,3,christian,317,,,chewa,,5,yao,1,tumbuka,15,father,Matrilineal and patrilocal (chitengwa),.,1,Patrilineal and patrilocal,319,,,10,farming,,Steeply sloping,1/4,ALMOST NONE,3/4,3/4
10312168,MORE MOVED IN,3000,600,0,islam,,50,christian,550,,,tumbuka,,30,tonga,530,lambya,40,both,Matrilineal and matrilocal (chikamwini),,15,Patrilineal and patrilocal,585,,,32,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10312169,MORE MOVED IN,3210,535,1,islam,,2,christian,532,none,1,chewa,NDALI,50,tumbuka,85,tonga,200,both,Matrilineal and matrilocal (chikamwini),.,7,Patrilineal and patrilocal,528,,,25,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10320170,MORE MOVED OUT,1512,252,9,islam,,2,christian,250,,,chewa,,1,tumbuka,2,tonga,249,both,Matrilineal and matrilocal (chikamwini),.,6,Patrilineal and patrilocal,246,,,6,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,ALMOST NONE,3/4
10320171,MORE MOVED IN,6000,1000,10,islam,RASTAFARIANISM,15,christian,980,OTHER RELIGION,5,chewa,,30,yao,10,tumbuka,50,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,990,,,20,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10401172,MORE MOVED IN,840,140,0,christian,,140,,,,,chewa,,10,tumbuka,125,lambya,5,both,Matrilineal and matrilocal (chikamwini),.,7,Patrilineal and patrilocal,133,,,20,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10401173,MORE MOVED IN,1400,350,0,islam,,20,christian,330,,,chewa,,40,tumbuka,297,nkhonde,8,both,Matrilineal and matrilocal (chikamwini),.,16,Patrilineal and patrilocal,334,,,200,farming,,Both flat &amp; hilly,1/4,1/4,ALMOST NONE,ALMOST ALL
10401174,MORE MOVED IN,1050,150,10,islam,,30,christian,105,none,15,chewa,,40,tumbuka,95,lambya,15,father,Matrilineal and matrilocal (chikamwini),.,15,Patrilineal and patrilocal,135,,,100,farming,,Flat,ALMOST NONE,ALMOST NONE,1/4,3/4
10401175,MORE MOVED IN,2800,400,40,islam,,2,christian,398,,,chewa,,10,tumbuka,370,ngoni,5,both,Matrilineal and matrilocal (chikamwini),,20,Patrilineal and patrilocal,380,,,60,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10401176,MORE MOVED IN,840,120,3,islam,,15,christian,105,,,chewa,,30,tumbuka,85,lambya,5,both,Matrilineal and matrilocal (chikamwini),.,5,Patrilineal and patrilocal,115,,,22,farming,,Flat,1/4,1/4,ALMOST NONE,ALMOST ALL
10401177,MORE MOVED IN,2000,400,40,islam,,20,christian,380,,,chewa,,20,tumbuka,330,nkhonde,10,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,390,,,50,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10401178,MORE MOVED IN,2160,360,0,traditional,,30,islam,20,christian,310,chewa,,20,yao,10,tumbuka,315,both,Matrilineal and matrilocal (chikamwini),.,7,Patrilineal and patrilocal,353,,,38,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10401179,ABOUT THE SAME OF BOTH,3000,600,0,islam,,60,christian,540,,,chewa,,29,tumbuka,566,lambya,5,both,Patrilineal and patrilocal,,600,,,,,35,farming,,Slightly sloping,ALMOST NONE,1/4,ALMOST NONE,3/4
10401180,ABOUT THE SAME OF BOTH,1000,270,5,christian,,270,,,,,tumbuka,,270,,,,,father,Patrilineal and patrilocal,.,270,,,,,60,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10402181,MORE MOVED OUT,800,300,0,christian,,300,,,,,tumbuka,,300,,,,,father,Patrilineal and patrilocal,,300,,,,,50,farming,,Steeply sloping,1/4,1/2,1/4,3/4
10403182,MORE MOVED IN,3850,550,3,islam,,30,christian,500,none,20,chewa,,30,yao,20,tumbuka,485,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,540,,,200,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10403183,MORE MOVED IN,1435,205,0,islam,,40,christian,165,,,tumbuka,,185,ngoni,20,,,father,Patrilineal and patrilocal,,205,,,,,12,farming,,Slightly sloping,1/4,1/4,ALMOST NONE,3/4
10404184,MORE MOVED IN,1100,220,1100,christian,,220,,,,,chewa,,10,tumbuka,210,,,father,Patrilineal and patrilocal,.,220,,,,,25,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,1/4,3/4
10404185,MORE MOVED OUT,1004,360,0,christian,,360,,,,,tumbuka,,360,,,,,father,Patrilineal and patrilocal,.,360,,,,,22,farming,,Moderately sloping,1/4,ALMOST NONE,1/4,3/4
10404186,MORE MOVED IN,270,83,1,christian,,83,,,,,tumbuka,,73,nkhonde,4,lambya,2,father,Patrilineal and neolocal,.,10,Patrilineal and patrilocal,73,,,20,farming,,Steeply sloping,1/4,ALMOST NONE,1/2,3/4
10405187,MORE MOVED OUT,3000,700,0,christian,,700,,,,,tumbuka,,700,,,,,father,Patrilineal and patrilocal,,700,,,,,40,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,1/2,ALMOST ALL
10407188,MORE MOVED IN,3500,500,0,islam,,10,christian,490,,,chewa,,50,tumbuka,410,nkhonde,30,both,Matrilineal and matrilocal (chikamwini),.,10,Patrilineal and patrilocal,490,,,50,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10407189,MORE MOVED OUT,1500,300,0,islam,,10,christian,290,,,chewa,,20,tumbuka,260,nkhonde,10,both,Patrilineal and patrilocal,.,300,,,,,20,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,3/4
10407190,MORE MOVED IN,1500,150,2,christian,,150,,,,,chewa,,6,tumbuka,144,,,father,Patrilineal and neolocal,.,20,Patrilineal and patrilocal,130,,,5,farming,,Steeply sloping,1/4,ALMOST NONE,3/4,3/4
10408191,ABOUT THE SAME OF BOTH,1500,300,0,islam,,4,christian,296,,,chewa,,12,tumbuka,288,,,father,Patrilineal and patrilocal,,300,,,,,27,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10408192,MORE MOVED IN,2280,380,0,christian,,380,,,,,chewa,,2,tumbuka,378,,,both,Patrilineal and neolocal,.,380,,,,,40,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10420193,MORE MOVED IN,2800,560,38,islam,,2,christian,507,none,51,chewa,,175,tumbuka,300,nkhonde,80,both,Matrilineal and patrilocal (chitengwa),,110,Patrilineal and patrilocal,450,,,21,PLANNED HOUSING,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10420194,MORE MOVED IN,1800,416,13,christian,,400,none,16,,,tumbuka,,416,,,,,father,Patrilineal and patrilocal,.,416,,,,,35,SQUATTER SETTLEMENT,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10420195,MORE MOVED IN,1892,630,2,christian,,582,none,48,,,chewa,,50,tumbuka,506,nkhonde,45,father,Patrilineal and patrilocal,,580,,,,,150,PLANNED HOUSING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10501196,MORE MOVED IN,444,111,0,christian,,111,,,,,tumbuka,,111,,,,,both,Patrilineal and neolocal,.,111,,,,,22,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10501197,MORE MOVED OUT,720,211,0,christian,,211,,,,,tumbuka,,211,,,,,both,Patrilineal and neolocal,,21,,,,,18,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10501198,MORE MOVED IN,1680,280,0,christian,,280,,,,,chewa,,15,tumbuka,265,,,both,Patrilineal and neolocal,.,265,,,,,100,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10501199,MORE MOVED IN,722,130,0,islam,,1,christian,129,,,chewa,,5,tumbuka,125,,,both,Patrilineal and neolocal,.,125,,,,,24,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10502200,MORE MOVED IN,1460,240,0,islam,,30,christian,210,,,chewa,,40,yao,30,tumbuka,140,both,Patrilineal and neolocal,.,170,Patrilineal and patrilocal,70,,,40,farming,,Slightly sloping,1/4,1/2,1/4,3/4
10502201,MORE MOVED IN,9000,383,0,islam,,10,christian,373,,,chewa,,20,yao,10,tumbuka,253,both,Matrilineal and matrilocal (chikamwini),,30,Patrilineal and patrilocal,253,,,96,farming,,Moderately sloping,1/4,1/4,ALMOST NONE,3/4
10502202,MORE MOVED OUT,3026,318,0,christian,,318,,,,,chewa,,35,tumbuka,264,nkhonde,12,both,Patrilineal and neolocal,.,318,,,,,15,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10502203,MORE MOVED OUT,2150,430,1,christian,,430,,,,,chewa,,10,tumbuka,420,,,both,Patrilineal and neolocal,.,430,,,,,50,farming,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10503204,MORE MOVED IN,720,120,0,christian,,120,,,,,tumbuka,,120,,,,,both,Patrilineal and neolocal,.,120,,,,,6,farming,,Slightly sloping,1/2,ALMOST NONE,ALMOST NONE,3/4
10503205,MORE MOVED IN,906,366,3,christian,,366,,,,,chewa,,6,tumbuka,360,,,both,Matrilineal and matrilocal (chikamwini),.,6,Patrilineal and neolocal,360,,,30,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10503206,MORE MOVED OUT,5000,200,0,christian,,200,,,,,chewa,,6,tumbuka,194,,,both,Matrilineal and matrilocal (chikamwini),,6,Patrilineal and neolocal,194,,,20,farming,,Steeply sloping,1/4,ALMOST NONE,1/4,3/4
10504207,MORE MOVED IN,1000,160,0,christian,,160,,,,,chewa,,10,tumbuka,150,,,both,Patrilineal and neolocal,.,160,,,,,35,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,1/4,3/4
10505208,MORE MOVED OUT,1250,250,0,christian,,250,,,,,chewa,,10,tumbuka,240,,,both,Patrilineal and neolocal,.,250,,,,,60,farming,,Flat,1/4,1/4,1/4,3/4
10505209,MORE MOVED OUT,4520,810,0,christian,,810,,,,,chewa,,10,tumbuka,800,tonga,0,father,Patrilineal and neolocal,,800,,,,,22,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10505210,MORE MOVED OUT,798,133,0,christian,,133,,,,,yao,,7,tumbuka,126,,,both,Patrilineal and neolocal,.,126,,,,,14,farming,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10506211,MORE MOVED IN,3344,836,8,christian,,836,,,,,chewa,,6,tumbuka,830,,,both,Matrilineal and matrilocal (chikamwini),.,2,Patrilineal and neolocal,834,,,77,farming,,Slightly sloping,1/4,ALMOST NONE,1/4,ALMOST ALL
