hhID,grappe,adm1,adm2,lat,long,fieldID,plotNbr,plotID,cropID,plot_area_reported_localUnit,planting_month,localUnit_area,plot_area_reported_ha,crop,planting_year,harvesting_month,harvesting_year,plot_area_measured_ha,crop_area_share,dataset_doi,GPS_level,source,country
1008,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,47969,6,square meters,4.7969,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1009,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,46756,6,square meters,4.6756,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1009,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,46756,6,square meters,4.6756,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1010,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,2,40635,6,square meters,4.0635,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1010,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,1,40635,6,square meters,4.0635,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1011,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,44497,6,square meters,4.4497,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1012,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,64592,6,square meters,6.4592,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1012,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,8,64592,6,square meters,6.4592,Cow Pea,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1013,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,47236,6,square meters,4.7236,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1013,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,47236,6,square meters,4.7236,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1014,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,68788,6,square meters,6.8788,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1014,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,68788,6,square meters,6.8788,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1014,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,3,8,68788,6,square meters,6.8788,Cow Pea,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1015,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,29725,6,square meters,2.9725,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1015,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,29725,6,square meters,2.9725,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1016,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,2,13896,6,square meters,1.3896,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1016,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,1,13896,6,square meters,1.3896,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1017,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,19678,6,square meters,1.9678,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1017,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,19678,6,square meters,1.9678,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1018,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,1,1,29142,6,square meters,2.9142,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1018,10,agadez,tchirozérine,15.5215096057,7.03498515587,1,1,2,2,29142,6,square meters,2.9142,Sorghum,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,3572,6,square meters,0.3572,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,29,4210,7,square meters,0.421,Tomato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,3,3,36,308,7,square meters,0.0308,Garlic,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,4,4,48,509,3,square meters,0.0509,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,5,5,35,100,7,square meters,0.01,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,6,6,48,102,7,square meters,0.0102,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,7,7,33,949,7,square meters,0.0949,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1201,12,agadez,tchirozérine,17.7574203895,7.98335337751,2,1,8,4,3546,7,square meters,0.3546,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1202,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,1,3849,7,square meters,0.3849,Millet,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1202,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,3362,7,square meters,0.3362,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1202,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,3,3,36,3461,7,square meters,0.3461,Garlic,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1202,12,agadez,tchirozérine,17.7574203895,7.98335337751,2,1,4,33,3373,7,square meters,0.3373,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1203,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,10000,6,square meters,1,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1203,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,5000,6,square meters,0.5,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1207,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,33,1355,7,square meters,0.1355,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1207,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,29,2181,7,square meters,0.2181,Tomato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1209,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,33,3500,3,square meters,0.35,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1210,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,1224,7,square meters,0.1224,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1210,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,2935,7,square meters,0.2935,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1211,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,3530,7,square meters,0.353,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1211,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,2380,7,square meters,0.238,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1212,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,33,4000,7,square meters,0.4,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1212,12,agadez,tchirozérine,17.7574203895,7.98335337751,2,1,2,4,3000,7,square meters,0.3,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1213,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,1856,6,square meters,0.1856,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1213,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,800,6,square meters,0.08,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1214,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,33,5000,6,square meters,0.5,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1214,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,4,2500,6,square meters,0.25,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1214,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,3,3,28,2500,6,square meters,0.25,Cabbage,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1214,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,4,4,48,5000,6,square meters,0.5,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1214,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,5,5,29,1000,6,square meters,0.1,Tomato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1217,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,4,1914,6,square meters,0.1914,Corn,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1217,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,33,1230,6,square meters,0.123,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1218,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,1,1,33,1631,6,square meters,0.1631,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1218,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,2,2,29,2448,6,square meters,0.2448,Tomato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1218,12,agadez,tchirozérine,17.7574203895,7.98335337751,1,3,3,24,1052,6,square meters,0.1052,Chilli Pepper,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1301,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,999999,7,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1301,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,2,8,999999,7,square meters,99.9999,Cow Pea,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1301,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,3,11,999999,7,square meters,99.9999,Okra,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1301,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,4,35,999999,7,square meters,99.9999,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1302,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,1092,7,square meters,0.1092,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1302,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,2,2,48,1130,7,square meters,0.113,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1303,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,12529,7,square meters,1.2529,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1304,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,1652,6,square meters,0.1652,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1304,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,2,48,2002,6,square meters,0.2002,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1305,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,25992,8,square meters,2.5992,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1306,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,12134,7,square meters,1.2134,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1307,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,10939,7,square meters,1.0939,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1308,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,1733,7,square meters,0.1733,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1309,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,999999,8,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1312,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,20143,7,square meters,2.0143,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1313,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,9454,7,square meters,0.9454,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1314,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,20143,8,square meters,2.0143,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1317,13,agadez,tchirozérine,17.2637430909,7.85915817868,1,1,1,33,999999,7,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1602,16,agadez,tchirozérine,17.133305191,8.06907597758,1,1,1,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1603,16,agadez,tchirozérine,17.133305191,8.06907597758,1,1,1,33,1110,6,square meters,0.111,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1611,16,agadez,tchirozérine,17.133305191,8.06907597758,1,1,1,48,5600,6,square meters,0.56,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1615,16,agadez,tchirozérine,17.133305191,8.06907597758,1,1,1,33,5000,8,square meters,0.5,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1615,16,agadez,tchirozérine,17.133305191,8.06907597758,1,2,2,35,1000,5,square meters,0.1,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1617,16,agadez,tchirozérine,17.133305191,8.06907597758,1,1,1,33,5000,7,square meters,0.5,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1617,16,agadez,tchirozérine,17.133305191,8.06907597758,1,2,2,33,5000,8,square meters,0.5,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1701,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1701,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,2,2,29,999999,6,square meters,99.9999,Tomato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1701,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,3,3,28,999999,6,square meters,99.9999,Cabbage,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1702,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1703,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,27,999999,6,square meters,99.9999,Lettuce,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1703,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,2,2,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1703,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,3,3,16,999999,6,square meters,99.9999,Potato,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1705,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1706,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,33,999999,6,square meters,99.9999,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1708,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,35,0,6,square meters,0,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1708,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,2,25,0,6,square meters,0,Melon,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1710,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,48,948,6,square meters,0.0948,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1712,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,33,768,6,square meters,0.0768,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1713,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,35,1500,8,square meters,0.15,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1713,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,2,2,48,2500,8,square meters,0.25,Other,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1714,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,35,2500,8,square meters,0.25,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1714,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,2,2,25,2500,8,square meters,0.25,Melon,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1717,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,35,5000,8,square meters,0.5,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1717,17,agadez,tchirozérine,16.7759542794,6.89403887696,2,1,2,25,500,8,square meters,0.05,Melon,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1717,17,agadez,tchirozérine,16.7759542794,6.89403887696,2,1,3,11,300,7,square meters,0.03,Okra,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1717,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,4,25,5000,8,square meters,0.5,Melon,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1718,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,1,1,35,510,8,square meters,0.051,Zucchini,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
1718,17,agadez,tchirozérine,16.7759542794,6.89403887696,1,2,2,25,280,8,square meters,0.028,Melon,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
2001,20,agadez,tchirozérine,17.4530243741,9.02663601955,1,1,1,33,6000,6,square meters,0.6,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
2003,20,agadez,tchirozérine,17.4530243741,9.02663601955,1,1,1,33,33580,6,square meters,3.358,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
2004,20,agadez,tchirozérine,17.4530243741,9.02663601955,1,1,1,33,3745,7,square meters,0.3745,Onion,NA,NA,NA,NA,NA,https://doi.org/10.48529/bp16-s524,Grappe,NER_2011_ECVMA_V01_M,Niger
