ea_id,com_cc01,com_cc02,com_cc03,com_cc03_1,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc04a_oth,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc05a_oth,com_cc06,com_cc07a,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc07a_oth,com_cc08,com_cc09,com_cc09_oth,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14
10103111,MORE MOVED IN,1100,181,0,CHRISTIAN,181,,,,,,TUMBUKA,6,SUKWA,175,,,,FATHER,Matrilineal and patrilocal (chitengwa),181,,,,,,20,FARMING,,Steeply sloping,1/4,ALMOST NONE,1/4,3/4
10103112,MORE MOVED IN,1200,225,0,CHRISTIAN,225,,,,,,TUMBUKA,40,LAMBYA,55,SUKWA,130,,FATHER,Matrilineal and patrilocal (chitengwa),225,,,,,,15,FARMING,,Flat,3/4,ALMOST NONE,1/4,3/4
10103113,MORE MOVED IN,420,75,0,CHRISTIAN,75,,,,,,SUKWA,75,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),75,,,,,,9,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,3/4
10105114,MORE MOVED OUT,5000,1000,0,CHRISTIAN,1000,,,,,,TUMBUKA,15,LAMBYA,85,OTHER,900,CHINYIKA,FATHER,Matrilineal and neolocal,100,,,,,,15,FARMING,,Slightly sloping,1/4,ALMOST NONE,3/4,3/4
10105115,MORE MOVED IN,700,140,0,CHRISTIAN,140,,,,,,TUMBUKA,60,LAMBYA,80,,,,FATHER,Matrilineal and matrilocal (chikamwini),4,Matrilineal and patrilocal (chitengwa),136,,,,6,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10106116,MORE MOVED OUT,1350,270,0,CHRISTIAN,270,,,,,,TUMBUKA,270,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),270,,,,,,135,FARMING,,Moderately sloping,1/4,ALMOST NONE,1/4,3/4
10106117,MORE MOVED IN,1000,200,0,CHRISTIAN,200,,,,,,CHEWA,10,TUMBUKA,190,,,,FATHER,Matrilineal and patrilocal (chitengwa),200,,,,,,10,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10107118,MORE MOVED OUT,600,125,4,CHRISTIAN,125,,,,,,TUMBUKA,125,,,,,,FATHER,Matrilineal and neolocal,125,,,,,,20,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10109119,MORE MOVED OUT,826,137,0,CHRISTIAN,137,,,,,,TUMBUKA,1,LAMBYA,136,,,,FATHER,Matrilineal and matrilocal (chikamwini),2,Matrilineal and patrilocal (chitengwa),135,,,,13,FARMING,,Flat,ALMOST NONE,ALMOST NONE,1/4,3/4
10109120,MORE MOVED OUT,1200,200,1,CHRISTIAN,200,,,,,,LAMBYA,125,SUKWA,75,,,,FATHER,Matrilineal and patrilocal (chitengwa),200,,,,,,30,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10109121,MORE MOVED IN,726,120,0,CHRISTIAN,120,,,,,,LAMBYA,80,OTHER,40,,,CHINAMWANGA,FATHER,Matrilineal and patrilocal (chitengwa),120,,,,,,75,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10120122,MORE MOVED IN,3357,672,1,ISLAM,72,CHRISTIAN,600,,,,TUMBUKA,200,LAMBYA,372,SUKWA,100,,BOTH,Matrilineal and matrilocal (chikamwini),662,Matrilineal and patrilocal (chitengwa),10,,,,30,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10120123,MORE MOVED OUT,1320,220,1,CHRISTIAN,220,,,,,,TUMBUKA,76,LAMBYA,144,,,,FATHER,Matrilineal and patrilocal (chitengwa),220,,,,,,10,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10201124,MORE MOVED IN,1820,260,2,ISLAM,5,CHRISTIAN,255,,,,TUMBUKA,200,NKHONDE,40,NYAKYUSA,20,,FATHER,Matrilineal and matrilocal (chikamwini),5,Matrilineal and patrilocal (chitengwa),255,,,,100,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10201125,MORE MOVED IN,900,150,0,TRADITIONAL,150,,,,,,TUMBUKA,50,NKHONDE,20,SUKWA,80,,FATHER,Matrilineal and patrilocal (chitengwa),150,,,,,,50,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10201126,MORE MOVED IN,3200,640,0,CHRISTIAN,640,,,,,,NKHONDE,300,LAMBYA,150,SUKWA,190,,FATHER,Matrilineal and patrilocal (chitengwa),640,,,,,,150,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10201127,MORE MOVED OUT,800,150,0,CHRISTIAN,150,,,,,,TUMBUKA,6,NKHONDE,144,,,,FATHER,Matrilineal and patrilocal (chitengwa),150,,,,,,20,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10201128,MORE MOVED IN,4600,767,0,ISLAM,10,CHRISTIAN,757,,,,TUMBUKA,667,NKHONDE,100,,,,FATHER,Matrilineal and matrilocal (chikamwini),30,Matrilineal and patrilocal (chitengwa),737,,,,25,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10202129,MORE MOVED OUT,1140,195,0,CHRISTIAN,195,,,,,,NYAKYUSA,195,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),195,,,,,,20,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10203130,MORE MOVED IN,1200,240,0,CHRISTIAN,240,,,,,,SUKWA,240,,,,,,FATHER,Matrilineal and neolocal,240,,,,,,100,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,3/4
10203131,MORE MOVED IN,1500,255,0,CHRISTIAN,255,,,,,,TUMBUKA,35,NKHONDE,220,,,,FATHER,Matrilineal and patrilocal (chitengwa),255,,,,,,20,FARMING,,Flat,ALMOST ALL,ALMOST NONE,1/4,3/4
10203132,MORE MOVED IN,1200,200,0,CHRISTIAN,200,,,,,,NKHONDE,200,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),200,,,,,,50,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10203133,MORE MOVED IN,780,132,0,CHRISTIAN,132,,,,,,TUMBUKA,82,NKHONDE,50,,,,FATHER,Matrilineal and patrilocal (chitengwa),132,,,,,,90,FARMING,,Slightly sloping,3/4,ALMOST NONE,3/4,3/4
10203134,MORE MOVED OUT,2000,334,0,ISLAM,6,CHRISTIAN,328,,,,CHEWA,10,YAO,4,TUMBUKA,20,,FATHER,Matrilineal and patrilocal (chitengwa),334,,,,,,32,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10203135,MORE MOVED OUT,744,124,0,CHRISTIAN,124,,,,,,NKHONDE,124,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),124,,,,,,74,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10204136,MORE MOVED IN,1470,290,0,CHRISTIAN,290,,,,,,CHEWA,10,TUMBUKA,265,NKHONDE,15,,FATHER,Matrilineal and patrilocal (chitengwa),290,,,,,,70,FARMING,,Slightly sloping,3/4,ALMOST NONE,1/4,3/4
10204137,MORE MOVED IN,1000,160,0,ISLAM,1,CHRISTIAN,159,,,,TUMBUKA,117,OTHER,43,,,CHINDALI,FATHER,Matrilineal and patrilocal (chitengwa),160,,,,,,50,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10204138,MORE MOVED OUT,6500,1084,0,CHRISTIAN,1084,,,,,,TUMBUKA,800,NYAKYUSA,84,OTHER,200,CHINDALI,FATHER,Matrilineal and neolocal,1000,,,,,,500,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10204139,MORE MOVED IN,1300,220,0,CHRISTIAN,220,,,,,,TUMBUKA,220,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),220,,,,,,30,FARMING,,Slightly sloping,1/4,ALMOST NONE,1/4,3/4
10204140,MORE MOVED IN,4000,800,0,ISLAM,20,CHRISTIAN,780,,,,CHEWA,50,TUMBUKA,600,NKHONDE,150,,FATHER,Matrilineal and patrilocal (chitengwa),800,,,,,,40,PLANNED HOUSING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10205141,MORE MOVED IN,1620,270,0,ISLAM,10,CHRISTIAN,260,,,,YAO,10,TUMBUKA,260,,,,FATHER,Matrilineal and matrilocal (chikamwini),7,Matrilineal and patrilocal (chitengwa),263,,,,40,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10205142,MORE MOVED IN,6000,2000,6,ISLAM,19,CHRISTIAN,1981,,,,CHEWA,20,TUMBUKA,1980,,,,MOTHER,Matrilineal and neolocal,2000,,,,,,200,FARMING,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,3/4
10220143,MORE MOVED IN,2160,360,0,CHRISTIAN,360,,,,,,TUMBUKA,60,NKHONDE,300,,,,FATHER,Matrilineal and patrilocal (chitengwa),360,,,,,,10,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10220144,MORE MOVED IN,2030,415,0,ISLAM,50,CHRISTIAN,365,,,,CHEWA,30,TUMBUKA,100,NKHONDE,285,,FATHER,Matrilineal and matrilocal (chikamwini),15,Matrilineal and patrilocal (chitengwa),400,,,,50,PLANNED HOUSING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10220145,MORE MOVED IN,2700,450,0,ISLAM,20,CHRISTIAN,430,,,,TUMBUKA,100,NKHONDE,350,,,,FATHER,Matrilineal and patrilocal (chitengwa),450,,,,,,50,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10220146,MORE MOVED IN,6000,857,0,ISLAM,10,CHRISTIAN,847,,,,CHEWA,10,TUMBUKA,60,NKHONDE,772,,FATHER,Matrilineal and matrilocal (chikamwini),5,Matrilineal and patrilocal (chitengwa),852,,,,80,FARMING,,Flat,ALMOST NONE,ALMOST ALL,ALMOST ALL,3/4
10220147,MORE MOVED IN,1700,270,1,ISLAM,10,CHRISTIAN,260,,,,TUMBUKA,135,NKHONDE,135,,,,FATHER,Matrilineal and matrilocal (chikamwini),10,Matrilineal and patrilocal (chitengwa),260,,,,20,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10301148,MORE MOVED IN,1683,200,0,CHRISTIAN,200,,,,,,TUMBUKA,50,TONGA,150,,,,FATHER,Matrilineal and patrilocal (chitengwa),200,,,,,,20,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,ALMOST ALL
10301149,MORE MOVED IN,600,20,100,CHRISTIAN,20,,,,,,TONGA,20,,,,,,BOTH,Patrilineal and patrilocal,20,,,,,,10,FARMING,,Both flat &amp; hilly,1/2,ALMOST NONE,1/2,3/4
10301150,ABOUT THE SAME OF BOTH,1200,220,15,CHRISTIAN,200,NONE,20,,,,CHEWA,20,TUMBUKA,20,TONGA,180,,FATHER,Matrilineal and patrilocal (chitengwa),50,,,,,,50,FARMING,,Steeply sloping,3/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10301151,MORE MOVED IN,105,21,0,CHRISTIAN,21,,,,,,CHEWA,2,TUMBUKA,3,TONGA,16,,BOTH,Patrilineal and patrilocal,21,,,,,,1,FARMING,,Steeply sloping,3/4,ALMOST NONE,ALMOST NONE,1/2
10302152,ABOUT THE SAME OF BOTH,2500,250,0,CHRISTIAN,240,NONE,10,,,,CHEWA,4,TUMBUKA,1,TONGA,245,,FATHER,Matrilineal and patrilocal (chitengwa),250,,,,,,6,FARMING,,Flat,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10303153,MORE MOVED IN,720,120,0,ISLAM,3,CHRISTIAN,117,,,,CHEWA,30,TUMBUKA,20,TONGA,70,,BOTH,Patrilineal and patrilocal,120,,,,,,5,FARMING,,Moderately sloping,ALMOST NONE,ALMOST NONE,1/4,3/4
10304154,MORE MOVED IN,3500,500,3,CHRISTIAN,400,NONE,100,,,,CHEWA,20,TUMBUKA,80,TONGA,400,,FATHER,Patrilineal and neolocal,1500,Patrilineal and patrilocal,500,,,,16,FARMING,,Flat,1/4,ALMOST NONE,1/4,ALMOST ALL
10304155,MORE MOVED IN,2796,466,0,TRADITIONAL,3,ISLAM,25,CHRISTIAN,438,,CHEWA,100,TUMBUKA,150,LOMWE,10,,BOTH,Matrilineal and matrilocal (chikamwini),4,Patrilineal and neolocal,15,Patrilineal and patrilocal,447,,4,SQUATTER SETTLEMENT,,Moderately sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10305156,MORE MOVED IN,2000,210,1,ISLAM,5,CHRISTIAN,195,NONE,10,,CHEWA,15,TUMBUKA,20,TONGA,175,,FATHER,Matrilineal and matrilocal (chikamwini),30,Matrilineal and patrilocal (chitengwa),80,,,,50,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10306157,ABOUT THE SAME OF BOTH,3000,210,7,ISLAM,10,CHRISTIAN,180,NONE,20,,CHEWA,30,TUMBUKA,20,NKHONDE,10,,FATHER,Matrilineal and matrilocal (chikamwini),140,Matrilineal and patrilocal (chitengwa),70,,,,40,FARMING,,Slightly sloping,1/4,ALMOST NONE,1/4,ALMOST ALL
10306158,MORE MOVED IN,4000,375,0,ISLAM,10,CHRISTIAN,365,,,,CHEWA,60,TUMBUKA,65,TONGA,100,,BOTH,Patrilineal and neolocal,60,Patrilineal and patrilocal,315,,,,20,FARMING,,Both flat &amp; hilly,ALMOST NONE,1/4,ALMOST NONE,3/4
10307159,MORE MOVED IN,3000,300,0,CHRISTIAN,290,NONE,10,,,,CHEWA,25,TUMBUKA,25,TONGA,250,,FATHER,Matrilineal and matrilocal (chikamwini),50,Matrilineal and patrilocal (chitengwa),250,,,,8,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10308160,MORE MOVED IN,1020,170,0,ISLAM,3,CHRISTIAN,167,,,,CHEWA,30,YAO,3,TUMBUKA,40,,BOTH,Patrilineal and neolocal,73,Patrilineal and patrilocal,97,,,,10,FARMING,,Moderately sloping,1/2,ALMOST NONE,ALMOST NONE,3/4
10309161,MORE MOVED IN,2068,350,15,ISLAM,8,CHRISTIAN,337,NONE,5,,CHEWA,50,YAO,5,TUMBUKA,235,,FATHER,Matrilineal and neolocal,235,Matrilineal and matrilocal (chikamwini),50,,,,50,FARMING,,Moderately sloping,3/4,1/4,1/2,3/4
10309162,MORE MOVED IN,624,104,0,CHRISTIAN,104,,,,,,CHEWA,5,TUMBUKA,10,TONGA,89,,BOTH,Patrilineal and neolocal,15,Patrilineal and patrilocal,89,,,,15,FARMING,,Steeply sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10310163,MORE MOVED IN,1300,170,0,CHRISTIAN,170,,,,,,CHEWA,45,TUMBUKA,75,SUKWA,50,,BOTH,Matrilineal and patrilocal (chitengwa),150,Patrilineal and patrilocal,20,,,,20,FARMING,,Steeply sloping,1/4,ALMOST NONE,1/4,ALMOST ALL
10312164,MORE MOVED IN,780,130,0,CHRISTIAN,130,,,,,,TUMBUKA,4,TONGA,126,,,,BOTH,Patrilineal and patrilocal,130,,,,,,8,FARMING,,Steeply sloping,1/2,ALMOST NONE,1/2,3/4
10312165,MORE MOVED IN,3500,600,30,ISLAM,12,CHRISTIAN,588,,,,CHEWA,30,TUMBUKA,100,NKHONDE,20,,BOTH,Matrilineal and patrilocal (chitengwa),3495,,,,,,10,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10312166,MORE MOVED IN,930,155,0,ISLAM,6,CHRISTIAN,149,,,,CHEWA,8,TUMBUKA,27,NKHONDE,11,,BOTH,Patrilineal and neolocal,140,,,,,,10,FARMING,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10312167,MORE MOVED IN,3000,280,0,CHRISTIAN,260,NONE,20,,,,TUMBUKA,5,NYAKYUSA,40,TONGA,235,,FATHER,Matrilineal and patrilocal (chitengwa),280,,,,,,20,FARMING,,Flat,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL
10320168,MORE MOVED IN,1224,204,0,ISLAM,10,CHRISTIAN,194,,,,CHEWA,24,TUMBUKA,30,TONGA,150,,BOTH,Matrilineal and patrilocal (chitengwa),204,,,,,,15,SQUATTER SETTLEMENT,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10401169,MORE MOVED IN,960,160,10,ISLAM,3,CHRISTIAN,157,,,,CHEWA,5,TUMBUKA,150,LAMBYA,5,,FATHER,Matrilineal and patrilocal (chitengwa),160,,,,,,30,FARMING,,Slightly sloping,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL
10401170,MORE MOVED IN,1310,190,0,ISLAM,10,CHRISTIAN,180,,,,CHEWA,30,TUMBUKA,160,,,,FATHER,Matrilineal and patrilocal (chitengwa),190,,,,,,45,FARMING,,Flat,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL
10401171,MORE MOVED IN,1400,200,0,CHRISTIAN,190,NONE,10,,,,CHEWA,10,TUMBUKA,190,,,,FATHER,Matrilineal and matrilocal (chikamwini),20,Matrilineal and patrilocal (chitengwa),180,,,,40,FARMING,,Flat,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10401172,MORE MOVED IN,700,110,0,ISLAM,10,CHRISTIAN,97,NONE,3,,CHEWA,13,TUMBUKA,82,NKHONDE,5,,FATHER,Matrilineal and matrilocal (chikamwini),10,Matrilineal and patrilocal (chitengwa),100,,,,7,FARMING,,Flat,1/2,1/4,1/4,ALMOST ALL
10401173,MORE MOVED IN,600,350,0,CHRISTIAN,320,NONE,30,,,,CHEWA,340,TUMBUKA,10,,,,FATHER,Matrilineal and patrilocal (chitengwa),340,,,,,,100,FARMING,,Flat,ALMOST NONE,ALMOST NONE,3/4,ALMOST ALL
10401174,MORE MOVED IN,1250,250,0,ISLAM,50,CHRISTIAN,150,NONE,50,,CHEWA,50,TUMBUKA,50,NKHONDE,100,,FATHER,Matrilineal and matrilocal (chikamwini),200,Patrilineal and neolocal,50,,,,15,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10403175,MORE MOVED IN,1400,200,0,ISLAM,10,CHRISTIAN,160,NONE,30,,CHEWA,20,TUMBUKA,160,NKHONDE,20,,BOTH,Matrilineal and patrilocal (chitengwa),200,,,,,,50,FARMING,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10403176,MORE MOVED IN,660,110,0,ISLAM,10,CHRISTIAN,100,,,,CHEWA,5,TUMBUKA,105,,,,FATHER,Matrilineal and patrilocal (chitengwa),110,,,,,,7,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10403177,MORE MOVED IN,1000,150,10,ISLAM,10,CHRISTIAN,135,NONE,5,,CHEWA,5,TUMBUKA,145,,,,FATHER,Matrilineal and matrilocal (chikamwini),10,Matrilineal and patrilocal (chitengwa),140,,,,10,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10404178,MORE MOVED IN,1200,170,0,ISLAM,1,CHRISTIAN,169,,,,TUMBUKA,170,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),170,,,,,,170,FARMING,,Moderately sloping,1/2,ALMOST NONE,1/2,3/4
10404179,MORE MOVED IN,2500,250,0,ISLAM,20,CHRISTIAN,200,NONE,30,,CHEWA,10,YAO,10,TUMBUKA,230,,BOTH,Matrilineal and neolocal,20,Matrilineal and matrilocal (chikamwini),10,Matrilineal and patrilocal (chitengwa),220,,100,FARMING,,Slightly sloping,1/4,ALMOST NONE,1/4,ALMOST ALL
10405180,MORE MOVED OUT,900,151,0,CHRISTIAN,151,,,,,,TUMBUKA,151,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),151,,,,,,50,FARMING,,Slightly sloping,1/2,ALMOST NONE,ALMOST NONE,3/4
10405181,MORE MOVED IN,2000,130,10,CHRISTIAN,130,,,,,,TUMBUKA,130,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),130,,,,,,40,FARMING,,Steeply sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10407182,MORE MOVED IN,2100,350,0,CHRISTIAN,350,,,,,,CHEWA,20,TUMBUKA,330,,,,FATHER,Matrilineal and matrilocal (chikamwini),3,Matrilineal and patrilocal (chitengwa),347,,,,30,SHOPS or TRADE,,Slightly sloping,1/4,ALMOST NONE,1/4,3/4
10407183,MORE MOVED IN,5644,940,0,ISLAM,40,CHRISTIAN,900,,,,YAO,40,TUMBUKA,900,,,,FATHER,Matrilineal and patrilocal (chitengwa),940,,,,,,300,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,3/4
10407184,MORE MOVED IN,1080,180,0,CHRISTIAN,180,,,,,,CHEWA,10,TUMBUKA,120,LAMBYA,50,,FATHER,Matrilineal and patrilocal (chitengwa),180,,,,,,50,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,3/4
10408185,MORE MOVED OUT,15000,800,10,ISLAM,10,CHRISTIAN,790,,,,CHEWA,0,TUMBUKA,800,,,,FATHER,Matrilineal and patrilocal (chitengwa),800,,,,,,8,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10409186,MORE MOVED IN,1000,151,0,ISLAM,11,CHRISTIAN,140,,,,CHEWA,50,TUMBUKA,101,,,,FATHER,Matrilineal and matrilocal (chikamwini),15,Matrilineal and patrilocal (chitengwa),136,,,,15,FARMING,,Flat,3/4,1/4,1/4,3/4
10410187,MORE MOVED IN,1000,180,0,ISLAM,10,CHRISTIAN,150,NONE,20,,CHEWA,10,NYANJA,10,TUMBUKA,160,,FATHER,Matrilineal and matrilocal (chikamwini),20,Matrilineal and patrilocal (chitengwa),160,,,,15,FARMING,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL
10420188,MORE MOVED IN,1380,230,0,ISLAM,10,CHRISTIAN,210,NONE,10,,CHEWA,20,YAO,10,TUMBUKA,190,,FATHER,Matrilineal and matrilocal (chikamwini),200,,,,,,15,SQUATTER SETTLEMENT,,Flat,1/2,ALMOST NONE,ALMOST NONE,ALMOST ALL
10420189,MORE MOVED IN,1332,222,0,ISLAM,30,CHRISTIAN,192,,,,CHEWA,66,TUMBUKA,100,TONGA,22,,FATHER,Matrilineal and patrilocal (chitengwa),222,,,,,,10,SQUATTER SETTLEMENT,,Flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10501190,MORE MOVED IN,1250,250,0,CHRISTIAN,250,,,,,,CHEWA,5,TUMBUKA,235,NGONI,10,,BOTH,Matrilineal and matrilocal (chikamwini),10,Patrilineal and patrilocal,240,,,,30,FARMING,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,3/4
10501191,MORE MOVED IN,1500,300,0,CHRISTIAN,300,,,,,,TUMBUKA,300,,,,,,BOTH,Patrilineal and patrilocal,300,,,,,,45,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10501192,MORE MOVED OUT,685,127,0,CHRISTIAN,127,,,,,,CHEWA,3,TUMBUKA,124,,,,BOTH,Patrilineal and neolocal,3,Patrilineal and patrilocal,124,,,,20,FARMING,,Slightly sloping,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10502193,MORE MOVED IN,950,190,0,ISLAM,5,CHRISTIAN,185,,,,CHEWA,10,YAO,5,TUMBUKA,175,,BOTH,Patrilineal and neolocal,15,Patrilineal and patrilocal,175,,,,6,FARMING,,Slightly sloping,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4
10502194,MORE MOVED IN,1500,250,0,ISLAM,15,CHRISTIAN,235,,,,CHEWA,30,YAO,10,TUMBUKA,201,,BOTH,Patrilineal and neolocal,40,Patrilineal and patrilocal,210,,,,30,FARMING,,Moderately sloping,1/4,1/4,ALMOST NONE,3/4
10502195,MORE MOVED IN,600,120,0,ISLAM,1,CHRISTIAN,119,,,,CHEWA,8,YAO,1,TUMBUKA,106,,BOTH,Patrilineal and neolocal,9,Patrilineal and patrilocal,101,,,,10,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
