case_id,HHID,ag_t0c,ag_t02b_oth,ag_t05a,ag_t05b,ag_t05c,ag_t05d,ag_t05_1,ag_t06a,ag_t06b,ag_t07,ag_t08,ag_t09,ag_t10,ag_t11
311097270187,00e6ac76424f47e280907962292e1986,Gov Agricultural Extension Service,,2,2,2,2,NO,0,0,3,,NO,,Very useful
311097270187,00e6ac76424f47e280907962292e1986,Radio,,2,2,2,2,NO,,,,,,,Very useful
203012840102,00ea01f259ee4d8eb488d9fceaeb0a1a,Radio,,2,2,2,2,NO,,,,,,,Very useful
301205070136,01038b8e18f74aed80b759d2c392b3b9,Radio,,1,2,2,2,NO,,,,,,,Useful
301105040040,010f1b450185421e8df99b21d5365bac,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
105102090094,011105bafa434f739f67cc1bdc4f8468,Village Agricultural Extension Meeting,,2,2,2,2,NO,,,,1,NO,,Very useful
206043580122,011aff388e5f4efcbc0b80238ca697cd,Gov Agricultural Extension Service,,2,2,2,2,NO,0,0,2,,NO,,Useful
201032390068,011cfcc7cb904ca9bef76ef349d6953e,Agricultural Coop/Farmers' Assoc,,1,2,2,2,NO,3,2,2,,NO,,Very useful
102041360006,013571e53664428bb6b5af0fe41ed089,Radio,,1,2,2,2,NO,,,,,,,Useful
102041360006,013571e53664428bb6b5af0fe41ed089,"Other Electronic Media (TV, Etc)",,1,2,2,2,NO,,,,,,,Useful
107372200045,0144bbbfbc044fc5b86083aaa5dc366a,"Other Electronic Media (TV, Etc)",,1,2,2,2,NO,,,,,,,Very useful
205073420266,01527ca1ef1d4813949683e2a50fd94f,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Not very useful
107402290097,015a3f51319b41fdbf609f04fafb2930,Gov Agricultural Extension Service,,1,4,2,2,NO,0,2,0,,NO,,Useless
107402290097,015a3f51319b41fdbf609f04fafb2930,Other Farmer(Neighbor/Relative),,1,2,4,2,NO,,,,,NO,,Useful
303075460041,015a767c64064098a877c9e23a73b221,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Very useful
105011910098,015fbc00036045b0acb75851a03e9c03,Gov Agricultural Extension Service,,1,2,2,2,NO,0,3,3,,NO,,Very useful
310057010136,0165135290cd45d1930e7edccf460174,Radio,,1,2,2,2,NO,,,,,,,Useful
302065160130,017055d31bca45609dc2a16c7935187b,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
302065160130,017055d31bca45609dc2a16c7935187b,NGO,,1,2,2,2,NO,0,0,3,,NO,,Very useful
308076630094,018c49cda7fc485cab1f0e44ac25f55a,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Very useful
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,Other (Specify),Veterinary office,1,2,2,2,NO,0,0,0,2,NO,,Very useful
203042940075,018f4cec68af499ab64667a73e477b22,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,1,NO,,Very useful
308036490003,0195bc6422b848e3bfda546c1cb53999,Gov Agricultural Extension Service,,2,2,2,2,YES,1,0,1,,NO,,Very useful
102031300007,019f2ab1dd0546ce9dc8e4bd60498991,Radio,,1,2,2,2,NO,,,,,,,Useful
205013270032,01a7c07265a64f9dacbce380400cb129,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
206033560060,01b3ce70d0f645fbb9fc54e4e8c656a4,Gov Agricultural Extension Service,,1,2,2,2,NO,3,0,3,,NO,,Very useful
309066830105,01bc84c07fd948e8bc4f1f6e3ea83def,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,2,NO,,Very useful
309066830105,01bc84c07fd948e8bc4f1f6e3ea83def,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
312027380062,01c048993e2f434c954e248cb800ce12,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
102011250079,01ceb0576d994a6eb7ea36fd3b7e2bd6,Gov Agricultural Extension Service,,1,2,2,2,NO,2,1,1,,NO,,Useful
313047710088,01d44606aa644c1cab7947b637a41a75,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,9,NO,,Very useful
313047710088,01d44606aa644c1cab7947b637a41a75,Agricultural Extension Course,,1,2,2,2,NO,,,,6,NO,,Very useful
103101630172,01e454ab9e88479db27bfce7d848392e,Gov Agricultural Extension Service,,1,2,2,2,NO,0,2,0,,NO,,Useful
309016660005,021210d6f59245f98ae4930845cd998a,Gov Agricultural Extension Service,,2,2,2,2,YES,1,0,0,,NO,,Very useful
105051990077,02186ed95ca64967851c2a0eb305905e,Radio,,1,2,3,2,NO,,,,,,,Useful
203022860010,021d650bc4ac448b931fa3858967dc6f,Radio,,2,2,2,2,NO,,,,,,,Very useful
305015750131,022173adec734bf2bdbcce44486f4536,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Very useful
305015750131,022173adec734bf2bdbcce44486f4536,Radio,,1,2,2,2,NO,,,,,,,Very useful
203052960209,023675a84de64c1e8250253c4bdbd4a5,Gov Agricultural Extension Service,,1,2,2,2,NO,4,0,4,,NO,,Very useful
311067210270,023eae063c424100b54b7b6283784dd9,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Very useful
311067210270,023eae063c424100b54b7b6283784dd9,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,1,NO,,Very useful
307106340014,023f5ffde17946cbb4c15fdc49c38d32,Gov Agricultural Extension Service,,1,2,2,2,NO,4,0,0,,NO,,Very useful
102051420275,02426348aa3647b58d35cf69bb354532,Agricultural Coop/Farmers' Assoc,,2,2,2,2,NO,0,0,2,,NO,,Useful
102051420275,02426348aa3647b58d35cf69bb354532,Radio,,1,2,2,2,NO,,,,,,,Useful
302085190239,02447744d30a4cbabbe88f4687d3d033,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
308016440192,02552be8825147f7a1b482a33462585f,Gov Agricultural Extension Service,,1,2,2,2,YES,2,0,1,,NO,,Very useful
202022670024,02587b0906ef4737b1d5c9e1c10d4940,Radio,,1,2,2,2,NO,,,,,,,Very useful
313037650161,0260e1e1323647dcafb9b224ebb7f344,Gov Agricultural Extension Service,,2,2,2,2,NO,0,0,1,,NO,,Very useful
313037650161,0260e1e1323647dcafb9b224ebb7f344,Radio,,1,2,2,2,NO,,,,,,,Very useful
209024310023,026405411727451086ef33b182d7ab4d,Gov Agricultural Extension Service,,2,2,2,2,NO,1,2,1,,NO,,Very useful
104011690135,0270ec0c7df2447595bb92f54e57a238,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Very useful
201062420220,028f26caa07145689edb8651ce38dfaa,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
201242580058,02aaefff9c1b47a3afeedbee93149265,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,1,NO,,Useful
201242580058,02aaefff9c1b47a3afeedbee93149265,Radio,,1,2,2,2,NO,,,,,,,Useful
206063650119,02e559e13d5644a3874d52c9027c7d60,Private Agricultural Extension Service,,2,2,2,2,NO,0,0,2,,NO,,Very useful
201222540068,03068bb567f342b0b4623ca7fc2079a7,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
301064980051,030d90bf88d742fda8555c0bfac4a457,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
302025120008,0315023934ef44a19b10a204a9ab4188,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
102031350097,031fcb668c9943b1b643c231e47db453,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
308036510107,0326678d98ee4cc1898a272d53c5ffaf,NGO,,2,2,2,2,NO,0,0,0,,NO,,Not very useful
105021960013,032bc3a7540f4e6f9fce4c8039b9d124,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
202062770237,032f41b50b6b476195a1c9cd53807e82,Radio,,1,2,2,2,NO,,,,,,,Very useful
201232560151,033f1ab71d854697af1b44db64995e64,Radio,,1,2,2,2,NO,,,,,,,Useful
305015790229,0350c73bcc9d401dbbd2981088bb8d90,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
307076280051,03525c515e194b0d8fc7be5c11e8969b,Gov Agricultural Extension Service,,1,2,2,2,NO,2,2,2,,NO,,Very useful
311017090143,036c3f70b20d4c99819b5dacd9d164cb,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Not very useful
208024120236,036ca620fa98489f8a58738118001da5,Gov Agricultural Extension Service,,1,2,2,2,NO,1,1,1,,NO,,Useful
302105230269,037569a7d57b4998be29127f9df89086,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Useful
302105230269,037569a7d57b4998be29127f9df89086,Radio,,1,2,2,2,NO,,,,,,,Not very useful
101061160064,038046b2c3324e3d9586ee5fbaf6c7e1,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
202042700299,038dea8bf30a4cf7be47cbaddb3e9c73,Lead Farmer,,1,2,2,2,YES,,,,,NO,,Useful
301024880159,038ee4479fbe4e8aa2175b1723f83bb0,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
302105220010,0396d136e8aa44ab88f996f45dbf9654,Gov Agricultural Extension Service,,1,2,2,2,NO,1,1,0,,NO,,Useful
201212520084,03b542a11b884feb81515c43e3ff7a9e,Private Agricultural Extension Service,,1,2,2,2,NO,1,1,0,,NO,,Very useful
105011900107,03bcdd4e5bd24e9fbd6b6db13846767c,Radio,,1,2,2,2,NO,,,,,,,Very useful
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,Radio,,1,2,2,2,NO,,,,,,,Useful
103121670099,03c6255c9bcf49e19d8366ed3d3c9ca4,Gov Agricultural Extension Service,,1,2,2,2,NO,1,1,2,,NO,,Very useful
103121670099,03c6255c9bcf49e19d8366ed3d3c9ca4,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
103121670099,03c6255c9bcf49e19d8366ed3d3c9ca4,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
103121670099,03c6255c9bcf49e19d8366ed3d3c9ca4,Radio,,1,2,2,2,NO,,,,,,,Very useful
310016870164,03dcf3ef05074fc5bdf35bf09ebf11ca,Radio,,1,2,2,2,NO,,,,,,,Not very useful
304035630102,03e1ccae17f3465fba5413877960c310,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
201062420135,045025a673ff4cacb7c82cb354964895,Gov Agricultural Extension Service,,1,3,2,2,NO,4,4,4,,NO,,Very useful
303085480149,0451bdd3c98f4c72b5cf4dcddb9e5bad,Gov Agricultural Extension Service,,1,2,2,2,NO,1,1,2,,NO,,Useful
303085480149,0451bdd3c98f4c72b5cf4dcddb9e5bad,Lead Farmer,,1,2,2,2,NO,,,,,YES,2,Useful
311077240060,047acb64933c45f7b5fa29fb430a5f1d,Village Agricultural Extension Meeting,,2,2,2,2,NO,,,,1,NO,,Very useful
307206410143,047b3e0f65444089b0807c2b6daaa70a,Radio,,1,2,2,2,NO,,,,,,,Very useful
203042940073,04b78611951d4b26b1eb3aa949e28921,NGO,,1,2,2,2,NO,1,1,1,,NO,,Very useful
203042940073,04b78611951d4b26b1eb3aa949e28921,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
201152490316,04b9f1eab0f44ce88e2ccf75397b6102,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
309056790165,04c3bda4cc394019ad34aba3fad90602,Gov Agricultural Extension Service,,1,2,2,2,YES,1,1,0,,NO,,Very useful
206123740080,04c51e48461447d3856c8347ce07e0ae,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
310036980061,04d2b8f4308048d79edb72679d1482f6,Gov Agricultural Extension Service,,1,2,2,2,NO,2,1,0,,NO,,Useful
307056240147,04d3645961f94db78bf7e65245832b1f,Gov Agricultural Extension Service,,1,2,2,2,NO,1,1,1,,NO,,Very useful
304045650194,04d6048c1d574e149b5a427fbb502b3c,Other Farmer(Neighbor/Relative),,3,2,2,2,NO,,,,,NO,,Not very useful
311107280076,04f7eecbb53e4620bfffbcabf95fb663,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
314387870020,050474c723ee4e87942bb4dbed30fac8,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
311057190104,05155a5f72944b468dd8dd4eaf6921ea,Gov Agricultural Extension Service,,1,2,2,2,NO,4,0,0,,NO,,Not very useful
305025800336,051beb0c3a98447a9dc96c4c4f2ab94e,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,3,,NO,,Very useful
305025800336,051beb0c3a98447a9dc96c4c4f2ab94e,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Useful
210544590118,05225731c78f4d9d851d18248ac6214b,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
210544590118,05225731c78f4d9d851d18248ac6214b,Radio,,1,2,2,2,NO,,,,,,,Very useful
210544590118,05225731c78f4d9d851d18248ac6214b,"Other Electronic Media (TV, Etc)",,1,2,2,2,NO,,,,,,,Very useful
313017560030,05228a9c87024b9c8d6e1529de80483f,Village Agricultural Extension Meeting,,1,2,3,4,NO,,,,8,NO,,Very useful
313017560030,05228a9c87024b9c8d6e1529de80483f,Other Farmer(Neighbor/Relative),,1,2,3,4,NO,,,,,NO,,Very useful
205043350060,053433b251e2436e938972994c9fd691,NGO,,1,2,2,2,NO,2,2,0,,NO,,Useful
205043350060,053433b251e2436e938972994c9fd691,Farmer Field Days/Field School,,1,2,2,2,NO,,,,1,NO,,Useful
314397920058,05394f69bcc5474bb516c8dd75948782,Other Farmer(Neighbor/Relative),,2,2,2,2,NO,,,,,NO,,Not very useful
205083440007,053d2f88a47e4c95ac676b755e5a1fda,Radio,,1,2,2,2,NO,,,,,,,Useful
310036980089,05567eee27184e38a942dd6df5d19032,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Very useful
310036980089,05567eee27184e38a942dd6df5d19032,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
310036980089,05567eee27184e38a942dd6df5d19032,Radio,,1,2,2,2,NO,,,,,,,Very useful
202062740428,05663c5cc5c44c769182e787c00935a0,Gov Agricultural Extension Service,,1,2,2,2,YES,1,0,0,,NO,,Useful
103051560092,056d07500d8544dd98559529200ecd59,Radio,,1,2,3,2,NO,,,,,,,Very useful
310026930029,056e374b9b254bbfa22c9c5b4f8b5e00,Village Agricultural Extension Meeting,,2,2,2,2,NO,,,,3,NO,,Useless
102011280124,057253ecac664d1289c4ef8128f4541e,Gov Agricultural Extension Service,,1,2,2,2,NO,3,1,0,,NO,,Useful
101031110095,0572c8f905c74c09a08b1ac75a63b75e,Gov Agricultural Extension Service,,1,2,2,2,NO,4,0,1,,NO,,Useful
311047140125,057c1337fa49489b97ac59828bf78c7f,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
103041550211,057d9db7920f42fb99672dbf29e2745f,Gov Agricultural Extension Service,,4,2,2,2,NO,0,0,1,,NO,,Useless
203052980034,057e5b1e3e7249ca923895994fbd76f5,Radio,,1,2,2,2,NO,,,,,,,Very useful
301105040234,05bc926fd9434d4bb63dd4c0861164f7,Radio,,1,2,2,2,NO,,,,,,,Useful
106012120030,05bf82dd81ff46bd8b6939b1198d3cc9,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Not very useful
207033920033,05c034395da644bba56a387508afb6c0,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
315398050061,05fdb14f8dea44ad8deba53a3bb88a15,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
308066610178,0609c4a496154c629638c8fe8224f363,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,0,,NO,,Very useful
314337790124,061db31cb4914c2b95ea4bf289dd2b5d,Gov Agricultural Extension Service,,2,2,2,2,NO,1,0,0,,NO,,Useful
104081850006,0633105f81f941f4aaaeb9114c6178b5,Gov Agricultural Extension Service,,1,2,2,2,NO,0,2,0,,NO,,Useful
103121660007,063e73be877e44fda283b36cafeafa51,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
311047150138,0645dfa0724b45da83cdff64cd067186,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,3,,NO,,Very useful
311047150138,0645dfa0724b45da83cdff64cd067186,Other Farmer(Neighbor/Relative),,2,2,2,2,NO,,,,,NO,,Very useful
311047150138,0645dfa0724b45da83cdff64cd067186,Radio,,2,2,2,2,NO,,,,,,,Very useful
210874830226,0656cc2120e54060a4b823b9a8d1dd00,Radio,,2,2,2,2,NO,,,,,,,Very useful
210874830226,0656cc2120e54060a4b823b9a8d1dd00,"Other Electronic Media (TV, Etc)",,2,2,2,2,NO,,,,,,,Very useful
202072810088,0674dd56309642f099ee540c63f1ee5c,Other Farmer(Neighbor/Relative),,1,2,2,2,YES,,,,,NO,,Useless
302065160117,0682579f8e6e48fd8cf2ad3102e4e6fc,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
307056230224,0693344bf49a4ac8ac51832d6e271e1f,Gov Agricultural Extension Service,,1,2,2,2,NO,1,0,0,,NO,,Very useful
304045650172,069ab247f7264ce581036e1060e312b8,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
304045650172,069ab247f7264ce581036e1060e312b8,Private Agricultural Extension Service,,1,2,2,2,NO,4,3,2,,NO,,Useful
310016910066,06d70b3a96614c8895551777bff9f711,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Not very useful
301085020098,06e9255b8acf4248a65f4106ed7dbed2,Radio,,1,2,2,2,NO,,,,,,,Useful
311017090250,06f60886c233472194581940f1e33fee,Other Farmer(Neighbor/Relative),,1,2,6,2,NO,,,,,NO,,Very useful
314387900259,06f768006ce1427598758f866b88e877,Radio,,1,2,2,2,NO,,,,,,,Not very useful
202062760036,06ff7b4630274587aa97675a304f911f,Radio,,1,2,2,2,NO,,,,,,,Very useful
208034160211,07006290269d4585b14c04326dfe7651,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
208034160211,07006290269d4585b14c04326dfe7651,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
302125260216,07081ebda1144c88bb49d52ecedfec85,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
202022670033,072890034f9e44c5882281bcb9f92061,Radio,,1,2,2,2,NO,,,,,,,Useful
105011910100,0728bb9a7c014fa98e5bf639a29acc4b,Gov Agricultural Extension Service,,2,2,2,2,NO,0,2,2,,NO,,Very useful
311057170329,07365a847413480cb1090cba3b4d48e6,Lead Farmer,,1,2,2,2,NO,,,,,NO,,Very useful
105062040048,073915a800cf4767a7112a8fa3fe1c34,Gov Agricultural Extension Service,,2,2,2,2,NO,0,0,0,,NO,,Not very useful
102041380207,0742aa43ddcb4f36a7289331d93a24ad,Radio,,1,2,2,2,NO,,,,,,,Useful
202012650059,0756d636292e4c3a963bb5f951dd5097,Other Farmer(Neighbor/Relative),,2,2,2,2,NO,,,,,NO,,Useful
310036960304,07648ca744b24bf59e5beca3cf848d2a,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useless
105052010194,076708c414514adfb6e9e75009b7e477,Radio,,1,2,2,2,NO,,,,,,,Useful
304065690028,0769845cecee40f3a9547612f61d743d,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
304065690028,0769845cecee40f3a9547612f61d743d,Private Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
105021930145,0769d598816c45129d257a8e03f67341,Gov Agricultural Extension Service,,1,2,2,2,NO,0,2,2,,NO,,Very useful
202012620133,0773ed5b795a44dfa136f87c662434d8,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
205093460129,078501b6166d44f586351b3e9cea60af,Gov Agricultural Extension Service,,1,2,2,2,NO,3,0,0,,NO,,Useful
203042940031,0786ae92975546a6ba9badc418921d8f,Other Farmer(Neighbor/Relative),,1,2,2,2,YES,,,,,NO,,Not very useful
301085020008,07934261c121450cbf3fd772bc6ceb98,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
302115250125,07972ae13d3b438bb5677debe35df9da,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,1,NO,,Very useful
101011020257,07a1ce1defcd4f21af47a3805d722165,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
105052000012,07b7f8c4e0aa4da8afe28b341007695a,Gov Agricultural Extension Service,,1,2,2,2,NO,0,2,0,,NO,,Very useful
306036130162,07d941882af046b3a9323a666b42f1c9,Gov Agricultural Extension Service,,1,2,2,2,YES,3,3,0,,YES,125,Very useful
201132480084,07e4f3f553ae4c00b33a5944b2644d06,Radio,,2,2,2,2,NO,,,,,,,Very useful
104011710121,07f0022a66b145be9b8df38b4d9036a4,Gov Agricultural Extension Service,,1,2,2,2,NO,3,0,3,,NO,,Very useful
102011270013,08181a2ab6ce48beac14a9ffe39eb0be,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
101011060155,08241cf6339d4495ab3fe62a061e88cb,Village Agricultural Extension Meeting,,1,2,2,2,YES,,,,2,NO,,Useful
304095740226,0824605038cd4d2da364ba133a54fce2,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Very useful
105011910163,0827af8294874a4189eb42fafde4ce7b,Gov Agricultural Extension Service,,1,2,2,2,NO,3,0,0,,NO,,Very useful
101011020369,085341e9d8014d7d8bb1b566a646bf57,Gov Agricultural Extension Service,,1,2,2,2,YES,3,0,0,,YES,1900,Very useful
301145060176,086891537b0844baac727c064dab7cac,Radio,,1,2,2,2,NO,,,,,,,Not very useful
202042710192,08697bd6b28545e2828754f8477cd9e6,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Not very useful
208064210128,0878bcb54e6343f0a6f9ae8f0fab267f,Gov Agricultural Extension Service,,1,2,2,2,NO,3,3,3,,NO,,Very useful
204013050241,089fe6bf924449cebdac63f40a154894,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,1,NO,,Useful
204013050241,089fe6bf924449cebdac63f40a154894,Radio,,1,2,2,2,NO,,,,,,,Useful
204053170089,08b4c4bedff74bf1a2312541790ce519,Gov Agricultural Extension Service,,1,2,2,2,YES,1,0,1,,NO,,Useful
204053170089,08b4c4bedff74bf1a2312541790ce519,Radio,,1,2,2,2,NO,,,,,,,Useful
101051150144,08b6ccd13747443d97de31a8a5f6081b,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Not very useful
207074010087,08b8e062f82a400596a53d1bf3c72bf7,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
301085010310,08ba1b03e7cd4f86b527123d1bb8029b,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,3,NO,,Useful
103091610232,08cded0c57634f9d9133e3875e376a14,Agricultural Coop/Farmers' Assoc,,1,2,2,2,NO,4,48,0,,NO,,Very useful
204013060389,09008eaad99c4b5a8cad57d7f4de323a,Other Farmer(Neighbor/Relative),,1,2,2,2,YES,,,,,NO,,Very useful
201102460101,0907e416903a4a5798d4fe0db0bf10aa,Other (Specify),Healthy Advisors,1,2,2,2,NO,1,1,1,1,NO,,Very useful
301024890026,09137d42f0fb4ba8948c36fa08d9bfa3,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Useful
101021070265,0916c8594af84c3d8302a783b9c0e17e,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
