ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg35c_oth,com_cg36,com_cg37
10105114,D,,,,,
10105114,B,,,,,
10105114,C,,,,,
10105114,D,,,,,
10105114,B,Hail wind,LOSS OF KEY SOCIAL SERVICE(S),,2018,1/4
10105114,A,army worm for crops,DROUGHT,,2018,3/4
10105114,,Events that made people worse off,,,,
10105114,C,,,,,
10105115,,Events that made people better off,,,,
10105115,D,,,,,
10105115,D,Bad market for the maize,OTHER GOOD (SPECIFY),LOSS OF INCOME,2019,3/4
10105115,B,CONSTRUCTION OF TOWER FOR COMMUNICATION,,,,
10105115,A,Army worms for the crops,CROP DISEASE/PESTS,,2018,3/4
10105115,A,CONSTRUCTION OF GIRLS HOSTEL,,,,
10105115,C,THIEVING,OTHER GOOD (SPECIFY),LOSS OF CROPS AND PROPERTY,2019,1/2
10105115,C,Bumper yield for maize,,,,
10105115,B,BAD WEATHER FOR BEANS,OTHER GOOD (SPECIFY),LOW YIELD FOR BEANS,2019,3/4
10105115,,Events that made people worse off,,,,
10106116,A,drought,DROUGHT,,2019,3/4
10106116,,Events that made people worse off,,,,
10106116,B,newcastle,LIVESTOCK DISEASE,,2018,3/4
10106116,C,,,,,
10106116,A,,,,,
10106116,,Events that made people better off,,,,
10106116,D,heavy rains,OTHER GOOD (SPECIFY),CROPS WERE DAMAGED,2019,ALMOST ALL
10106116,B,,,,,
10106116,D,,,,,
10106116,C,foot and mouth diease,LIVESTOCK DISEASE,,2018,1/2
10106117,A,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,3/4
10106117,,Events that made people worse off,,,,
10106117,,Events that made people better off,,,,
10106117,D,,,,,
10106117,B,DROUGHT,DROUGHT,,2019,3/4
10106117,D,,,,,
10106117,B,GOOD MAARKETING,,,,
10106117,C,BAD MARKETING,LOSS OF KEY SOCIAL SERVICE(S),,2018,3/4
10106117,A,PUMPER YIELD,,,,
10106117,C,,,,,
10107118,A,"Heavy winds which destroy the crops  , insect which affects the crops and  rains stoped earlier than expected",CROP DISEASE/PESTS,,2019,ALMOST ALL
10107118,C,,,,,
10107118,C,,,,,
10107118,D,,,,,
10107118,B,,,,,
10107118,A,There is health Centre at Mahowe,,,,
10107118,,Events that made people worse off,,,,
10107118,,Events that made people better off,,,,
10107118,D,,,,,
10107118,B,,,,,
10109119,A,Bad market,OTHER GOOD (SPECIFY),MONEY WAS A PROBLEM,2018,1/2
10109119,B,THE COMING OF ELECTRICITY,,,,
10109119,,Events that made people better off,,,,
10109119,,Events that made people worse off,,,,
10109119,C,HAIL STONES,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2016,1/4
10109119,B,Animal diseases,OTHER GOOD (SPECIFY),LOSS OF ANIMALS AND MARKET,2019,1/2
10109119,D,,,,,
10109119,C,,,,,
10109119,D,,,,,
10109119,A,GOOD HARVEST AND MARKETING,,,,
10109120,B,road construction,,,,
10109120,C,drought,DROUGHT,,2019,3/4
10109120,D,,,,,
10109120,C,planting of trees,,,,
10109120,A,Bumper yield,,,,
10109120,A,Animal diseases,OTHER GOOD (SPECIFY),LOSS OF ANNIMAL MARKETS,2018,ALMOST NONE
10109120,D,Bad markerting,LOSS OF KEY SOCIAL SERVICE(S),,2018,3/4
10109120,,Events that made people better off,,,,
10109120,,Events that made people worse off,,,,
10109120,B,storm,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2017,1/4
10109121,,Events that made people better off,,,,
10109121,B,PESTS AND DISEASES,CROP DISEASE/PESTS,,2019,3/4
10109121,D,,,,,
10109121,C,,,,,
10109121,D,Flooding,FLOOD,,2020,1/4
10109121,A,BUMPER YIELD,,,,
10109121,C,HEAVY WINDS,OTHER GOOD (SPECIFY),HOUSES WERE BOWN OFF,2020,1/4
10109121,,Events that made people worse off,,,,
10109121,B,BUILDING OF OFFICE BLOCK AT THE SCHOOL,,,,
10109121,A,DROUGHT,NEW EMPLOYMENT OPPORTUNITY,,2016,3/4
10120122,C,,,,,
10120122,B,,,,,
10120122,,Events that made people better off,,,,
10120122,,Events that made people worse off,,,,
10120122,A,pumper yield,,,,
10120122,D,,,,,
10120122,A,stormy winds,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2019,1/4
10120122,B,drought,OTHER GOOD (SPECIFY),NJALA,2016,3/4
10120122,D,,,,,
10120122,C,Poor market,OTHER BAD (SPECIFY),,2018,3/4
10120123,,Events that made people worse off,,,,
10120123,B,POOR MRKETS OF MAIZE CROP,SHARP CHANGE IN PRICES,,2018,3/4
10120123,D,,,,,
10120123,A,ANIMAL DISEASES,LIVESTOCK DISEASE,,2018,3/4
10120123,,Events that made people better off,,,,
10120123,C,,,,,
10120123,C,STALK BORERS,DROUGHT,,2019,3/4
10120123,D,,,,,
10120123,B,,,,,
10120123,A,Good marketing,,,,
10201124,C,Animal diseases,OTHER GOOD (SPECIFY),MOST ANIMALS DIED,2019,ALMOST ALL
10201124,D,,,,,
10201124,B,Good harvest,,,,
10201124,,Events that made people worse off,,,,
10201124,C,Fishing,,,,
10201124,B,Floods,OTHER GOOD (SPECIFY),CROPS WERE WASHED AWAY,2019,3/4
10201124,D,,,,,
10201124,,Events that made people better off,,,,
10201124,A,Hail storm,OTHER GOOD (SPECIFY),SCHOOL  AND HOUSES WERE BROWN OFF,2019,1/4
10201124,A,construction of school block,,,,
10201125,C,,,,,
10201125,A,STRONG WIND,OTHER GOOD (SPECIFY),HOUSES WERE BROWN,2018,1/4
10201125,A,FREEMAIZE,,,,
10201125,,Events that made people worse off,,,,
10201125,B,EVACUATION CENTRES WERE BUILD,,,,
10201125,D,,,,,
10201125,D,Drought,DROUGHT,,2018,3/4
10201125,C,FLOODING,FLOOD,,2016,1/4
10201125,B,ARMY WORM,CROP DISEASE/PESTS,,2018,3/4
10201125,,Events that made people better off,,,,
10201126,,Events that made people better off,,,,
10201126,D,,,,,
10201126,,Events that made people worse off,,,,
10201126,A,Hail wind,OTHER GOOD (SPECIFY),PEOPLE WERE HOMELESS,2017,3/4
10201126,A,,,,,
10201126,B,,,,,
10201126,C,,,,,
10201126,B,Flooding,OTHER GOOD (SPECIFY),FLOODS,2017,3/4
10201126,D,,,,,
10201126,C,,,,,
10201127,A,GOOD PRICES FOR crops,,,,
10201127,,Events that made people worse off,,,,
10201127,C,CROP DISEASES,CROP DISEASE/PESTS,,2019,3/4
10201127,,Events that made people better off,,,,
10201127,D,Drough,DROUGHT,,2019,3/4
10201127,A,Flooding,OTHER GOOD (SPECIFY),CROPS AND ANIMALS WERE WASHED AWAY,2018,3/4
10201127,B,Hail storm,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2018,3/4
10201127,D,,,,,
10201127,B,,,,,
10201127,C,,,,,
10201128,D,chorela,OTHER GOOD (SPECIFY),DEATH OF PEOPLE,2017,1/4
10201128,C,bumper yield of rice,,,,
10201128,A,reconstruction of the main road,,,,
10201128,,Events that made people better off,,,,
10201128,B,heavy winds,OTHER GOOD (SPECIFY),SCHOOLS AND HOUSES WERE BROWN OFF,2018,1/4
10201128,C,drought,DROUGHT,,2019,3/4
10201128,,Events that made people worse off,,,,
10201128,A,heavy rains,FLOOD,,2017,3/4
10201128,B,Reopening health clinic,,,,
10201128,D,,,,,
10202129,D,,,,,
10202129,A,Good markets,,,,
10202129,D,,,,,
10202129,,Events that made people better off,,,,
10202129,A,heavy winds,DROUGHT,,2019,1/2
10202129,B,,,,,
10202129,B,floods,DROUGHT,,2019,3/4
10202129,C,,,,,
10202129,,Events that made people worse off,,,,
10202129,C,,,,,
10203130,D,,,,,
10203130,D,,,,,
10203130,A,Drought for the growing seasons of 2017_2019,CROP DISEASE/PESTS,,2018,1/2
10203130,,Events that made people worse off,,,,
10203130,C,,,,,
10203130,C,,,,,
10203130,A,We have the primary school near us and the community day sec shoo,,,,
10203130,B,,,,,
10203130,B,,,,,
10203130,,Events that made people better off,,,,
10203131,C,,,,,
10203131,D,,,,,
10203131,C,,,,,
10203131,A,famine,DROUGHT,,2016,3/4
10203131,,Events that made people better off,,,,
10203131,A,GOOD ROADS,,,,
10203131,,Events that made people worse off,,,,
10203131,D,,,,,
10203131,B,hail wind and floods,OTHER GOOD (SPECIFY),HOUSES AND LAND WERE WASHED AWAY,2019,3/4
10203131,B,GOOD MARKETS,,,,
10203132,C,HEAVY WINDS,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2018,1/4
10203132,,Events that made people worse off,,,,
10203132,A,INTODUCTION OF MANUAL ( manyuwa),,,,
10203132,B,,,,,
10203132,C,,,,,
10203132,D,,,,,
10203132,D,DROUGHT,DROUGHT,,2019,3/4
10203132,A,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,ALMOST ALL
10203132,B,FLOODS,OTHER GOOD (SPECIFY),HOUSES AND GARDENS WERE AFFECTED,2019,1/4
10203132,,Events that made people better off,,,,
10203133,A,HUNGER,DROUGHT,,2016,3/4
10203133,,Events that made people worse off,,,,
10203133,B,STALK BORERS,CROP DISEASE/PESTS,,2018,ALMOST ALL
10203133,D,,,,,
10203133,C,,,,,
10203133,B,,,,,
10203133,D,,,,,
10203133,A,GOOD RAINS,,,,
10203133,C,,,,,
10203133,,Events that made people better off,,,,
10203134,B,Not. enough rainfall,DROUGHT,,2019,3/4
10203134,B,,,,,
10203134,C,Flooding,DROUGHT,,2017,1/4
10203134,D,Animals died,LIVESTOCK DISEASE,,2017,1/4
10203134,,Events that made people better off,,,,
10203134,D,,,,,
10203134,,Events that made people worse off,,,,
10203134,A,Stalkborers,DROUGHT,,2018,3/4
10203134,A,Boreholes,,,,
10203134,C,,,,,
10203135,A,CONSTRUCTION OF SCHOOL BLOCK,,,,
10203135,C,BAD MARKETS,SHARP CHANGE IN PRICES,,2019,3/4
10203135,D,,,,,
10203135,D,,,,,
10203135,B,,,,,
10203135,C,,,,,
10203135,,Events that made people worse off,,,,
10203135,,Events that made people better off,,,,
10203135,B,DROUGHT,DROUGHT,,2019,3/4
10203135,A,STALKBORERS,CROP DISEASE/PESTS,,2019,3/4
10204136,,Events that made people worse off,,,,
10204136,,Events that made people better off,,,,
10204136,A,Animal diseases,OTHER GOOD (SPECIFY),BROUGHT POVERTY AND SHOTAGE OF  OF MEAT.,2019,3/4
10204136,B,Drought,DROUGHT,,2019,3/4
10204136,D,Heavy winds,OTHER GOOD (SPECIFY),HOUSES AND SCHOOLS WERE BROWN OFF.,2019,1/4
10204136,D,,,,,
10204136,A,pretty of fish was cought,,,,
10204136,C,,,,,
10204136,C,Chorela outbreak,HUMAN EPIDEMIC DISEASE,,2018,1/4
10204136,B,A JP school have been approved,,,,
10204137,,Events that made people better off,,,,
10204137,B,STALKBORERS,CROP DISEASE/PESTS,,2020,3/4
10204137,A,BUMPER YIELD,,,,
10204137,C,HEAVY RAINS AND FLOOD,FLOOD,,2020,3/4
10204137,D,,,,,
10204137,B,,,,,
10204137,A,drought,DROUGHT,,2018,3/4
10204137,,Events that made people worse off,,,,
10204137,C,,,,,
10204137,D,,,,,
10204138,A,Hail wind,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2016,1/4
10204138,C,continuous rains,FLOOD,,2019,3/4
10204138,D,Army worm,DROUGHT,,2017,3/4
10204138,C,,,,,
10204138,,Events that made people worse off,,,,
10204138,,Events that made people better off,,,,
10204138,B,drought,DROUGHT,,2019,3/4
10204138,D,,,,,
10204138,B,School block,,,,
10204138,A,Kitchen for the feeding program,,,,
10204139,C,,,,,
10204139,,Events that made people worse off,,,,
10204139,A,ELECTRICITY,,,,
10204139,C,,,,,
10204139,B,CONSTUCTION OF LABOUR WARD,,,,
10204139,D,,,,,
10204139,B,DROUGHT,DROUGHT,,2019,1/2
10204139,D,,,,,
10204139,A,LOW HARVEST,DROUGHT,,2019,1/2
10204139,,Events that made people better off,,,,
10204140,B,ANIMAL DISEASES,OTHER GOOD (SPECIFY),DEATH OF ANIMALS,2019,3/4
10204140,C,,,,,
10204140,A,wheel  wind,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2018,1/4
10204140,B,,,,,
10204140,,Events that made people worse off,,,,
10204140,C,,,,,
10204140,,Events that made people better off,,,,
10204140,A,Construction of good house,,,,
10204140,D,,,,,
10204140,D,,,,,
10205141,C,,,,,
10205141,D,,,,,
10205141,,Events that made people worse off,,,,
10205141,C,STALKBORES,CROP DISEASE/PESTS,,2019,3/4
10205141,A,Good rains,,,,
10205141,,Events that made people better off,,,,
10205141,B,WHEEL WIND AND FLOODING,OTHER GOOD (SPECIFY),FAMINE,2018,1/4
10205141,A,DROUGHT,DROUGHT,,2017,3/4
10205141,D,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,1/4
10205141,B,Good harvest,,,,
10205142,B,poor market,LOSS OF KEY SOCIAL SERVICE(S),,2018,ALMOST ALL
10205142,D,,,,,
10205142,D,,,,,
10205142,C,,,,,
10205142,B,,,,,
10205142,C,,,,,
10205142,,Events that made people worse off,,,,
10205142,A,Ulimi,,,,
10205142,,Events that made people better off,,,,
10205142,A,climatical change,DROUGHT,,2018,ALMOST ALL
10220143,B,,,,,
10220143,C,,,,,
10220143,D,,,,,
10220143,D,,,,,
10220143,A,Construction of the new road,,,,
10220143,C,Animal disease,LOSS OF KEY SOCIAL SERVICE(S),,2019,1/4
10220143,,Events that made people worse off,,,,
10220143,B,Worms,CROP DISEASE/PESTS,,2018,ALMOST ALL
10220143,,Events that made people better off,,,,
10220143,A,Flooding,OTHER GOOD (SPECIFY),HOUSES WERE BROUGHT DOWN,2016,3/4
10220144,D,stalk bores,DROUGHT,,2017,3/4
10220144,,Events that made people better off,,,,
10220144,B,wheel wind,OTHER GOOD (SPECIFY),HOUSES WERE BROWN OFF,2017,1/2
10220144,,Events that made people worse off,,,,
10220144,D,,,,,
10220144,B,grading the roads,,,,
10220144,A,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,3/4
10220144,A,Construction of the dike,,,,
10220144,C,,,,,
10220144,C,floods,OTHER GOOD (SPECIFY),HOUSES WERE BROUGHT DOWN,2017,1/4
10220145,B,ARMY WORMS,CROP DISEASE/PESTS,,2018,3/4
10220145,,Events that made people better off,,,,
10220145,D,,,,,
10220145,,Events that made people worse off,,,,
10220145,D,,,,,
10220145,C,,,,,
10220145,A,DROUGHT,DROUGHT,,2016,ALMOST ALL
10220145,A,GOOD HARVEST,,,,
10220145,B,,,,,
10220145,C,FLOODING,FLOOD,,2020,3/4
10220146,D,,,,,
10220146,B,pests,CROP DISEASE/PESTS,,2018,ALMOST NONE
10220146,A,Cyclones,LOSS OF KEY SOCIAL SERVICE(S),,2016,1/2
10220146,,Events that made people better off,,,,
10220146,B,,,,,
10220146,C,,,,,
10220146,D,,,,,
10220146,A,,,,,
10220146,,Events that made people worse off,,,,
10220146,C,drought,LOSS OF KEY SOCIAL SERVICE(S),,2019,ALMOST NONE
10220147,,Events that made people better off,,,,
10220147,B,DROUGGHT,DROUGHT,,2017,3/4
10220147,A,BUMPER YIELD OF RICE,,,,
10220147,A,STALK BORER,CROP DISEASE/PESTS,,2017,3/4
10220147,C,,,,,
10220147,B,FISHING,,,,
10220147,D,,,,,
10220147,D,HEAVY WINDS FLOODING,DROUGHT,,2019,3/4
10220147,,Events that made people worse off,,,,
10220147,C,ANIMAL DISEASES,LIVESTOCK DISEASE,,2019,3/4
10301148,D,,,,,
10301148,A,NET DISTRIBUTION,,,,
10301148,B,INCREASE OF PRICE,SHARP CHANGE IN PRICES,,2018,ALMOST ALL
10301148,,Events that made people worse off,,,,
10301148,C,,,,,
10301148,,Events that made people better off,,,,
10301148,B,PUBLIC WORKS,,,,
10301148,C,,,,,
10301148,D,,,,,
10301148,A,PEST AND DIESES OF CROPS,CROP DISEASE/PESTS,,2018,3/4
10301149,A,,,,,
10301149,B,,,,,
10301149,,Events that made people better off,,,,
10301149,,Events that made people worse off,,,,
10301149,D,,,,,
10301149,A,Price fluctuations,SHARP CHANGE IN PRICES,,2018,ALMOST ALL
10301149,C,,,,,
10301149,B,,,,,
10301149,D,,,,,
10301149,C,,,,,
10301150,D,,,,,
10301150,,Events that made people worse off,,,,
10301150,B,PEST AND DISEASES AFFECT CROPS,CROP DISEASE/PESTS,,2018,ALMOST ALL
10301150,,Events that made people better off,,,,
10301150,A,,,,,
10301150,A,PRICE INCREASE,CROP DISEASE/PESTS,,2018,ALMOST ALL
10301150,B,,,,,
10301150,D,,,,,
10301150,C,,,,,
10301150,C,,,,,
10301151,A,Masaf Project,,,,
10301151,A,Price fluctuation,SHARP CHANGE IN PRICES,,2019,ALMOST ALL
10301151,D,,,,,
10301151,B,No Salary for bridge construction,NEW EMPLOYMENT OPPORTUNITY,,2019,ALMOST ALL
10301151,,Events that made people worse off,,,,
10301151,C,,,,,
10301151,B,,,,,
10301151,C,,,,,
10301151,,Events that made people better off,,,,
10301151,D,,,,,
10302152,C,PEST,CROP DISEASE/PESTS,,2017,3/4
10302152,D,,,,,
10302152,,Events that made people better off,,,,
10302152,,Events that made people worse off,,,,
10302152,C,,,,,
10302152,B,NUMBER OF PEOPLE WHO RECELVE  COUPON VERY LITTTLE,DEVELOPMENT PROJECT,,2017,3/4
10302152,B,,,,,
10302152,D,,,,,
10302152,A,ELECTRICITY,,,,
10302152,A,Flooding,FLOOD,,2017,ALMOST ALL
10303153,A,Crop failure,FLOOD,,2018,1/2
10303153,C,,,,,
10303153,A,,,,,
10303153,B,Natural Disaster,OTHER GOOD (SPECIFY),ROOFS OF HOUSES WERE BLOWN OFF,2016,1/4
10303153,B,,,,,
10303153,,Events that made people better off,,,,
10303153,C,,,,,
10303153,D,,,,,
10303153,,Events that made people worse off,,,,
10303153,D,,,,,
10304154,,Events that made people better off,,,,
10304154,B,,,,,
10304154,B,,,,,
10304154,D,,,,,
10304154,D,,,,,
10304154,C,,,,,
10304154,C,,,,,
10304154,A,School Feeding programme,,,,
10304154,,Events that made people worse off,,,,
10304154,A,Floods,FLOOD,,2018,1/2
10304155,B,Drought,DROUGHT,,2018,3/4
10304155,,Events that made people worse off,,,,
10304155,A,Price Fluctuation,SHARP CHANGE IN PRICES,,2018,1/2
10304155,C,,,,,
10304155,,Events that made people better off,,,,
10304155,D,,,,,
10304155,B,,,,,
10304155,D,,,,,
10304155,C,Army Worm,CROP DISEASE/PESTS,,2018,ALMOST ALL
10304155,A,,,,,
10305156,A,School block maintenance,,,,
10305156,B,Mphepo,,,,
10305156,D,,,,,
10305156,A,water that causes flood,FLOOD,,2018,3/4
10305156,,Events that made people worse off,,,,
10305156,C,,,,,
10305156,D,,,,,
10305156,C,,,,,
10305156,B,,,,,
10305156,,Events that made people better off,,,,
10306157,A,pest and DISEASES,CROP DISEASE/PESTS,,2018,ALMOST ALL
10306157,C,Construction of under Five clinic,,,,
10306157,B,,,,,
10306157,,Events that made people better off,,,,
10306157,,Events that made people worse off,,,,
10306157,D,,,,,
10306157,D,,,,,
10306157,A,construction of school,,,,
10306157,B,Construction of toilet,,,,
10306157,C,,,,,
10306158,B,Crop Pest attack,CROP DISEASE/PESTS,,2018,ALMOST ALL
10306158,D,,,,,
10306158,A,,,,,
10306158,C,Price fluctuations,SHARP CHANGE IN PRICES,,2018,ALMOST ALL
10306158,C,,,,,
10306158,,Events that made people better off,,,,
10306158,D,,,,,
10306158,B,,,,,
10306158,,Events that made people worse off,,,,
10306158,A,Livestock disease,LIVESTOCK DISEASE,,2019,3/4
10307159,A,TEACHERS HOUSE,,,,
10307159,C,,,,,
10307159,C,,,,,
10307159,B,SCHOOL BLOCKS,,,,
10307159,D,,,,,
10307159,D,,,,,
10307159,B,,,,,
10307159,,Events that made people worse off,,,,
10307159,,Events that made people better off,,,,
10307159,A,WATER DISASTER,FLOOD,,2017,1/4
10308160,B,Price Fluctuations,SHARP CHANGE IN PRICES,,2018,ALMOST ALL
10308160,D,,,,,
10308160,A,loss of Key social service,LOSS OF KEY SOCIAL SERVICE(S),,2018,ALMOST ALL
10308160,B,,,,,
10308160,D,,,,,
10308160,A,,,,,
10308160,,Events that made people better off,,,,
10308160,,Events that made people worse off,,,,
10308160,C,,,,,
10308160,C,,,,,
10309161,A,POOR NETWORK COMMUNICATION,LOSS OF KEY SOCIAL SERVICE(S),,2016,ALMOST ALL
10309161,C,,,,,
10309161,,Events that made people better off,,,,
10309161,C,NET DISTRIBUTION,,,,
10309161,D,PORTABLE WATER,,,,
10309161,B,PEST AND DISEASES OF CROP,CROP DISEASE/PESTS,,2018,ALMOST ALL
10309161,A,ROADS MAINTENANCE,,,,
10309161,,Events that made people worse off,,,,
10309161,D,,,,,
10309161,B,NUTRITIONAL PROJECT,,,,
10309162,A,Floods,FLOOD,,2019,1/4
10309162,B,,,,,
10309162,D,,,,,
10309162,,Events that made people worse off,,,,
10309162,C,,,,,
10309162,B,,,,,
10309162,,Events that made people better off,,,,
10309162,D,,,,,
10309162,A,,,,,
10309162,C,,,,,
10310163,D,,,,,
10310163,B,good road,,,,
10310163,D,network,LOSS OF KEY SOCIAL SERVICE(S),,2017,ALMOST ALL
10310163,C,,,,,
10310163,C,pest and diseases affect crops,CROP DISEASE/PESTS,,2016,ALMOST ALL
10310163,A,maize mill,,,,
10310163,B,Poor water,OTHER GOOD (SPECIFY),INSUFFICIENT WATER,2016,ALMOST ALL
10310163,,Events that made people worse off,,,,
