ea_id,com_ce01a,com_ce01b,com_ce01c,com_ce01a_oth,com_ce01b_oth,com_ce01c_oth,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05b,com_ce05a_oth,com_ce05b_oth,com_ce06,com_ce07,com_ce08_1,com_ce08_2,com_ce08a,com_ce08b,com_ce08a_oth,com_ce08b_oth,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10102110,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,NO,,1500,1000,,,,,NO,,,,,,,,
10103111,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,1500,"FIREWOOD,CHARCOAL SELLING",FARMING,,,NO,,,,,,,,
10103112,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,1000,500,,,,,NO,,,,,,,,
10103113,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,300,1500,FARMING,CIVIL SERVICE,,,NO,,,,,,,,
10105114,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,3/4,OUTSIDE MALAWI,FARMING,,,,NO,,1500,500,,,,,NO,,,,,,,,
10105115,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,2000,1000,FARMING,CIVIL SERVICE,,,NO,,,,,,,,
10106116,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,1000,500,,,,,NO,,,,,,,,
10106117,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,FARMING,TRANSPORT,,,YES,RURAL AREAS,300,200,FARMING,CIVIL SERVICE,,,NO,,,,,,,,
10107118,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,1000,500,,,,,NO,,,,,,,,
10109119,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,,YES,1/4,OUTSIDE MALAWI,FARMING,OTHER (SPECIFY),,,YES,RURAL AREAS,1000,500,FARMING,,,,NO,,,,,,,,
10109120,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,PROFESSIONAL OCCUPATIONS,,,NO,,1000,500,,,,,YES,14400,24,DAY,3/4,14400,24,DAY,3/4
10109121,FARMING,"BEER BREWING, KACHASU",CIVIL SERVICE,,,,YES,1/4,RURAL AREAS,TRANSPORT,,,,YES,RURAL AREAS,2000,1500,FARMING,,,,NO,,,,,,,,
10120122,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,URBAN CENTRES,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,1000,1000,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,3000,12,DAY,1/4,3000,12,DAY,3/4
10120123,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,OUTSIDE MALAWI,1500,1000,SMALL-SCALE TRADE & SERVICE PROVISION,,,,NO,,,,,,,,
10201124,FISHING,FARMING,,,,,NO,,,,,,,YES,RURAL AREAS,300,1000,FISHING,FARMING,,,NO,,,,,,,,
10201125,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,OUTSIDE MALAWI,3000,3000,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,,,YES,14200,24,DAY,1/4,14200,24,DAY,1/4
10201126,FARMING,,,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,TRANSPORT,,,NO,,1500,1000,,,,,NO,,,,,,,,
10201127,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,500,FARMING,OTHER (SPECIFY),REARING ANIMALS,REARING ANIMALS,NO,,,,,,,,
10201128,FARMING,FISHING,,,,,YES,1/4,RURAL AREAS,FISHING,,,,YES,RURAL AREAS,3000,2000,FARMING,FISHING,,,NO,,,,,,,,
10202129,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),LIVESTOCK FARMING,LIVESTOCK FARMING,LIVESTOCK FARMING,YES,1/4,OUTSIDE MALAWI,FARMING,,,,YES,RURAL AREAS,2000,1500,FARMING,,,,NO,,,,,,,,
10203130,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,1000,1000,,,,,NO,,,,,,,,
10203131,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FISHING,,,,YES,RURAL AREAS,2000,1500,FARMING,FISHING,,,YES,14000,2,WEEK,1/4,14000,2,WEEK,1/4
10203132,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,2500,2500,FARMING,,,,YES,14000,21,DAY,1/4,14000,21000,DAY,1/4
10203133,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,URBAN CENTRES,CIVIL SERVICE,FARMING,,,YES,RURAL AREAS,3000,2000,FARMING,,,,NO,,,,,,,,
10203134,FARMING,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,FISHING,FISHING,FISHING,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,500,500,FISHING,FARMING,,,YES,21000,4,WEEK,1/4,21000,4,WEEK,1/4
10203135,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FARMING,FISHING,,,YES,RURAL AREAS,3000,2000,FARMING,FISHING,,,NO,,,,,,,,
10204136,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FISHING,,,,YES,RURAL AREAS,2000,2500,FISHING,,,,NO,,,,,,,,
10204137,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,1500,FARMING,CIVIL SERVICE,,,YES,14000,2,WEEK,1/4,14000,2,WEEK,1/4
10204138,FARMING,,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,500,500,,,,,YES,21000,4,WEEK,1/4,21000,4,WEEK,1/4
10204139,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,,,,YES,1/4,RURAL AREAS,FISHING,FARMING,,,YES,URBAN CENTERS,2500,2000,FISHING,,,,NO,,,,,,,,
10204140,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,500,500,OTHER (SPECIFY),,DOMESTIC HOUSEWORK,,NO,,,,,,,,
10205141,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",FARMING,,,YES,RURAL AREAS,2000,1500,FARMING,FISHING,,,NO,,,,,,,,
10205142,FARMING,,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,2000,1000,,,,,YES,21000,24,DAY,1/4,21000,24,DAY,1/4
10220143,FARMING,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,MOULDING BLICKS,MOULDING BLICKS,MOULDING BLICKS,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,600,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,,,YES,14000,24,DAY,1/4,14000,24,DAY,1/4
10220144,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1500,1000,OTHER (SPECIFY),,DOMESTIC HOUSEWORK,,YES,14600,24,DAY,1/4,14600,24,DAY,1/4
10220145,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,2000,1000,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,NO,,,,,,,,
10220146,FISHING,OTHER (SPECIFY),,SELLING BLICKS,SELLING BLICKS,,NO,,,,,,,YES,RURAL AREAS,5000,1000,FISHING,,,,YES,12000,4,WEEK,1/4,12000,4,WEEK,3/4
10220147,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FARMING,FISHING,,,NO,,,,,,,,
10301148,FARMING,OTHER (SPECIFY),,CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),,YES,1/4,OUTSIDE MALAWI,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,1000,600,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10301149,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,3/4
10301150,FARMING,,,,,,YES,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,YES,21600,24,DAY,ALMOST NONE,21600,24,DAY,ALMOST NONE
10301151,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,,,YES,RURAL AREAS,500,500,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,3/4
10302152,FISHING,FARMING,OTHER (SPECIFY),CONSTRUCTION WORKS,CONSTRUCTION WORKS,CONSTRUCTION WORKS,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,URBAN CENTERS,1000,1000,FISHING,,,,YES,21600,24,DAY,ALMOST NONE,21600,24,DAY,1/4
10303153,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FARMING,,,,NO,,,,,,,,
10304154,FARMING,FISHING,"FIREWOOD,CHARCOAL SELLING",,,,NO,,,,,,,NO,,2000,1000,,,,,NO,,,,,,,,
10304155,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,,YES,900,1,DAY,1/2,900,1,DAY,1/2
10305156,FARMING,FISHING,,,,,YES,3/4,RURAL AREAS,FISHING,,,,YES,OUTSIDE MALAWI,1000,1000,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),SECURITY,SECURITY,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10306157,FARMING,FISHING,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FISHING,FARMING,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10306158,FARMING,OTHER (SPECIFY),,EMPLOYMENT (UNSPECIFIED),EMPLOYMENT (UNSPECIFIED),,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,OTHER (SPECIFY),WORKING IN ESTATES VIZARA RUBBER AND SUGAR PLANTATIONS,WORKING IN ESTATES VIZARA RUBBER AND SUGAR PLANTATIONS,YES,900,1,DAY,1/4,900,1,DAY,3/4
10307159,FARMING,FISHING,,,,,YES,1/4,OUTSIDE MALAWI,TRANSPORT,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,1000,1000,FARMING,"FIREWOOD,CHARCOAL SELLING",,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10308160,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,"FIREWOOD,CHARCOAL SELLING",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FARMING,OTHER (SPECIFY),FARMING AND SAWING PLANKS,FARMING AND SAWING PLANKS,YES,21600,24,DAY,1/2,21600,24,DAY,1/2
10309161,FARMING,,,,,,YES,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10309162,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,NO,,,,,,,,
10310163,FARMING,,,,,,NO,,,,,,,YES,RURAL AREAS,1000,1000,FARMING,TRANSPORT,,,YES,22400,24,DAY,1/4,22400,24,DAY,1/4
10312164,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,,NO,,,,,,,YES,RURAL AREAS,1000,1000,FARMING,,,,NO,,,,,,,,
10312165,FARMING,CIVIL SERVICE,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,,,,YES,RURAL AREAS,1500,1000,FARMING,,,,YES,14400,2,WEEK,1/2,14400,2,WEEK,1/2
10312166,FARMING,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,YES,21400,24,DAY,1/4,21400,24,DAY,3/4
10312167,FARMING,,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,3000,1500,FARMING,,,,YES,21600,24,DAY,ALMOST NONE,21600,24,DAY,ALMOST NONE
10320168,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,FISHING,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,OTHER (SPECIFY),,MOUDLING BRICKS,,YES,21600,24,DAY,1/4,21400,24,DAY,3/4
10401169,FARMING,"BEER BREWING, KACHASU",,,,,NO,,,,,,,YES,RURAL AREAS,400,400,FARMING,,,,NO,,,,,,,,
10401170,FARMING,,,,,,YES,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,500,500,FARMING,,,,YES,21600,24,DAY,3/4,21600,24,DAY,3/4
10401171,FARMING,,,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,1000,1000,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10401172,FARMING,"BEER BREWING, KACHASU",,,,,YES,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1500,1500,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10401173,FARMING,"BEER BREWING, KACHASU",,,,,NO,,,,,,,NO,,3000,3000,,,,,NO,,,,,,,,
10401174,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,,NO,,,,,,,YES,RURAL AREAS,1500,1500,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,24000,24,DAY,1/4,24000,24,DAY,1/4
10403175,FARMING,"BEER BREWING, KACHASU",,,,,YES,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",OTHER (SPECIFY),,,YES,RURAL AREAS,3000,1500,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10403176,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,1500,FARMING,CIVIL SERVICE,,,NO,,,,,,,,
10403177,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,3000,3000,FARMING,TRANSPORT,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10404178,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,RURAL AREAS,1000,500,FARMING,FISHING,,,NO,,,,,,,,
10404179,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,ALMOST NONE,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,,YES,RURAL AREAS,2000,2000,FARMING,,,,NO,,,,,,,,
10405180,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,2000,1000,,,,,NO,,,,,,,,
10405181,FARMING,,,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,5000,3000,FARMING,,,,NO,,,,,,,,
10407182,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,NO,,,,,,,,
10407183,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,1500,1000,FARMING,,,,NO,,,,,,,,
10407184,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,,YES,RURAL AREAS,2000,1000,FARMING,,,,NO,,,,,,,,
10408185,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,URBAN CENTERS,1000,500,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,1000,1,DAY,ALMOST NONE,1000,1,DAY,ALMOST NONE
10409186,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,FARMING,OTHER (SPECIFY),,,YES,RURAL AREAS,1500,1000,FARMING,,,,NO,,,,,,,,
10410187,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,1200,1200,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,1/4
10420188,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,TRANSPORT,,,,NO,,,,,,,YES,RURAL AREAS,2000,2000,TRANSPORT,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,21600,24,DAY,ALMOST NONE,21600,24,DAY,1/4
10420189,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,5000,2000,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,14000,12,DAY,1/4,14000,12,DAY,1/4
10501190,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,700,700,FARMING,,,,NO,,,,,,,,
10501191,FARMING,"BEER BREWING, KACHASU","HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,1000,1000,,,,,NO,,,,,,,,
10501192,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FARMING,,,,NO,,,,,,,,
10502193,FARMING,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",TRANSPORT,,,,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,NO,,,,,,,,
10502194,FARMING,,,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,NO,,,,,,,,
10502195,FARMING,OTHER (SPECIFY),SMALL-SCALE TRADE & SERVICE PROVISION,SAND SELLING,SAND SELLING,SAND SELLING,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,960,960,FARMING,,,,NO,,,,,,,,
10502196,FARMING,"FIREWOOD,CHARCOAL SELLING",SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,500,500,FARMING,,,,YES,21600,24,DAY,1/2,21600,24,DAY,1/2
10502197,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),FARMING,CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),CASUAL LABOUR UNSPECIFIED(GANYU),YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,700,700,OTHER (SPECIFY),,CASUAL LABOR(GANYU),,NO,,,,,,,,
10504198,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,750,750,FARMING,,,,YES,21600,24,DAY,1/4,21600,24,DAY,3/4
10505199,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,1000,1000,,,,,NO,,,,,,,,
10505200,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,1000,1000,,,,,NO,,,,,,,,
10505201,FARMING,"BEER BREWING, KACHASU",OTHER (SPECIFY),EMPLOYMENT (UNSPECIFIED),EMPLOYMENT (UNSPECIFIED),EMPLOYMENT (UNSPECIFIED),YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,YES,RURAL AREAS,1000,1000,FARMING,,,,NO,,,,,,,,
10506202,FARMING,"FIREWOOD,CHARCOAL SELLING","BEER BREWING, KACHASU",,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,NO,,1000,1000,,,,,NO,,,,,,,,
10506203,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,YES,1/4,RURAL AREAS,OTHER (SPECIFY),,,,YES,RURAL AREAS,2000,2000,FARMING,,,,YES,21600,24,DAY,1/2,21600,24,DAY,1/2
10506204,FARMING,"BEER BREWING, KACHASU",,,,,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),,,YES,RURAL AREAS,500,500,FARMING,,,,NO,,,,,,,,
