ea_id,com_ci0b,com_ci01,com_ci0b_oth,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
10103111,Pasture,Yes,,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
10103111,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103112,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103112,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103112,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103112,Forest,Yes,,YES,NO,NO,NO,YES,Use the threat of Fine,,,,,,Limitations on number of users at a given time,,Time restrictions,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10103112,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103113,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103113,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,Use the threat of Fine,,,,Time restrictions,,Rotation among groups of families,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10103113,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103113,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103113,Unallocated Arable Land,Yes,,NO,YES,YES,NO,YES,Use guards,IFFOUNDWEBROUGHTHIMINTOCOURT,Other (Specify),IFFOUNDWEBROUGHTHIMINTOCOURT,,,Time restrictions,,,,,,Confiscation of tools/products,,,,,,Fully Effective,NO,,,NO,
10105114,Forest,Yes,,NO,NO,NO,YES,NO,,,,,,,Limitations on number of users at a given time,GET PERMISSION BEFORE USE,Other (Specify),STOPPEOPLEFROMCUTTINGTREESWITHOUTAUTHORITY,,,Use threat of fine,,Taking away [RESOURCE] use rights,,,,Somewhat Effective,NO,,,NO,
10105114,Other (Specify),.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105114,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
10105114,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105114,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105115,Forest,Yes,,YES,YES,NO,YES,YES,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,NO,,,NO,
10105115,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105115,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105115,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105115,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106116,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106116,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106116,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106116,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106116,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106117,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106117,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106117,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106117,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106117,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107118,Forest,Yes,,NO,NO,NO,NO,YES,Use the threat of Physical punishment,GIVINGFINES,Other (Specify),GIVINGFINES,,,Time restrictions,,Rotation among groups of families,,,,Social sanctions,,Use threat of fine,,,,Not Effective,NO,,,NO,
10107118,Other (Specify),.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107118,Pasture,Yes,,NO,NO,NO,YES,NO,,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10107118,Unallocated Arable Land,Yes,,YES,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Confiscation of tools/products,,,,,,Fully Effective,NO,,,NO,
10107118,Water Body: Specify,Yes,THALIRE,YES,YES,YES,NO,YES,Use guards,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
10109119,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10109119,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109119,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109119,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109119,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109120,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,KULIMILIRA,Other (Specify),Kulimilira,,,Fully Effective,NO,,,NO,
10109120,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109120,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109120,Pasture,Yes,,NO,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
10109120,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109121,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109121,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109121,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109121,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109121,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120122,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120123,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201124,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201125,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201126,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201127,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201128,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202129,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202129,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202129,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202129,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202129,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203130,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203130,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203130,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203130,Forest,Yes,,YES,YES,YES,NO,NO,,,,,,,Limitations on number of users at a given time,,Time restrictions,,,,Use threat of fine,,Confiscation of tools/products,,Social sanctions,,Fully Effective,NO,,,YES,NO
10203130,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203131,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,,,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10203131,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203131,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203131,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203131,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203132,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Forest,Yes,,YES,YES,NO,NO,YES,Use the threat of Fine,,Use the threat of Physical punishment,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
10203133,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203133,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203134,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203135,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204136,Forest,Yes,,YES,YES,YES,YES,YES,Use the threat of Fine,,Use guards,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,NO,,,NO,
10204136,Unallocated Arable Land,Yes,,YES,YES,NO,NO,YES,Use guards,SET UP COMMITTEE TO MONITOR USAGE,Other (Specify),SET UP COMMITTEE TO MONITOR USAGE,,,Time restrictions,,Limitations on number of users at a given time,,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,NO,,,NO,
10204136,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204136,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204136,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204137,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204137,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204137,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204137,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204137,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204138,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204139,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204140,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205141,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205141,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205141,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205141,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205141,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205142,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220143,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220143,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220143,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220143,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220143,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220144,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220144,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220144,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220144,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220144,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220145,Water Body: Specify,Yes,DANIDAANDPIPEDWATER,YES,YES,NO,YES,YES,Other (Specify),MONETARY CONTRIBUTION,,,,,Time restrictions,,Rotation among groups of families,,,,Social sanctions,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
10220146,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Water Body: Specify,Yes,COMMUNITYWATERBOARD,YES,YES,NO,YES,NO,,,,,,,Time restrictions,,,,,,Use threat of fine,,Social sanctions,,,,Fully Effective,NO,,,NO,
10220146,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220146,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220147,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301148,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301149,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301150,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Unallocated Arable Land,Yes,,YES,NO,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
10301151,Pasture,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Other (Specify),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301151,Forest,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302152,Water Body: Specify,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302152,Forest,Yes,,YES,YES,NO,NO,YES,Use guards,,Use the threat of Fine,,,,Limitations on number of users at a given time,,Time restrictions,,,,Use threat of fine,,Taking away [RESOURCE] use rights,,,,Fully Effective,NO,,,NO,
10302152,Unallocated Arable Land,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
