case_id,HHID,ag_l0c,ag_l0c_oth,ag_l0a,ag_l01a,ag_l01b,ag_l01b_oth,ag_l02,ag_l03,ag_l04,ag_l06a,ag_l06b,ag_l07a,ag_l07b,ag_l07b_oth,ag_l08,ag_l08_oth,ag_l09,ag_l10,ag_l11,ag_l12,ag_l13,ag_l14a,ag_l14b,ag_l37,ag_l38a,ag_l38b,ag_l38b_oth,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l42b_oth,ag_l43,ag_l44a,ag_l44b,ag_l44b_oth
207074000294,009fd63d7ca544fa86e07f95781eb567,23:21:0+4S/CHITOWE,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,5,KILOGRAM,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207074000294,009fd63d7ca544fa86e07f95781eb567,CAN,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,5,KILOGRAM,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207074000294,009fd63d7ca544fa86e07f95781eb567,INSECTICIDE,,NO,20,LITER,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,20,LITER,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,0,,,.a,.a,0,NO,0,,,,,,
207023880317,00d91bf747164e848958d711bcca04fe,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207023880317,00d91bf747164e848958d711bcca04fe,23:21:0+4S/CHITOWE,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,.a,10,KILOGRAM,,On Foot,,0,5000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207023880317,00d91bf747164e848958d711bcca04fe,CAN,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,8,.a,5,KILOGRAM,,On Foot,,0,3750,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207023880317,00d91bf747164e848958d711bcca04fe,UREA,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,8,.a,10,KILOGRAM,,On Foot,,0,5000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,23:21:0+4S/CHITOWE,,NO,20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,20,KILOGRAM,,Own Bicycle or Oxcart,,0,10000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,CAN,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,10,KILOGRAM,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
206043580122,011aff388e5f4efcbc0b80238ca697cd,UREA,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,10,KILOGRAM,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,Organic Fertilizer,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308076630094,018c49cda7fc485cab1f0e44ac25f55a,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308076630094,018c49cda7fc485cab1f0e44ac25f55a,23:21:0+4S/CHITOWE,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,5,KILOGRAM,,Own Bicycle or Oxcart,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
308076630094,018c49cda7fc485cab1f0e44ac25f55a,UREA,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,5,KILOGRAM,,Own Bicycle or Oxcart,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
203042940075,018f4cec68af499ab64667a73e477b22,Organic Fertilizer,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307106340185,019472c1810248beba0945f052993af5,Organic Fertilizer,,YES,1,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,1,50 KG BAG,,2,.a,0,NO,,,,NO,,,
311057190007,01a818ecd6ad427d97d9439342d6c6c9,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206033560060,01b3ce70d0f645fbb9fc54e4e8c656a4,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309066830105,01bc84c07fd948e8bc4f1f6e3ea83def,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103101630172,01e454ab9e88479db27bfce7d848392e,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103101630172,01e454ab9e88479db27bfce7d848392e,INSECTICIDE,,NO,100,LITER,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,0,,,1,.a,0,NO,0,,,,,,
307086300102,020871d760c749caaccc159ab8a5259d,Organic Fertilizer,,YES,150,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,150,KILOGRAM,,6,.a,0,NO,,,,NO,,,
307086300102,020871d760c749caaccc159ab8a5259d,23:21:0+4S/CHITOWE,,NO,6,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,.a,6,KILOGRAM,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
307086300102,020871d760c749caaccc159ab8a5259d,UREA,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,7,.a,3,KILOGRAM,,On Foot,,0,1350,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
307086300102,020871d760c749caaccc159ab8a5259d,INSECTICIDE,,NO,300,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,7,.a,300,MILLILITER,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,0,,,.a,.a,0,NO,0,,,,,,
102051420275,02426348aa3647b58d35cf69bb354532,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102051420275,02426348aa3647b58d35cf69bb354532,23:21:0+4S/CHITOWE,,NO,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,100,KILOGRAM,,Motorcycle,,2500,45000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
102051420275,02426348aa3647b58d35cf69bb354532,UREA,,NO,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,100,KILOGRAM,,Motorcycle,,2500,42000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
102051420275,02426348aa3647b58d35cf69bb354532,HERBICIDE,,NO,300,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,6,.a,300,MILLILITER,,Truck / Bus/ Minibus,,3000,14500,"Paid in full, with own-savings",,,,,NO,0,,,4,.a,0,NO,0,,,,,,
308016440192,02552be8825147f7a1b482a33462585f,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202022670024,02587b0906ef4737b1d5c9e1c10d4940,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208014110022,02a7ecde52b348b6be1efc6c4d2c1064,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208014110022,02a7ecde52b348b6be1efc6c4d2c1064,UREA,,NO,6,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,6,KILOGRAM,,On Foot,,0,3100,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
202022670046,02c2ce6ec4574fba891a5ccb9f9667fc,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206063650119,02e559e13d5644a3874d52c9027c7d60,Organic Fertilizer,,YES,2,OTHER (SPECIFY),50 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,2,50 KG BAG,
206063650119,02e559e13d5644a3874d52c9027c7d60,23:21:0+4S/CHITOWE,,NO,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,1,KILOGRAM,,On Foot,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
206063650119,02e559e13d5644a3874d52c9027c7d60,UREA,,NO,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,1,KILOGRAM,,On Foot,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
206063650119,02e559e13d5644a3874d52c9027c7d60,INSECTICIDE,,NO,50,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,50,MILLILITER,,On Foot,,0,1200,"Paid in full, with own-savings",,,,,NO,0,,,3,.a,0,NO,0,,,,,,
206063650119,02e559e13d5644a3874d52c9027c7d60,FUMIGANT,,NO,50,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,50,MILLILITER,,On Foot,,0,700,"Paid in full, with own-savings",,,,,NO,0,,,3,.a,0,NO,0,,,,,,
308036510107,0326678d98ee4cc1898a272d53c5ffaf,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201232570122,03633e60f3c94c93a9875bc065d5a43e,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201232570122,03633e60f3c94c93a9875bc065d5a43e,23:21:0+4S/CHITOWE,,NO,20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,20,KILOGRAM,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207013870189,038c3a60a6ab4613bd8b95f4c5688be3,Organic Fertilizer,,YES,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,100,KILOGRAM,
207013870189,038c3a60a6ab4613bd8b95f4c5688be3,23:21:0+4S/CHITOWE,,NO,12,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,12,KILOGRAM,,On Foot,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207013870189,038c3a60a6ab4613bd8b95f4c5688be3,UREA,,NO,12,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,12,KILOGRAM,,On Foot,,0,5000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,Organic Fertilizer,,YES,3,BUCKET,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,3,BUCKET,,1,.a,0,NO,,,,NO,,,
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,23:21:0+4S/CHITOWE,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,3,KILOGRAM,,On Foot,,0,1500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,UREA,,NO,7,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,7,KILOGRAM,,On Foot,,0,3500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,INSECTICIDE,,NO,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,1,KILOGRAM,,Own Bicycle or Oxcart,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
304035630102,03e1ccae17f3465fba5413877960c310,Organic Fertilizer,,YES,50,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,50,KILOGRAM,
304035630102,03e1ccae17f3465fba5413877960c310,UREA,,NO,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,5,KILOGRAM,,Own Bicycle or Oxcart,,0,350,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
304035630102,03e1ccae17f3465fba5413877960c310,INSECTICIDE,,NO,10,LITER,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,10,LITER,,Own Bicycle or Oxcart,,0,500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
205053360136,03eddf867dc44d299b0b3a0744548b4b,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303025330307,03f67f44b04748d9be2effc33a5e4281,Organic Fertilizer,,YES,25,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,25,KILOGRAM,
303025330307,03f67f44b04748d9be2effc33a5e4281,INSECTICIDE,,NO,2,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,2,GRAM,,3,.a,0,NO,0,,,,,,
103081600041,043f678ac5794a6f8f92497fd2f81cbd,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103081600041,043f678ac5794a6f8f92497fd2f81cbd,23:21:0+4S/CHITOWE,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,10,KILOGRAM,,4,.a,0,NO,,,,,,,
103081600041,043f678ac5794a6f8f92497fd2f81cbd,UREA,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,10,KILOGRAM,,5,.a,0,NO,,,,,,,
102021290184,047652cfcb5f47bdb610528f61dd70d4,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311087260016,0477f64669ab49d48cc78e92294b82bb,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311087260016,0477f64669ab49d48cc78e92294b82bb,23:21:0+4S/CHITOWE,,NO,25,KILOGRAM,,"YES, THE FIGURES MATCHED",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311087260016,0477f64669ab49d48cc78e92294b82bb,UREA,,NO,25,KILOGRAM,,"YES, THE FIGURES MATCHED",YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308056550053,04a8e8f755dd47f0bd7a1b6d589a8212,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308056550053,04a8e8f755dd47f0bd7a1b6d589a8212,23:21:0+4S/CHITOWE,,NO,7,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,7,KILOGRAM,,Own Bicycle or Oxcart,,0,3150,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
308056550053,04a8e8f755dd47f0bd7a1b6d589a8212,INSECTICIDE,,NO,16,LITER,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,16,LITER,,Own Bicycle or Oxcart,,0,4500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
203042940073,04b78611951d4b26b1eb3aa949e28921,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203042940073,04b78611951d4b26b1eb3aa949e28921,23:21:0+4S/CHITOWE,,NO,25,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,25,KILOGRAM,,On Foot,,0,10500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
203042940073,04b78611951d4b26b1eb3aa949e28921,INSECTICIDE,,NO,20,LITER,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,20,LITER,,On Foot,,0,1500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
103031530008,04b81da74661404991cbe3a13fce2890,Organic Fertilizer,,YES,70,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,70,KILOGRAM,,3,.a,0,NO,,,,NO,,,
201152490118,04c2601217eb4d00a9d280cf3172fa15,Organic Fertilizer,,YES,1,WHEELBARROW,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,1,WHEELBARROW,
309056790165,04c3bda4cc394019ad34aba3fad90602,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206123740080,04c51e48461447d3856c8347ce07e0ae,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206123740080,04c51e48461447d3856c8347ce07e0ae,INSECTICIDE,,NO,250,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,250,MILLILITER,,On Foot,,0,1300,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
307056240147,04d3645961f94db78bf7e65245832b1f,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307056240147,04d3645961f94db78bf7e65245832b1f,UREA,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,3,KILOGRAM,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
311057190104,05155a5f72944b468dd8dd4eaf6921ea,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311057190104,05155a5f72944b468dd8dd4eaf6921ea,INSECTICIDE,,NO,300,MILLILITER,,"YES, THE FIGURES MATCHED",NO,YES,1,.a,300,MILLILITER,,On Foot,,0,1800,"Paid in full, with own-savings",,,,,NO,0,,,1,.a,0,NO,0,,,,,,
313017560030,05228a9c87024b9c8d6e1529de80483f,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313017560030,05228a9c87024b9c8d6e1529de80483f,23:21:0+4S/CHITOWE,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,3,KILOGRAM,,Motorcycle,,0,1500,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
313017560030,05228a9c87024b9c8d6e1529de80483f,UREA,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,3,KILOGRAM,,Motorcycle,,0,1000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
209094430247,0525788e042c46fdb271874620eccec1,Organic Fertilizer,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314397920058,05394f69bcc5474bb516c8dd75948782,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314397920058,05394f69bcc5474bb516c8dd75948782,23:21:0+4S/CHITOWE,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,10,KILOGRAM,,On Foot,,0,3600,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
314397920058,05394f69bcc5474bb516c8dd75948782,UREA,,NO,15,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,15,KILOGRAM,,Own Bicycle or Oxcart,,0,5400,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
202062740428,05663c5cc5c44c769182e787c00935a0,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208014100136,057ec8b29d774e57a569a70ff0de2b3c,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208014100136,057ec8b29d774e57a569a70ff0de2b3c,23:21:0+4S/CHITOWE,,NO,4,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,4,KILOGRAM,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
208014100136,057ec8b29d774e57a569a70ff0de2b3c,UREA,,NO,6,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,.a,6,KILOGRAM,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
207033920033,05c034395da644bba56a387508afb6c0,Organic Fertilizer,,YES,50,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,50,KILOGRAM,
103121660007,063e73be877e44fda283b36cafeafa51,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305025800369,0693c353de3d47fb971f1338bb3d6732,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202022670033,072890034f9e44c5882281bcb9f92061,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209034320098,0747c723328a42648af3875aebe1fe91,Organic Fertilizer,,YES,1,BUCKET,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,1,BUCKET,,1,.a,0,NO,,,,NO,,,
209034320098,0747c723328a42648af3875aebe1fe91,23:21:0+4S/CHITOWE,,NO,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,9,.a,3,KILOGRAM,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
209034320098,0747c723328a42648af3875aebe1fe91,INSECTICIDE,,NO,40,LITER,,"YES, THE FIGURES MATCHED",NO,YES,1,.a,20,LITER,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
307106350065,07575c211add42af80ac0d4d0c484da2,Organic Fertilizer,,YES,30,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,15,KILOGRAM,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,YES,15,KILOGRAM,,NO,,,
307106350065,07575c211add42af80ac0d4d0c484da2,23:21:0+4S/CHITOWE,,NO,12,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,12,KILOGRAM,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
307106350065,07575c211add42af80ac0d4d0c484da2,FUMIGANT,,NO,60,LITER,,"YES, THE FIGURES MATCHED",NO,YES,2,.a,60,LITER,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,0,,,,,,
304065690028,0769845cecee40f3a9547612f61d743d,Organic Fertilizer,,YES,100,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,100,KILOGRAM,
304065690028,0769845cecee40f3a9547612f61d743d,UREA,,NO,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,.a,2,KILOGRAM,,On Foot,,0,1000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
304065690028,0769845cecee40f3a9547612f61d743d,INSECTICIDE,,NO,500,MILLILITER,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,500,MILLILITER,,3,.a,0,NO,0,,,,,,
105021930145,0769d598816c45129d257a8e03f67341,Organic Fertilizer,,YES,1,BUCKET,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,YES,2,5 KG BAG,,6,.a,0,NO,,,,NO,,,
105021930145,0769d598816c45129d257a8e03f67341,INSECTICIDE,,NO,20,LITER,,"YES, THE FIGURES MATCHED",NO,YES,7,.a,0,,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,NO,0,,,7,.a,0,NO,0,,,,,,
203042940031,0786ae92975546a6ba9badc418921d8f,Organic Fertilizer,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203042940031,0786ae92975546a6ba9badc418921d8f,UREA,,NO,10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,.a,10,KILOGRAM,,On Foot,,0,5000,"Paid in full, with own-savings",,,,,NO,,,,,,,NO,,,,,,,
205043340038,07a6deac46fa429d89c06281f16239de,Organic Fertilizer,,YES,20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,NO,,,,,,,NO,,,,YES,20,KILOGRAM,
