case_id,HHID,crop_code,ag_q01,ag_q02a,ag_q02b,ag_q02b_oth,ag_q02c,ag_q03,ag_q05a,ag_q05b,ag_q06a,ag_q06b,ag_q07a,ag_q07b,ag_q08,ag_q09,ag_q09_oth,ag_q10,ag_q31a,ag_q31b,ag_q31b_oth,ag_q31c,ag_q32a,ag_q32b,ag_q32b_oth,ag_q32c,ag_q33a,ag_q33b,ag_q33b_oth,ag_q33c,ag_q34a,ag_q34b,ag_q34b_oth,ag_q34c,ag_q35a,ag_q35b,ag_q35b_oth,ag_q35c,ag_q35d,ag_q36a,ag_q36b,ag_q36_oth,ag_q37,ag_q38,ag_q38_oth,ag_q39a,ag_q39b,ag_q39b_oth,ag_q39c,ag_q40a,ag_q40b,ag_q40_oth,ag_q41a,ag_q41b,ag_q41_oth
101011020183,6f7d332cc9df4fd9896e1ba8c9688848,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,2,,,NO,,,,,,,,,,1,,
101011030012,65816a6fa1ab4fac876e795bcef13671,CASSAVA,YES,15,PAIL (LARGE),,U: UNSHELLED,18000,4,.a,1,.a,OCTOBER,2019,5,On Foot,,0,1,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101011030012,65816a6fa1ab4fac876e795bcef13671,BANANA,NO,,,,,,,,,,,,,,,,1,BUNCH,,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030026,65627b32b1624e04b6ea581400f5c9d6,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,,3,,,YES,Other (Specify),still on field,5,PAIL (LARGE),,S: SHELLED,5,,,1,,
101011030057,43a227794ed84f7c9caed20739e7532c,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,3,,,NO,,,,,,,,,,6,,
101011030057,43a227794ed84f7c9caed20739e7532c,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,3,,,NO,,,,,,,,,,6,,
101011030079,45cb275b257944af892c562162b9cba9,MANGO,NO,,,,,,,,,,,,,,,,15,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030100,7d46f6450d174853a7834d4e9c2b4504,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,5,,,NO,,,,,,,,,,6,,
101011030100,7d46f6450d174853a7834d4e9c2b4504,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,5,,,NO,,,,,,,,,,1,,
101011030107,1e677a9563644c1eb012e0c7df9b6410,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030107,1e677a9563644c1eb012e0c7df9b6410,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030107,1e677a9563644c1eb012e0c7df9b6410,AVOCADO,YES,15,PIECE,,NOT APPLICABLE,1000,2,.a,1,2,AUGUST,2019,1,On Foot,,0,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101011030122,be90dc04442f43f9b7bf199a362813b1,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030122,be90dc04442f43f9b7bf199a362813b1,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,,,YES,Other (Specify),left in the field,4,OX-CART,,U: UNSHELLED,5,,,1,,
101011040031,015bf2639fae45db9d8ddd6a181eaf89,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,NOT APPLICABLE,10,5,,,NO,,,,,,,,,,6,,
101011040037,19877062f12f464087073252923310dc,COFFEE,YES,20,50 KG BAG,,NOT APPLICABLE,250000,4,.a,1,2,OCTOBER,2018,8,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,2,,
101011040079,ac0165d0442c496abe0c5cd24ab73260,BANANA,YES,10,OTHER (SPECIFY),CLUSTERS,NOT APPLICABLE,10000,2,.a,1,2,JULY,2018,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,10,5,,,NO,,,,,,,,,,1,2,
101011040107,52aa13b89db34794b1a23b05cba7b292,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101011040107,52aa13b89db34794b1a23b05cba7b292,AVOCADO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011040108,8d7b180c5622498aade520441256fd2b,BANANA,YES,25,BUNCH,,NOT APPLICABLE,50000,1,.a,1,.a,MARCH,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,NOT APPLICABLE,5,1,,,NO,,,,,,,,,,1,6,
101011040112,16bdbb122cb84d95ac8ae34a170c3cf9,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,6,,
101011060059,6289fda67d28450eb6e516a910bf930c,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,14,50 KG BAG,,NOT APPLICABLE,.a,1,,,NO,,,,,,,,,,6,,
101011060059,6289fda67d28450eb6e516a910bf930c,ORANGE,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,6,,
101011060079,e7974bc4397b46079a5cfe9502bcfcf0,MANGO,NO,,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,5,1,,,NO,,,,,,,,,,1,,
101011060079,e7974bc4397b46079a5cfe9502bcfcf0,LEMON,NO,,,,,,,,,,,,,,,,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,1,,,NO,,,,,,,,,,1,,
101011060087,330892a48b67444490da543b96a74bd7,ORANGE,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,PIECE,,NOT APPLICABLE,10,2,,,NO,,,,,,,,,,6,,
101011060095,dd2bbdf52bb9469b9195e4f0e37e6372,CASSAVA,YES,1,50 KG BAG,,NOT APPLICABLE,2000,4,.a,1,2,JANUARY,2019,5,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,6,,None,NO,,,,,,,,,,1,2,
101011060095,dd2bbdf52bb9469b9195e4f0e37e6372,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,1,1,,,NO,,,,,,,,,,1,,
101011060131,d18ae2ef2087438a9abcf791818c9702,ORANGE,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,6,,None,NO,,,,,,,,,,1,,
101011060131,d18ae2ef2087438a9abcf791818c9702,PAWPAW/PAPAYA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,6,,None,NO,,,,,,,,,,1,,
101011060131,d18ae2ef2087438a9abcf791818c9702,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,6,,None,NO,,,,,,,,,,1,,
101011060131,d18ae2ef2087438a9abcf791818c9702,GUAVA,NO,,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,6,,None,NO,,,,,,,,,,1,,
101011060135,dd415f871ee34dfeb480dad92255e98a,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,OX-CART,,NOT APPLICABLE,20,5,,,NO,,,,,,,,,,6,,
101011060135,dd415f871ee34dfeb480dad92255e98a,BANANA,YES,3,BUNCH,,NOT APPLICABLE,1000,1,3,1,2,APRIL,2018,3,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,NOT APPLICABLE,10,5,1,,NO,,,,,,,,,,1,6,
101011060135,dd415f871ee34dfeb480dad92255e98a,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,PIECE,,NOT APPLICABLE,10,1,5,,NO,,,,,,,,,,1,6,
101011060155,08241cf6339d4495ab3fe62a061e88cb,BANANA,YES,6,BUNCH,,NOT APPLICABLE,4200,4,.a,1,2,MARCH,2019,2,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,1,,
101011060160,ae96ba8e42a5403dbb40fe782da5d270,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,25,PIECE,,NOT APPLICABLE,25,5,,,NO,,,,,,,,,,6,,
101011060195,2b77b25460f042ddb1ca43f9b807c108,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,PIECE,,NOT APPLICABLE,10,5,,,NO,,,,,,,,,,1,,
101011060195,2b77b25460f042ddb1ca43f9b807c108,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,6,BUNCH,,NOT APPLICABLE,0,,,,10,1,,,NO,,,,,,,,,,1,,
101011060207,a483b4442e32483997ae2135c48e35dd,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,50 KG BAG,,NOT APPLICABLE,.a,1,,,NO,,,,,,,,,,6,,
101011060207,a483b4442e32483997ae2135c48e35dd,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,6,,
101021070064,5aaeba40e64e4787bfba0a6d1b412ad2,MANGO,NO,,,,,,,,,,,,,,,,4,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,,1,,,NO,,,,,,,,,,1,6,
101021070101,432cad66f8324c5286fda05bedb1eb7e,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,50,5,,,NO,,,,,,,,,,1,,
101021070127,889214c3f2874c738f2113dfaa624c35,MANGO,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021070157,e7c0c392b4de4ba58b5f0fe5d724718c,MANGO,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021070182,cbedb68833024df59583648863d783c4,MANGO,NO,,,,,,,,,,,,,,,,5,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,0,,,,0,,,,0,,,,2,50 KG BAG,,NOT APPLICABLE,,1,,,NO,,,,,,,,,,1,6,
101021080047,587a6543a0694576907752ff50581ef9,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,20,5,,,NO,,,,,,,,,,1,,
101021080060,8cb9356dc8dc4c22993ac50bb3c303fb,AVOCADO,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021080118,6bb3568e835a47fca0ef069682e6d3a8,MANGO,NO,,,,,,,,,,,,,,,,2,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101021080200,b9035fed06b5444885c8de9d8cf7f11b,MANGO,NO,,,,,,,,,,,,,,,,3,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,6,
101021100019,1746088bd11c43c08de90a18f4d4da6e,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,10,5,,,NO,,,,,,,,,,6,,
101021100019,1746088bd11c43c08de90a18f4d4da6e,ORANGE,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,10,5,,,NO,,,,,,,,,,6,,
101021100041,e9d8bb2881b14b9da28cd828e765cd28,BANANA,YES,10,BUNCH,,NOT APPLICABLE,8000,2,.a,2,.a,APRIL,2019,4,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,.a,,,,NO,,,,,,,,,,1,,
101021100051,dc73e31b05fb4af0b5f5c9edddd4949b,MANGO,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021100140,3d142efa44934a5581a3ea2c176c076b,MANGO,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021100140,3d142efa44934a5581a3ea2c176c076b,BANANA,NO,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101021100225,e4459df45e5d40a89d2eb3f73c57e952,MANGO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,10,5,,,NO,,,,,,,,,,6,,
101021100225,e4459df45e5d40a89d2eb3f73c57e952,ORANGE,YES,2,OTHER (SPECIFY),dengu,NOT APPLICABLE,2000,2,.a,1,2,AUGUST,2018,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,5,5,,,NO,,,,,,,,,,1,,
101021100225,e4459df45e5d40a89d2eb3f73c57e952,BANANA,YES,15,BUNCH,,NOT APPLICABLE,22500,2,.a,1,2,MARCH,2018,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,5,,,NO,,,,,,,,,,6,,
101021100225,e4459df45e5d40a89d2eb3f73c57e952,GUAVA,YES,2,OTHER (SPECIFY),dengu,NOT APPLICABLE,3000,2,.a,1,2,JULY,2018,0,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,5,,,NO,,,,,,,,,,1,,
101031110017,6f7bf3592c874669b6d2e21c4a4893fc,COFFEE,YES,50,KILOGRAM,,NOT APPLICABLE,42000,2,.a,1,.a,SEPTEMBER,2019,2,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,2,1,
101031110017,6f7bf3592c874669b6d2e21c4a4893fc,BANANA,YES,1,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,30000,2,.a,1,.a,OCTOBER,2019,2,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101031110039,6ef606cddea04363ad03b030a4094c25,COFFEE,YES,2,50 KG BAG,,S: SHELLED,120000,1,.a,1,.a,JUNE,2019,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,2,KILOGRAM,,S: SHELLED,,2,,,NO,,,,,,,,,,2,,
101031110039,6ef606cddea04363ad03b030a4094c25,BANANA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,6,BUNCH,,U: UNSHELLED,,3,,,NO,,,,,,,,,,1,,
101031110086,5689e450ac1343e98bb98fe307fe71dc,BANANA,YES,15,OTHER (SPECIFY),Clusters,NOT APPLICABLE,7500,4,.a,1,2,NOVEMBER,2019,3,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,6,,
101031110086,5689e450ac1343e98bb98fe307fe71dc,AVOCADO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,6,,
101031110095,0572c8f905c74c09a08b1ac75a63b75e,COFFEE,YES,10,PAIL (LARGE),,S: SHELLED,150000,2,.a,1,.a,SEPTEMBER,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,1,,,NO,,,,,,,,,,2,,
101031110095,0572c8f905c74c09a08b1ac75a63b75e,BANANA,YES,25,BUNCH,,U: UNSHELLED,62500,3,.a,1,2,SEPTEMBER,2019,25,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,U: UNSHELLED,,3,,,NO,,,,,,,,,,1,,
101031110104,969c3753cf824281b8fb9c9c740f3180,BANANA,YES,20,BUNCH,,NOT APPLICABLE,50000,5,.a,1,.a,JUNE,2019,6,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,1,,
101031110104,969c3753cf824281b8fb9c9c740f3180,PINEAPPLE,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,1,,
101031110113,ab22d2d88d25477097c3c0caf31e5c93,COFFEE,YES,3,50 KG BAG,,NOT APPLICABLE,152000,3,.a,1,2,SEPTEMBER,2019,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,,,NO,,,,,,,,,,2,1,
101031110113,ab22d2d88d25477097c3c0caf31e5c93,BANANA,YES,3,50 KG BAG,,NOT APPLICABLE,6000,2,.a,1,2,JANUARY,2019,2,On Foot,,0,3,BUNCH,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101031110123,107ff779be52420e9e1df56825fe4740,COFFEE,YES,4,PAIL (LARGE),,S: SHELLED,60000,3,.a,2,.a,SEPTEMBER,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,2,KILOGRAM,,S: SHELLED,,1,,,NO,,,,,,,,,,2,,
101031110123,107ff779be52420e9e1df56825fe4740,BANANA,YES,100,BUNCH,,U: UNSHELLED,150000,3,.a,2,.a,OCTOBER,2019,16,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,U: UNSHELLED,,3,,,NO,,,,,,,,,,1,,
101031110132,9dfba777c9f34b6896fe502557c9d300,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101031110132,9dfba777c9f34b6896fe502557c9d300,BANANA,YES,10,BUNCH,,NOT APPLICABLE,15000,3,.a,1,2,NOVEMBER,2019,3,Buyer picked up the crop,,0,2,BUNCH,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,2,
101031110159,d0cd0f5c2eae4d56aa88864b85a1652f,COFFEE,YES,1,PAIL (SMALL),,NOT APPLICABLE,10000,3,.a,1,2,SEPTEMBER,2019,10,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,10,2,,,NO,,,,,,,,,,2,,
101031110159,d0cd0f5c2eae4d56aa88864b85a1652f,BANANA,YES,40,OTHER (SPECIFY),CLUSTERS,NOT APPLICABLE,40000,3,.a,1,2,AUGUST,2019,6,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,6,1,
101031110159,d0cd0f5c2eae4d56aa88864b85a1652f,AVOCADO,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,10,1,,,NO,,,,,,,,,,1,,
101031110168,504c675b07b641c6a5565e53b2121e71,BANANA,YES,80,BUNCH,,NOT APPLICABLE,80000,4,.a,1,2,JANUARY,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,3,BUNCH,,NOT APPLICABLE,,5,,,NO,,,,,,,,,,6,,
101031110177,da328b5673be4b4385357b76eea89726,COFFEE,YES,3,PAIL (LARGE),,S: SHELLED,30000,2,.a,1,2,JANUARY,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,1,KILOGRAM,,U: UNSHELLED,,1,,,NO,,,,,,,,,,3,,
101031110177,da328b5673be4b4385357b76eea89726,BANANA,YES,40,BUNCH,,NOT APPLICABLE,40000,2,.a,1,2,MARCH,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,1,BUNCH,,NOT APPLICABLE,,1,,,NO,,,,,,,,,,6,,
101031110186,fc96e43238ae4ada98078d3e7b0bb317,COFFEE,YES,2,50 KG BAG,,S: SHELLED,75000,2,.a,1,.a,SEPTEMBER,2019,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,8,KILOGRAM,,S: SHELLED,,1,,,NO,,,,,,,,,,2,,
101031110186,fc96e43238ae4ada98078d3e7b0bb317,BANANA,YES,70,BUNCH,,U: UNSHELLED,84000,2,.a,1,.a,JULY,2019,24,On Foot,,0,0,,,,0,,,,0,,,,0,,,,4,BUNCH,,U: UNSHELLED,,3,,,NO,,,,,,,,,,1,,
101031110196,cbb2283e752d4978ad0512417e05e861,CASSAVA,NO,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,,,NO,,,,,,,,,,1,,
101031110196,cbb2283e752d4978ad0512417e05e861,COFFEE,YES,100,KILOGRAM,,NOT APPLICABLE,50000,3,.a,1,2,JULY,2019,5,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,,,NO,,,,,,,,,,2,1,
