ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27,com_cf28
10305156,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,13,KM,NO,,0,0,NO,NO,NO,NO,6,ACRE,1,ACRE,18,HECTARE,0,0,0,0,210,10,NO
10306157,YES,1ST HALF DEC,1ST HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,.5,ACRE,2,ACRE,0,20,0,0,0,200,YES
10306158,YES,1ST HALF DEC,2ND HALF MAR,<=1/4,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),YES,,,YES,150,1,1,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,0,0,0,0,0,0,YES
10307159,YES,2ND HALF DEC,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,15,KM,NO,,0,0,NO,NO,NO,NO,1.5,ACRE,1,ACRE,4,ACRE,10,0,0,0,0,50,NO
10308160,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,YES,YES,YES,5,ACRE,1,ACRE,10,ACRE,0,0,0,0,0,35,YES
10309161,YES,2ND HALF DEC,2ND HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,8,ACRE,5,ACRE,20,ACRE,0,0,0,0,0,300,NO
10309162,YES,1ST HALF DEC,2ND HALF APR,NONE,.a,NO,20,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,4,ACRE,0,0,0,0,0,0,NO
10310163,YES,2ND HALF DEC,2ND HALF JUN,NONE,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),NO,20,KM,NO,,0,0,NO,YES,YES,YES,2,ACRE,1.5,ACRE,5,ACRE,0,0,0,0,0,50,YES
10312164,YES,1ST HALF DEC,1ST HALF MAY,NONE,.a,NO,20,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,2,ACRE,0,0,0,0,0,0,NO
10312165,YES,1ST HALF NOV,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,.5,ACRE,25,SQ METER,3,ACRE,0,0,0,300,1,5,YES
10312166,YES,2ND HALF NOV,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,7,ACRE,0,0,0,0,0,0,NO
10312167,YES,1ST HALF NOV,1ST HALF MAR,NONE,"ANIMALS GRAZE FREELY, BUT FARMERS MAY FENCE",NO,10,KM,NO,,0,0,NO,YES,YES,YES,2,ACRE,1,ACRE,10,HECTARE,0,0,0,0,0,5,NO
10320168,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401169,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,2,HECTARE,3,0,0,0,2,100,NO
10401170,YES,1ST HALF DEC,2ND HALF MAY,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,NO,,0,0,NO,YES,YES,NO,2,ACRE,.5,ACRE,20,ACRE,8,0,0,0,30,190,NO
10401171,YES,2ND HALF NOV,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,15,KM,NO,,0,0,NO,YES,NO,YES,3,ACRE,1,ACRE,12,ACRE,10,0,0,0,0,190,NO
10401172,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,NO,,0,0,NO,YES,YES,YES,2,HECTARE,.5,ACRE,4,HECTARE,42,4,0,0,6,6,NO
10401173,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,YES,15,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,0,0,0,0,320,340,NO
10401174,YES,2ND HALF DEC,2ND HALF MAY,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,0,0,NO,NO,NO,NO,.25,ACRE,.25,ACRE,1,ACRE,0,0,0,0,0,15,NO
10403175,YES,2ND HALF DEC,2ND HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,YES,15,0,0,YES,NO,NO,NO,5,ACRE,.5,ACRE,10,HECTARE,15,1,0,0,0,200,NO
10403176,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,4,ACRE,10,0,0,0,7,50,NO
10403177,YES,2ND HALF DEC,2ND HALF MAY,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,2,2,NO,YES,YES,YES,2,ACRE,.5,ACRE,50,ACRE,0,0,0,0,0,150,NO
10404178,YES,1ST HALF DEC,2ND HALF APR,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,0,0,NO,NO,NO,NO,.5,ACRE,.25,ACRE,2,ACRE,0,0,50,0,0,0,NO
10404179,YES,2ND HALF DEC,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,YES,50,1,0,NO,NO,NO,NO,2,ACRE,.75,ACRE,2,HECTARE,5,0,0,0,0,150,YES
10405180,YES,1ST HALF DEC,2ND HALF JUN,<=3/4,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),NO,8,KM,NO,,0,0,NO,NO,.a,NO,2,ACRE,.5,ACRE,3,ACRE,0,0,15,0,0,120,NO
10405181,YES,1ST HALF DEC,2ND HALF JUN,<=1/4,ANIMALS ONLY GRAZE ON OWNER'S FIELDS (NO OPEN GRAZING),NO,4,KM,YES,15,1,2,NO,NO,NO,NO,2.5,ACRE,1,ACRE,5,ACRE,9,0,0,0,0,130,NO
10407182,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,YES,15,1,3,NO,NO,NO,NO,1,ACRE,.25,ACRE,5,ACRE,5,0,1,0,10,6,NO
10407183,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,11,KM,NO,,0,1,NO,NO,NO,NO,5,ACRE,3,ACRE,12,ACRE,10,70,200,0,400,900,NO
10407184,YES,2ND HALF DEC,1ST HALF JUN,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,3,HECTARE,3,ACRE,7,HECTARE,0,5,160,160,170,180,NO
10408185,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,2,ACRE,.5,ACRE,5,ACRE,2,0,0,0,10,600,YES
10409186,YES,1ST HALF DEC,1ST HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,11,KM,NO,,0,0,NO,NO,NO,NO,5,ACRE,2,ACRE,10,ACRE,0,0,0,0,0,140,YES
10410187,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,1,ACRE,.5,ACRE,3,ACRE,0,0,0,0,0,170,YES
10420188,YES,2ND HALF DEC,1ST HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,1,KM,NO,,0,0,NO,NO,NO,NO,.2,ACRE,.2,ACRE,1,ACRE,0,0,0,0,0,20,NO
10420189,YES,1ST HALF DEC,2ND HALF MAY,ALL,"ANIMALSGRAZEFREELY, NO FENCING",NO,2,KM,NO,,0,0,NO,YES,NO,NO,.25,ACRE,100,SQ METER,4000,SQ METER,0,0,0,0,1,150,NO
10501190,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,15,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,2,ACRE,4,ACRE,0,0,0,0,0,0,NO
10501191,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,0,5,0,0,3,0,NO
10501192,YES,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,4,ACRE,0,0,0,0,0,0,NO
10502193,YES,2ND HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,4,ACRE,100,0,0,0,0,0,YES
10502194,YES,2ND HALF DEC,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,20,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1.5,ACRE,45,ACRE,0,0,0,0,1,0,NO
10502195,YES,2ND HALF NOV,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,1,KM,NO,,0,0,NO,NO,NO,YES,3,ACRE,1.5,ACRE,10,ACRE,0,0,0,0,25,0,YES
10502196,YES,1ST HALF DEC,2ND HALF JUN,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",NO,25,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,2,ACRE,7,ACRE,0,0,0,0,0,0,YES
10502197,YES,1ST HALF DEC,2ND HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,1,KM,NO,,6,5,NO,NO,NO,NO,1,ACRE,1,ACRE,10,ACRE,0,0,0,0,0,0,NO
10504198,YES,2ND HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,7,KM,YES,105,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,0,0,0,0,150,0,NO
10505199,YES,2ND HALF NOV,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,5,ACRE,2,ACRE,10,ACRE,0,0,0,0,0,0,NO
10505200,YES,2ND HALF NOV,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,14,KM,NO,,1,1,NO,NO,NO,NO,2,ACRE,2,ACRE,4,ACRE,0,0,0,0,0,0,YES
10505201,YES,1ST HALF NOV,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,1,ACRE,8,ACRE,0,0,0,0,0,0,NO
10506202,YES,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,17,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,4,ACRE,0,10,0,0,0,0,YES
10506203,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,2,2,NO,NO,NO,NO,3,ACRE,2,ACRE,5,ACRE,0,0,0,0,0,0,NO
10506204,YES,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,18,KM,NO,,0,0,NO,NO,NO,NO,1.5,ACRE,.5,ACRE,4,ACRE,0,0,0,0,0,0,NO
10507205,YES,2ND HALF NOV,1ST HALF JUN,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,3,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,0,0,0,0,5,0,YES
10508206,YES,2ND HALF DEC,2ND HALF JUN,NONE,"ANIMALSGRAZEFREELY, NO FENCING",YES,,,NO,,4,4,NO,NO,NO,NO,2,ACRE,1,ACRE,4,ACRE,0,0,0,0,13,200,YES
10508207,YES,2ND HALF NOV,2ND HALF APR,<=3/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,87,KM,NO,,0,0,NO,YES,YES,YES,2,ACRE,1,ACRE,5,ACRE,0,0,0,0,0,0,NO
10509208,YES,1ST HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,6,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,3,ACRE,0,0,0,0,0,0,NO
10510209,YES,1ST HALF DEC,2ND HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",NO,15,KM,NO,,0,0,YES,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,0,30,0,0,50,15,YES
10601211,YES,1ST HALF JAN,2ND HALF MAR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,60,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,.5,ACRE,3,ACRE,0,0,0,0,0,10,NO
10601212,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMALSGRAZEFREELY, NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,.25,ACRE,10,ACRE,0,0,5,0,1,0,NO
10731213,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732214,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733215,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
