case_id,HHID,gardenid,ag_i202,ag_i203_1a,ag_i203_1b,ag_i203_2,ag_i204_9,ag_i205,ag_i206,ag_i208a,ag_i208a_oth,ag_i208b,ag_i208c,ag_i208c_oth,ag_i208d,ag_i209a,ag_i209b,ag_i212,ag_i212_oth,ag_i213a,ag_i213b,ag_i213_1a,ag_i213_1b,ag_i214,ag_i214_oth,ag_i216a,ag_i216a_oth,ag_i216b,ag_i216c,ag_i216c_oth,ag_i216d,ag_i217a,ag_i217b,ag_i_2_20,ag_i_2_20Oth
307106340185,019472c1810248beba0945f052993af5,DG03,1,3,,1961,NO,100000,4000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
311057190007,01a818ecd6ad427d97d9439342d6c6c9,DG02,1,,,,,,,,,,,,,2000,0,Full Year (Rainy &amp; Dimba Seasons),,1,.a,1,.a,Cultivated,,,,,,,,,,,
206033560060,01b3ce70d0f645fbb9fc54e4e8c656a4,DG04,1,,,2002,NO,400000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
309066830105,01bc84c07fd948e8bc4f1f6e3ea83def,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103101630172,01e454ab9e88479db27bfce7d848392e,DG04,2,1,,2004,NO,500000,40000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
307086300102,020871d760c749caaccc159ab8a5259d,DG03,2,1,,2001,NO,75000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
102051420275,02426348aa3647b58d35cf69bb354532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308016440192,02552be8825147f7a1b482a33462585f,DG05,2,1,,1972,NO,300000,30000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
202022670024,02587b0906ef4737b1d5c9e1c10d4940,DG02,1,,,,,,,,,,,,,,,,,1,.a,1,2,Cultivated,,,,,,,,,,,
208014110022,02a7ecde52b348b6be1efc6c4d2c1064,DG03,2,1,,1997,NO,100000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
202022670046,02c2ce6ec4574fba891a5ccb9f9667fc,DG04,2,1,,2007,NO,40000,3500,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
206063650119,02e559e13d5644a3874d52c9027c7d60,DG01,1,,,,,,,,,,,,,,,,,1,.a,1,.a,Cultivated,,,,,,,,,,,
308036510107,0326678d98ee4cc1898a272d53c5ffaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201232570122,03633e60f3c94c93a9875bc065d5a43e,DG02,1,,,2000,NO,200000,10000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
207013870189,038c3a60a6ab4613bd8b95f4c5688be3,DG04,1,1,,1989,NO,70000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
209034340048,03c4a40a7abc42d28dacb8e44bdf3a2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304035630102,03e1ccae17f3465fba5413877960c310,DG04,2,1,,2000,NO,50000,3000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
205053360136,03eddf867dc44d299b0b3a0744548b4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303025330307,03f67f44b04748d9be2effc33a5e4281,DG05,1,1,,2003,NO,30000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
103081600041,043f678ac5794a6f8f92497fd2f81cbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102021290184,047652cfcb5f47bdb610528f61dd70d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311087260016,0477f64669ab49d48cc78e92294b82bb,DG04,2,,,,,,,,,,,,,10000,0,Full Year (Rainy &amp; Dimba Seasons),,1,.a,1,2,Cultivated,,,,,,,,,,,
311087260016,0477f64669ab49d48cc78e92294b82bb,DG03,2,,,2015,NO,140000,20000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
308056550053,04a8e8f755dd47f0bd7a1b6d589a8212,DG04,1,,,,,,,,,,,,,7000,0,Other (Specify),DIMBA SEASON,3,.a,1,.a,Cultivated,,,,,,,,,,,
203042940073,04b78611951d4b26b1eb3aa949e28921,DG05,2,,,,,,,,,,,,,10000,0,Other (Specify),DIMBA SEASON,1,.a,1,2,Cultivated,,,,,,,,,,,
103031530008,04b81da74661404991cbe3a13fce2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201152490118,04c2601217eb4d00a9d280cf3172fa15,DG03,1,,,,NO,130000,20000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
309056790165,04c3bda4cc394019ad34aba3fad90602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206123740080,04c51e48461447d3856c8347ce07e0ae,DG04,2,,,,,,,,,,,,,2500,0,Other (Specify),DIMBA SEASON,1,.a,1,2,Cultivated,,,,,,,,,,,
307056240147,04d3645961f94db78bf7e65245832b1f,DG03,1,1,,1968,NO,60000,5000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
311057190104,05155a5f72944b468dd8dd4eaf6921ea,DG02,2,,,2000,NO,120000,2000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
313017560030,05228a9c87024b9c8d6e1529de80483f,DG04,1,1,,2010,NO,500000,20000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
209094430247,0525788e042c46fdb271874620eccec1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314397920058,05394f69bcc5474bb516c8dd75948782,DG03,2,2,,2015,NO,40000,10000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
202062740428,05663c5cc5c44c769182e787c00935a0,DG02,1,,,2019,NO,20000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
208014100136,057ec8b29d774e57a569a70ff0de2b3c,DG05,2,3,,2005,NO,70000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207033920033,05c034395da644bba56a387508afb6c0,DG04,1,1,,2007,NO,500000,5000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
103121660007,063e73be877e44fda283b36cafeafa51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305025800369,0693c353de3d47fb971f1338bb3d6732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202022670033,072890034f9e44c5882281bcb9f92061,DG03,1,1,,,NO,20000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
209034320098,0747c723328a42648af3875aebe1fe91,DG04,1,,,,,,,,,,,,,,,,,2,.a,2,.a,Cultivated,,,,,,,,,,,
307106350065,07575c211add42af80ac0d4d0c484da2,DG03,1,,,,,,,,,,,,,,,,,1,.a,1,.a,Cultivated,,,,,,,,,,,
304065690028,0769845cecee40f3a9547612f61d743d,DG05,2,2,,2004,NO,100000,8000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
105021930145,0769d598816c45129d257a8e03f67341,DG04,2,2,,1999,NO,500000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
203042940031,0786ae92975546a6ba9badc418921d8f,DG03,1,,,2000,NO,200000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
205043340038,07a6deac46fa429d89c06281f16239de,DG04,1,5,,,NO,500000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
209054370034,07eb45113d6f4988b5516ebff9135430,DG03,2,4,,,NO,50000,2500,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
313047720006,080260e598714d738bbdfc2d7bf6999a,DG02,2,2,,,NO,200000,10000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
310077030223,082f69688bb149468dfcff796737ec67,DG02,1,1,,1989,NO,1000000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
305065890002,0848c4c99c3343bdac59008b13f32d3f,DG04,2,1,,2010,NO,100000,7000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
305065890002,0848c4c99c3343bdac59008b13f32d3f,DG05,2,1,,1999,NO,20000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
206113730154,086823655bdb4f489d61a5f37999faa8,DG02,1,1,,2000,NO,50000,18000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Pasture,,,,,,,,,,,
208064210128,0878bcb54e6343f0a6f9ae8f0fab267f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308016420237,088d410f45a64abf855426ac81295634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201262590039,0897ae6d3a1d4680b4c23f9f8ed58720,DG03,1,1,,2018,NO,20000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
204053170089,08b4c4bedff74bf1a2312541790ce519,DG03,1,,,,,,,,,,,,,8000,0,Other (Specify),DIMBA SEASON,1,.a,1,2,Cultivated,,,,,,,,,,,
101051150144,08b6ccd13747443d97de31a8a5f6081b,DG05,2,3,,2018,NO,50000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207074010087,08b8e062f82a400596a53d1bf3c72bf7,DG04,1,1,,2018,NO,80000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
301085010310,08ba1b03e7cd4f86b527123d1bb8029b,DG03,1,,,,NO,50000,7500,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
103091610232,08cded0c57634f9d9133e3875e376a14,DG03,1,,,1965,NO,500000,20000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
309016660129,092ca3c7fc2a45918bd0f6440b0bcc3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309016700209,093a5c075971485fb1c2bb3b2471204c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306026090041,0959bfccd6004346b30a37e54b677e3f,DG05,2,4,,1960,NO,50000,3500,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
306026090041,0959bfccd6004346b30a37e54b677e3f,DG04,2,4,,1960,NO,50000,3500,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
105011920055,095deaefa57a47b4acb3af049109b164,DG03,1,1,,2014,NO,500000,30000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
313037670027,096d5886d687403a9acb420222fedd59,DG02,1,,,,,,,,,,,,,13000,0,Other (Specify),DIMBA SEASON,1,.a,1,.a,Cultivated,,,,,,,,,,,
209054380023,09934a6ca7b94a41b9ed3221619448d0,DG03,2,2,,1979,NO,100000,5000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
208024120193,09a22dec603f4d6abeb9c68f691646dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310016870032,09cf64eaec6b4fecaee3848c8c4c7747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201212530022,0a1d555cf6dc45bebe344d76bc20aad0,DG05,2,1,,2015,NO,200000,10000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
103011500126,0a23b003760147baaccedc159029c952,DG04,1,1,,1995,NO,150000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
105062040029,0a2a18d1bfa24cbd98ecf2d46d421097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206093710122,0a3d65075de74b169b5545861e5b9b9f,DG04,1,1,,2018,YES,100000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
306016010141,0a83b616558a4bee95a64fc6b460aa08,DG04,1,,,1971,NO,2500000,150000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207023890082,0aac152c806a42838dda9846113bce0a,DG05,1,3,,1990,NO,80000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
307106330041,0aae960acacb4b2f9f41e5716719bd17,DG04,1,,,2016,NO,60000,7000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
105011920110,0ab29c89d6e34618bf1fdbd6e878e40a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307056230106,0ab71f4fea3e48d0afeee55095edf768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303015310005,0ac3de0b6710422c9f075e3480263778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105072050099,0ae45a200e2c41b89620fc59576e95bd,DG05,2,2,,1999,NO,100000,12000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
302115240167,0ae84ab6527e4f029d24e995a7d3b88a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303095500225,0b35ded41eb44863aff564b78b568d70,DG03,1,,,,,,,,,,,,,6500,0,Other (Specify),DIMBA SEASON,2,.a,1,.a,Cultivated,,,,,,,,,,,
204063220116,0b79cc2db7f14e3ca24e7a670859a297,DG04,1,,,,,,,IRISH [MALAWI] POTATO,,0,,,,6500,0,Other (Specify),DIMBA SEASON,3,.a,1,2,Cultivated,,,,,,,,,,,
207063980139,0b87df450bf24f7e861b301fd8d95437,DG04,1,1,,2010,NO,50000,20000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
310067020044,0bb6dbcb58714649bbcdb7caa5860ef8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106012120081,0bf40235b9c144faaab974ee944a4bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207013850043,0c089d64dfd34728ad159dce2f75b3c2,DG04,2,1,,2014,NO,300000,15000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
204063210172,0c19d7a80bb1410ab1f2a22b4bab1f53,DG03,1,1,,2014,NO,100000,3000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
306015990079,0c1d7c971dcf4ed6bf5180b705a81b25,DG02,1,2,,1982,NO,100000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
107382240143,0c31ca355fbd4aad90dcc696cb3eb464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209034320113,0c37f2420c5d405da6a1d5b309afd016,DG04,1,1,,,NO,300000,15000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
205013280170,0c52f7759e404e549ff3f0b7dd31eb95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306026060090,0c55b3c16ea9496d99924ca6a4b55936,DG06,1,,,,NO,100000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
206023550022,0c617b5c2a024d408bb2dc2bbbcc5cf2,DG05,1,4,,2001,NO,100000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
307136390094,0c62abf8790c4b5ca4f9086fdab82605,DG03,1,,,,,,,,,,,,,6000,0,Full Year (Rainy &amp; Dimba Seasons),,1,.a,1,2,Cultivated,,,,,,,,,,,
303075460272,0c73acd496e243f8b904883f7ee6fb7a,DG08,2,,,1976,NO,500000,50000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
201022380005,0c7c5df1e3914e369d9e517d2c14f16f,DG03,1,1,,1995,NO,50000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
306026100352,0c8eb3125e1f44d29eba87139f03987c,DG04,1,,,,,,,,,,,,,,,,,1,.a,1,.a,Cultivated,,,,,,,,,,,
103011500032,0c9010d336a84aed8b25481f02813456,DG03,1,1,,2000,NO,20000,2000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
307136390264,0cabeb4b339a4e039a5f087b35fbb921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313047720209,0cb786f172a54352b92c1a24efaa2d65,DG04,1,1,,2004,NO,150000,3000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
103011500069,0cb8be211ca54be58d9c65d0f0dec89b,DG03,1,1,,2013,NO,150000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
304025590331,0cd47fdc6aa348e898e89e031a335949,DG05,1,2,,2015,NO,200000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
311057170260,0cd4cbcb530643d49bad6e6f235c31f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207074020407,0cda97ae64be439ea2c64d5dd415b75e,DG02,1,2,,2015,NO,1000000,25000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
303065410031,0ce6f40dc50e44b6a5fdd562f3063b24,DG04,1,1,,1998,NO,1500000,10000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
107372190359,0cf708c56cd9431596cb104d9f2020af,DG03,5,2,,2006,YES,1000000,40000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
208014110053,0d045c890e254a438c7df02180010951,DG03,2,1,,2016,NO,50000,10000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
102051420270,0d1de823e18949a9870e6b11b1d0c1d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105062040008,0d9ebb7a840048b5a9389f9ce30b1f01,DG04,1,2,,1985,NO,85000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207043940090,0dc9e6af945e4d618710ffa3bbc215d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203032900272,0dcff582d76f4992b11946955dd21876,DG03,1,1,,2014,NO,500000,50000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207043950436,0ddce627c4124785830efd38e43c4732,DG05,1,1,,1980,NO,150000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
202052730171,0e4c2a5d51c44338bae94336cbffcccb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103011480103,0ebdbf4a265342ceaa912c04c76a41d2,DG03,1,,,2017,NO,400000,6000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
315498120068,0edeb0cf744145e799add55935fff8b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304025580200,0ee0db73ddf54212954838b68a5a456b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301085010161,0f710b7521fe457cb25a21f1c6ba7b43,DG03,1,,,2013,NO,50000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
308026480230,0f87f99edbb44faaa8a59881a429f14a,DG02,2,1,,2018,NO,30000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
206083690018,0f8e299d58e04cd28b7cb04cc9eb8439,DG04,1,,,2006,NO,100000,15000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
206043590414,0fdd63f191834c26bd771c907b57b5f1,DG03,1,1,,2013,NO,150000,3000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
310036970001,0ff4390cee0d441ebed8e5c0b0a588c1,DG04,1,,,,,,,,,,,,,5000,0,Full Year (Rainy &amp; Dimba Seasons),,2,.a,1,2,Cultivated,,,,,,,,,,,
309056780109,104f4d171fb949038a361b189d6ac9ca,DG02,1,,,,,,,,,,,,,5000,0,Other (Specify),DIMBA SEASON,1,.a,1,.a,Cultivated,,,,,,,,,,,
208014110092,108b8b7af07e4da28577ec59d83390f5,DG03,1,7,,1955,NO,100000,9000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
209084420131,10a837f8d216465ea24e4ddeff63c6e6,DG03,2,1,,,NO,10000,15000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
201152490259,10a9298dcf01457db3e2127460f94f8f,DG03,2,1,,2004,YES,15000,30000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
201022380029,10aa5007fb3e4e8aae91f2b592103d7a,DG03,2,1,,1989,NO,350000,50000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
309016700024,10dfbbee884f4682926f527cbe10272d,DG05,2,4,,,NO,400000,100000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
306015990066,1161e0d44cd649df9f5675e9a075035d,DG03,1,3,,1993,NO,50000,12000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207043950094,11ac62bde65349a3a3aeadb80976c4ec,DG04,1,1,,2017,NO,50000,5000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
101031120176,122cc2640c494d16a7f68e81b72a350a,DG04,2,,,2010,NO,120000,15000,,,,,,,,,Rainy Season,,,,,,Cultivated,,,,,,,,,,,
304065690185,12304e2bbf7b413bbb5544039ae154c7,DG03,1,,,,,,,,,,,,,,,,,1,.a,1,.a,Cultivated,,,,,,,,,,,
207023890348,125ac80c02544255b086f8eb23c84039,DG03,2,1,,2013,NO,80000,8000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
208034160194,1273e46aa3fc432899c26ee6db6d8d9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314327780139,1287284eca784faabdff41435f7eaba6,DG07,2,10,,1965,NO,20000,5000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
305035820155,128d130372224a3f8d64fa9c706d86b1,DG03,1,1,,2018,NO,80000,7000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
207053970127,128d2a61fca04d5c8f5d89d4298d5907,DG03,1,1,,,NO,30000,10000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
309026730078,12c8afcf2e594d3dafe059d89dc0bc0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206123750040,12e1c5f95ee3458d8b1bfae1f30c0a12,DG03,1,1,,,NO,100000,20000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
303075460225,131503e8089b4ff8877d86c22f9794d6,DG05,2,2,,2002,NO,150000,15000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
307136390128,138e81a6d40948a1b65f8c06b06a5a76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312087500046,1395942e0b5645a69ae96a56a92d68c4,DG03,2,,,1971,NO,65000,4000,,,,,,,,,Full Year (Rainy &amp; Dimba Seasons),,,,,,Cultivated,,,,,,,,,,,
208064230013,13ba5162580345f58a5dcafb3090f68b,DG03,1,,,,,,,,,,,,,12000,0,Other (Specify),DIMBA SEASON,2,.a,1,2,Cultivated,,,,,,,,,,,
104041790111,141ad11a17784f0ebf9cb5032395035f,DG05,1,,,1999,NO,500000,4000,,,,,,,,,Other (Specify),DIMBA SEASON,,,,,Cultivated,,,,,,,,,,,
