case_id,HHID,Id,ag_nr02,ag_nr02_oth,ag_nr03
101011020257,07a1ce1defcd4f21af47a3805d722165,4,LOCAL MARKET,,IN/NEAR THE TOWN
101011020260,70bcaaf9541f4e3a9c10a2fe53283260,1,FRIEND/NEIGHBOR,,IN/NEAR THE TOWN
101011020260,70bcaaf9541f4e3a9c10a2fe53283260,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011020269,8f9f50600e604b7197cf0da40e63657c,1,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020269,8f9f50600e604b7197cf0da40e63657c,2,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020269,8f9f50600e604b7197cf0da40e63657c,3,MAIN MARKET,,IN/NEAR THE TOWN
101011020269,8f9f50600e604b7197cf0da40e63657c,4,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,1,RELATIVE,,OUTSIDE THE DISTRICT
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,3,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,4,MAIN MARKET,,WITHIN THE VILLAGE
101011020318,ec0f6602b8fc4f53aa33b3e00aa235e5,1,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020318,ec0f6602b8fc4f53aa33b3e00aa235e5,2,MAIN MARKET,,IN/NEAR THE TOWN
101011020324,67bfde3922d6419e9c103caef4e8c418,1,FRIEND/NEIGHBOR,,OUTSIDE THE DISTRICT
101011020324,67bfde3922d6419e9c103caef4e8c418,2,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011020369,085341e9d8014d7d8bb1b566a646bf57,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011020369,085341e9d8014d7d8bb1b566a646bf57,2,MOBILE MARKET,,WITHIN THE VILLAGE
101011020369,085341e9d8014d7d8bb1b566a646bf57,3,DISTRICT VETERINARY,,IN/NEAR THE DISTRICT/URBAN CENTER
101011030005,cf9c2bfc06304fa79c8f46abb78c4cee,1,RELATIVE,,NEAR THE VILLAGE
101011030012,65816a6fa1ab4fac876e795bcef13671,1,RELATIVE,,DEAD
101011030012,65816a6fa1ab4fac876e795bcef13671,2,RELATIVE,,WITHIN THE VILLAGE
101011030012,65816a6fa1ab4fac876e795bcef13671,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011030012,65816a6fa1ab4fac876e795bcef13671,4,LOCAL MARKET,,WITHIN THE VILLAGE
101011030019,dc51f83e4ce7480499f9434c8ecbb106,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011030019,dc51f83e4ce7480499f9434c8ecbb106,2,RELATIVE,,WITHIN THE VILLAGE
101011030019,dc51f83e4ce7480499f9434c8ecbb106,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030026,65627b32b1624e04b6ea581400f5c9d6,1,RELATIVE,,WITHIN THE VILLAGE
101011030026,65627b32b1624e04b6ea581400f5c9d6,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030026,65627b32b1624e04b6ea581400f5c9d6,3,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011030026,65627b32b1624e04b6ea581400f5c9d6,4,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030034,063cd4cc407f4c6094dde496d3206213,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011030034,063cd4cc407f4c6094dde496d3206213,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030034,063cd4cc407f4c6094dde496d3206213,3,RELATIVE,,OUTSIDE THE DISTRICT
101011030049,b11618e4e0f64cf2aececcf3035ccb64,1,MOBILE MARKET,,IN/NEAR THE TOWN
101011030057,43a227794ed84f7c9caed20739e7532c,1,RELATIVE,,NEAR THE VILLAGE
101011030057,43a227794ed84f7c9caed20739e7532c,2,RELATIVE,,NEAR THE VILLAGE
101011030057,43a227794ed84f7c9caed20739e7532c,3,MOBILE MARKET,,IN/NEAR THE TOWN
101011030072,09d4515509cc4692badf3541dd10ed40,1,RELATIVE,,WITHIN THE VILLAGE
101011030072,09d4515509cc4692badf3541dd10ed40,2,MOBILE MARKET,,NEAR THE VILLAGE
101011030079,45cb275b257944af892c562162b9cba9,1,RELATIVE,,DEAD
101011030079,45cb275b257944af892c562162b9cba9,2,RELATIVE,,WITHIN THE VILLAGE
101011030087,18383631de9947df8ba58a686c4bd394,1,RELATIVE,,WITHIN THE VILLAGE
101011030087,18383631de9947df8ba58a686c4bd394,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011030100,7d46f6450d174853a7834d4e9c2b4504,1,LOCAL MARKET,,NEAR THE VILLAGE
101011030107,1e677a9563644c1eb012e0c7df9b6410,1,RELATIVE,,WITHIN THE VILLAGE
101011030107,1e677a9563644c1eb012e0c7df9b6410,2,MAIN FARM/PLOT,,WITHIN THE VILLAGE
101011030114,acf53d84d6d54aacbafc6476b583f480,1,MOBILE MARKET,,IN/NEAR THE TOWN
101011030114,acf53d84d6d54aacbafc6476b583f480,2,LOCAL MARKET,,OUTSIDE THE DISTRICT
101011030122,be90dc04442f43f9b7bf199a362813b1,1,MOBILE MARKET,,IN/NEAR THE TOWN
101011030122,be90dc04442f43f9b7bf199a362813b1,2,LOCAL MARKET,,IN/NEAR THE TOWN
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,1,RELATIVE,,DEAD
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,2,LOCAL MARKET,,NEAR THE VILLAGE
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,3,RELATIVE,,WITHIN THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,1,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,2,GOVERNMENT AGENCY,,NEAR THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,4,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,5,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,6,DISTRICT VETERINARY,,NEAR THE VILLAGE
101011040025,a29558f1ecd84741941e3aea56675071,1,LOCAL MARKET,,NEAR THE VILLAGE
101011040031,015bf2639fae45db9d8ddd6a181eaf89,1,RELATIVE,,WITHIN THE VILLAGE
101011040036,05503ca1c3544fcaa31d3d020e460b51,1,RELATIVE,,WITHIN THE VILLAGE
101011040036,05503ca1c3544fcaa31d3d020e460b51,2,RELATIVE,,WITHIN THE VILLAGE
101011040036,05503ca1c3544fcaa31d3d020e460b51,3,RELATIVE,,DEAD
101011040037,19877062f12f464087073252923310dc,1,RELATIVE,,DEAD
101011040037,19877062f12f464087073252923310dc,2,MOBILE MARKET,,NEAR THE VILLAGE
101011040037,19877062f12f464087073252923310dc,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011040037,19877062f12f464087073252923310dc,4,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011040041,493519f5d58042dd8e21c3967f4e8d5c,2,RELATIVE,,WITHIN THE VILLAGE
101011040041,493519f5d58042dd8e21c3967f4e8d5c,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011040041,493519f5d58042dd8e21c3967f4e8d5c,4,MOBILE MARKET,,NEAR THE VILLAGE
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,1,RELATIVE,,OUTSIDE THE REGION
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,3,RELATIVE,,WITHIN THE VILLAGE
101011040055,4592359017f74c14964ae417da1c2066,1,RELATIVE,,WITHIN THE VILLAGE
101011040055,4592359017f74c14964ae417da1c2066,2,MAIN MARKET,,NEAR THE VILLAGE
101011040079,ac0165d0442c496abe0c5cd24ab73260,1,RELATIVE,,DEAD
101011040079,ac0165d0442c496abe0c5cd24ab73260,2,MOBILE MARKET,,NEAR THE VILLAGE
101011040107,52aa13b89db34794b1a23b05cba7b292,1,LOCAL MARKET,,IN/NEAR THE TOWN
101011040107,52aa13b89db34794b1a23b05cba7b292,2,RELATIVE,,NEAR THE VILLAGE
101011040108,8d7b180c5622498aade520441256fd2b,1,LOCAL MARKET,,WITHIN THE VILLAGE
101011040108,8d7b180c5622498aade520441256fd2b,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011040112,16bdbb122cb84d95ac8ae34a170c3cf9,1,FRIEND/NEIGHBOR,,IN/NEAR THE DISTRICT/URBAN CENTER
101011040112,16bdbb122cb84d95ac8ae34a170c3cf9,2,RELATIVE,,NEAR THE VILLAGE
101011040112,16bdbb122cb84d95ac8ae34a170c3cf9,3,LOCAL MARKET,,NEAR THE VILLAGE
101011040115,555899f2271243c4bd2d9e3e522e9927,1,RELATIVE,,WITHIN THE VILLAGE
101011040115,555899f2271243c4bd2d9e3e522e9927,2,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011040159,d3409207b4734731a609925f3bd2ffcb,1,RELATIVE,,WITHIN THE VILLAGE
101011040159,d3409207b4734731a609925f3bd2ffcb,2,RELATIVE,,DEAD
101011040159,d3409207b4734731a609925f3bd2ffcb,3,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101011040159,d3409207b4734731a609925f3bd2ffcb,4,FARMER BASED CLUB/ASSOCIATION,,IN/NEAR THE TOWN
101011040165,883ad92343ca41d29d5c3c2325fa0f71,1,VILLAGE OPEN FORUM,,WITHIN THE VILLAGE
101011040165,883ad92343ca41d29d5c3c2325fa0f71,2,AGRICULTURAL COOPERATIVE,,IN/NEAR THE TOWN
101011040165,883ad92343ca41d29d5c3c2325fa0f71,3,LOCAL MARKET,,NEAR THE VILLAGE
101011040165,883ad92343ca41d29d5c3c2325fa0f71,4,LOCAL MARKET,,IN/NEAR THE TOWN
101011040171,ba80ea93057b4b60846a718aa75a7867,1,RELATIVE,,DEAD
101011040171,ba80ea93057b4b60846a718aa75a7867,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011040171,ba80ea93057b4b60846a718aa75a7867,3,MOBILE MARKET,,NEAR THE VILLAGE
101011040174,b2a52469c16347649b88eecc350011a3,1,RELATIVE,,WITHIN THE VILLAGE
101011040174,b2a52469c16347649b88eecc350011a3,2,RELATIVE,,WITHIN THE VILLAGE
101011040174,b2a52469c16347649b88eecc350011a3,3,RELATIVE,,NEAR THE VILLAGE
101011040174,b2a52469c16347649b88eecc350011a3,4,MOBILE MARKET,,NEAR THE VILLAGE
101011050013,1671aa69f4a044ccaf264bcef1391b54,1,RELATIVE,,WITHIN THE VILLAGE
101011050019,b666078d1f184d28ad111a5825a24ab7,1,RELATIVE,,WITHIN THE VILLAGE
101011050019,b666078d1f184d28ad111a5825a24ab7,2,MOBILE MARKET,,IN/NEAR THE TOWN
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,1,RELATIVE,,DEAD
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,2,RELATIVE,,WITHIN THE VILLAGE
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,3,VILLAGE HEADMAN,,WITHIN THE VILLAGE
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,4,FARMER BASED CLUB/ASSOCIATION,,IN/NEAR THE TOWN
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,5,MOBILE MARKET,,IN/NEAR THE TOWN
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,6,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
101011050031,9aa4b2841ab44cfe93571a2ed0d6f96a,1,RELATIVE,,DEAD
101011050031,9aa4b2841ab44cfe93571a2ed0d6f96a,2,MOBILE MARKET,,WITHIN THE VILLAGE
101011050038,b70b56b5f5ab4fc5bf9c5b6f19b73fde,1,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
101011050038,b70b56b5f5ab4fc5bf9c5b6f19b73fde,2,MOBILE MARKET,,WITHIN THE VILLAGE
101011050050,a76b485c9a024344a99e402582352763,1,RELATIVE,,WITHIN THE VILLAGE
101011050050,a76b485c9a024344a99e402582352763,2,LOCAL MARKET,,NEAR THE VILLAGE
101011050056,f60b8992e8354284ada9bfb7defe795f,1,RELATIVE,,WITHIN THE VILLAGE
101011050056,f60b8992e8354284ada9bfb7defe795f,2,MAIN MARKET,,IN/NEAR THE DISTRICT/URBAN CENTER
101011050056,f60b8992e8354284ada9bfb7defe795f,3,MOBILE MARKET,,NEAR THE VILLAGE
101011050070,42011087a5ae4f05a92b6c249e56cf73,1,RELATIVE,,WITHIN THE VILLAGE
101011050070,42011087a5ae4f05a92b6c249e56cf73,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011050070,42011087a5ae4f05a92b6c249e56cf73,3,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011050076,8eca03cc684d4e7492d62c50214ff35d,1,RELATIVE,,WITHIN THE VILLAGE
101011050076,8eca03cc684d4e7492d62c50214ff35d,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
101011050082,d9dd2158d40947a8b0693b639c34292e,1,RELATIVE,,WITHIN THE VILLAGE
101011050082,d9dd2158d40947a8b0693b639c34292e,2,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
