case_id,HHID,gardenid,plotid,ag_k01a,ag_k01b,ag_k02,ag_k02_1,ag_k02_2a,ag_k02_2b,ag_k03,ag_k21a,ag_k21b,ag_k21c,ag_k21d,ag_k21e,ag_k21_oth,ag_k21b_oth,ag_k22,ag_k22_oth,ag_k23,ag_k24,ag_k25a,ag_k25b,ag_k25_oth,ag_k26a,ag_k26b,ag_k26_oth,ag_k26_1a,ag_k26_1b,ag_k26_2a,ag_k26_2b,ag_k26_2_oth,ag_k27,ag_k28,ag_k29a,ag_k29b,ag_k29_oth,ag_k30,ag_k30_oth,ag_k31,ag_k31_oth,ag_k33,ag_k34,ag_k35a,ag_k35b,ag_k35_oth,ag_k36,ag_k36_1a,ag_k36_1b,ag_k37,ag_k38a,ag_k38b,ag_k38b_oth,ag_k39,ag_k40,ag_k40_1,ag_k40_2,ag_k40a,ag_k40a_oth,ag_k40b,ag_k40c,ag_k40c_oth,ag_k40d,ag_k40e,ag_k40f,ag_k40f_oth,ag_k40g,ag_k40h,ag_k40h_oth,ag_k40i,ag_k41,ag_k42a,ag_k42a_oth,ag_k42b,ag_k42c,ag_k42c_oth,ag_k42d,ag_k42e,ag_k42e_oth,ag_k42f,ag_k42g,ag_k42g_oth,ag_k43a1,ag_k43b1,ag_k43c1,ag_k43d1,ag_k43a2,ag_k43b2,ag_k43c2,ag_k43d2,ag_k43a3,ag_k43b3,ag_k43c3,ag_k43d3,ag_k43a4,ag_k43b4,ag_k43c4,ag_k43d4,ag_k44a1,ag_k44b1,ag_k44c1,ag_k44d1,ag_k44a2,ag_k44b2,ag_k44c2,ag_k44d2,ag_k44a3,ag_k44b3,ag_k44c3,ag_k44d3,ag_k44a4,ag_k44b4,ag_k44c4,ag_k44d4,ag_k45a1,ag_k45b1,ag_k45c1,ag_k45d1,ag_k45a2,ag_k45b2,ag_k45c2,ag_k45d2,ag_k46a1,ag_k46b1,ag_k46a2,ag_k46b2,ag_k46a3,ag_k46b3,ag_k45a3,ag_k45b3,ag_k45c3,ag_k45d3,ag_k45a4,ag_k45b4,ag_k45c4,ag_k45d4,ag_k46f,ag_k46c,ag_k46c_oth,ag_k46d,ag_k46e,ag_k46e_oth,ag_k47a,ag_k47b,ag_k47c,ag_k48a,ag_k48b,ag_k48c,ag_k43a5,ag_k43b5,ag_k43c5,ag_k43d5,ag_k43a6,ag_k43b6,ag_k43c6,ag_k43d6,ag_k44a5,ag_k44b5,ag_k44c5,ag_k44d5,ag_k44a6,ag_k44b6,ag_k44c6,ag_k44d6,ag_k45a5,ag_k45b5,ag_k45c5,ag_k45d5,ag_k45a6,ag_k45b6,ag_k45c6,ag_k45d6
101011040037,19877062f12f464087073252923310dc,DG04,D01,NO,,1,,,,1,MAIZE HYBRID,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Slight slope,NO,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,AUGUST,1ST HALF,YES,20,BUCKET,,YES,NO,2,4,UREA,,25,KILOGRAM,,25,4,,,,,,,NO,,,,,,,,,,,,1,3,3,6,,,,,,,,,,,,,1,2,4,6,,,,,,,,,,,,,1,1,6,6,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040041,493519f5d58042dd8e21c3967f4e8d5c,RG02,D01,YES,2,,YES,1,,2,ONION,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Slight slope,NO,Divert stream,,,Flooding,,River / Stream,,0,,,,,YES,MARCH,1ST HALF,NO,,,,YES,NO,2,4,23:21:0+4S/CHITOWE,,2,KILOGRAM,,2,2,,,,,,,NO,,,,,,,,,,,,1,1,2,6,,,,,,,,,,,,,1,1,2,6,,,,,,,,,,,,,1,1,1,6,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,RG03,D01,YES,3,,NO,,,2,MAIZE HYBRID,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,Vetiver grass,,,,,,,,Flat,YES,Other (Specify),,CAN IRRIGATION,Watering can,,River / Stream,,0,,,,,YES,JULY,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,5,7,,,,,,,,,,,,,1,2,5,5,,,,,,,,,,,,,1,1,5,7,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040108,8d7b180c5622498aade520441256fd2b,RG02,D01,YES,2,,NO,,,1,MAIZE LOCAL,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,Requires too much labor,,,Moderate slope,NO,Divert stream,,,Flooding,,River / Stream,,0,,,,,YES,AUGUST,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,3,,,,1,1,2,5,,,,,,,,,3,2,2,5,1,2,2,5,,,,,,,,,3,1,5,5,1,1,5,5,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040171,ba80ea93057b4b60846a718aa75a7867,DG03,D01,NO,,1,,,,1,TOMATO,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Slight slope,NO,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,MAY,1ST HALF,YES,5,BUCKET,,YES,YES,3,4,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,1,23:21:0+4S/CHITOWE,,15,KILOGRAM,,15,YES,INSECTICIDE,,1,LITER,,NO,,,,,,1,1,2,9,,,,,,,,,,,,,1,1,3,9,,,,,,,,,,,,,1,7,1,6,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040174,b2a52469c16347649b88eecc350011a3,DG04,D01,NO,,1,,,,1,ONION,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,AUGUST,1ST HALF,NO,,,,YES,NO,2,4,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,3,,,,,,,NO,,,,,,,,,,,,1,1,4,6,,,,,,,,,,,,,1,1,3,6,,,,,,,,,,,,,1,1,2,7,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040174,b2a52469c16347649b88eecc350011a3,DG05,D02,NO,,1,,,,1,TOMATO,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,MAY,1ST HALF,YES,10,BUCKET,,YES,NO,1,4,23:21:0+4S/CHITOWE,,5,KILOGRAM,,5,3,,,,,,,YES,INSECTICIDE,,1,LITER,,NO,,,,,,1,1,2,6,,,,,,,,,,,,,1,1,1,6,,,,,,,,,,,,,1,6,5,4,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011060131,d18ae2ef2087438a9abcf791818c9702,DG02,D01,NO,,1,,,,1,BEANS,,,,,,,Sandy (Mchenga),,Good,Low,Flooding,,,Vetiver grass,,,More than 5 years ago,,,,,Flat,YES,Bucket,,,Watering can,,Well,,0,,,,,YES,APRIL,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,4,1,4,6,5,1,4,6,1,1,4,6,3,1,4,6,5,1,1,8,3,1,1,8,4,1,1,8,1,1,1,8,1,1,1,4,5,1,1,4,0,,0,,0,,4,1,1,4,3,1,1,4,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011060135,dd415f871ee34dfeb480dad92255e98a,DG04,D01,NO,,1,,,,1,BEANS,TOMATO,ONION,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,Requires too much labor,,Flat,YES,Gravity,,,Watering can,,Well,,0,,,,,YES,MAY,1ST HALF,NO,,,,YES,YES,2,3,23:21:0+4S/CHITOWE,,20,KILOGRAM,,20,1,CAN,,20,KILOGRAM,,20,NO,,,,,,,,,,,,1,2,3,3,,,,,,,,,,,,,1,1,6,5,,,,,,,,,,,,,1,2,4,3,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101021070182,cbedb68833024df59583648863d783c4,DG03,D01,NO,,1,,,,2,BEANS,NKHWANI,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,Moderate,Flooding,,,No erosion control,,,During last 12 months,,Requires too much labor,,,Flat,NO,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,APRIL,2ND HALF,NO,,,,YES,NO,2,2,23:21:0+4S/CHITOWE,,5,KILOGRAM,,5,2,,,,,,,NO,,,,,,,,,,,,5,1,2,2,3,1,3,3,1,1,2,3,4,1,3,3,3,2,2,2,4,2,2,2,5,2,2,2,1,2,2,2,1,1,1,1,3,1,2,3,0,,0,,0,,4,1,3,3,5,1,3,3,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101021080058,4ab5ca6c1cbe4d67b31b20f8667ca8a1,DG05,D01,NO,,1,,,,2,TOMATO,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Rainfed/No irrigation,Bucket,,Watering can,,River / Stream,,0,,,,,YES,APRIL,1ST HALF,YES,2,WHEELBARROW,,YES,NO,2,2,23:21:0+4S/CHITOWE,,30,KILOGRAM,,30,2,,,,,,,YES,INSECTICIDE,,1,LITER,,NO,,,,,,1,2,3,2,,,,,,,,,,,,,1,2,3,2,,,,,,,,,,,,,1,3,4,2,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101021080085,16b4049444234703ad6191f7b6a349c8,RG01,D01,YES,1,,YES,2,,2,TANAPOSI,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Bucket,,,Watering can,,Borehole,,0,,,,,YES,SEPTEMBER,1ST HALF,NO,,,,YES,NO,1,1,23:21:0+4S/CHITOWE,,1,KILOGRAM,,1,0,,,,,,,YES,INSECTICIDE,,5,LITER,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031110113,ab22d2d88d25477097c3c0caf31e5c93,RG01,D01,YES,1,,YES,2,,1,BEANS,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,High,Flooding,,,Erosion control bunds,,,During last 12 months,,,,,"Steep, hilly",NO,Rainfed/No irrigation,,,,,,,0,,,,,YES,APRIL,2ND HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,3,2,5,1,3,2,3,1,3,2,4,1,3,2,1,1,2,2,4,1,2,2,3,1,2,2,5,1,2,2,5,1,1,1,3,1,1,1,0,,0,,0,,4,1,1,1,1,1,1,1,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031110168,504c675b07b641c6a5565e53b2121e71,DG05,D01,NO,,2,,,,1,MAIZE HYBRID,BEANS,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Moderate slope,NO,Bucket,,,Watering can,,River / Stream,,0,,,,,YES,SEPTEMBER,1ST HALF,YES,50,KILOGRAM,,YES,YES,2,1,23:21:0+4S/CHITOWE,,1,5 KG BAG,,5,1,UREA,,1,5 KG BAG,,5,NO,,,,,,,,,,,,1,1,3,5,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,1,1,4,5,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031110196,cbb2283e752d4978ad0512417e05e861,RG02,D01,YES,2,,YES,2,,2,BEANS,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,Low,Terrain,,,Erosion control bunds,,,,,,,,"Steep, hilly",NO,Rainfed/No irrigation,,,,,,,0,,,,,YES,JUNE,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,3,2,3,2,6,6,,,,,,,,,3,2,6,6,1,2,2,2,,,,,,,,,3,1,1,5,1,1,1,5,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031120054,66cf87e1938d453896a46c6df26bf85b,DG02,D01,NO,,1,,,,1,BEANS,TOMATO,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,,,Watering can,,Well,,0,,,,,YES,JUNE,1ST HALF,NO,,,,YES,YES,1,1,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,2,CAN,,10,KILOGRAM,,10,YES,INSECTICIDE,,300,MILLILITER,,NO,,,,,,1,1,2,3,3,1,3,2,,,,,,,,,1,1,3,1,3,1,3,1,,,,,,,,,1,4,3,2,3,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031120119,6e2fc21caea341fe91732a9e875f2186,DG03,D01,YES,2,,YES,2,,1,TOMATO,,,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,,,Watering can,,Well,,0,,,,,YES,APRIL,1ST HALF,NO,,,,YES,YES,3,2,23:21:0+4S/CHITOWE,,25,KILOGRAM,,25,1,CAN,,25,KILOGRAM,,25,YES,INSECTICIDE,,3,KILOGRAM,,NO,,,,,,1,1,3,5,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,1,4,2,2,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031120176,122cc2640c494d16a7f68e81b72a350a,DG04,D01,YES,3,,YES,2,,1,SWEET POTATO,PIGEONPEA(NANDOLO),,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,NO,Rainfed/No irrigation,Bucket,,Watering can,,Well,,9999,,,,,YES,JULY,2ND HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,3,3,6,2,1,3,6,2,5,3,6,2,4,3,6,2,3,1,6,2,4,1,6,2,5,1,6,2,1,1,6,2,5,2,6,1,4,2,6,1,0,,0,,0,,1,1,6,1,3,2,6,1,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101031130037,b358dd08cad64ae49782c4efed09d0f5,DG04,D01,NO,,1,,,,1,MAIZE HYBRID,,,,,,,Clay (Katondo),,Fair,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Divert stream,,,Flooding,,River / Stream,,0,,,,,YES,OCTOBER,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,1,1,3,2,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101051140012,59e45439e8f44513940d067ebd824317,DG02,D01,NO,,1,,,,1,MAIZE LOCAL,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Fair,Low,Flooding,,,Erosion control bunds,,,During last 12 months,,,,,Flat,YES,Divert stream,,,Flooding,,River / Stream,,0,,,,,YES,SEPTEMBER,1ST HALF,NO,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,1,1,1,1,3,1,1,1,,,,,,,,,1,,,,3,,,,,,,,,,,,3,1,1,1,1,1,1,1,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101051150076,e60bce33fdc94570aaccf9f3755a2008,DG03,D01,NO,,1,,,,1,TOMATO,OTHER SPECIFY 1,,,,EGG PLANT,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Bucket,,,Watering can,,River / Stream,,9999,,,,,YES,AUGUST,1ST HALF,YES,1,WHEELBARROW,,YES,NO,1,3,23:21:0+4S/CHITOWE,,1,2 KG BAG,,2,1,,,,,,,YES,HERBICIDE,,22,LITER,,NO,,,,,,1,2,6,4,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,1,1,7,4,,,,,0,,0,,0,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101051150144,08b6ccd13747443d97de31a8a5f6081b,DG05,D01,NO,,2,,,,2,MAIZE HYBRID,,,,,,,Between sandy &amp; clay (Pakati pa mchenga ndi katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,YES,Divert stream,,,Flooding,,River / Stream,,0,,,,,YES,JULY,1ST HALF,NO,,,,YES,YES,2,2,23:21:0+4S/CHITOWE,,25,KILOGRAM,,25,2,UREA,,25,KILOGRAM,,25,NO,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,1,1,2,2,,,,,3,1500,0,,0,,,,,,,,,,,0,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
