case_id,HHID,gardenid,ag_b202,ag_b203_1a,ag_b203_1b,ag_b203_2,ag_b205,ag_b206,ag_b206a,ag_b206b__0,ag_b206b__1,ag_b206b__2,ag_b206b__3,ag_b206c,ag_b206d__0,ag_b206d__1,ag_b208a,ag_b208a_oth,ag_b208b,ag_b208c,ag_b208c_oth,ag_b208d,ag_b209a,ag_b209b,ag_b212,ag_b212_oth,ag_b213__0,ag_b213__1,ag_b213_1__0,ag_b213_1__1,ag_b214,ag_b214_oth,ag_b216a,ag_b216a_oth,ag_b216b,ag_b216c,ag_b216c_oth,ag_b216d,ag_b217a,ag_b217b,ag_b220,ag_b220_oth
101011000135,e676d3715e4340b4a4185fca13f23fba,RG02,1,1,,1996,300000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000183,fd4b0adb712045789c7725af9d50301d,RG02,1,2,,2008,150000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000190,cc43ef9ad8aa45c28c6b1ec1daf1effc,RG02,2,1,,2006,200000,15000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000199,09aa9c15d78e449ea768d2b546d7630f,RG01,2,1,,2014,150000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000229,588862e09b294c19806cb1cea206b93f,RG01,1,2,,2008,200000,16000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000229,588862e09b294c19806cb1cea206b93f,RG02,2,3,,1997,300000,22000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000253,18895b09d1aa4f2fb29731eff2be86f6,RG01,2,1,,2004,700000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000254,9d7546eefc334970b492a20ce6887403,RG01,2,,,1995,70000,10000,YES,1,2,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000254,9d7546eefc334970b492a20ce6887403,RG02,2,,,1995,80000,15000,YES,1,2,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000258,0e43e65824744e4e9d3399f674d95538,RG02,1,1,,9999,500000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000260,f5624915b2ea42698c93f09e51d55660,RG02,1,1,,9999,1000000,50000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011000260,f5624915b2ea42698c93f09e51d55660,RG03,1,1,,9999,1000000,50000,NO,,,,,NO,,,,,,,,,,,,,,,,,Rented out,,,,,,,,50000,0,Full Year (Rainy &amp; Dimba Seasons),
101011000260,f5624915b2ea42698c93f09e51d55660,RG04,1,1,,9999,50000,5000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010006,5845d8877c264a639aada480e64df344,RG01,2,1,,2003,100000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010006,5845d8877c264a639aada480e64df344,RG02,1,1,,2003,50000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Fallow,,,,,,,,,,,
101011010016,a32b7bf3a92240689cd1a5d1f522a140,RG01,1,1,,2012,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010026,2d61398388e54acd9a37b9e331fa9ccd,RG01,2,1,,2002,100000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010037,273878d185624e4aa08fbf10c88efa82,RG02,2,,,1968,500000,50000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010046,6237f49f5a174df7884c1693808cbea3,RG02,1,,,9999,450000,45000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010046,6237f49f5a174df7884c1693808cbea3,RG03,1,,,9999,350000,35000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,RG02,1,,,1984,450000,450000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010055,018388a980ac4a1e95269d79f85b0e7c,RG03,1,1,,1984,450000,45000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,RG02,1,1,,2005,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010064,ce16a1e2640047e3bf515d4bfc7b06f5,RG03,1,1,,2005,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010074,a81c6b7867e148acab7667039d5256ad,RG02,2,1,,2015,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010074,a81c6b7867e148acab7667039d5256ad,RG03,2,1,,2015,150000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,RG02,1,1,,2006,200000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010083,158e0fe582ac4aac9a7e3c8bca5e5ddf,RG03,1,1,,2006,200000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010092,7dd94ab98be94ef7b026402b624547ed,RG03,1,1,,2006,100000,12000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010101,9af4fb6a33d04d21abecfcaec6e16811,RG02,1,,,1984,300000,70000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010111,dedcd194d3d246c5b8ad29d075ae706a,RG02,1,,,1986,300000,50000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011010111,dedcd194d3d246c5b8ad29d075ae706a,RG03,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,Cultivated,,,,,,,,,,,
101011010129,8aa0db7b72c1478e880596ec8d69bacb,RG02,1,,,1969,350000,70000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011020021,e3c81d2d54b14241b9e10e95f84da6a0,RG02,1,3,,2012,250000,10000,YES,1,,,,YES,2,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011020088,d28d50b33ee84f82a26e265fa2a743cf,RG02,1,2,,2003,700000,20000,YES,1,,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011020140,ad98c2cdf217477f9abc57c60632f677,RG02,1,,,,,,,,,,,,,,,,,,,,15000,0,Rainy Season,,2,,1,,Cultivated,,,,,,,,,,,
101011020183,6f7d332cc9df4fd9896e1ba8c9688848,RG01,1,,,2013,200000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011020257,07a1ce1defcd4f21af47a3805d722165,RG02,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,Cultivated,,,,,,,,,,,
101011020260,70bcaaf9541f4e3a9c10a2fe53283260,RG02,1,,,,,,,,,,,,,,,,,,,,10000,0,Rainy Season,,2,,1,,Fallow,,,,,,,,,,,
101011020269,8f9f50600e604b7197cf0da40e63657c,RG02,3,,,,,,,,,,,,,,,,,,,,0,15000,Full Year (Rainy &amp; Dimba Seasons),,2,,1,2,Cultivated,,,,,,,,,,,
101011020281,d5b99d1324ef4ebaa234c07ee52e8cba,RG02,2,,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,Cultivated,,,,,,,,,,,
101011020369,085341e9d8014d7d8bb1b566a646bf57,RG01,2,,,2012,400000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011020369,085341e9d8014d7d8bb1b566a646bf57,RG02,2,1,,2013,200000,10000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030012,65816a6fa1ab4fac876e795bcef13671,RG01,1,1,,9999,100000,10000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030012,65816a6fa1ab4fac876e795bcef13671,RG02,1,1,,9999,200000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030012,65816a6fa1ab4fac876e795bcef13671,RG03,1,1,,9999,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030019,dc51f83e4ce7480499f9434c8ecbb106,RG02,1,2,,2017,90000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030026,65627b32b1624e04b6ea581400f5c9d6,RG01,1,1,,1991,400000,60000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030034,063cd4cc407f4c6094dde496d3206213,RG01,1,,,1994,600000,50000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030034,063cd4cc407f4c6094dde496d3206213,RG02,1,,,1994,400000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Rented out,,,,,,,,10000,0,Rainy Season,
101011030049,b11618e4e0f64cf2aececcf3035ccb64,RG02,2,,,2006,300000,40000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030057,43a227794ed84f7c9caed20739e7532c,RG01,2,1,,2005,150000,15000,YES,1,2,3,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030057,43a227794ed84f7c9caed20739e7532c,RG02,1,1,,2005,200000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030057,43a227794ed84f7c9caed20739e7532c,RG03,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,Cultivated,,,,,,,,,,,
101011030072,09d4515509cc4692badf3541dd10ed40,RG01,1,1,,2007,150000,10000,YES,2,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030072,09d4515509cc4692badf3541dd10ed40,RG02,1,1,,2007,150000,10000,YES,2,,,,NO,,,,,,,,,,,,,,,,,Fallow,,,,,,,,,,,
101011030079,45cb275b257944af892c562162b9cba9,RG01,1,1,,1979,300000,20000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030079,45cb275b257944af892c562162b9cba9,RG02,1,1,,1979,300000,30000,NO,,,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030087,18383631de9947df8ba58a686c4bd394,RG02,2,1,,2016,150000,25000,YES,1,2,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030100,7d46f6450d174853a7834d4e9c2b4504,RG02,1,,,9999,450000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030100,7d46f6450d174853a7834d4e9c2b4504,RG03,2,,,9999,150000,10000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030107,1e677a9563644c1eb012e0c7df9b6410,RG01,1,,,2000,500000,50000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030114,acf53d84d6d54aacbafc6476b583f480,RG02,1,,,9999,500000,50000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030114,acf53d84d6d54aacbafc6476b583f480,RG03,1,,,9999,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Rented out,,,,,,,,15000,0,Rainy Season,
101011030122,be90dc04442f43f9b7bf199a362813b1,RG02,1,,,9999,450000,45000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030122,be90dc04442f43f9b7bf199a362813b1,RG03,1,,,9999,500000,50000,NO,,,,,NO,,,,,,,,,,,,,,,,,Rented out,,,,,,,,15000,0,Rainy Season,
101011030122,be90dc04442f43f9b7bf199a362813b1,RG04,1,,,9999,450000,45000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030122,be90dc04442f43f9b7bf199a362813b1,RG05,1,,,9999,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Rented out,,,,,,,,15000,0,Rainy Season,
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,RG01,2,1,,2015,150000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030148,85990b04acfc4a94b4b8e6d7e27c499e,RG02,2,1,,2015,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011030155,045e6c0ec46c45ffa1cf157dae6c5941,RG01,1,,,1976,1500000,60000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040025,a29558f1ecd84741941e3aea56675071,RG02,1,,,9999,20000,5000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040025,a29558f1ecd84741941e3aea56675071,RG03,1,,,9999,35000,5000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040036,05503ca1c3544fcaa31d3d020e460b51,RG02,1,3,,1990,60000,5000,YES,1,2,3,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040037,19877062f12f464087073252923310dc,RG02,1,1,,1969,20000,3000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040041,493519f5d58042dd8e21c3967f4e8d5c,RG02,2,2,,1999,50000,5000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,RG03,2,,,,,,,,,,,,,,,,,,,,10000,0,Rainy Season,,1,,1,2,Cultivated,,,,,,,,,,,
101011040055,4592359017f74c14964ae417da1c2066,RG02,1,1,,2009,40000,4000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040055,4592359017f74c14964ae417da1c2066,RG03,1,1,,2009,50000,5000,YES,1,2,3,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040079,ac0165d0442c496abe0c5cd24ab73260,RG02,1,1,,2012,40000,6000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040107,52aa13b89db34794b1a23b05cba7b292,RG01,2,,,2001,100000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040108,8d7b180c5622498aade520441256fd2b,RG02,1,,,9999,200000,20000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040108,8d7b180c5622498aade520441256fd2b,RG03,1,,,9999,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040112,16bdbb122cb84d95ac8ae34a170c3cf9,RG02,1,2,,2014,200000,30000,YES,2,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040115,555899f2271243c4bd2d9e3e522e9927,RG01,1,1,,9999,100000,30000,YES,1,2,,,YES,1,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040159,d3409207b4734731a609925f3bd2ffcb,RG02,1,2,,1950,40000,3500,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040165,883ad92343ca41d29d5c3c2325fa0f71,RG01,1,,,2011,300000,60000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040174,b2a52469c16347649b88eecc350011a3,RG02,1,1,,2015,100000,5000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011040174,b2a52469c16347649b88eecc350011a3,RG03,1,2,,2015,50000,3000,YES,1,,,,YES,2,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050013,1671aa69f4a044ccaf264bcef1391b54,RG01,1,1,,2017,100000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050019,b666078d1f184d28ad111a5825a24ab7,RG02,1,1,,2016,100000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,RG02,1,1,,1988,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,RG03,1,1,,1988,200000,30000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050025,a4f8bd766a0e4b00b9a50f737a04ce8c,RG04,1,1,,1988,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050031,9aa4b2841ab44cfe93571a2ed0d6f96a,RG02,1,1,,1986,800000,100000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050031,9aa4b2841ab44cfe93571a2ed0d6f96a,RG03,1,1,,1986,300000,80000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050038,b70b56b5f5ab4fc5bf9c5b6f19b73fde,RG02,1,,,2014,500000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050050,a76b485c9a024344a99e402582352763,RG01,1,,,1979,100000,42000,YES,2,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050056,f60b8992e8354284ada9bfb7defe795f,RG02,2,1,,1999,120000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050070,42011087a5ae4f05a92b6c249e56cf73,RG02,2,1,,2011,80000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050070,42011087a5ae4f05a92b6c249e56cf73,RG03,2,1,,2011,280000,50000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050076,8eca03cc684d4e7492d62c50214ff35d,RG02,2,1,,1994,400000,80000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050082,d9dd2158d40947a8b0693b639c34292e,RG02,1,1,,2018,280000,40000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050088,9d9fd8fa62ee4173af242fd240315b9f,RG02,1,,,9999,450000,45000,YES,1,2,3,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050094,ad560d97ed49428b99ec125e005e9d80,RG02,1,,,9999,450000,45000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050094,ad560d97ed49428b99ec125e005e9d80,RG03,1,,,9999,450000,45000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050100,15629dd5b0604709a224c05ee046ba7b,RG02,2,,,9999,150000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050106,708655c28dff4cb9a6dde701daf3f90c,RG02,1,,,9999,150000,15000,NO,,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050106,708655c28dff4cb9a6dde701daf3f90c,RG03,3,,,,,,,,,,,,,,MAIZE HYBRID RECYCLED,,4,PAIL (LARGE),,S:SHELLED,5000,0,Full Year (Rainy &amp; Dimba Seasons),,1,,3,,Cultivated,,,,,,,,,,,
101011050113,8fe866dceb36440cbeb8f3192a70bf3a,RG02,1,,,2000,400000,80000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050113,8fe866dceb36440cbeb8f3192a70bf3a,RG03,1,,,2006,500000,100000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050113,8fe866dceb36440cbeb8f3192a70bf3a,RG04,1,,,,,,,,,,,,,,,,,,,,10000,0,Rainy Season,,1,,1,,Cultivated,,,,,,,,,,,
101011050119,e68a4ff4ffc24022926fdfa8786fca77,RG02,2,1,,2012,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050119,e68a4ff4ffc24022926fdfa8786fca77,RG03,2,1,,2012,100000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011050119,e68a4ff4ffc24022926fdfa8786fca77,RG04,2,1,,2012,150000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060024,e2dd9e289b9a4c5c8f37f8cf0e82088a,RG01,1,1,,2000,1500000,60000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060024,e2dd9e289b9a4c5c8f37f8cf0e82088a,RG02,1,1,,2001,100000,800,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060046,ecc5b1642f60484b9f6cb9f8002a29e2,RG01,1,,,,,,,,,,,,,,,,,,,,0,0,Other (Specify),THIS LAND IS CONNECTED WITH THE HOUSE,1,,1,2,Fallow,,,,,,,,,,,
101011060046,ecc5b1642f60484b9f6cb9f8002a29e2,RG02,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,Fallow,,,,,,,,,,,
101011060046,ecc5b1642f60484b9f6cb9f8002a29e2,RG03,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,Cultivated,,,,,,,,,,,
101011060046,ecc5b1642f60484b9f6cb9f8002a29e2,RG04,1,,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,Cultivated,,,,,,,,,,,
101011060059,6289fda67d28450eb6e516a910bf930c,RG02,1,1,,1999,300000,5000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060079,e7974bc4397b46079a5cfe9502bcfcf0,RG01,1,,,2002,150000,35000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060079,e7974bc4397b46079a5cfe9502bcfcf0,RG02,1,,,2002,100000,25000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060087,330892a48b67444490da543b96a74bd7,RG01,1,1,,1971,3000000,200000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060087,330892a48b67444490da543b96a74bd7,RG02,1,,,1971,2000000,50000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060095,dd2bbdf52bb9469b9195e4f0e37e6372,RG01,1,,,1975,200000,15000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060095,dd2bbdf52bb9469b9195e4f0e37e6372,RG02,1,,,1975,200000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060131,d18ae2ef2087438a9abcf791818c9702,RG01,1,1,,2008,500000,200000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060135,dd415f871ee34dfeb480dad92255e98a,RG03,1,,,1975,1000000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060147,7b26d513c0144ff199f571721281257d,RG02,1,1,,2011,70000,15000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060147,7b26d513c0144ff199f571721281257d,RG03,1,1,,2011,30000,10000,YES,1,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060155,08241cf6339d4495ab3fe62a061e88cb,RG02,1,1,,1999,1000000,10000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060160,ae96ba8e42a5403dbb40fe782da5d270,RG02,2,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,Cultivated,,,,,,,,,,,
101011060175,6380440c471c4a5189c9239723bfb5f3,RG02,1,,,2016,50000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060175,6380440c471c4a5189c9239723bfb5f3,RG04,1,,,2016,50000,20000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Fallow,,,,,,,,,,,
101011060195,2b77b25460f042ddb1ca43f9b807c108,RG01,1,1,,1989,500000,30000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060195,2b77b25460f042ddb1ca43f9b807c108,RG02,1,1,,1989,1500000,50000,YES,1,2,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
101011060201,f9bf2018851b4a6884043d210c107944,RG02,2,1,,1964,300000,20000,YES,2,,,,NO,,,,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,
