HHID,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n10_1,hh_n10_2,hh_n10_2_oth,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n14_oth,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n16_oth,hh_n17,hh_n18,hh_n19,hh_n19_oth,hh_n20a,hh_n20b,hh_n20_oth,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_oth,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26b,hh_n26_oth,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n29_oth,hh_n30a1,hh_n30b1,hh_n30c1,hh_n30d1,hh_n30a2,hh_n30b2,hh_n30c2,hh_n30d2,hh_n30a3,hh_n30b3,hh_n30c3,hh_n30d3,hh_n30a4,hh_n30b4,hh_n30c4,hh_n30d4,hh_n30a5,hh_n30b5,hh_n30c5,hh_n30d5,hh_n30a6,hh_n30b6,hh_n30c6,hh_n30d6,hh_n30a7,hh_n30b7,hh_n30c7,hh_n30d7,hh_n30a8,hh_n30b8,hh_n30c8,hh_n30d8,hh_n31a1,hh_n31b1,hh_n31c1,hh_n31d1,hh_n31a2,hh_n31b2,hh_n31c2,hh_n31d2,hh_n31a3,hh_n31b3,hh_n31c3,hh_n31d3,hh_n32,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h,hh_n41h_oth
007d1550a6014f6b9f8f8aca1ca66ffc,1,BUYING AND SELLING OF TOMATOES,1,6,,Yes,,,6,6,,0,0,,,May,2019,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,No,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,12000,12000,,,6000,0,6000,0,0,0,0,0,0,
0082ee2b4e604e8ebeeeb495b1865d5f,1,BUYING AND SELLING OF FRUITS,47,2,,Yes,,,2,2,,0,0,,,April,2019,Gift from family/friends,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,LOW,2,3,3,3,,,2,1,,,,,Seasonal work,,,Yes,,,,,2,14,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,40000,45000,55000,,,,,17500,0,15000,5000,0,0,0,0,2500,MARKETFEE
008cf8f470064bb2901827f91e0639b2,1,BEANS SELLING,47,1,,Yes,,,1,1,,1,0,Almost all,,November,2017,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,AVERAGE,LOW,,,,,AVERAGE,,HIGH,AVERAGE,,,,,,,,,,,,,,,,Lack of cash,Bad weather,,No,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,10000,58000,,,3000,0,10000,2000,0,0,0,0,0,
0092433dff9d49ada4355a51694fe237,1,SELLING GROCERIES,47,1,,Yes,,,1,1,,0,0,,,July,2016,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,1,1,1,1,,,,,,,,,,,,No,NO,Lack of cash,,,1,5,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,30000,,,10000,50000,,,10000,40000,0,0,0,0,0,0,0,
009fd63d7ca544fa86e07f95781eb567,1,TAXI,49,1,,Yes,,,1,1,,0,0,,,October,2018,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,3,3,3,,,,,,,,,,,,,Yes,,,,,1,10,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,110,10000,0,,,,0,,,,280000,,,200000,280000,,,280000,0,0,0,60000,0,0,0,0,
00b24f81d4a5497fb45918ed23afdf2a,1,COOKING OIL BUSINESS,47,1,,Yes,,,1,1,,0,0,,,July,2018,Gift from family/friends,,,Home (inside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,HIGH,HIGH,HIGH,HIGH,AVERAGE,,,,HIGH,,,,,,,,,,,,,,Not profitable,,,Yes,,,,,2,20,1,6,1,30,2,6,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,,,,,0,6800,2500,0,6800,0,0,0,0,0,0,
00c6ca1deb914beb8f1bd195be34ea9b,1,BAKING SAMOSA,10,1,,Yes,,,1,1,2,0,0,,,February,2019,Savings club,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,AVERAGE,AVERAGE,HIGH,1,1,3,2,,,,,,,,,,,,Yes,,,,,2,15,4,7,1,26,6,7,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,40000,,,32000,52000,,,15400,24600,0,0,0,0,0,0,0,
00d91bf747164e848958d711bcca04fe,1,SELLING OF MANDASI,10,2,,Yes,,,2,2,,0,0,,,August,2011,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,2,2,,,,,,,,,,,Own-Illness/Need to care for household members,,,No,YES,,,,2,10,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,180000,,,,,140000,150000,100000,80000,0,0,0,0,0,0,0,
00d91bf747164e848958d711bcca04fe,2,BUYING AND SELLING OF SEEDS,1,1,,No,Not Available During Time in the EA,,2,2,,0,0,,,June,2018,Own-savings from agriculture,,,Home (outside residence),,,,Traders,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,LOW,1,2,3,,,,,,,,,,,,,No,YES,,,,1,30,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,625000,500000,625000,,,,,500000,0,0,0,0,0,0,0,0,
00db32cbee1d45dd9d62f1c38e07bded,1,SELLING OF BOTTLED WATER,56,2,,Yes,,,2,2,,0,0,,,September,2019,No start-up capital,,,Other fixed place,No,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,3,3,3,,,,,,Lack of cash,,,Yes,,,,,6,10,5,3,2,20,5,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,90000,,,,,40000,60000,80000,20000,0,0,0,4000,0,0,0,
00e43104a8c44f52841894e67791fa82,1,MAT MAKING,47,1,,Yes,,,1,1,,0,0,,,March,1982,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,AVERAGE,AVERAGE,2,2,3,2,2,3,3,3,1,1,,,,,,Yes,,,,,1,18,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,12000,,,12000,35000,,,0,0,0,0,0,0,0,0,0,
00f0dfa56a1c467092d049fd95ee8026,1,SELLING KALONGONDA,56,1,,Yes,,,1,1,,0,0,,,June,1990,No start-up capital,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,HIGH,LOW,,,LOW,2,,,,,,,,,,,,Not profitable,,,No,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,400,500,800,0,0,0,0,0,0,0,0,
01038b8e18f74aed80b759d2c392b3b9,1,CHARCOAL SELLING,46,1,,Yes,,,1,1,,0,0,,,March,2017,Gift from family/friends,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,,,,,,,,,,,,,,,Bad weather,,,Yes,,,,,1,30,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,6000,,,,,60000,75000,10000,0,75000,0,0,0,0,0,0,
011105bafa434f739f67cc1bdc4f8468,1,SUGAR CANE SELLING,47,1,2,Yes,,,2,2,,0,0,,,June,2017,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,HIGH,HIGH,,,,,,,LOW,AVERAGE,3,3,,,,,,,,,,,Seasonal work,,,Yes,,,,,2,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,12000,,,,,8800,10400,4000,0,8000,0,0,0,0,0,0,
011cfcc7cb904ca9bef76ef349d6953e,1,A SHOP,47,2,,Yes,,,2,1,2,0,0,,,August,2015,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,AVERAGE,AVERAGE,,,,,,,,,,,,,Seasonal work,Not profitable,,Yes,,,,,1,5,6,12,2,30,13,12,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,78000,,,,,25,10000,40000,0,102000,4000,0,0,0,0,0,
012fd3bf475d4aae838db8ab3f65ff71,1,FRYING AND SELLING OF KANYENYA,56,2,,Yes,,,2,2,,0,0,,,July,2017,Gift from family/friends,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,LOW,LOW,LOW,LOW,1,,,,,,,,,,,,Not profitable,,,Yes,,,,,2,14,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,,,,,15000,20000,14000,20000,0,1000,0,0,0,0,0,
0133f808dfb046de9addc429545a2436,1,SECOND HAND CLOTHES SELLING,47,2,,Yes,,,2,2,,0,0,,,June,2017,Gift from family/friends,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,LOW,LOW,AVERAGE,3,3,3,3,2,2,2,2,1,,,,,,,Yes,,,,,2,24,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,265000,340000,400000,,,,,72500,0,150000,40000,0,0,0,0,2500,MARKETFEE
013571e53664428bb6b5af0fe41ed089,1,MANDASI BUSINESS,47,1,,Yes,,,1,1,,0,0,,,April,2016,Loan from family/friends,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,LOW,,,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,1,1,1,,,,,,,,,,Lack of cash,Not profitable,,No,YES,,,,1,15,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,30000,40000,60000,,,,,10000,19000,0,1000,0,0,0,0,0,
013922eb280a466b83811d58362eda17,1,VEGETABLE SELLING BUSINESS,47,1,,Yes,,,1,1,,0,0,,,August,2016,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,AVERAGE,,,,,,1,3,1,2,2,3,,,,,,,Bad weather,,,Yes,,,,,1,24,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,36000,,,12000,36000,,,19200,0,16800,0,0,0,0,0,0,
015fbc00036045b0acb75851a03e9c03,1,SELLING OF MANDASI AND VEGETABLES,47,2,,Yes,,,2,2,,0,0,,,October,2019,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,HIGH,HIGH,AVERAGE,LOW,,,,,,,,,,,,,,,,Lack of cash,,,No,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,5000,6000,3000,2000,0,0,0,0,0,0,0,
0165135290cd45d1930e7edccf460174,1,HOME-MADE MBAULA,23,2,,No,Not Available During Time in the EA,,1,2,,0,0,,,April,2018,Sale of assets owned,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,AVERAGE,,,,,,,,,,2,3,,,,,,Other (Specify),Seasonal work,FARMING,Yes,,,,,2,21,6,3,1,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,85000,,,0,85000,,,80000,0,0,2000,0,0,0,0,3000,FUELWOOD
016c85f5ef8b48979f703783132b1205,1,BAKERY,45,2,,Yes,,,2,2,,0,0,,,October,2018,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,3,3,3,3,3,3,,,,,,,,,,Yes,,,,,2,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,24000,,,,,6000,15000,12000,12000,0,0,0,0,0,0,0,
016e9e1e34244a1581240d05c70a2d41,1,"SELLS BEANS, GROUNDNUTS ETC",47,2,,Yes,,,2,2,,0,0,,,June,2016,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,3,3,3,3,3,3,,,,,,,,,,Yes,,,,,2,31,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,30000,,,,,30000,30000,10000,0,20000,2000,0,0,0,0,0,
016e9e1e34244a1581240d05c70a2d41,2,SELLS GROCERY ITEMS,47,1,,No,Not Available During Time in the EA,,2,1,,0,0,,,March,2010,Own-savings from non-agriculture,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,AVERAGE,AVERAGE,LOW,LOW,LOW,HIGH,3,3,2,2,2,2,,,,,,,,,,Yes,,,,,1,31,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,10,20000,1,31,5,10000,0,,,,350000,,,200000,500000,,,100000,0,250000,15000,0,0,0,0,0,
0178693bc28449f393fda5b0ab909568,1,TAILORING SHOP,13,1,,No,Not Available During Time in the EA,,2,1,,0,0,,,June,2012,Own-savings from non-agriculture,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,LOW,LOW,LOW,,,,,1,2,2,1,,,,,,Lack of credit,Not profitable,,Yes,,,,,1,20,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,20000,25000,,,,,10000,5000,0,0,0,0,0,0,0,
018c49cda7fc485cab1f0e44ac25f55a,1,SELLING OF KITCHEN  WEAR,45,1,,Yes,,,1,1,,0,0,,,August,2008,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,AVERAGE,AVERAGE,AVERAGE,LOW,AVERAGE,AVERAGE,LOW,LOW,HIGH,AVERAGE,1,1,,,,,,,,,,,,,,Yes,,,,,1,8,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,280000,,,20000,50000,,,127000,140000,30000,13000,0,0,0,0,0,
0195bc6422b848e3bfda546c1cb53999,1,BEER BREWING,77,2,,Yes,,,2,2,,0,0,,,January,2018,Gift from family/friends,,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,AVERAGE,LOW,LOW,AVERAGE,2,2,2,,,,,,,,,,Not profitable,,,Yes,,,,,2,2,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,,,7000,13000,,,4000,4000,0,0,0,0,0,0,4000,FEES
019f2ab1dd0546ce9dc8e4bd60498991,1,GROCERIES SHOP BUSINESS,47,1,,Yes,,,1,1,,0,0,,,January,2019,Own-savings from non-agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,HIGH,LOW,AVERAGE,AVERAGE,,,,,,,,,,,,,Lack of cash,,,Yes,,,,,1,12,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,,,,,10000,15000,8000,0,18000,6000,0,0,0,0,0,
01a7c07265a64f9dacbce380400cb129,1,SHE OWN TEAROOM SHOP,56,1,2,Yes,,,2,1,2,0,0,,,January,2013,Loan from family/friends,Loan from money lender,,Home (outside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,HIGH,AVERAGE,2,2,3,2,2,1,1,3,3,3,,,Seasonal work,Lack of cash,,Yes,,,,,2,25,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,35000,,,,,10000,20000,10000,10000,5000,0,0,0,0,0,0,
01b3ce70d0f645fbb9fc54e4e8c656a4,1,BUYING AND SELLING OF TOMATOES,47,2,,Yes,,,2,2,,0,0,,,July,2019,Own-savings from agriculture,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,3,2,2,1,,,,,,,Not profitable,Lack of cash,,Yes,,,,,1,15,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,,,,,5000,8000,8000,0,0,0,0,0,0,0,0,
01bc84c07fd948e8bc4f1f6e3ea83def,1,SELLING THOBWA,45,1,,Yes,,,1,1,,0,0,,,March,2016,Savings club,,,Roadside,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,LOW,AVERAGE,AVERAGE,LOW,LOW,AVERAGE,2,2,2,3,3,3,,,,,,,,,,Yes,,,,,1,20,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,53000,2500,3000,,,,,35000,18000,0,0,0,0,0,0,0,
01e454ab9e88479db27bfce7d848392e,1,MIN BUS TAXI,49,1,,No,Not Available During Time in the EA,,2,1,,0,0,,,July,2017,Own-savings from agriculture,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,AVERAGE,2,1,1,,,,,,,,,,Seasonal work,,,Yes,,,,,1,24,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,300000,,,,,100000,150000,100000,20000,0,0,50000,0,0,50000,0,
01f93032e1e24ab5a6ac293e2f1ed7cb,1,SELLING FERTILIZER,47,1,,No,Not Available During Time in the EA,,2,1,,0,0,,,January,2016,Loan from family/friends,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,Seasonal work,,,No,YES,,,,1,31,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,9,25000,0,,,,0,,,,500000,,,,,500000,500000,100000,0,400000,10000,0,0,0,0,0,
01f93032e1e24ab5a6ac293e2f1ed7cb,2,SELLING MAIZE,47,1,,No,Not Available During Time in the EA,,1,1,,0,0,,,January,2016,Loan from family/friends,,,Traditional market place,,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,HIGH,2,2,2,,,,,,,,,,Seasonal work,,,No,YES,,,,1,31,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,108000,,,,,108000,108000,36000,0,72000,15000,0,0,0,0,0,
020832bd21934bd995e7673f5a430de2,1,FIREWOOD SELLING,2,1,,Yes,,,1,1,,0,0,,,August,2000,No start-up capital,,,Mobile,,,,Final consumers,,,NO,NO,NO,NO,YES,Own land,,,,,,,,,,,,,,LOW,2,2,2,1,1,1,2,3,2,,,,,,,Yes,,,,,1,26,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,7000,10000,12000,,,,,7000,0,0,0,0,0,0,0,0,
022aae14b41d46488caa895611177b7b,1,BAKING MANDAZI,47,2,,Yes,,,2,2,3,0,0,,,July,2018,Gift from family/friends,,,Home (inside residence),,,,Final consumers,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,LOW,LOW,AVERAGE,2,2,2,3,3,3,3,3,1,,,,,,,Yes,,,,,3,15,4,12,2,25,5,12,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,50000,65000,70000,,,,,17000,25000,0,8000,0,0,0,0,0,
