hhID,plotID,plot_area_reported,crop_area_share,planting_month,planting_year,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,latitude,longitude,GPS_level,plot_area_measured,harvest_month,harvest_year,source,country
H0010201,3,0.121408341530121,NA,7,2015,Sweet potatoes,NA,NA,NA,NA,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0010201,1,0.20234722784297854,40,8,2015,Maize,11,2014,12,2014,first,Ssembabule,Mateete,Nakagongo,Bukaana,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0120903,1,0.04046944617163739,100,4,2016,Maize,NA,NA,NA,NA,second,Kampala,Makindye Division,Salaama,Munyonyo,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0120903,1,0.04046944617163739,NA,7,2006,Banana food,11,2014,12,2014,first,Kampala,Makindye Division,Salaama,Munyonyo,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0120905,1,0.121408341530121,NA,1,2015,Sweet potatoes,NA,NA,NA,NA,first,Mukono,Nama,Namubiru,Kirangira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0120905,1,0.121408341530121,100,4,2016,Sweet potatoes,NA,NA,NA,NA,second,Mukono,Nama,Namubiru,Kirangira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,5,0.20234722784297854,NA,7,2015,Pumpkins,11,2014,12,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,4,0.121408341530121,100,3,2016,Maize,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,4,0.20234722784297854,10,1,2015,Paw paw,NA,NA,NA,NA,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,2,0.4046944556859571,100,5,2015,Yam,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,2,0.20234722784297854,NA,2,2015,Yam,11,2014,11,2015,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,5,0.121408341530121,100,3,2016,Beans,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,3,0.20234722784297854,NA,5,2015,Tomatoes,11,2014,11,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,6,0.16187778468654956,60,3,2014,Cassava,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,4,0.20234722784297854,40,6,2015,Cassava,NA,NA,NA,NA,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,1,0.4046944556859571,NA,9,2015,Beans,11,2014,11,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,4,0.20234722784297854,50,8,2015,Maize,12,2014,12,2014,first,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0180602,1,0.4046944556859571,100,3,2016,Pumpkins,NA,NA,NA,NA,second,Masaka,Kabonera,Kakunyu,Kakunyu,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,3,0.4046944556859571,NA,8,2015,Sweet potatoes,10,2014,12,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,1,0.4046944556859571,100,3,2016,Maize,NA,NA,NA,NA,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,3,0.20234722784297854,100,12,2015,Sweet potatoes,NA,NA,NA,NA,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,1,0.4046944556859571,NA,8,2015,Maize,11,2014,12,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,2,0.4046944556859571,40,3,2016,Beans,NA,NA,NA,NA,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,2,0.4046944556859571,50,8,2014,Cassava,NA,NA,NA,NA,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0211001,2,0.4046944556859571,50,8,2015,Beans,10,2014,11,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0230201,1,0.020234723085818737,NA,4,2007,Banana food,12,2015,12,2015,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0231001,1,0.020234723085818737,NA,6,2014,Banana food,NA,NA,NA,NA,first,Kampala,Nakawa Division,Kyanja,Kisaasi Central,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,1,1.2140833670578712,50,8,2015,Beans,10,2014,10,2014,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,2,0.8093889113719142,100,8,2015,Cassava,NA,NA,NA,NA,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,1,1.2140833670578712,50,9,2015,Banana food,NA,NA,NA,NA,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,3,0.8093889113719142,100,8,2015,Sweet potatoes,NA,NA,NA,NA,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,1,1.2140833670578712,100,9,2015,Banana food,NA,NA,NA,NA,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,2,0.4046944556859571,50,8,2015,Beans,10,2014,10,2014,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,3,0.4046944556859571,NA,8,2015,Sweet potatoes,NA,NA,NA,NA,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0271101,2,0.4046944556859571,50,8,2015,Cassava,NA,NA,NA,NA,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0340801,1,0.121408341530121,100,3,2016,Sweet potatoes,NA,NA,NA,NA,second,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0340801,2,NA,NA,NA,NA,Banana food,9,2014,12,2014,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0340801,2,0.16187778468654956,60,9,2015,Cassava,NA,NA,NA,NA,second,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0340801,2,0.16187778468654956,60,9,2015,Cassava,NA,NA,NA,NA,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0340801,1,0.121408341530121,NA,7,2015,Sweet potatoes,11,2014,12,2014,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,NA,NA,NA,NA,Banana beer,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,0.20234722784297854,10,8,2015,Beans,10,2014,10,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,3,0.050586806960744635,NA,9,2015,Sweet potatoes,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,2,0.10117361392148927,NA,8,2015,Maize,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,3,0.4046944556859571,100,3,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,4,0.10117361392148927,100,3,2016,Sweet potatoes,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,2,0.8093889113719142,90,3,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,0.20234722784297854,10,8,2015,Beans,11,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,0.20234722784297854,5,12,2014,Cassava,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360101,1,NA,NA,NA,NA,Banana sweet,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,2,0.3035208417644678,NA,9,2015,Groundnuts,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,6,0.20234722784297854,100,4,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,3,0.10117361392148927,100,3,2016,Sorghum,8,2015,8,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,8,0.4046944556859571,45,8,2015,Beans,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,7,0.20234722784297854,NA,8,2015,Groundnuts,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,8,0.4046944556859571,45,8,2015,Beans,11,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,3,0.3035208417644678,NA,8,2015,Maize,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,5,0.20234722784297854,100,4,2016,Sweet potatoes,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,4,0.4046944556859571,100,4,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,8,0.4046944556859571,50,4,2016,Beans,7,2015,8,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,2,0.20234722784297854,100,3,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,7,0.20234722784297854,100,3,2016,Groundnuts,8,2015,8,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,9,0.10117361392148927,100,3,2016,Soya beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,4,0.8093889113719142,NA,9,2015,Beans,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,5,0.20234722784297854,NA,8,2015,Sweet potatoes,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,6,0.20234722784297854,NA,8,2015,Maize,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,8,NA,NA,NA,NA,Cassava,8,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360201,8,0.4046944556859571,50,3,2016,Cassava,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,4,0.4046944556859571,60,4,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,2,0.14164305707791824,50,4,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,2,NA,NA,NA,NA,Cassava,10,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,4,0.4046944556859571,40,4,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,2,0.14164305707791824,50,8,2015,Beans,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,3,0.4046944556859571,40,8,2014,Maize,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,3,0.08093889234327478,100,3,2016,Sweet potatoes,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,3,0.4046944556859571,60,9,2014,Beans,11,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,2,0.14164305707791824,50,8,2015,Beans,11,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360301,2,0.14164305707791824,50,4,2016,Cassava,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,7,1.2140833670578712,80,8,2015,Beans,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,3,0.050586806960744635,NA,10,2015,Sweet potatoes,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,6,0.050586806960744635,NA,10,2015,Sweet potatoes,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,7,1.2140833670578712,20,8,2015,Maize,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,4,0.025091055842460946,NA,8,2015,Soya beans,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,4,0.050586806960744635,100,2,2016,Sweet potatoes,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,5,0.20234722784297854,100,3,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,2,0.10117361392148927,70,8,2015,Beans,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,5,0.050586806960744635,30,8,2015,Maize,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,5,0.050586806960744635,70,8,2015,Beans,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,2,0.10117361392148927,70,8,2015,Beans,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,1,0.20234722784297854,30,12,2014,Cassava,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,2,0.10117361392148927,30,8,2015,Maize,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,3,0.025091055842460946,100,3,2016,Soya beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,6,0.4046944556859571,100,3,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,2,0.12626467277915904,100,3,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360401,5,0.050586806960744635,70,8,2015,Beans,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,2,0.3035208417644678,70,8,2015,Beans,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,2,0.3035208417644678,70,8,2015,Beans,10,2014,10,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,2,0.3035208417644678,30,8,2015,Maize,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,1,0.10117361392148927,10,12,2015,Cassava,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,2,0.8093889113719142,100,3,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,1,0.10117361392148927,5,2,2016,Cassava,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,3,1.2140833670578712,100,3,2016,Maize,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,3,0.10117361392148927,NA,10,2015,Sweet potatoes,NA,NA,NA,NA,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360402,1,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kasejjere,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360403,4,0.20234722784297854,60,8,2014,Maize,11,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360403,2,0.20234722784297854,100,4,2016,Cassava,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360403,4,NA,NA,NA,NA,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360403,1,0.6070416835289356,70,3,2016,Beans,NA,NA,NA,NA,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
H0360403,3,0.20234722784297854,50,3,2014,Cassava,9,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda
