ea_id,com_cf01,com_cf02,com_cf03,com_cf04,com_cf05,com_cf06,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf14a,com_cf14b,com_cf14c,com_cf14d,com_cf14e,com_cf15a,com_cf15b,com_cf15c,com_cf15d,com_cf15e,com_cf16a,com_cf16b,com_cf16c,com_cf16d,com_cf16e,com_cf16f,com_cf16g,com_cf16h,com_cf16i,com_cf17a,com_cf17b,com_cf17c
10120288,yes,1ST HALF DEC,2ND HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,yes,,,yes,35,0,0,no,more,more,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,better,worse,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,yes,no,no
10201137,yes,2ND HALF NOV,1ST HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO EARLY,no,1,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,worse,no,no,no
10201210,yes,2ND HALF DEC,2ND HALF APR,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,no,5,km,no,,0,0,no,more,more,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME,worse,worse,NOT APPLICABLE,ABOUT THE SAME,worse,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,better,worse,MUCH BETTER,MUCH WORSE,NOT APPLICABLE,no,no,yes
10201247,yes,1ST HALF DEC,2ND HALF MAR,TOO LITTLE,TOO LATE,TOO EARLY,no,2,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,better,NOT APPLICABLE,NOT APPLICABLE,worse,worse,ABOUT THE SAME,worse,worse,yes,no,no
10201442,yes,1ST HALF DEC,2ND HALF MAR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,no,5,km,no,,0,0,no,more,more,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,worse,better,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,worse,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,no,no,no
10201688,yes,1ST HALF DEC,2ND HALF MAR,TOO LITTLE,TOO EARLY,TOO EARLY,yes,,,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,worse,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,worse,MUCH WORSE,worse,NOT APPLICABLE,no,no,no
10202195,yes,1ST HALF DEC,2ND HALF MAR,THE RIGHT AMOUNT,TOO LATE,TOO LATE,no,27,km,no,,0,0,no,more,more,more,NOT APPLICABLE,more,worse,NOT APPLICABLE,worse,ABOUT THE SAME,worse,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH WORSE,NOT APPLICABLE,no,no,yes
10202514,yes,1ST HALF DEC,2ND HALF MAR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO EARLY,no,4,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,worse,NOT APPLICABLE,worse,worse,worse,ABOUT THE SAME,worse,worse,worse,worse,worse,better,worse,worse,no,no,no
10203013,yes,1ST HALF DEC,1ST HALF MAY,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,no,12,km,no,,0,0,no,more,more,less,more,less,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,worse,MUCH WORSE,MUCH WORSE,MUCH BETTER,no,no,no
10203085,yes,1ST HALF DEC,2ND HALF APR,TOO LITTLE,TOO LATE,TOO EARLY,no,4,km,no,,0,0,no,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,worse,better,worse,worse,no,no,yes
10203176,yes,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,100,meter,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH WORSE,ABOUT THE SAME,better,NOT APPLICABLE,no,no,no
10203221,yes,1ST HALF DEC,1ST HALF MAY,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,no,2,km,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,NOT APPLICABLE,worse,worse,MUCH WORSE,MUCH BETTER,worse,worse,no,no,yes
10203623,yes,1ST HALF DEC,1ST HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,12,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,less,better,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,worse,worse,NOT APPLICABLE,NOT APPLICABLE,worse,ABOUT THE SAME,ABOUT THE SAME,worse,ABOUT THE SAME,no,no,yes
10203744,yes,2ND HALF DEC,1ST HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,8,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,better,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,worse,worse,worse,worse,no,no,yes
10204101,yes,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,8,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,better,worse,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,no,no,yes
10204322,yes,1ST HALF DEC,2ND HALF APR,TOO LITTLE,TOO LATE,TOO EARLY,yes,,,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,better,worse,better,better,ABOUT THE SAME,no,no,no
10204453,yes,1ST HALF DEC,1ST HALF MAY,TOO LITTLE,TOO EARLY,TOO EARLY,no,3,km,yes,300,0,0,no,more,more,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,worse,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,worse,better,better,ABOUT THE SAME,no,no,yes
10204586,yes,2ND HALF DEC,1ST HALF APR,TOO MUCH,AT THE RIGHT TIME,TOO LATE,yes,,,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,worse,worse,ABOUT THE SAME,MUCH WORSE,MUCH BETTER,no,no,no
10204723,yes,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,2,km,no,,0,0,no,more,more,less,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,better,worse,ABOUT THE SAME,better,worse,no,no,no
10205202,yes,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO EARLY,TOO EARLY,no,6,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,less,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,MUCH BETTER,MUCH BETTER,better,MUCH WORSE,MUCH WORSE,worse,worse,worse,better,worse,no,no,yes
10205507,yes,1ST HALF JAN,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,no,2,km,no,,0,0,no,more,more,less,ABOUT THE SAME NUMBER,less,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,NOT APPLICABLE,better,MUCH BETTER,worse,worse,ABOUT THE SAME,no,no,no
10220027,yes,1ST HALF DEC,1ST HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,no,3,km,no,,0,0,no,more,more,less,NOT APPLICABLE,less,worse,NOT APPLICABLE,worse,NOT APPLICABLE,worse,MUCH BETTER,worse,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,MUCH WORSE,worse,MUCH BETTER,worse,no,no,yes
10220103,yes,1ST HALF JAN,1ST HALF MAY,TOO LITTLE,TOO EARLY,TOO LATE,no,1,km,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,worse,worse,worse,NOT APPLICABLE,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,worse,better,worse,better,no,no,yes
10220521,yes,1ST HALF DEC,1ST HALF APR,THE RIGHT AMOUNT,TOO LATE,AT THE RIGHT TIME,no,2,km,no,,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,better,better,better,worse,worse,worse,worse,no,no,no
10220705,yes,1ST HALF DEC,2ND HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,no,20,meter,no,,0,1,no,ABOUT THE SAME NUMBER,more,more,more,more,MUCH WORSE,MUCH WORSE,MUCH WORSE,worse,worse,better,better,NOT APPLICABLE,NOT APPLICABLE,worse,worse,MUCH WORSE,better,worse,no,no,no
10301026,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,yes,1ST HALF DEC,1ST HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,yes,,,yes,50,0,0,no,more,more,more,NOT APPLICABLE,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,better,better,NOT APPLICABLE,better,better,better,yes,yes,yes
10301347,yes,1ST HALF DEC,2ND HALF APR,TOO MUCH,AT THE RIGHT TIME,AT THE RIGHT TIME,yes,,,yes,80,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,more,ABOUT THE SAME NUMBER,more,better,better,better,better,better,better,worse,worse,NOT APPLICABLE,better,better,better,worse,ABOUT THE SAME,no,no,no
10301663,yes,1ST HALF DEC,1ST HALF APR,TOO MUCH,TOO LATE,TOO LATE,yes,,,yes,15,0,0,no,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME NUMBER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,MUCH BETTER,better,better,ABOUT THE SAME,ABOUT THE SAME,better,better,worse,better,ABOUT THE SAME,no,no,no
10301741,yes,2ND HALF NOV,1ST HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,yes,,,no,,0,0,no,more,more,more,more,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,better,better,better,MUCH BETTER,better,better,worse,better,no,no,no
10302010,yes,2ND HALF DEC,1ST HALF MAY,THE RIGHT AMOUNT,TOO LATE,TOO LATE,no,8,km,no,,0,0,no,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,worse,NOT APPLICABLE,better,worse,better,better,NOT APPLICABLE,worse,NOT APPLICABLE,better,better,better,better,better,no,no,no
10303454,yes,2ND HALF DEC,2ND HALF APR,TOO MUCH,TOO LATE,TOO LATE,yes,,,no,,0,0,no,more,more,more,NOT APPLICABLE,NOT APPLICABLE,better,NOT APPLICABLE,better,better,MUCH BETTER,MUCH BETTER,better,better,better,better,better,MUCH BETTER,better,better,no,no,no
10304012,yes,2ND HALF DEC,1ST HALF APR,TOO LITTLE,TOO EARLY,TOO EARLY,yes,,,yes,40,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,less,less,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,worse,ABOUT THE SAME,no,no,yes
10304360,yes,2ND HALF DEC,2ND HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,yes,,,no,,3,3,no,more,more,more,NOT APPLICABLE,ABOUT THE SAME NUMBER,better,better,better,better,better,better,better,better,better,MUCH BETTER,ABOUT THE SAME,better,worse,better,no,no,no
10304625,yes,1ST HALF DEC,1ST HALF APR,TOO MUCH,TOO EARLY,TOO LATE,no,4,km,yes,30,0,0,no,more,more,more,ABOUT THE SAME NUMBER,more,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,worse,worse,better,MUCH BETTER,NOT APPLICABLE,better,better,better,no,no,no
10305446,yes,1ST HALF NOV,2ND HALF MAR,TOO LITTLE,TOO LATE,TOO EARLY,yes,,,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,better,better,better,better,better,better,better,worse,NOT APPLICABLE,better,worse,worse,worse,better,no,no,no
10306417,yes,1ST HALF DEC,1ST HALF MAY,TOO MUCH,TOO LATE,TOO LATE,no,6,km,no,,0,0,no,more,more,more,NOT APPLICABLE,more,worse,worse,worse,worse,worse,better,better,worse,NOT APPLICABLE,better,ABOUT THE SAME,worse,better,better,no,no,no
10306431,yes,1ST HALF DEC,2ND HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,no,10,km,no,,0,0,no,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,more,NOT APPLICABLE,more,better,NOT APPLICABLE,better,better,MUCH BETTER,ABOUT THE SAME,better,better,better,better,ABOUT THE SAME,better,worse,better,no,no,no
10307413,yes,2ND HALF NOV,2ND HALF MAR,TOO LITTLE,TOO EARLY,AT THE RIGHT TIME,yes,,,no,,2,2,yes,less,less,less,NOT APPLICABLE,less,better,better,better,better,better,better,NOT APPLICABLE,worse,worse,worse,better,better,better,better,no,no,no
10308129,yes,1ST HALF DEC,1ST HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,no,6,km,no,,0,0,yes,ABOUT THE SAME NUMBER,more,more,NOT APPLICABLE,NOT APPLICABLE,better,NOT APPLICABLE,better,better,better,MUCH BETTER,better,better,better,better,better,better,worse,better,no,no,no
