case_id,visit,ea_id,hh_n0a,hh_n0b,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08
101012150074,1,10101215,no,no,no,no,no,no,no,no,no,no
101012190012,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190018,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190025,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190032,1,10101219,yes,yes,yes,no,no,no,no,no,no,yes
101012190045,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190052,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190059,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190065,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190079,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190086,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190092,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190099,1,10101219,yes,yes,no,yes,no,no,no,no,no,no
101012190112,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190119,1,10101219,yes,yes,yes,no,no,no,no,no,no,no
101012190126,1,10101219,no,no,no,no,no,no,no,no,no,no
101012190139,1,10101219,no,no,no,no,no,no,no,no,no,no
101013550014,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550023,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550032,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550042,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550060,1,10101355,yes,yes,no,yes,no,no,no,no,no,no
101013550070,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550079,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550089,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550107,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550117,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550126,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550135,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550154,1,10101355,no,no,no,no,no,no,no,no,no,no
101013550164,1,10101355,yes,yes,no,yes,no,no,no,no,no,no
101013550173,1,10101355,yes,yes,no,yes,no,no,no,no,no,no
101013550192,1,10101355,no,no,no,no,no,no,no,no,no,no
101013740006,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740013,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740020,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740028,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740035,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740050,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740057,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740064,1,10101374,yes,yes,no,yes,no,no,no,no,no,no
101013740072,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740094,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740101,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740108,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740123,1,10101374,yes,yes,no,yes,no,no,no,no,no,no
101013740130,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740138,1,10101374,no,no,no,no,no,no,no,no,no,no
101013740152,1,10101374,yes,yes,no,no,no,no,no,no,no,yes
101014700012,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700026,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700029,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700032,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700034,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700055,1,10101470,yes,yes,no,yes,no,no,no,no,no,no
101014700079,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700128,1,10101470,yes,yes,no,yes,no,no,no,no,no,no
101014700135,1,10101470,yes,yes,no,yes,no,no,no,no,no,no
101014700148,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700156,1,10101470,yes,yes,no,no,yes,no,no,no,no,no
101014700200,1,10101470,no,no,no,no,no,no,no,no,no,no
101014700214,1,10101470,yes,yes,no,no,no,yes,no,no,no,no
101014700224,1,10101470,yes,yes,no,no,no,yes,no,no,no,no
101014700227,1,10101470,yes,yes,no,no,no,no,no,no,no,yes
101014700248,1,10101470,yes,yes,no,yes,no,no,no,no,no,no
101015620009,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620020,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620031,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620042,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620053,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620064,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620075,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620086,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620096,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620118,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620140,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620162,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620184,2,10101562,yes,yes,no,no,no,no,no,no,no,yes
101015620195,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620205,2,10101562,no,no,no,no,no,no,no,no,no,no
101015620227,2,10101562,no,no,no,no,no,no,no,no,no,no
101015680005,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680012,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680019,1,10101568,yes,yes,no,no,yes,no,no,no,no,no
101015680026,1,10101568,yes,yes,yes,no,yes,no,no,no,no,no
101015680033,1,10101568,yes,yes,yes,no,no,no,no,no,no,no
101015680046,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680053,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680060,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680067,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680081,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680088,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680095,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680102,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680116,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680130,1,10101568,no,no,no,no,no,no,no,no,no,no
101015680144,1,10101568,no,no,no,no,no,no,no,no,no,no
101017060006,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060007,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060011,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060015,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060022,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060026,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060030,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060033,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060041,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060045,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060048,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060052,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060059,1,10101706,yes,yes,no,no,no,yes,no,no,no,no
101017060063,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060067,1,10101706,no,no,no,no,no,no,no,no,no,no
101017060074,1,10101706,no,no,no,no,no,no,no,no,no,no
101020040001,1,10102004,yes,yes,no,no,yes,no,no,no,no,no
101020040008,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040012,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040015,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040028,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040031,1,10102004,yes,yes,no,yes,no,no,no,no,no,no
101020040034,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040039,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040042,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040059,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040061,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040093,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040101,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040104,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040121,1,10102004,no,no,no,no,no,no,no,no,no,no
101020040128,1,10102004,no,no,no,no,no,no,no,no,no,no
101023790001,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790005,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790008,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790012,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790015,1,10102379,yes,yes,no,yes,no,no,no,no,no,no
101023790026,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790029,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790033,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790040,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790043,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790047,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790051,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790058,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790061,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790065,1,10102379,no,no,no,no,no,no,no,no,no,no
101023790072,1,10102379,no,no,no,no,no,no,no,no,no,no
101026210012,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210018,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210024,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210030,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210042,1,10102621,yes,yes,no,no,no,yes,no,no,no,no
101026210048,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210054,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210061,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210073,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210079,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210085,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210091,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210103,1,10102621,yes,yes,no,no,no,yes,no,no,no,no
101026210109,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210115,1,10102621,no,no,no,no,no,no,no,no,no,no
101026210128,1,10102621,yes,yes,no,yes,no,no,no,no,no,no
101034140003,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140009,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140020,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140025,2,10103414,yes,yes,no,no,no,no,no,no,no,yes
101034140031,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140042,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140047,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140053,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140064,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140069,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140075,2,10103414,yes,yes,yes,no,no,no,no,no,no,no
101034140086,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140091,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140097,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140108,2,10103414,no,no,no,no,no,no,no,no,no,no
101034140114,2,10103414,yes,yes,no,no,no,yes,no,no,no,no
101034520001,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520003,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520005,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520007,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520009,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520011,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520015,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520017,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520019,1,10103452,yes,yes,no,yes,no,no,no,no,no,no
101034520023,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520025,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520029,1,10103452,yes,yes,no,yes,no,no,no,no,no,no
101034520033,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520035,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520037,1,10103452,no,no,no,no,no,no,no,no,no,no
101034520041,1,10103452,no,no,no,no,no,no,no,no,no,no
101036810007,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810011,1,10103681,yes,yes,no,no,no,no,no,no,no,yes
101036810015,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810019,1,10103681,yes,yes,no,no,no,no,no,no,no,yes
101036810027,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810031,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810036,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810040,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810048,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810052,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810056,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810060,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810068,1,10103681,yes,yes,no,no,no,no,no,no,no,yes
101036810072,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810077,1,10103681,no,no,no,no,no,no,no,no,no,no
101036810085,1,10103681,no,no,no,no,no,no,no,no,no,no
101041500004,1,10104150,yes,yes,no,no,no,yes,no,no,no,no
101041500006,1,10104150,yes,yes,yes,no,no,no,no,no,no,no
101041500012,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500013,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500015,1,10104150,yes,yes,no,no,no,no,no,no,no,yes
101041500023,1,10104150,yes,yes,no,no,no,no,no,no,no,yes
101041500027,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500045,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500048,1,10104150,yes,yes,no,no,yes,no,no,no,no,no
101041500053,1,10104150,yes,yes,no,no,yes,no,no,no,no,no
101041500054,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500057,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500063,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500067,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500076,1,10104150,no,no,no,no,no,no,no,no,no,no
101041500079,1,10104150,no,no,no,no,no,no,no,no,no,no
101043510001,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510007,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510012,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510018,1,10104351,yes,yes,no,yes,no,no,no,no,no,no
101043510024,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510036,1,10104351,yes,yes,no,no,no,no,no,no,no,yes
101043510042,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510048,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510054,1,10104351,yes,yes,no,no,yes,no,no,no,no,no
101043510066,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510078,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510084,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510096,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510102,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510108,1,10104351,no,no,no,no,no,no,no,no,no,no
101043510120,1,10104351,no,no,no,no,no,no,no,no,no,no
101044400008,1,10104440,yes,yes,yes,no,no,no,no,no,no,no
101044400015,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400021,1,10104440,yes,yes,yes,no,no,no,no,no,no,no
101044400028,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400042,1,10104440,yes,yes,no,no,yes,no,no,no,no,no
101044400049,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400055,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400062,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400076,1,10104440,yes,yes,yes,no,no,no,no,no,no,no
101044400083,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400089,1,10104440,yes,yes,no,no,no,no,no,no,no,yes
101044400096,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400110,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400117,1,10104440,yes,yes,yes,no,no,no,no,no,no,no
101044400123,1,10104440,no,no,no,no,no,no,no,no,no,no
101044400137,1,10104440,no,no,no,no,no,no,no,no,no,no
101053520010,1,10105352,yes,yes,yes,no,no,no,no,no,no,no
101053520015,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520022,1,10105352,yes,yes,no,no,no,no,no,yes,no,no
101053520029,1,10105352,yes,yes,no,yes,no,no,no,no,no,no
101053520044,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520051,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520059,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520066,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520081,1,10105352,yes,yes,no,no,yes,no,no,no,no,no
101053520088,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520095,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520103,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520117,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520125,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520132,1,10105352,no,no,no,no,no,no,no,no,no,no
101053520147,1,10105352,no,no,no,no,no,no,no,no,no,no
101055110011,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110021,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110031,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110041,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110061,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110071,1,10105511,yes,yes,no,no,yes,no,no,no,no,no
101055110081,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110091,1,10105511,yes,yes,no,yes,no,no,no,no,no,no
101055110111,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110121,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110131,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110141,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110161,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110171,1,10105511,yes,yes,no,no,no,no,no,no,no,yes
101055110181,1,10105511,no,no,no,no,no,no,no,no,no,no
101055110201,1,10105511,no,no,no,no,no,no,no,no,no,no
101055130005,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130017,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130037,1,10105513,yes,yes,no,no,yes,no,no,no,no,no
101055130040,1,10105513,yes,yes,no,yes,no,no,no,no,no,no
101055130049,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130082,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130084,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130099,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130116,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130133,1,10105513,yes,yes,no,no,no,yes,no,no,no,no
101055130136,1,10105513,yes,yes,no,no,no,yes,no,no,no,no
101055130137,1,10105513,yes,yes,no,yes,no,no,no,no,no,no
101055130138,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130140,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130161,1,10105513,no,no,no,no,no,no,no,no,no,no
101055130170,1,10105513,yes,yes,yes,no,yes,no,no,no,no,no
101202860016,1,10120286,yes,yes,no,no,yes,no,no,no,no,no
101202860027,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860039,1,10120286,yes,yes,no,no,yes,no,no,no,no,no
101202860050,1,10120286,yes,yes,no,no,yes,no,no,no,no,no
101202860074,1,10120286,yes,yes,no,no,yes,no,no,no,no,no
101202860085,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860097,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860108,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860131,1,10120286,yes,yes,no,no,yes,no,no,no,no,no
101202860143,1,10120286,yes,yes,no,no,no,no,no,yes,no,no
101202860155,1,10120286,yes,yes,yes,no,no,no,no,no,no,no
101202860166,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860189,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860201,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860212,1,10120286,no,no,no,no,no,no,no,no,no,no
101202860236,1,10120286,no,no,no,no,no,no,no,no,no,no
101202880006,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880013,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880020,1,10120288,yes,yes,no,no,yes,no,no,no,no,no
101202880027,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880034,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880041,1,10120288,yes,yes,no,no,no,no,no,no,no,yes
101202880048,1,10120288,yes,yes,no,no,yes,no,no,no,no,no
101202880055,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880069,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880090,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880097,1,10120288,yes,yes,no,no,yes,no,no,no,no,no
101202880104,1,10120288,yes,yes,no,no,no,no,no,no,no,yes
101202880118,1,10120288,yes,yes,no,yes,no,no,no,no,no,no
101202880125,1,10120288,yes,yes,no,no,yes,no,no,no,no,no
101202880132,1,10120288,no,no,no,no,no,no,no,no,no,no
101202880146,1,10120288,no,no,no,no,no,no,no,no,no,no
102011370001,1,10201137,yes,yes,no,no,no,no,no,no,yes,no
102011370013,1,10201137,yes,yes,no,no,yes,no,no,no,no,no
102011370027,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370035,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370036,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370045,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370076,1,10201137,yes,no,no,no,no,no,no,no,no,yes
102011370087,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370099,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370109,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370126,1,10201137,yes,yes,no,yes,no,no,no,no,no,no
102011370142,1,10201137,yes,yes,no,no,yes,no,no,no,no,no
102011370143,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370151,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370175,1,10201137,no,no,no,no,no,no,no,no,no,no
102011370184,1,10201137,no,no,no,no,no,no,no,no,no,no
102012100001,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100005,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100010,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100015,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100021,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100036,1,10201210,yes,yes,no,no,no,no,no,yes,no,no
102012100041,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100046,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100056,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100061,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100066,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100072,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100082,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100087,1,10201210,no,no,no,no,no,no,no,no,no,no
102012100092,1,10201210,yes,yes,no,yes,no,no,no,no,no,no
102012100102,1,10201210,no,no,no,no,no,no,no,no,no,no
102012470006,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470012,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470017,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470022,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470033,1,10201247,yes,yes,no,no,no,yes,no,no,no,no
102012470038,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470043,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470049,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470059,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470064,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470070,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470075,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470086,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470091,1,10201247,yes,yes,no,no,no,no,no,no,no,yes
102012470096,1,10201247,no,no,no,no,no,no,no,no,no,no
102012470107,1,10201247,no,no,no,no,no,no,no,no,no,no
102014420002,1,10201442,yes,yes,no,yes,no,no,no,no,no,no
102014420010,1,10201442,yes,yes,no,yes,no,no,no,no,no,no
102014420019,1,10201442,no,no,no,no,no,no,no,no,no,no
102014420027,1,10201442,yes,yes,no,yes,no,no,no,no,no,no
