ea_id,com_ce01a,com_ce01a_os,com_ce01b,com_ce01b_os,com_ce01c,com_ce01c_os,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_os,com_ce05b,com_ce05b_os,com_ce06,com_ce07,com_ce08a,com_ce08a_os,com_ce08b,com_ce08b_os,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10103414,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,no,,,,,,no,,,,,,,,
10103452,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10103681,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10104150,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10104351,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10104440,farming,,"BEER BREWING, KACHASU",,farming,,yes,ALMOST NONE,RURAL AREAS,farming,,,1,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10105352,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10105511,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10105513,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10120286,farming,,PROFFESSIONAL OCCUPATIONS,,,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10120288,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,farming,,yes,1/4,RURAL AREAS,farming,,,,no,,,,,,no,,,,,,,,
10201137,farming,,fishing,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10201210,farming,,"BEER BREWING, KACHASU",,,,yes,ALMOST NONE,RURAL AREAS,farming,,farming,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10201247,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10201442,farming,,fishing,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10201688,farming,,,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10202195,farming,,,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10202514,farming,,"FIREWOOD, CHARCOAL SELLING",,farming,,yes,ALMOST NONE,RURAL AREAS,OTHER (SPECIFY),KAYEREKERA URANIUM MINES,,,yes,RURAL AREAS,farming,,,,yes,1150,1,month,ALMOST NONE,1150,1,month,ALMOST NONE
10203013,farming,,,,,,no,,,,,,,yes,URBAN CENTRES,OTHER (SPECIFY),COAL MINING,,,no,,,,,,,,
10203085,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10203176,farming,,,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10203221,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10203623,farming,,,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10203744,farming,,OTHER (SPECIFY),THEY BREAK AND SELL QUARRY,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10204101,farming,,fishing,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10204322,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10204453,farming,,fishing,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10204586,farming,,,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10204723,farming,,fishing,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10205202,farming,,fishing,,,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10205507,farming,,,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10220027,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10220103,farming,,fishing,,"BEER BREWING, KACHASU",,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10220521,farming,,"BEER BREWING, KACHASU",,PROFFESSIONAL OCCUPATIONS,,no,,,,,,,yes,RURAL AREAS,farming,,,,yes,200,1,day,1/4,200,1,day,1/4
10220705,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,URBAN CENTRES,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,yes,RURAL AREAS,farming,,,,yes,200,1,day,1/2,200,1,day,1/4
10301026,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,3/4,RURAL AREAS,OTHER (SPECIFY),SOYALS,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10301306,farming,,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,ALMOST NONE,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,URBAN CENTRES,CIVIL SERVICE,,,,no,,,,,,,,
10301347,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10301663,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,yes,RURAL AREAS,farming,,fishing,,no,,,,,,,,
10301741,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,OTHER (SPECIFY),ESTATE WORK,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10302010,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,yes,RURAL AREAS,fishing,,,,no,,,,,,,,
10303454,farming,,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10304012,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEWORK,,,yes,RURAL AREAS,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,2400,2,week,ALMOST NONE,2400,2,week,ALMOST NONE
10304360,farming,,fishing,,PROFFESSIONAL OCCUPATIONS,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),COOKING,PROFFESSIONAL OCCUPATIONS,,yes,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,no,,,,,,,,
10304625,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10305446,fishing,,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,farming,,yes,RURAL AREAS,fishing,,farming,,no,,,,,,,,
10306417,farming,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEWORK,,,yes,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,no,,,,,,,,
10306431,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSE BOYS,OTHER (SPECIFY),STOREKEEPER,no,,,,,,no,,,,,,,,
10307413,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,fishing,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,OTHER (SPECIFY),NANNYING,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10308129,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,yes,RURAL AREAS,fishing,,farming,,no,,,,,,,,
10308636,fishing,,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,URBAN CENTRES,farming,,,,no,,,,,,,,
10309273,farming,,,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10309281,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,no,,,,,,,,
10310469,farming,,"BEER BREWING, KACHASU",,"FIREWOOD, CHARCOAL SELLING",,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10312048,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,OUTSIDE MALAWI,PROFFESSIONAL OCCUPATIONS,,OTHER (SPECIFY),WATCHMEN,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,180,1,day,ALMOST NONE,180,1,day,ALMOST NONE
10312078,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY/COOK,,,yes,URBAN CENTRES,farming,,,,yes,2800,2,week,ALMOST NONE,2800,2,week,ALMOST NONE
10312187,farming,,PROFFESSIONAL OCCUPATIONS,,farming,,yes,ALMOST NONE,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10312600,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD, CHARCOAL SELLING",,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEBOYS/HOUSEWORKERS,,,no,,,,,,yes,2400,2,week,ALMOST NONE,2400,2,week,ALMOST NONE
10320227,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,1/4,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,3500,1,month,ALMOST NONE,3500,1,month,ALMOST NONE
10401140,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10401212,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10401424,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,"BEER BREWING, KACHASU",,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10401502,farming,,fishing,,,,yes,ALMOST NONE,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10401522,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10401541,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,OUTSIDE MALAWI,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,OTHER (SPECIFY),HOUSEBOYS,yes,RURAL AREAS,farming,,,,yes,2400,2,week,ALMOST NONE,2400,2,week,ALMOST NONE
10401604,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,PROFFESSIONAL OCCUPATIONS,,no,,,,,,,,
10401635,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,RURAL AREAS,farming,,,,yes,6000,1,month,ALMOST NONE,6000,1,month,ALMOST NONE
10401742,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10402537,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,6000,1,month,1/4,6000,1,month,1/4
10403332,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10403488,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10404186,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,fishing,,yes,RURAL AREAS,fishing,,,,no,,,,,,,,
10404707,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10405213,farming,,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10405404,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,2400,2,week,ALMOST NONE,2400,2,week,ALMOST NONE
10407068,farming,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10407194,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10407628,farming,,fishing,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10408441,farming,,"FIREWOOD, CHARCOAL SELLING",,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,OTHER (SPECIFY),HOUSE WORK,yes,RURAL AREAS,farming,,farming,,yes,7500,1,month,3/4,7500,1,month,1/4
10409468,farming,,,,,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,,,yes,200,1,day,1/4,200,1,day,1/4
10420001,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,farming,,PROFFESSIONAL OCCUPATIONS,,no,,,,,,,,
10420035,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,no,,,,,,no,,,,,,,,
10420080,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,RURAL AREAS,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,200,1,day,1/4,200,1,day,1/4
10501055,farming,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEKEEPING,,,no,,,,,,no,,,,,,,,
10501216,farming,,,,,,yes,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),COOKING,OTHER (SPECIFY),GARDEN BOYS,no,,,,,,no,,,,,,,,
10501505,farming,,"FIREWOOD, CHARCOAL SELLING",,,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,,,no,,,,,,no,,,,,,,,
10501709,farming,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),QUASSING,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,OTHER (SPECIFY),COOKS,yes,RURAL AREAS,farming,,OTHER (SPECIFY),HERDING ANIMALS,no,,,,,,,,
10502043,farming,,,,,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10502268,farming,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10502439,farming,,"FIREWOOD, CHARCOAL SELLING",,,,no,,,,,,,no,,,,,,no,,,,,,,,
10502593,farming,,OTHER (SPECIFY),GANYU,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),CLEANERS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10502730,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10503211,farming,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10503367,farming,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,yes,1/4,URBAN CENTRES,OTHER (SPECIFY),GENERAL LABOR,,,no,,,,,,no,,,,,,,,
10505136,farming,,"BEER BREWING, KACHASU",,OTHER (SPECIFY),GOING TO RSA,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10505151,farming,,,,,,yes,3/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,,,yes,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,,
10505231,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10505310,farming,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10505508,farming,,,,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),CLEANERS,,,no,,,,,,no,,,,,,,,
10506127,farming,,"FIREWOOD, CHARCOAL SELLING",,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,PROFFESSIONAL OCCUPATIONS,,yes,RURAL AREAS,farming,,,,yes,200,2,week,1/2,200,2,week,1/4
10506548,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,3/4,URBAN CENTRES,CIVIL SERVICE,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10507175,farming,,,,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GANYU,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10507344,farming,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),GANYU LABOUR,yes,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),RSA LABOURER(GARDEN BOY/COOK),,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10508369,farming,,,,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10509319,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,yes,RURAL AREAS,OTHER (SPECIFY),(TENANTS) FARMING LABOUR,,,no,,,,,,,,
10509474,farming,,,,,,yes,1/4,URBAN CENTRES,farming,,,,no,,,,,,no,,,,,,,,
10510388,farming,,"BEER BREWING, KACHASU",,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10732047,PROFFESSIONAL OCCUPATIONS,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,no,,,,,,no,,,,,,,,
10732070,farming,,"FIREWOOD, CHARCOAL SELLING",,,,no,,,,,,,yes,RURAL AREAS,farming,,,,no,,,,,,,,
10732192,farming,,OTHER (SPECIFY),GANYU,,,no,,,,,,,yes,RURAL AREAS,farming,,OTHER (SPECIFY),BUILDERS,yes,200,1,day,ALMOST NONE,200,1,day,ALMOST NONE
10733465,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,yes,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,,
10733640,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,,,yes,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,,,yes,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,,
10734370,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,URBAN CENTRES,farming,,,,yes,500,1,week,ALMOST ALL,200,2,week,ALMOST ALL
10734393,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,,,no,,,,,,,no,,,,,,no,,,,,,,,
10734407,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),CLEANERS,,,yes,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10734762,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),EMPLOYEES,,,yes,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),GENERAL LABOR,,,yes,RURAL AREAS,OTHER (SPECIFY),LABOR,,,no,,,,,,,,
