case_id,visit,ea_id,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f07_os,hh_f08,hh_f08_os,hh_f09,hh_f09_os,hh_f10,hh_f11,hh_f11_os,hh_f12,hh_f12_os,hh_f13,hh_f14,hh_f15,hh_f15_os,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20a_os,hh_f20b,hh_f20b_os,hh_f21,hh_f22,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f31,hh_f32,hh_f33a,hh_f33b,hh_f34,hh_f35,hh_f36,hh_f36_os,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f41_os,hh_f42,hh_f43,hh_f43_os,hh_f44,hh_f45,hh_f46,hh_f47
101010160159,1,10101016,Owned,12000,500,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,10,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
101010160180,1,10101016,Owned,5000,250,Month,,,10,Traditional,Mud brick,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,2,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,8,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101010160207,1,10101016,Owned,20000,2000,Month,,,1,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Electricity,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,1,Hour,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,No,,,
101010160235,1,10101016,Owned,8000,600,Month,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,200,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
101010160254,1,10101016,Owned,10000,500,Month,,,1,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Community woodlot,,5,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,1,320,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
101010160265,1,10101016,Owned,30000,500,Month,,,Don't Know,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,Yes,No,
101012040003,2,10101204,Owned,29000,750,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Community woodlot,,7,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
101012040007,2,10101204,Owned,25000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,10,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,No,
101012040011,2,10101204,Owned,15000,300,Month,,,6,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,1,1000,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Other (specify),BUSH,Yes,Yes,Yes,"Yes, for all children under five"
101012040020,2,10101204,Owned,18500,700,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,No,,,
101012040024,2,10101204,Owned,24000,600,Month,,,3,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,Yes,Yes,"Yes, for all children under five"
101012040028,2,10101204,Owned,40000,1000,Month,,,3,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,600,Borehole,,0,2,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101012040037,2,10101204,Owned,30000,200,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Forest reserve,,90,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,100,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012040041,2,10101204,Owned,14000,700,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101012040045,2,10101204,Owned,10000,500,Month,,,9,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,4,Minute,All year around,,Traditional latrine with roof,,Household members only,Burning,,No,,,
101012040054,2,10101204,Owned,60000,1000,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,1,200,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101012040058,2,10101204,Owned,35000,400,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Forest reserve,,70,Minute,None,400,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Latrine without roof,,Household members only,Rubbish pit,,Yes,Yes,No,
101012040062,2,10101204,Owned,15000,500,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
101012040071,2,10101204,Rented,,,,200,Month,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Forest reserve,,90,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,1,2000,Communal standpipe,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,No,
101012040075,2,10101204,Owned,10000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,15,Minute,None,120,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012040079,2,10101204,Owned,25000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,120,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,20,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,Yes,"Yes, for all children under five"
101012040087,2,10101204,Owned,50000,1000,Month,,,8,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,25,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,8,Minute,All year around,,Traditional latrine with roof,,Other households also,None,,Yes,Yes,No,
101012150001,1,10101215,Owned,15000,1000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,No,
101012150004,1,10101215,"Free, authorised",,100,Month,,,Don't Know,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
101012150021,1,10101215,Owned,15000,400,Month,,,9,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Collected firewood,,Collected firewood,,,,Forest reserve,,3,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for some children under five"
101012150022,1,10101215,Owned,28000,800,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,210,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,12,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
101012150026,1,10101215,Owned,15000,200,Month,,,8,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,1,1500,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
101012150028,1,10101215,Owned,12000,3000,Year,,,2,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,100,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,No,,,
101012150034,1,10101215,Owned,40000,1000,Month,,,8,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,1,300,Borehole,,150,20,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
101012150038,1,10101215,Owned,3000,200,Month,,,4,Traditional,Mud,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,1,Hour,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,100,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,No,,,
101012150040,1,10101215,Owned,11000,1000,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,70,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Other households also,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
101012150045,1,10101215,Owned,15000,300,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,500,No,,,,,,,,,,,,No,,,,No,,,,0,,Other (specify),PIPED AT HEALTH CENTER,0,15,Minute,All year around,,None,,,Public rubbish heap,,Yes,Yes,No,
101012150048,1,10101215,Owned,150000,1500,Month,,,1,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,6,Parrafin,,Puchased firewood,,,Yes,Unfarmed areas of community,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,2,750,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012150049,1,10101215,Owned,40000,1500,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,3,Parrafin,,Puchased firewood,,,No,,,,,,300,No,,,,,,,,,,,,No,,,,No,,,,2,2000,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012150053,1,10101215,Owned,12000,800,Month,,,8,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
101012150059,1,10101215,Owned,20000,2000,Month,,,1,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,1,Hour,None,300,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101012150060,1,10101215,Owned,13000,500,Month,,,22,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,2,Hour,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,None,,,Public rubbish heap,,No,,,
101012150074,1,10101215,Owned,20000,6000,Year,,,11,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,2,Hour,None,700,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,All nets treated & less than 6 months old,Yes,"Yes, for all children under five"
101012190012,1,10101219,Employer provides,,300,Month,,,8,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,2,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,No,,,
101012190018,1,10101219,Owned,100000,400,Month,,,4,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,3,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
101012190025,1,10101219,Owned,300000,2000,Month,,,Don't Know,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,6,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,No,
101012190032,1,10101219,Owned,80000,200,Month,,,3,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,40,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012190045,1,10101219,Owned,30000,500,Month,,,14,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Community woodlot,,30,Minute,None,200,No,,,,,,,,,,,,No,,,,No,,,,1,600,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Other (specify),BUSH,No,,,
101012190052,1,10101219,Owned,100000,800,Month,,,2,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,5,Parrafin,,Collected firewood,,,,Community woodlot,,30,Minute,None,80,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,8,Minute,All year around,,Traditional latrine with roof,,Other households also,Rubbish pit,,Yes,No,No,
101012190059,1,10101219,Owned,30000,1500,Month,,,5,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,20,Minute,All year around,,Traditional latrine with roof,,Household members only,Other (specify),BUSH,No,,,
101012190065,1,10101219,Owned,25000,500,Month,,,5,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Community woodlot,,30,Minute,None,80,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,Yes,Yes,"Yes, for all children under five"
101012190079,1,10101219,Rented,,,,600,Month,15,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Puchased firewood,,,Yes,Forest reserve,,45,Minute,None,50,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,15,Minute,All year around,,Traditional latrine with roof,,Other households also,Other (specify),IN PLOT/FIELD,Yes,No,Yes,"Yes, for all children under five"
101012190086,1,10101219,"Free, authorised",,500,Month,,,58,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Forest reserve,,40,Minute,None,80,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,20,Minute,Only rainy season,Communal standpipe,Traditional latrine with roof,,Other households also,Other (specify),IN PLOT/FIELD,No,,,
101012190092,1,10101219,Owned,75000,500,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Forest reserve,,50,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,10,Minute,Only rainy season,Communal standpipe,Traditional latrine with roof,,Other households also,Other (specify),IN PLOT/FIELD,Yes,No,No,
101012190099,1,10101219,Owned,50000,700,Month,,,6,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,6,Battery/dry cell,,Puchased firewood,,,Yes,Own woodlot,,3,Minute,Almost all,200,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,10,Minute,Only rainy season,Communal standpipe,Traditional latrine with roof,,Household members only,Other (specify),IN PLOT/FIELD,No,,,
101012190112,1,10101219,Owned,30000,400,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,25,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,No,
101012190119,1,10101219,Owned,40000,5000,Month,,,6,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Forest reserve,,2,Hour,None,120,No,,,,,,,,,,,,No,,,,No,,,,0,,River/stream,,0,15,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,No,,,
101012190126,1,10101219,Owned,38000,300,Month,,,3,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Parrafin,,Collected firewood,,,,Forest reserve,,1,Hour,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,18,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,No,
101012190139,1,10101219,Owned,60000,500,Month,,,4,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,5,Parrafin,,Collected firewood,,,,Community woodlot,,50,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Communal standpipe,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Public rubbish heap,,Yes,No,Yes,"Yes, for all children under five"
101013550014,1,10101355,Owned,15000,500,Month,,,7,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,1,200,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,No,No,
101013550023,1,10101355,Owned,15000,300,Month,,,10,Traditional,Compacted earth,,Grass,,Smoothed mud,,3,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,No,,,
101013550032,1,10101355,Owned,150000,1000,Month,,,2,Permanent,Burnt bricks,,Iron sheets,,Smooth cement,,5,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,30,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,2,260,Borehole,,0,10,Minute,All year around,,Traditional latrine with roof,,Household members only,None,,Yes,Yes,Yes,"Yes, for all children under five"
101013550042,1,10101355,Owned,15000,500,Month,,,39,Traditional,Compacted earth,,Grass,,Smoothed mud,,2,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,20,Minute,None,60,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,10,Minute,All year around,,None,,,None,,No,,,
101013550060,1,10101355,Owned,57000,2000,Month,,,6,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Battery/dry cell,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,150,No,,,,,,,,,,,,No,,,,No,,,,0,,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
101013550070,1,10101355,Owned,100000,3000,Month,,,6,Permanent,Burnt bricks,,Iron sheets,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,10,Minute,None,500,No,,,,,,,,,,,,No,,,,No,,,,2,1600,Borehole,,0,30,Minute,All year around,,Traditional latrine with roof,,Household members only,Rubbish pit,,Yes,No,Yes,"Yes, for all children under five"
101013550079,1,10101355,Owned,80000,500,Month,,,2,Semi-Permanent,Burnt bricks,,Grass,,Smoothed mud,,4,Parrafin,,Collected firewood,,,,Unfarmed areas of community,,5,Minute,None,100,No,,,,,,,,,,,,No,,,,No,,,,2,600,Borehole,,0,5,Minute,All year around,,Traditional latrine with roof,,Other households also,Other (specify),BUSH,Yes,Yes,Yes,"Yes, for all children under five"
