case_id,visit,ea_id,hh_g09,hh_g10a,hh_g10b,hh_g10c,hh_g11
101015620064,2,10101562,Yes,C,Adults 16-65 years,3,3
101015620064,2,10101562,Yes,D,People over 66 years old,0,0
101015620075,2,10101562,Yes,A,Children 0-5 years,0,0
101015620075,2,10101562,Yes,B,Children 6-15 years,0,0
101015620075,2,10101562,Yes,C,Adults 16-65 years,7,21
101015620075,2,10101562,Yes,D,People over 66 years old,0,0
101015620086,2,10101562,No,,,,
101015620096,2,10101562,No,,,,
101015620118,2,10101562,No,,,,
101015620140,2,10101562,No,,,,
101015620162,2,10101562,Yes,A,Children 0-5 years,0,0
101015620162,2,10101562,Yes,B,Children 6-15 years,2,2
101015620162,2,10101562,Yes,C,Adults 16-65 years,1,1
101015620162,2,10101562,Yes,D,People over 66 years old,0,0
101015620184,2,10101562,No,,,,
101015620195,2,10101562,No,,,,
101015620205,2,10101562,No,,,,
101015620227,2,10101562,No,,,,
101015680005,1,10101568,No,,,,
101015680012,1,10101568,Yes,A,Children 0-5 years,3,6
101015680012,1,10101568,Yes,B,Children 6-15 years,0,0
101015680012,1,10101568,Yes,C,Adults 16-65 years,2,3
101015680012,1,10101568,Yes,D,People over 66 years old,0,0
101015680019,1,10101568,No,,,,
101015680026,1,10101568,Yes,A,Children 0-5 years,7,18
101015680026,1,10101568,Yes,B,Children 6-15 years,0,0
101015680026,1,10101568,Yes,C,Adults 16-65 years,7,18
101015680026,1,10101568,Yes,D,People over 66 years old,0,0
101015680033,1,10101568,No,,,,
101015680046,1,10101568,No,,,,
101015680053,1,10101568,No,,,,
101015680060,1,10101568,Yes,A,Children 0-5 years,2,2
101015680060,1,10101568,Yes,B,Children 6-15 years,0,0
101015680060,1,10101568,Yes,C,Adults 16-65 years,0,0
101015680060,1,10101568,Yes,D,People over 66 years old,0,0
101015680067,1,10101568,Yes,A,Children 0-5 years,3,2
101015680067,1,10101568,Yes,B,Children 6-15 years,0,0
101015680067,1,10101568,Yes,C,Adults 16-65 years,0,0
101015680067,1,10101568,Yes,D,People over 66 years old,0,0
101015680081,1,10101568,Yes,A,Children 0-5 years,0,0
101015680081,1,10101568,Yes,B,Children 6-15 years,0,0
101015680081,1,10101568,Yes,C,Adults 16-65 years,1,1
101015680081,1,10101568,Yes,D,People over 66 years old,0,0
101015680088,1,10101568,Yes,A,Children 0-5 years,0,0
101015680088,1,10101568,Yes,B,Children 6-15 years,0,0
101015680088,1,10101568,Yes,C,Adults 16-65 years,3,3
101015680088,1,10101568,Yes,D,People over 66 years old,0,0
101015680095,1,10101568,No,,,,
101015680102,1,10101568,No,,,,
101015680116,1,10101568,No,,,,
101015680130,1,10101568,No,,,,
101015680144,1,10101568,Yes,A,Children 0-5 years,0,0
101015680144,1,10101568,Yes,B,Children 6-15 years,2,4
101015680144,1,10101568,Yes,C,Adults 16-65 years,0,0
101015680144,1,10101568,Yes,D,People over 66 years old,0,0
101017060006,1,10101706,Yes,A,Children 0-5 years,0,0
101017060006,1,10101706,Yes,B,Children 6-15 years,0,0
101017060006,1,10101706,Yes,C,Adults 16-65 years,2,4
101017060006,1,10101706,Yes,D,People over 66 years old,0,0
101017060007,1,10101706,No,,,,
101017060011,1,10101706,Yes,A,Children 0-5 years,0,0
101017060011,1,10101706,Yes,B,Children 6-15 years,0,0
101017060011,1,10101706,Yes,C,Adults 16-65 years,3,4
101017060011,1,10101706,Yes,D,People over 66 years old,0,0
101017060015,1,10101706,No,,,,
101017060022,1,10101706,Yes,A,Children 0-5 years,0,0
101017060022,1,10101706,Yes,B,Children 6-15 years,2,1
101017060022,1,10101706,Yes,C,Adults 16-65 years,0,0
101017060022,1,10101706,Yes,D,People over 66 years old,0,0
101017060026,1,10101706,Yes,A,Children 0-5 years,0,0
101017060026,1,10101706,Yes,B,Children 6-15 years,1,1
101017060026,1,10101706,Yes,C,Adults 16-65 years,0,0
101017060026,1,10101706,Yes,D,People over 66 years old,0,0
101017060030,1,10101706,No,,,,
101017060033,1,10101706,No,,,,
101017060041,1,10101706,Yes,A,Children 0-5 years,0,0
101017060041,1,10101706,Yes,B,Children 6-15 years,0,0
101017060041,1,10101706,Yes,C,Adults 16-65 years,2,2
101017060041,1,10101706,Yes,D,People over 66 years old,0,0
101017060045,1,10101706,No,,,,
101017060048,1,10101706,Yes,A,Children 0-5 years,0,0
101017060048,1,10101706,Yes,B,Children 6-15 years,2,2
101017060048,1,10101706,Yes,C,Adults 16-65 years,3,3
101017060048,1,10101706,Yes,D,People over 66 years old,0,0
101017060052,1,10101706,Yes,A,Children 0-5 years,0,0
101017060052,1,10101706,Yes,B,Children 6-15 years,0,0
101017060052,1,10101706,Yes,C,Adults 16-65 years,1,1
101017060052,1,10101706,Yes,D,People over 66 years old,0,0
101017060059,1,10101706,No,,,,
101017060063,1,10101706,Yes,A,Children 0-5 years,3,2
101017060063,1,10101706,Yes,B,Children 6-15 years,0,0
101017060063,1,10101706,Yes,C,Adults 16-65 years,0,0
101017060063,1,10101706,Yes,D,People over 66 years old,0,0
101017060067,1,10101706,No,,,,
101017060074,1,10101706,No,,,,
101020040001,1,10102004,No,,,,
101020040008,1,10102004,No,,,,
101020040012,1,10102004,No,,,,
101020040015,1,10102004,No,,,,
101020040028,1,10102004,No,,,,
101020040031,1,10102004,Yes,A,Children 0-5 years,1,1
101020040031,1,10102004,Yes,B,Children 6-15 years,2,3
101020040031,1,10102004,Yes,C,Adults 16-65 years,0,0
101020040031,1,10102004,Yes,D,People over 66 years old,0,0
101020040034,1,10102004,Yes,A,Children 0-5 years,0,0
101020040034,1,10102004,Yes,B,Children 6-15 years,3,3
101020040034,1,10102004,Yes,C,Adults 16-65 years,0,0
101020040034,1,10102004,Yes,D,People over 66 years old,0,0
101020040039,1,10102004,No,,,,
101020040042,1,10102004,No,,,,
101020040059,1,10102004,No,,,,
101020040061,1,10102004,No,,,,
101020040093,1,10102004,No,,,,
101020040101,1,10102004,No,,,,
101020040104,1,10102004,No,,,,
101020040121,1,10102004,No,,,,
101020040128,1,10102004,No,,,,
101023790001,1,10102379,No,,,,
101023790005,1,10102379,No,,,,
101023790008,1,10102379,Yes,A,Children 0-5 years,0,0
101023790008,1,10102379,Yes,B,Children 6-15 years,2,2
101023790008,1,10102379,Yes,C,Adults 16-65 years,0,0
101023790008,1,10102379,Yes,D,People over 66 years old,3,4
101023790012,1,10102379,No,,,,
101023790015,1,10102379,No,,,,
101023790026,1,10102379,Yes,A,Children 0-5 years,0,0
101023790026,1,10102379,Yes,B,Children 6-15 years,1,1
101023790026,1,10102379,Yes,C,Adults 16-65 years,3,3
101023790026,1,10102379,Yes,D,People over 66 years old,0,0
101023790029,1,10102379,No,,,,
101023790033,1,10102379,Yes,A,Children 0-5 years,0,0
101023790033,1,10102379,Yes,B,Children 6-15 years,0,0
101023790033,1,10102379,Yes,C,Adults 16-65 years,1,2
101023790033,1,10102379,Yes,D,People over 66 years old,0,0
101023790040,1,10102379,Yes,A,Children 0-5 years,0,0
101023790040,1,10102379,Yes,B,Children 6-15 years,0,0
101023790040,1,10102379,Yes,C,Adults 16-65 years,2,4
101023790040,1,10102379,Yes,D,People over 66 years old,0,0
101023790043,1,10102379,No,,,,
101023790047,1,10102379,Yes,A,Children 0-5 years,0,0
101023790047,1,10102379,Yes,B,Children 6-15 years,2,4
101023790047,1,10102379,Yes,C,Adults 16-65 years,0,0
101023790047,1,10102379,Yes,D,People over 66 years old,0,0
101023790051,1,10102379,No,,,,
101023790058,1,10102379,No,,,,
101023790061,1,10102379,No,,,,
101023790065,1,10102379,No,,,,
101023790072,1,10102379,Yes,A,Children 0-5 years,0,0
101023790072,1,10102379,Yes,B,Children 6-15 years,0,0
101023790072,1,10102379,Yes,C,Adults 16-65 years,4,3
101023790072,1,10102379,Yes,D,People over 66 years old,2,2
101026210012,1,10102621,No,,,,
101026210018,1,10102621,Yes,A,Children 0-5 years,0,0
101026210018,1,10102621,Yes,B,Children 6-15 years,0,0
101026210018,1,10102621,Yes,C,Adults 16-65 years,1,1
101026210018,1,10102621,Yes,D,People over 66 years old,0,0
101026210024,1,10102621,Yes,A,Children 0-5 years,0,0
101026210024,1,10102621,Yes,B,Children 6-15 years,0,0
101026210024,1,10102621,Yes,C,Adults 16-65 years,2,2
101026210024,1,10102621,Yes,D,People over 66 years old,0,0
101026210030,1,10102621,Yes,A,Children 0-5 years,0,0
101026210030,1,10102621,Yes,B,Children 6-15 years,0,0
101026210030,1,10102621,Yes,C,Adults 16-65 years,2,2
101026210030,1,10102621,Yes,D,People over 66 years old,0,0
101026210042,1,10102621,No,,,,
101026210048,1,10102621,No,,,,
101026210054,1,10102621,No,,,,
101026210061,1,10102621,No,,,,
101026210073,1,10102621,Yes,A,Children 0-5 years,2,1
101026210073,1,10102621,Yes,B,Children 6-15 years,2,1
101026210073,1,10102621,Yes,C,Adults 16-65 years,0,0
101026210073,1,10102621,Yes,D,People over 66 years old,0,0
101026210079,1,10102621,Yes,A,Children 0-5 years,0,0
101026210079,1,10102621,Yes,B,Children 6-15 years,2,1
101026210079,1,10102621,Yes,C,Adults 16-65 years,0,0
101026210079,1,10102621,Yes,D,People over 66 years old,0,0
101026210085,1,10102621,Yes,A,Children 0-5 years,1,2
101026210085,1,10102621,Yes,B,Children 6-15 years,0,0
101026210085,1,10102621,Yes,C,Adults 16-65 years,2,2
101026210085,1,10102621,Yes,D,People over 66 years old,0,0
101026210091,1,10102621,Yes,A,Children 0-5 years,2,1
101026210091,1,10102621,Yes,B,Children 6-15 years,1,1
101026210091,1,10102621,Yes,C,Adults 16-65 years,0,0
101026210091,1,10102621,Yes,D,People over 66 years old,0,0
101026210103,1,10102621,No,,,,
101026210109,1,10102621,No,,,,
101026210115,1,10102621,No,,,,
101026210128,1,10102621,Yes,A,Children 0-5 years,0,0
101026210128,1,10102621,Yes,B,Children 6-15 years,0,0
101026210128,1,10102621,Yes,C,Adults 16-65 years,0,0
101026210128,1,10102621,Yes,D,People over 66 years old,1,2
101034140003,2,10103414,No,,,,
101034140009,2,10103414,Yes,A,Children 0-5 years,0,0
101034140009,2,10103414,Yes,B,Children 6-15 years,0,0
101034140009,2,10103414,Yes,C,Adults 16-65 years,7,14
101034140009,2,10103414,Yes,D,People over 66 years old,0,0
101034140020,2,10103414,Yes,A,Children 0-5 years,0,0
101034140020,2,10103414,Yes,B,Children 6-15 years,0,0
101034140020,2,10103414,Yes,C,Adults 16-65 years,3,6
101034140020,2,10103414,Yes,D,People over 66 years old,0,0
101034140025,2,10103414,No,,,,
101034140031,2,10103414,Yes,A,Children 0-5 years,0,0
101034140031,2,10103414,Yes,B,Children 6-15 years,0,0
101034140031,2,10103414,Yes,C,Adults 16-65 years,4,12
101034140031,2,10103414,Yes,D,People over 66 years old,0,0
101034140042,2,10103414,No,,,,
101034140047,2,10103414,No,,,,
101034140053,2,10103414,Yes,A,Children 0-5 years,1,1
101034140053,2,10103414,Yes,B,Children 6-15 years,0,0
101034140053,2,10103414,Yes,C,Adults 16-65 years,0,0
101034140053,2,10103414,Yes,D,People over 66 years old,0,0
101034140064,2,10103414,No,,,,
101034140069,2,10103414,Yes,A,Children 0-5 years,2,2
101034140069,2,10103414,Yes,B,Children 6-15 years,0,0
101034140069,2,10103414,Yes,C,Adults 16-65 years,1,1
101034140069,2,10103414,Yes,D,People over 66 years old,0,0
101034140075,2,10103414,Yes,A,Children 0-5 years,2,2
101034140075,2,10103414,Yes,B,Children 6-15 years,1,1
101034140075,2,10103414,Yes,C,Adults 16-65 years,2,2
101034140075,2,10103414,Yes,D,People over 66 years old,0,0
101034140086,2,10103414,No,,,,
101034140091,2,10103414,No,,,,
101034140097,2,10103414,No,,,,
101034140108,2,10103414,No,,,,
101034140114,2,10103414,Yes,A,Children 0-5 years,0,0
101034140114,2,10103414,Yes,B,Children 6-15 years,0,0
101034140114,2,10103414,Yes,C,Adults 16-65 years,1,2
101034140114,2,10103414,Yes,D,People over 66 years old,0,0
101034520001,1,10103452,Yes,A,Children 0-5 years,0,0
101034520001,1,10103452,Yes,B,Children 6-15 years,0,0
101034520001,1,10103452,Yes,C,Adults 16-65 years,2,2
101034520001,1,10103452,Yes,D,People over 66 years old,0,0
101034520003,1,10103452,No,,,,
101034520005,1,10103452,Yes,A,Children 0-5 years,0,0
101034520005,1,10103452,Yes,B,Children 6-15 years,0,0
101034520005,1,10103452,Yes,C,Adults 16-65 years,2,2
101034520005,1,10103452,Yes,D,People over 66 years old,0,0
101034520007,1,10103452,Yes,A,Children 0-5 years,0,0
101034520007,1,10103452,Yes,B,Children 6-15 years,2,2
101034520007,1,10103452,Yes,C,Adults 16-65 years,0,0
101034520007,1,10103452,Yes,D,People over 66 years old,2,2
101034520009,1,10103452,Yes,A,Children 0-5 years,0,0
101034520009,1,10103452,Yes,B,Children 6-15 years,3,3
101034520009,1,10103452,Yes,C,Adults 16-65 years,2,2
101034520009,1,10103452,Yes,D,People over 66 years old,0,0
101034520011,1,10103452,Yes,A,Children 0-5 years,0,0
101034520011,1,10103452,Yes,B,Children 6-15 years,0,0
101034520011,1,10103452,Yes,C,Adults 16-65 years,5,15
101034520011,1,10103452,Yes,D,People over 66 years old,0,0
101034520015,1,10103452,Yes,A,Children 0-5 years,0,0
101034520015,1,10103452,Yes,B,Children 6-15 years,2,2
101034520015,1,10103452,Yes,C,Adults 16-65 years,0,0
101034520015,1,10103452,Yes,D,People over 66 years old,0,0
101034520017,1,10103452,No,,,,
101034520019,1,10103452,No,,,,
101034520023,1,10103452,No,,,,
101034520025,1,10103452,No,,,,
101034520029,1,10103452,No,,,,
101034520033,1,10103452,No,,,,
101034520035,1,10103452,No,,,,
101034520037,1,10103452,No,,,,
101034520041,1,10103452,Yes,A,Children 0-5 years,2,1
101034520041,1,10103452,Yes,B,Children 6-15 years,0,0
101034520041,1,10103452,Yes,C,Adults 16-65 years,0,0
101034520041,1,10103452,Yes,D,People over 66 years old,0,0
101036810007,1,10103681,No,,,,
101036810011,1,10103681,No,,,,
101036810015,1,10103681,No,,,,
101036810019,1,10103681,No,,,,
101036810027,1,10103681,Yes,A,Children 0-5 years,2,2
101036810027,1,10103681,Yes,B,Children 6-15 years,3,2
101036810027,1,10103681,Yes,C,Adults 16-65 years,1,1
101036810027,1,10103681,Yes,D,People over 66 years old,0,0
101036810031,1,10103681,No,,,,
101036810036,1,10103681,Yes,A,Children 0-5 years,2,1
101036810036,1,10103681,Yes,B,Children 6-15 years,0,0
101036810036,1,10103681,Yes,C,Adults 16-65 years,1,1
101036810036,1,10103681,Yes,D,People over 66 years old,0,0
101036810040,1,10103681,Yes,A,Children 0-5 years,3,2
101036810040,1,10103681,Yes,B,Children 6-15 years,0,0
101036810040,1,10103681,Yes,C,Adults 16-65 years,1,1
101036810040,1,10103681,Yes,D,People over 66 years old,0,0
101036810048,1,10103681,No,,,,
101036810052,1,10103681,Yes,A,Children 0-5 years,0,0
101036810052,1,10103681,Yes,B,Children 6-15 years,1,1
101036810052,1,10103681,Yes,C,Adults 16-65 years,0,0
101036810052,1,10103681,Yes,D,People over 66 years old,0,0
101036810056,1,10103681,Yes,A,Children 0-5 years,0,0
101036810056,1,10103681,Yes,B,Children 6-15 years,3,3
101036810056,1,10103681,Yes,C,Adults 16-65 years,0,0
101036810056,1,10103681,Yes,D,People over 66 years old,0,0
101036810060,1,10103681,No,,,,
101036810068,1,10103681,No,,,,
101036810072,1,10103681,No,,,,
101036810077,1,10103681,No,,,,
101036810085,1,10103681,No,,,,
101041500004,1,10104150,Yes,A,Children 0-5 years,0,0
101041500004,1,10104150,Yes,B,Children 6-15 years,0,0
101041500004,1,10104150,Yes,C,Adults 16-65 years,1,1
101041500004,1,10104150,Yes,D,People over 66 years old,0,0
101041500006,1,10104150,No,,,,
101041500012,1,10104150,No,,,,
101041500013,1,10104150,Yes,A,Children 0-5 years,0,0
101041500013,1,10104150,Yes,B,Children 6-15 years,3,9
101041500013,1,10104150,Yes,C,Adults 16-65 years,3,9
101041500013,1,10104150,Yes,D,People over 66 years old,0,0
101041500015,1,10104150,No,,,,
101041500023,1,10104150,No,,,,
101041500027,1,10104150,No,,,,
101041500045,1,10104150,No,,,,
101041500048,1,10104150,Yes,A,Children 0-5 years,2,2
