case_id,visit,ea_id,hh_q0a,hh_q0b,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q03a,hh_q03b
101010160159,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,
101010160159,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160180,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160180,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160180,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,200,0,0,1,
101010160207,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160207,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160207,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160235,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,2
101010160235,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160235,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160254,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,500,0,0,1,2
101010160254,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
101010160254,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101010160265,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101010160265,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101010160265,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040003,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1400,0,0,1,2
101012040003,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
101012040003,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040007,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040007,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,300,0,0,1,2
101012040007,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040011,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040011,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040011,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040020,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040020,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040020,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040024,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040024,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101012040024,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040028,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,400,0,0,1,2
101012040028,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1200,0,0,1,2
101012040028,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040037,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
101012040037,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
101012040037,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040041,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040041,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,600,0,0,1,2
101012040041,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040045,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040045,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040045,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040054,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040054,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040054,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040058,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040058,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040058,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040062,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040062,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012040062,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040071,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,5000,0,0,1,2
101012040071,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
101012040071,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040075,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040075,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1200,0,0,1,2
101012040075,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040079,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,700,0,0,1,2
101012040079,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
101012040079,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012040087,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012040087,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,
101012040087,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150001,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150001,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150001,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150004,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,0,11000,1,
101012150004,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150004,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150021,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150021,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150021,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150022,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150022,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150022,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150026,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
101012150026,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150026,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,700,0,0,1,2
101012150028,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150028,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150028,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150034,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150034,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2400,0,0,1,2
101012150034,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150038,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150038,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150038,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150040,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150040,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,800,0,0,1,2
101012150040,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150045,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150045,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150045,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150048,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1500,0,0,1,2
101012150048,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150048,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1500,0,0,1,2
101012150049,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150049,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101012150049,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150053,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150053,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3000,0,0,1,
101012150053,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150059,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150059,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150059,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150060,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150060,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150060,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012150074,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012150074,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012150074,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190012,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190012,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012190012,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190018,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2600,0,0,1,2
101012190018,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
101012190018,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190025,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190025,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,
101012190025,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190032,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190032,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012190032,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190045,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190045,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,
101012190045,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190052,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190052,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1600,0,0,1,2
101012190052,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190059,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190059,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,300,0,0,1,
101012190059,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190065,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190065,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,900,0,0,2,
101012190065,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190079,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
101012190079,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012190079,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190086,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190086,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,3000,0,1,
101012190086,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190092,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190092,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012190092,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190099,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190099,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101012190099,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190112,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101012190112,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,
101012190112,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190119,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,8000,0,0,1,2
101012190119,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3400,0,0,1,2
101012190119,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1600,0,0,1,2
101012190126,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,0,0,1,2
101012190126,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2400,0,0,1,2
101012190126,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101012190139,1,10101219,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3500,0,0,1,2
101012190139,1,10101219,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
101012190139,1,10101219,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550014,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550014,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550014,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550023,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550023,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550023,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550032,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550032,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550032,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550042,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550042,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550042,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550060,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
101013550060,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3000,0,0,1,2
101013550060,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,700,0,0,1,2
101013550070,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
101013550070,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101013550070,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1000,0,0,1,
101013550079,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550079,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1800,0,0,1,2
101013550079,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550089,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,800,0,0,1,2
101013550089,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
101013550089,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550107,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550107,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101013550107,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550117,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550117,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,700,0,0,1,
101013550117,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550126,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550126,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1700,0,0,1,2
101013550126,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550135,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,30000,0,0,1,
101013550135,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,750,0,0,1,
101013550135,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,2300,0,0,1,
101013550154,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550154,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101013550154,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550164,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550164,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550164,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550173,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013550173,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013550173,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013550192,1,10101355,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,500,0,0,1,2
101013550192,1,10101355,Food Transfers/Gifts,Food Transfers/Gifts,Yes,5000,0,0,1,2
101013550192,1,10101355,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740006,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740006,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013740006,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740013,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740013,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013740013,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740020,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740020,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013740020,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740028,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740028,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
101013740028,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740035,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740035,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,
101013740035,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740050,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740050,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
101013740050,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740057,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740057,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
101013740057,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740064,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740064,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
101013740064,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740072,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740072,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
101013740072,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740094,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
101013740094,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
101013740094,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740101,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740101,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1300,0,0,1,2
101013740101,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
101013740108,1,10101374,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
101013740108,1,10101374,Food Transfers/Gifts,Food Transfers/Gifts,Yes,800,0,0,1,2
101013740108,1,10101374,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
