ea_id,com_ci0b,com_ci0b_os,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_os,com_ci07b,com_ci07b_os,com_ci07c,com_ci07c_os,com_ci08a,com_ci08a_os,com_ci08b,com_ci08b_os,com_ci08c,com_ci08c_os,com_ci09a,com_ci09a_os,com_ci09b,com_ci09b_os,com_ci09c,com_ci09c_os,com_ci10,com_ci11,com_ci12,com_ci12_os,com_ci13,com_ci14
10102621,Forest,,yes,yes,no,no,no,yes,USE THE THREAT OF FINE,,USE GUARDS,,,,No restrictions,,,,,,Use threat of fine,,,,,,Not Effective,no,,,no,
10102621,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10103414,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103414,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103452,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103452,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103452,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103452,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103452,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103681,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103681,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103681,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103681,Forest,,yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10103681,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104150,Forest,,yes,yes,yes,no,no,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10104150,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104351,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104351,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104351,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104351,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104351,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104440,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104440,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104440,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,USE GUARDS,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10104440,Other:,DAM,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10104440,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105352,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105352,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105352,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105352,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105352,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10105511,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105511,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105511,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105511,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105511,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105513,Unallocated Arable Land,,yes,yes,yes,no,no,no,,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Somewhat Effective,no,,,no,
10105513,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105513,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105513,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105513,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120286,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120286,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120286,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120286,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120286,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120288,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120288,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120288,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120288,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120288,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201137,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201137,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201137,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201137,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201137,Water Body:,LAKE MALAWI,yes,no,no,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10201210,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201210,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201210,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201210,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201210,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201247,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201247,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201247,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201247,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201247,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201442,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201442,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201442,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201442,Water Body:,LAKE MALAWI,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10201442,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201688,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202195,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202195,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202195,Forest,,yes,yes,yes,no,yes,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10202195,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202195,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202514,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203013,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203013,Forest,,yes,yes,yes,yes,no,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,yes,Convert into forest reserve,,no,
10203013,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203013,,,yes,yes,no,yes,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10203013,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203085,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203085,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203085,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203085,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203085,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203176,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203221,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203221,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203221,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203221,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203221,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203623,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203623,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203623,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203623,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203623,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Forest,,yes,yes,yes,yes,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10203744,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10203744,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204101,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204101,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204101,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204101,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204101,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204322,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204453,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204453,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204453,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204453,Forest,,yes,yes,yes,no,yes,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10204453,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Forest,,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,USE GUARDS,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10204586,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204723,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204723,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204723,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204723,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204723,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205202,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205202,Unallocated Arable Land,,yes,yes,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10205202,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205202,Pasture,,yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10205202,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205507,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205507,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205507,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205507,Forest,,yes,yes,yes,no,no,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10205507,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220027,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220027,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220027,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220027,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220027,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Water Body:,LAKE MALAWI,yes,yes,yes,no,no,yes,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10220521,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220521,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220521,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220521,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220521,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301026,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301026,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301026,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301026,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301026,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301306,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301347,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301347,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301347,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301347,Pasture,,yes,yes,no,no,no,no,,,,,,,Time restrictions,,Limitations of number of users at a given time,,,,Confiscation of tools/products,,,,,,Somewhat Effective,no,,,no,
10301347,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301741,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301741,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301741,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301741,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301741,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303454,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303454,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303454,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303454,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303454,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,Unallocated Arable Land,,yes,yes,yes,yes,yes,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10304012,,,yes,yes,yes,yes,yes,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10304012,,,yes,yes,yes,yes,yes,yes,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,no,,,no,
10304360,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304360,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304360,Pasture,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304360,Other:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304360,Forest,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304625,Unallocated Arable Land,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304625,Water Body:,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304625,Forest,,yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Use threat of fine,,Taking away [resource] use rights,,Physical punishment,,Somewhat Effective,no,,,no,
