ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07a_os,com_cc07b,com_cc07c,com_cc07c_os,com_cc07d,com_cc07e,com_cc07e_os,com_cc07f,com_cc08,com_cc09,com_cc09_os,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
10301306,ABOUT THE SAME OF BOTH,3650,920,christian,900,islam,20,,,tumbuka,500,tonga,300,chewa,120,both,Patrilineal and patrilocal,,800,Matrilineal and matrilocal (chikamwini),,120,,,,150,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10301347,MORE MOVED IN,1343,500,christian,500,,,,,tumbuka,300,tonga,200,,,father,Patrilineal and patrilocal,,500,,,,,,,50,farming,,STEEPLY SLOPING,1/4,ALMOST NONE,1/2,3/4,yes
10301663,MORE MOVED OUT,1050,648,christian,640,islam,8,,,tonga,550,chewa,98,,,father,Patrilineal and patrilocal,,550,Matrilineal and patrilocal (chitengwa),,90,,,,10,INDUSTRY OR MANUFACTURE,,SLIGHTLY SLOPING,1/4,3/4,ALMOST NONE,ALMOST ALL,yes
10301741,MORE MOVED IN,3500,700,christian,550,islam,150,,,tonga,400,nyanja,200,yao,100,both,Patrilineal and patrilocal,,400,Matrilineal and matrilocal (chikamwini),,300,,,,28,OTHER (SPECIFY),ESTATE,SLIGHTLY SLOPING,ALMOST NONE,3/4,ALMOST NONE,ALMOST NONE,yes
10302010,MORE MOVED IN,2800,620,christian,620,,,,,tonga,500,chewa,120,,,father,Patrilineal and patrilocal,,500,Matrilineal and patrilocal (chitengwa),,120,,,,97,farming,,flat,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10303454,MORE MOVED IN,4000,800,christian,800,,,,,tonga,600,tumbuka,100,chewa,100,father,Patrilineal and patrilocal,,700,Matrilineal and patrilocal (chitengwa),,100,,,,40,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10304012,MORE MOVED IN,15000,5000,christian,3990,OTHER RELIGION,1000,islam,10,tonga,4000,tumbuka,700,chewa,300,father,Patrilineal and patrilocal,,4700,Matrilineal and matrilocal (chikamwini),,300,,,,500,farming,,MODERATELY SLOPING,1/4,1/2,1/4,1/4,yes
10304360,MORE MOVED IN,1800,600,christian,600,,,,,tonga,400,tumbuka,150,chewa,50,father,Patrilineal and patrilocal,,550,Matrilineal and patrilocal (chitengwa),,50,,,,14,PLANNED HOUSING,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10304625,MORE MOVED IN,12000,1700,christian,1700,,,,,tonga,1400,tumbuka,200,nkhonde,100,father,Patrilineal and patrilocal,,1700,,,,,,,60,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10305446,MORE MOVED IN,8500,850,christian,849,islam,1,,,tonga,800,tumbuka,30,chewa,20,father,Patrilineal and patrilocal,,830,Matrilineal and patrilocal (chitengwa),,20,,,,100,PLANNED HOUSING,,flat,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
10306417,MORE MOVED OUT,3000,300,christian,300,,,,,tonga,220,tumbuka,60,chewa,20,father,Patrilineal and patrilocal,,280,Matrilineal and patrilocal (chitengwa),,20,,,,80,OTHER (SPECIFY),FOREST,BOTH FLAT AND HILLY,1/4,1/2,ALMOST NONE,ALMOST ALL,yes
10306431,MORE MOVED IN,2000,500,christian,500,,,,,tonga,350,tumbuka,100,ngoni,50,father,Patrilineal and patrilocal,,500,,,,,,,47,farming,,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,yes
10307413,MORE MOVED OUT,9000,1500,christian,1495,islam,5,,,tonga,1300,tumbuka,150,chewa,50,father,Patrilineal and patrilocal,,1450,Matrilineal and patrilocal (chitengwa),,50,,,,60,farming,,flat,1/4,ALMOST NONE,1/4,3/4,yes
10308129,MORE MOVED IN,10000,1667,christian,1600,islam,67,,,tonga,967,tumbuka,400,chewa,300,father,Patrilineal and patrilocal,,1367,Matrilineal and matrilocal (chikamwini),,300,,,,200,farming,,BOTH FLAT AND HILLY,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,yes
10308636,MORE MOVED OUT,3000,400,christian,400,,,,,tonga,380,tumbuka,20,,,father,Patrilineal and patrilocal,,400,,,,,,,40,farming,,STEEPLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
10309273,NEITHER ARRIVALS NOR DEPARTURES,900,180,christian,180,,,,,tumbuka,100,tonga,80,,,father,Patrilineal and patrilocal,,180,,,,,,,4,farming,,STEEPLY SLOPING,3/4,ALMOST NONE,3/4,ALMOST ALL,yes
10309281,ABOUT THE SAME OF BOTH,4046,742,christian,730,islam,12,,,tumbuka,500,tonga,230,yao,12,father,Patrilineal and patrilocal,,730,Matrilineal and matrilocal (chikamwini),,12,,,,80,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
10310469,MORE MOVED IN,9700,1940,christian,1930,islam,10,,,tumbuka,1150,tonga,450,tonga,340,both,Patrilineal and patrilocal,,1600,Matrilineal and patrilocal (chitengwa),,340,,,,100,farming,,STEEPLY SLOPING,3/4,1/4,1/2,3/4,yes
10312048,MORE MOVED IN,12000,4500,christian,4500,,,,,tonga,4000,tumbuka,500,,,father,Patrilineal and patrilocal,,4500,,,,,,,100,farming,,SLIGHTLY SLOPING,1/4,3/4,3/4,ALMOST ALL,yes
10312078,MORE MOVED IN,8309,1500,traditional,1450,islam,50,,,tonga,900,sukwa,350,chewa,250,both,Patrilineal and patrilocal,,1250,Matrilineal and matrilocal (chikamwini),,250,,,,35,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10312187,MORE MOVED IN,5000,1000,christian,1000,,,,,tonga,700,tumbuka,200,chewa,100,father,Patrilineal and patrilocal,,900,Matrilineal and matrilocal (chikamwini),,100,,,,48,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,yes
10312600,MORE MOVED IN,831,167,christian,166,islam,1,,,tonga,128,tumbuka,33,chewa,6,father,Matrilineal and patrilocal (chitengwa),,164,Matrilineal and matrilocal (chikamwini),,3,,,,28,farming,,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,yes
10320227,MORE MOVED IN,2292,450,christian,400,islam,50,,,tonga,300,tumbuka,100,yao,50,both,Patrilineal and patrilocal,,400,Matrilineal and matrilocal (chikamwini),,50,,,,10,PLANNED HOUSING,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10401140,MORE MOVED IN,5000,1465,christian,1463,none,2,,,tumbuka,1400,nkhonde,35,chewa,30,father,Patrilineal and patrilocal,,1435,Matrilineal and patrilocal (chitengwa),,30,,,,500,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
10401212,MORE MOVED IN,2000,800,christian,800,,,,,tumbuka,785,sukwa,15,,,father,Patrilineal and patrilocal,,800,,,,,,,400,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10401424,MORE MOVED IN,3400,522,christian,512,islam,10,,,tumbuka,422,chewa,100,,,father,Patrilineal and patrilocal,,422,Matrilineal and patrilocal (chitengwa),,100,,,,50,farming,,flat,1/4,1/4,ALMOST NONE,ALMOST ALL,yes
10401502,MORE MOVED IN,10000,168,christian,125,islam,43,,,tumbuka,105,yao,42,chewa,21,father,Patrilineal and patrilocal,,105,Matrilineal and matrilocal (chikamwini),,42,Matrilineal and patrilocal (chitengwa),,21,8,farming,,SLIGHTLY SLOPING,ALMOST NONE,3/4,1/4,ALMOST ALL,yes
10401522,MORE MOVED IN,4500,800,christian,800,,,,,tumbuka,740,lomwe,50,chewa,10,father,Patrilineal and patrilocal,,740,Matrilineal and matrilocal (chikamwini),,50,Matrilineal and patrilocal (chitengwa),,10,30,farming,,flat,ALMOST NONE,1/2,ALMOST NONE,3/4,yes
10401541,MORE MOVED IN,6000,857,christian,847,islam,10,,,tumbuka,700,yao,90,chewa,67,both,Patrilineal and patrilocal,,700,Matrilineal and matrilocal (chikamwini),,90,Matrilineal and patrilocal (chitengwa),,67,100,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10401604,MORE MOVED IN,2805,570,christian,564,islam,6,,,tumbuka,400,chewa,100,sukwa,70,father,Patrilineal and patrilocal,,470,Matrilineal and matrilocal (chikamwini),,100,,,,50,farming,,MODERATELY SLOPING,1/4,1/2,1/4,ALMOST ALL,yes
10401635,MORE MOVED IN,2500,500,christian,450,islam,50,,,tumbuka,400,yao,50,chewa,50,father,Patrilineal and patrilocal,,400,Matrilineal and matrilocal (chikamwini),,100,,,,15,farming,,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,yes
10401742,MORE MOVED IN,4500,290,christian,280,islam,10,,,tumbuka,200,chewa,90,,,father,Patrilineal and patrilocal,,200,Matrilineal and matrilocal (chikamwini),,90,,,,45,SQUATTER  SETTLEMENT,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10402537,MORE MOVED IN,4000,600,christian,600,,,,,tumbuka,500,chewa,100,,,father,Patrilineal and patrilocal,,500,Matrilineal and matrilocal (chikamwini),,100,,,,100,SQUATTER  SETTLEMENT,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10403332,ABOUT THE SAME OF BOTH,7542,1257,christian,1100,islam,157,,,tumbuka,1100,chewa,157,,,father,Patrilineal and patrilocal,,1100,Matrilineal and matrilocal (chikamwini),,157,,,,257,farming,,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,yes
10403488,MORE MOVED IN,8750,1750,christian,1725,islam,25,,,tumbuka,1500,senga,150,chewa,100,both,Patrilineal and patrilocal,,1650,Matrilineal and matrilocal (chikamwini),,100,,,,300,farming,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10404186,MORE MOVED IN,2500,250,christian,250,,,,,tumbuka,225,nyanja,25,,,father,Patrilineal and patrilocal,,240,Matrilineal and matrilocal (chikamwini),,10,,,,125,farming,,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/2,3/4,yes
10404707,MORE MOVED IN,3500,700,christian,700,,,,,tumbuka,500,ngoni,200,,,father,Patrilineal and patrilocal,,700,,,,,,,100,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10405213,MORE MOVED IN,3000,250,christian,250,,,,,tumbuka,220,ngoni,20,chewa,10,father,Patrilineal and patrilocal,,240,Matrilineal and matrilocal (chikamwini),,10,,,,15,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/2,3/4,yes
10405404,MORE MOVED OUT,10000,2000,christian,2000,,,,,tumbuka,1500,chewa,300,nyanja,200,both,Patrilineal and patrilocal,,1500,Matrilineal and patrilocal (chitengwa),,300,Matrilineal and matrilocal (chikamwini),,200,100,farming,,STEEPLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10407068,MORE MOVED IN,4000,500,christian,500,,,,,tumbuka,450,nyanja,50,,,father,Patrilineal and patrilocal,,450,Matrilineal and matrilocal (chikamwini),,50,,,,61,farming,,STEEPLY SLOPING,1/4,ALMOST NONE,1/4,ALMOST ALL,yes
10407194,MORE MOVED IN,2611,358,christian,358,,,,,tumbuka,300,sukwa,38,ngoni,20,father,Patrilineal and patrilocal,,358,,,,,,,99,farming,,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10407628,MORE MOVED IN,3600,560,christian,560,,,,,tumbuka,400,sukwa,100,chewa,60,father,Patrilineal and patrilocal,,500,Matrilineal and patrilocal (chitengwa),,60,,,,80,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/2,ALMOST ALL,yes
10408441,MORE MOVED IN,20000,8000,christian,7700,islam,300,,,tumbuka,6200,chewa,1500,yao,300,father,Patrilineal and patrilocal,,6200,Matrilineal and neolocal,,1500,Matrilineal and matrilocal (chikamwini),,300,2000,farming,,flat,1/4,1/4,3/4,3/4,yes
10409468,MORE MOVED IN,7000,1445,christian,1445,,,,,tumbuka,1345,chewa,100,,,father,Patrilineal and patrilocal,,1345,Matrilineal and patrilocal (chitengwa),,100,,,,300,PLANNED HOUSING,,MODERATELY SLOPING,1/4,1/2,ALMOST NONE,ALMOST ALL,yes
10420001,MORE MOVED IN,3500,400,christian,398,islam,2,,,tumbuka,380,chewa,20,,,father,Patrilineal and patrilocal,,380,Matrilineal and patrilocal (chitengwa),,20,,,,20,PLANNED HOUSING,,flat,ALMOST NONE,1/2,ALMOST NONE,ALMOST ALL,yes
10420035,MORE MOVED IN,1000,600,christian,550,islam,50,,,tumbuka,400,chewa,120,nkhonde,80,father,Patrilineal and patrilocal,,480,Matrilineal and patrilocal (chitengwa),,120,,,,50,PLANNED HOUSING,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,yes
10420080,MORE MOVED IN,26000,4333,christian,4000,islam,333,,,tumbuka,3333,nyanja,600,chewa,400,both,Patrilineal and patrilocal,,3333,Matrilineal and matrilocal (chikamwini),,600,Matrilineal and patrilocal (chitengwa),,400,28,PLANNED HOUSING,,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10501055,MORE MOVED IN,950,250,christian,250,,,,,tumbuka,250,,,,,father,Matrilineal and patrilocal (chitengwa),,250,,,,,,,10,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10501216,MORE MOVED OUT,220,75,christian,75,,,,,tumbuka,75,,,,,father,Matrilineal and patrilocal (chitengwa),,75,,,,,,,8,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10501505,NEITHER ARRIVALS NOR DEPARTURES,500,80,christian,80,,,,,tumbuka,80,,,,,father,Matrilineal and patrilocal (chitengwa),,80,,,,,,,7,farming,,flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10501709,MORE MOVED OUT,2000,420,christian,420,,,,,tumbuka,420,,,,,father,Patrilineal and neolocal,,420,,,,,,,30,farming,,flat,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST NONE,yes
10502043,MORE MOVED IN,730,131,christian,131,,,,,tumbuka,131,,,,,father,Matrilineal and patrilocal (chitengwa),,131,,,,,,,7,farming,,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,yes
10502268,MORE MOVED IN,5000,1000,christian,900,islam,10,none,90,tumbuka,960,chewa,30,yao,10,father,Patrilineal and neolocal,,1000,,,,,,,300,farming,,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,no
