case_id,visit,ea_id,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
101012150026,1,10101215,Yes,MAIZE HYBRID,,2,Acre,No,,,,,14,90 kg bag,,Shelled,May,June,Yes,14,90 kg Bag,,S: Shelled,70000,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150028,1,10101215,Yes,MAIZE LOCAL,,1,Acre,No,,,,,3,90 kg bag,,Shelled,June,June,Yes,1,90 kg Bag,,S: Shelled,3000,1,2,0,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,7,Pail (large),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,3,Pail (large),,S: Shelled,0,,,
101012150028,1,10101215,Yes,sunflower,,1,Acre,No,,,,,3,Pail (large),,Shelled,June,June,Yes,2,Pail (large),,S: Shelled,700,1,2,0,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150034,1,10101215,Yes,MAIZE HYBRID,,2,Acre,No,,,,,10,90 kg bag,,Shelled,June,June,Yes,5,90 kg Bag,,S: Shelled,20000,1,2,1500,6,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,Yes,Bags in house,,4,Pail (large),,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150034,1,10101215,Yes,sunflower,,2,Acre,No,,,,,5,Pail (large),,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150038,1,10101215,Yes,MAIZE LOCAL,,.5,Acre,Yes,Crop theft,,,,12,Pail (large),,Shelled,May,May,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,20,Piece,,U: Unshelled,1,Pail (large),,S: Shelled,,Lack of transportation,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,2,Pail (large),,S: Shelled,0,,,
101012150038,1,10101215,Yes,GROUNDNUT MAWANGA,,.5,Acre,Yes,Crop theft,,,,3,Pail (large),,Unshelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,Kilogram,,S: Shelled,1,Pail (large),,U: Unshelled,,Lack of transportation,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
101012150038,1,10101215,Yes,beans,,.5,Acre,Yes,Crop theft,,,,1,Pail (large),,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,3,Kilogram,,S: Shelled,10,Kilogram,,S: Shelled,,Lack of transportation,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
101012150038,1,10101215,Yes,pea,,.5,Acre,Yes,Crop theft,,,,1,Pail (large),,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,Kilogram,,U: Unshelled,10,Kilogram,,S: Shelled,,Lack of transportation,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
101012150040,1,10101215,Yes,MAIZE HYBRID,,1,Acre,No,,,,,2,90 kg bag,,Shelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,2,50 kg Bag,,S: Shelled,No,,,,,0,,,,0,,,
101012150040,1,10101215,Yes,GROUNDNUT CHALIMBANA,,.5,Acre,No,,,,,5,Pail (large),,Unshelled,May,June,Yes,1,Pail (large),,U: Unshelled,300,1,2,0,0,,,,0,,,,0,,,,0,,,,1,Pail (small),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101012150045,1,10101215,Yes,MAIZE LOCAL,,.5,Acre,Yes,Crop theft,,,,7,Pail (large),,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,4,Pail (large),,S: Shelled,No,,,,,3,Pail (large),,S: Shelled,10,Pail (large),,S: Shelled
101012150048,1,10101215,Yes,MAIZE HYBRID,,2.25,Acre,No,,,,,12,90 kg bag,,Shelled,May,June,Yes,8,90 kg Bag,,S: Shelled,70000,1,2,800,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150049,1,10101215,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,33,Pail (large),,Shelled,May,June,Yes,4,Pail (large),,S: Shelled,3200,1,2,0,4,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150049,1,10101215,Yes,MAIZE HYBRID,,1,Acre,No,,,,,24,Pail (large),,Shelled,May,May,Yes,15,Pail (large),,S: Shelled,12000,1,2,0,3,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,Yes,Bags in house,,3,Pail (large),,S: Shelled,Spraying,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150049,1,10101215,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,207,Kilogram,,Not applicable,March,April,Yes,207,Kilogram,,Not Applicable,43000,1,2,2300,0,,,,0,,,,0,,,,0,,,,2,Other (specify),,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Wait for the arrival of buyer,,,,No,,,,,,,,,,,,,,,,,,,,,
101012150053,1,10101215,Yes,MAIZE LOCAL,,2,Acre,No,,,,,5,90 kg bag,,Shelled,May,June,Yes,3,Pail (large),,S: Shelled,1800,2,,0,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150053,1,10101215,Yes,GROUNDNUT CG7,,.25,Acre,No,,,,,1,90 kg bag,,Unshelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101012150053,1,10101215,Yes,FINGER MILLET(MAWERE),,.25,Acre,No,,,,,1,90 kg bag,,Not applicable,May,June,Yes,1,Pail (small),,Not Applicable,300,2,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150053,1,10101215,Yes,beans,,1,Acre,No,,,,,3,Pail (large),,Shelled,April,February,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150053,1,10101215,Yes,nkhwani,,1,Acre,No,,,,,100,Piece,,Not applicable,March,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,200,Other (specify),,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
101012150059,1,10101215,Yes,MAIZE LOCAL,,.5,Acre,Yes,Rains,,,,2,90 kg bag,,Shelled,June,June,Yes,3,Pail (large),,S: Shelled,1800,1,2,0,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,2,Pail (large),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150059,1,10101215,Yes,GROUNDNUT CG7,,.25,Acre,No,,,,,3,90 kg bag,,Unshelled,April,April,Yes,1,90 kg Bag,,U: Unshelled,2500,1,2,0,0,,,,0,,,,0,,,,0,,,,40,Kilogram,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150059,1,10101215,Yes,SWEET POTATO,,.25,Acre,No,,,,,17,Pail (large),,Not applicable,May,May,No,,,,,,,,,1,Pail (large),,Not Applicable,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150060,1,10101215,Yes,MAIZE LOCAL,,1.5,Acre,No,,,,,4,90 kg bag,,Shelled,May,June,Yes,2,90 kg Bag,,S: Shelled,14000,1,,0,0,,,,0,,,,0,,,,0,,,,2,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101012150074,1,10101215,Yes,MAIZE HYBRID,,1,Acre,No,,,,,4,90 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,5,Pail (large),,S: Shelled,No,,,,,0,,,,2,90 kg Bag,,S: Shelled
101012150074,1,10101215,Yes,OTHER GROUNDNUT (SPECIFY),GROUNDNUTS,.25,Acre,No,,,,,1,50 kg bag,,Unshelled,May,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,Pail (large),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150074,1,10101215,Yes,beans,,.25,Acre,No,,,,,2,Pail (large),,Shelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101012150074,1,10101215,Yes,soyabean,,.25,Acre,No,,,,,1,Pail (large),,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620009,1,10101562,Yes,MAIZE LOCAL,,1,Acre,No,,,,,12,90 kg bag,,Shelled,July,August,Yes,3,90 kg Bag,,S: Shelled,20000,1,2,800,8,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101015620009,1,10101562,Yes,MAIZE HYBRID,,1,Acre,Yes,Rains,,,,5,50 kg bag,,Shelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,90 kg Bag,,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101015620009,1,10101562,Yes,SWEET POTATO,,.25,Acre,No,,,,,12,Pail (large),,Not applicable,August,August,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620009,1,10101562,Yes,FINGER MILLET(MAWERE),,.25,Acre,No,,,,,1,Ox-cart,,Not applicable,June,June,Yes,12,Pail (large),,Not Applicable,6000,1,2,200,3,Pail (large),,Not Applicable,0,,,,0,,,,0,,,,20,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620020,1,10101562,Yes,MAIZE LOCAL,,.75,Acre,No,,,,,5,90 kg bag,,Shelled,June,July,Yes,2,90 kg Bag,,S: Shelled,16000,1,2,0,0,,,,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,Yes,5,90 kg Bag,,S: Shelled,,,,,,,,
101015620020,1,10101562,Yes,MAIZE LOCAL,,1,Acre,No,,,,,6,90 kg bag,,Shelled,June,July,Yes,5,90 kg Bag,,S: Shelled,40000,1,2,0,0,,,,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,Yes,6,90 kg Bag,,S: Shelled,,,,,,,,
101015620020,1,10101562,Yes,GROUNDNUT MANIPINTA,,.5,Acre,No,,,,,1,90 kg bag,,Unshelled,June,June,No,,,,,,,,,2,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,1,Pail (large),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620031,1,10101562,Yes,MAIZE HYBRID,,.5,Acre,Yes,Other (Specify),LACK OF FARM INPUTS,,,6,90 kg bag,,Shelled,April,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,6,Pail (large),,S: Shelled,No,,,,,4,Pail (large),,S: Shelled,8,90 kg Bag,,S: Shelled
101015620031,1,10101562,Yes,GROUNDNUT MANIPINTA,,.5,Acre,No,,,,,2,50 kg bag,,Unshelled,April,April,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,40,Kilogram,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
101015620042,1,10101562,Yes,MAIZE LOCAL,,2,Acre,No,,,,,6,90 kg bag,,Shelled,July,August,No,,,,,,,,,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101015620042,1,10101562,Yes,GROUNDNUT MANIPINTA,,.5,Acre,No,,,,,3,90 kg bag,,Unshelled,May,May,Yes,2,90 kg Bag,,U: Unshelled,30000,1,2,0,1,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
101015620042,1,10101562,Yes,FINGER MILLET(MAWERE),,.75,Acre,No,,,,,2,90 kg bag,,Not applicable,June,July,Yes,7,Pail (large),,Not Applicable,17500,1,2,0,1,Pail (small),,Not Applicable,0,,,,0,,,,0,,,,1,Pail (small),,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Wait for the arrival of buyer,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620053,1,10101562,Yes,MAIZE HYBRID,,1,Acre,No,,,,,6,90 kg bag,,Shelled,May,June,Yes,1,90 kg Bag,,S: Shelled,8000,1,2,0,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
101015620053,1,10101562,Yes,SWEET POTATO,,.25,Acre,No,,,,,4,50 kg bag,,Not applicable,June,July,No,,,,,,,,,1,Pail (large),,Not Applicable,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
101015620064,1,10101562,Yes,MAIZE LOCAL,,1,Acre,Yes,Other (Specify),LACK OF FARM INPUTS,,,4,90 kg bag,,Shelled,July,July,Yes,4,90 kg Bag,,S: Shelled,28000,1,2,600,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
101015620064,1,10101562,Yes,MAIZE HYBRID,,1,Acre,No,,,,,16,90 kg bag,,Shelled,June,July,Yes,7,90 kg Bag,,S: Shelled,28000,1,2,700,1,90 kg Bag,,S: Shelled,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,Yes,0,,,,0,,,,Yes,6,Pail (large),,S: Shelled,,,,,,,,
101015620064,1,10101562,Yes,SWEET POTATO,,.5,Acre,No,,,,,3,Ox-cart,,Not applicable,August,December,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620064,1,10101562,Yes,beans,,.5,Acre,No,,,,,4,Pail (large),,Shelled,June,June,Yes,1,Pail (large),,S: Shelled,500,1,2,0,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620064,1,10101562,Yes,soyabean,,.5,Acre,No,,,,,2,50 kg bag,,Shelled,May,May,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,20,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
101015620075,1,10101562,Yes,MAIZE LOCAL,,.75,Acre,No,,,,,4,90 kg bag,,Shelled,June,June,No,,,,,,,,,10,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
101015620075,1,10101562,Yes,MAIZE HYBRID,,.75,Acre,No,,,,,3,90 kg bag,,Shelled,June,June,Yes,10,Pail (large),,S: Shelled,4000,1,2,0,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
101015620075,1,10101562,Yes,GROUNDNUT CHALIMBANA,,.25,Acre,No,,,,,1,50 kg bag,,Unshelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620075,1,10101562,Yes,beans,,.5,Acre,No,,,,,1,50 kg bag,,Shelled,February,March,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620075,1,10101562,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620086,1,10101562,Yes,MAIZE LOCAL,,1,Acre,No,,,,,3,90 kg bag,,Shelled,June,July,No,,,,,,,,,2,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
101015620086,1,10101562,Yes,MAIZE HYBRID,,2,Acre,No,,,,,4,90 kg bag,,Shelled,June,July,No,,,,,,,,,3,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,Yes,0,,,,0,,,,Yes,0,,,,,,,,,,,
101015620086,1,10101562,Yes,GROUNDNUT CHALIMBANA,,.5,Acre,No,,,,,3,50 kg bag,,Unshelled,May,June,Yes,1,Pail (large),,S: Shelled,660,1,2,0,3,Kilogram,,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Seed for planting,,No,,,,,,,,,,,,,,,,,,,,,
101015620086,1,10101562,Yes,FINGER MILLET(MAWERE),,1,Acre,No,,,,,2,90 kg bag,,Not applicable,July,July,Yes,2,Pail (large),,Not Applicable,1080,1,2,0,1,Pail (small),,Not Applicable,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
101015620086,1,10101562,Yes,beans,,1,Acre,No,,,,,3,50 kg bag,,Shelled,March,April,No,,,,,,,,,1,Pail (small),,S: Shelled,0,,,,0,,,,0,,,,1,Pail (small),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
