ea_id,com_cg35,com_cg35a,com_cg35a_os,com_cg36,com_cg37
10101706,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2008,1/2
10101706,BETTER OFF,DEVELOPMENT PROJECT,,2006,1/2
10101706,BETTER OFF,NEW SCHOOL,,2009,ALMOST ALL
10101706,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10102004,WORSE OFF,drought,,2005,3/4
10102004,WORSE OFF,flood,,2006,ALMOST NONE
10102004,WORSE OFF,LIVESTOCK DISEASE,,2007,1/4
10102004,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10102004,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10102004,BETTER OFF,NEW SCHOOL,,2009,1/4
10102379,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10102379,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10102379,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10102379,BETTER OFF,NEW ROAD,,2010,ALMOST ALL
10102379,BETTER OFF,NEW SCHOOL,,2008,1/2
10102621,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10102621,BETTER OFF,DEVELOPMENT PROJECT,,2010,3/4
10103414,WORSE OFF,flood,,2007,1/2
10103414,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
10103414,BETTER OFF,DEVELOPMENT PROJECT,,2010,1/4
10103414,BETTER OFF,NEW ROAD,,2010,1/4
10103452,WORSE OFF,flood,,2009,1/4
10103452,WORSE OFF,LIVESTOCK DISEASE,,2010,1/4
10103452,BETTER OFF,OTHER GOOD (SPECIFY),PIPED WATER WAS INTRODUCED (CONSTRU,2006,ALMOST ALL
10103452,BETTER OFF,OTHER GOOD (SPECIFY),PERMANENT TOILET BUILT,2010,1/2
10103452,BETTER OFF,OTHER GOOD (SPECIFY),MAINTENANCE OF ONE SCHOOL BLOCK,2009,ALMOST ALL
10103681,WORSE OFF,drought,,2010,1/4
10103681,WORSE OFF,LIVESTOCK DISEASE,,2007,1/4
10103681,WORSE OFF,LIVESTOCK DISEASE,,2008,1/4
10103681,BETTER OFF,DEVELOPMENT PROJECT,,2009,3/4
10103681,BETTER OFF,NEW SCHOOL,,2007,3/4
10104150,WORSE OFF,drought,,2009,ALMOST ALL
10104150,WORSE OFF,flood,,2007,1/2
10104150,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10104150,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10104150,BETTER OFF,IMPROVED TRANSPORTATION,,2007,ALMOST ALL
10104351,WORSE OFF,drought,,2009,3/4
10104351,WORSE OFF,LIVESTOCK DISEASE,,2010,1/4
10104351,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10104351,BETTER OFF,OTHER GOOD (SPECIFY),CONSTRUCTION OF TEACHER'S HOUSE,2010,3/4
10104351,BETTER OFF,OTHER GOOD (SPECIFY),PRIMARY SCHOOL MAINTAINANCE,2010,3/4
10104440,WORSE OFF,drought,,2009,ALMOST ALL
10104440,WORSE OFF,flood,,2008,ALMOST NONE
10104440,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10104440,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/2
10104440,BETTER OFF,OTHER GOOD (SPECIFY),GOOD PRICES OF TOBACCO,2008,1/2
10104440,BETTER OFF,OTHER GOOD (SPECIFY),VILLAGERS WERE GIVEN GOATS TO RAISE,2008,1/4
10105352,WORSE OFF,flood,,2006,3/4
10105352,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10105352,WORSE OFF,LIVESTOCK DISEASE,,2009,1/2
10105352,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2009,3/4
10105352,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10105352,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST NONE
10105352,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,ALMOST ALL
10105511,WORSE OFF,CROP DISEASE/PESTS,,2009,ALMOST ALL
10105511,WORSE OFF,LIVESTOCK DISEASE,,2008,ALMOST ALL
10105511,WORSE OFF,OTHER BAD (SPECIFY),HEAVY RAINS DESTROYED CROPS,2008,ALMOST ALL
10105511,BETTER OFF,OTHER GOOD (SPECIFY),RENOVATION OF TEACHERS' OFFICE,2010,1/4
10105513,WORSE OFF,drought,,2007,1/2
10105513,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2006,ALMOST NONE
10105513,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10105513,BETTER OFF,NEW SCHOOL,,2008,ALMOST ALL
10120286,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND  TOOK PLACE,2008,ALMOST NONE
10120286,WORSE OFF,OTHER BAD (SPECIFY),ARMYWORMS DESTROYED CROPS,2008,ALMOST ALL
10120286,BETTER OFF,OTHER GOOD (SPECIFY),THE ROAD WAS GRADED,2007,ALMOST ALL
10120288,WORSE OFF,LIVESTOCK DISEASE,,2007,1/2
10120288,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,ALMOST NONE
10120288,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST NONE
10120288,BETTER OFF,NEW SCHOOL,,2008,1/4
10201137,WORSE OFF,flood,,2009,ALMOST ALL
10201137,WORSE OFF,CROP DISEASE/PESTS,,2007,ALMOST NONE
10201137,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/2
10201137,BETTER OFF,NEW SCHOOL,,2009,ALMOST ALL
10201137,BETTER OFF,NEW SCHOOL,,2010,ALMOST ALL
10201210,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10201210,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10201210,WORSE OFF,LIVESTOCK DISEASE,,2010,3/4
10201210,WORSE OFF,OTHER BAD (SPECIFY),THE OCCURENCE OF EARTHQUAKE,2009,3/4
10201210,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10201247,WORSE OFF,flood,,2010,1/2
10201247,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,ALMOST ALL
10201247,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2007,ALMOST NONE
10201247,BETTER OFF,OTHER GOOD (SPECIFY),MAINTAINANCE OF BOREHOLE,2010,1/2
10201247,BETTER OFF,OTHER GOOD (SPECIFY),MAINTAINANCE OF PIPED WATER,2009,1/2
10201442,WORSE OFF,flood,,2007,ALMOST ALL
10201442,WORSE OFF,flood,,2008,ALMOST ALL
10201442,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2007,1/4
10201442,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10201442,BETTER OFF,DEVELOPMENT PROJECT,,2006,1/4
10201688,WORSE OFF,flood,,2008,ALMOST ALL
10201688,WORSE OFF,flood,,2009,ALMOST ALL
10201688,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,ALMOST NONE
10201688,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,ALMOST ALL
10201688,BETTER OFF,DEVELOPMENT PROJECT,,2007,1/2
10201688,BETTER OFF,NEW ROAD,,2006,1/2
10202195,WORSE OFF,flood,,2010,1/4
10202195,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10202195,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,1/4
10202195,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10202195,BETTER OFF,OTHER GOOD (SPECIFY),CONSTRUCTION OF TEACHER'S HOUSE,2010,3/4
10202514,WORSE OFF,flood,,2009,ALMOST NONE
10202514,WORSE OFF,flood,,2009,3/4
10202514,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUARKE,2009,ALMOST NONE
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2006,ALMOST ALL
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10203013,WORSE OFF,LIVESTOCK DISEASE,,2009,1/4
10203013,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUARKE,2009,ALMOST ALL
10203013,WORSE OFF,OTHER BAD (SPECIFY),INCREMENT OF PROSTITUTION,2006,1/4
10203013,WORSE OFF,OTHER BAD (SPECIFY),THEFT OF LIVESTOCK/MAIZE,2008,1/4
10203013,BETTER OFF,DEVELOPMENT PROJECT,,2006,ALMOST ALL
10203013,BETTER OFF,DEVELOPMENT PROJECT,,2006,1/4
10203013,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2007,ALMOST ALL
10203013,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2006,ALMOST ALL
10203085,WORSE OFF,flood,,2009,1/4
10203085,WORSE OFF,LIVESTOCK DISEASE,,2010,1/4
10203085,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10203085,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10203085,BETTER OFF,NEW SCHOOL,,2008,3/4
10203176,WORSE OFF,drought,,2007,1/2
10203176,WORSE OFF,LIVESTOCK DISEASE,,2007,1/4
10203176,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10203176,WORSE OFF,OTHER BAD (SPECIFY),LIVESTOCK DISEASE,2009,3/4
10203176,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10203176,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10203176,BETTER OFF,NEW SCHOOL,,2009,1/2
10203176,BETTER OFF,NEW SCHOOL,,2009,1/4
10203221,WORSE OFF,flood,,2010,ALMOST NONE
10203221,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND TOOK PLACE,2010,ALMOST NONE
10203221,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10203623,WORSE OFF,LIVESTOCK DISEASE,,2009,ALMOST NONE
10203623,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/2
10203623,BETTER OFF,OTHER GOOD (SPECIFY),GOOD HARVEST OF MAIZE,2005,3/4
10203744,WORSE OFF,drought,,2009,1/4
10203744,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
10203744,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10203744,BETTER OFF,NEW SCHOOL,,2009,1/2
10203744,BETTER OFF,NEW SCHOOL,,2009,1/2
10203744,BETTER OFF,NEW SCHOOL,,2008,1/2
10204101,WORSE OFF,drought,,2010,1/2
10204101,WORSE OFF,LIVESTOCK DISEASE,,2010,1/4
10204322,WORSE OFF,drought,,2009,ALMOST ALL
10204322,WORSE OFF,flood,,2008,ALMOST NONE
10204322,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2008,ALMOST NONE
10204322,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST ALL
10204322,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10204322,BETTER OFF,OTHER GOOD (SPECIFY),GOATS WERE GIVEN TO SOME COMMUNITY,2006,1/2
10204453,WORSE OFF,flood,,2011,1/4
10204453,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10204453,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10204453,WORSE OFF,OTHER BAD (SPECIFY),OCCURENCE OF A WHIRLWIND,2011,1/4
10204586,WORSE OFF,drought,,2008,1/4
10204586,WORSE OFF,SHARP CHANGE IN PRICES,,2009,1/4
10204586,WORSE OFF,POWER OUTAGE(S),,2009,ALMOST NONE
10204586,BETTER OFF,DEVELOPMENT PROJECT,,2006,1/2
10204586,BETTER OFF,NEW SCHOOL,,2009,3/4
10204586,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10204723,WORSE OFF,drought,,2007,3/4
10204723,WORSE OFF,drought,,2009,3/4
10204723,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,1/4
10204723,BETTER OFF,NEW SCHOOL,,2008,1/2
10204723,BETTER OFF,NEW SCHOOL,,2009,1/2
10204723,BETTER OFF,OTHER GOOD (SPECIFY),IMPROVED PITLATRINE WERE CONSTRUCTE,2009,1/2
10205202,WORSE OFF,drought,,2007,1/4
10205202,WORSE OFF,flood,,2005,1/2
10205202,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2006,1/2
10205202,WORSE OFF,OTHER BAD (SPECIFY),SOIL EROSION INCREASED,2007,1/4
10205202,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10205202,BETTER OFF,NEW SCHOOL,,2006,1/4
10205202,BETTER OFF,OTHER GOOD (SPECIFY),GIVEN GOATS BY THE WORLD VISION,2007,1/4
10205507,WORSE OFF,drought,,2007,ALMOST ALL
10205507,WORSE OFF,flood,,2006,3/4
10205507,WORSE OFF,flood,,2008,3/4
10205507,WORSE OFF,LIVESTOCK DISEASE,,2010,1/4
10205507,BETTER OFF,POWER OUTAGE(S),,2005,ALMOST ALL
10205507,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10220027,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10220027,WORSE OFF,LIVESTOCK DISEASE,,2010,ALMOST ALL
10220027,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10220103,WORSE OFF,flood,,2009,1/4
10220103,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10220103,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10220103,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10220103,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/2
10220521,WORSE OFF,drought,,2009,1/4
10220521,WORSE OFF,flood,,2008,1/2
10220521,WORSE OFF,flood,,2006,1/2
10220521,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10220521,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/2
10220521,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10220521,BETTER OFF,OTHER GOOD (SPECIFY),GOOD HARVEST FROM CROPS,2007,3/4
10220705,WORSE OFF,drought,,2008,ALMOST ALL
10220705,WORSE OFF,flood,,2009,ALMOST ALL
10220705,WORSE OFF,OTHER BAD (SPECIFY),EARHQUAKE,2009,ALMOST ALL
10220705,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2009,1/4
10220705,BETTER OFF,OTHER GOOD (SPECIFY),PIPED WATER,2009,1/4
10301026,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10301026,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
10301026,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10301026,BETTER OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10301306,BETTER OFF,,,2009,ALMOST ALL
10301306,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10301306,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10301306,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10301306,BETTER OFF,ON-GRID ELECTRICITY,,2008,3/4
10301347,WORSE OFF,flood,,2008,3/4
10301347,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10301347,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10301347,BETTER OFF,DEVELOPMENT PROJECT,,2010,3/4
10301663,WORSE OFF,drought,,2009,ALMOST ALL
10301663,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10301663,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2010,3/4
10301741,WORSE OFF,drought,,2009,ALMOST ALL
10301741,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
10301741,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10301741,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/2
10302010,WORSE OFF,flood,,2009,1/2
10302010,WORSE OFF,flood,,2008,3/4
10302010,BETTER OFF,ON-GRID ELECTRICITY,,2010,ALMOST ALL
10303454,WORSE OFF,flood,,2009,1/4
10303454,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10303454,BETTER OFF,IMPROVED TRANSPORTATION,,2008,ALMOST ALL
10303454,BETTER OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10303454,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10304012,WORSE OFF,CROP DISEASE/PESTS,,2007,ALMOST ALL
10304012,WORSE OFF,LIVESTOCK DISEASE,,2009,ALMOST ALL
10304012,BETTER OFF,IMPROVED TRANSPORTATION,,2008,ALMOST ALL
10304360,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST ALL
10304360,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,ALMOST ALL
10304360,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10304360,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
10304360,BETTER OFF,DEVELOPMENT PROJECT,,2010,3/4
10304625,WORSE OFF,flood,,2010,ALMOST ALL
10304625,WORSE OFF,flood,,2009,ALMOST ALL
10304625,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10304625,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10305446,BETTER OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10305446,WORSE OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10305446,WORSE OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10306417,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,ALMOST ALL
10306417,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST ALL
10306417,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
10306417,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10306417,BETTER OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10306417,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10306431,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10306431,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10306431,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
10307413,WORSE OFF,flood,,2008,3/4
10307413,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,3/4
10307413,BETTER OFF,IMPROVED TRANSPORTATION,,2009,3/4
10308129,WORSE OFF,flood,,2009,3/4
10308129,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10308129,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10308636,WORSE OFF,CROP DISEASE/PESTS,,2009,3/4
10308636,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,1/2
10308636,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10308636,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10309273,WORSE OFF,drought,,2008,ALMOST ALL
10309273,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10309273,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10309281,WORSE OFF,flood,,2009,ALMOST NONE
10309281,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST NONE
10309281,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10309281,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10310469,WORSE OFF,LIVESTOCK DISEASE,,2008,1/4
10310469,BETTER OFF,OTHER BAD (SPECIFY),IMPROVED TRANSPORTATION,2010,ALMOST ALL
10310469,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10312048,WORSE OFF,LIVESTOCK DISEASE,,2010,ALMOST ALL
10312048,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10312048,BETTER OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10312078,BETTER OFF,CROP DISEASE/PESTS,,2009,1/2
10312078,BETTER OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
10312078,BETTER OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10312078,WORSE OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10312078,WORSE OFF,IMPROVED TRANSPORTATION,,2008,ALMOST ALL
10312187,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/2
10312187,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10312187,BETTER OFF,DEVELOPMENT PROJECT,,2008,3/4
10312600,WORSE OFF,drought,,2010,1/4
10312600,WORSE OFF,flood,,2010,1/4
10320227,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10320227,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10320227,WORSE OFF,MASSIVE JOB LAY-OFFS,,2009,ALMOST ALL
10320227,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10401140,WORSE OFF,LIVESTOCK DISEASE,,2008,ALMOST ALL
10401140,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST ALL
10401140,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10401140,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,1/4
10401140,BETTER OFF,NEW HEALTH FACILITY,,2009,ALMOST ALL
10401212,WORSE OFF,drought,,2009,ALMOST ALL
10401212,WORSE OFF,CROP DISEASE/PESTS,,2010,1/2
10401212,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10401212,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10401424,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,3/4
10401424,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10401424,BETTER OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10401424,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10401502,WORSE OFF,drought,,2009,1/2
10401522,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF IMPROVED WATER FROM PROTECT,2008,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF WATER FROM PROTECTED SOURCE,2009,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF WATER FROM IMPROVED SOURCE,2010,ALMOST ALL
10401522,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10401522,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST ALL
10401541,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10401541,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/2
10401541,WORSE OFF,OTHER BAD (SPECIFY),LACK OF ADVISE FROM AGRICULTURE EXT,2009,ALMOST ALL
10401541,WORSE OFF,OTHER BAD (SPECIFY),LACK OF ADVISE FROM AGRICULTURE EXT,2010,ALMOST ALL
10401541,BETTER OFF,NEW SCHOOL,,2009,ALMOST ALL
10401541,BETTER OFF,OTHER GOOD (SPECIFY),IRRIGATION METHOD,2009,ALMOST ALL
10401541,BETTER OFF,OTHER GOOD (SPECIFY),IRRIGATION METHODS,2010,ALMOST ALL
10401604,WORSE OFF,flood,,2010,ALMOST ALL
10401604,WORSE OFF,flood,,2009,1/2
10401604,WORSE OFF,OTHER GOOD (SPECIFY),DESTROYING OF STAPPLE FOOD BY ELEPH,2010,ALMOST ALL
10401635,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST ALL
10401635,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10401635,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
