case_id,visit,ea_id,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16a_os,hh_n16b,hh_n16b_os,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_os,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26a_os,hh_n26b,hh_n26b_os,hh_n27,hh_n28,hh_n29a,hh_n29a_os,hh_n29b,hh_n29b_os,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
101010160159,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160180,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160207,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160235,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101010160254,1,10101016,1,SELLING CHACOAL,62,1,,1,1,,0,0,,6,2005,Own-savings from agriculture,,,,Mobile,,,Final consumers,,No,No,No,No,Yes,Communal land,,,average,average,high,high,low,low,low,average,average,high,high,high,,,,,,,,,,,,,,,,,Yes,,,,,,1,3,5,2,,,,,,,,,,,,,0,,,,0,,,,0,,,,2000,High sales,,,,,1700,2000,300,0,0,180,0,0,0,0,0
101010160265,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040003,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040007,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040011,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040020,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040024,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040028,2,10101204,1,GROCERIES,62,1,2,1,1,2,0,0,,7,2009,Own-savings from agriculture,,,,Home (inside residence),,,Final consumers,Traders,No,No,Yes,No,No,,,,,,,,high,high,high,average,average,average,average,low,low,average,high,average,,,,,,,,,,,,,Yes,,,,,,1,22,154,12,2,16,96,12,,,,,,,,,0,,,,0,,,,0,,,,18000,Average sales,,,16000,20000,,,3000,0,14000,1000,0,0,0,0,0
101012040037,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040041,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040045,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040054,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040058,2,10101204,1,KACHASU DISTILLING,31,1,,2,1,,0,0,,1,2009,Own-savings from agriculture,,,,Home (outside residence),,,Other small businesses,,No,No,No,No,No,,,,,,,,NONE:NOT IN OPERATION,low,low,average,high,low,low,average,average,average,average,NONE:NOT IN OPERATION,,,,,,,,,Other (Specify),POLICE TOLD HIM TO STOP,,,No,Yes,,,,,1,3,12,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,4500,Average sales,,,3400,6000,,,1000,3570,0,0,0,0,0,0,0
101012040062,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040071,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040075,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012040079,2,10101204,1,GROCERY OWNER,62,1,2,1,1,2,0,0,,5,2007,Own-savings from agriculture,,,,Commercial area shop,No,,Final consumers,,No,No,Yes,No,No,,,,,,,,high,high,high,high,high,low,low,low,average,average,high,high,,,,,,,,,,,,,Yes,,,,,,1,27,9,12,2,25,9,12,,,,,,,,,0,,,,0,,,,0,,,,6000,High sales,,,,,2000,3000,3000,0,4000,0,0,0,0,0,0
101012040087,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150001,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150004,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150021,1,10101215,1,SELLING TOMATO,62,2,,2,2,,0,0,,7,2005,Own-savings from agriculture,,,,Traditional market place,No,,Final consumers,,No,No,No,No,No,,,,,high,high,high,average,average,high,high,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,,,,,Lack of cash,,Seasonal work,,No,Yes,,,,,1,28,5,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,750,High sales,,,,,0,500,450,0,300,0,0,0,0,0,0
101012150021,1,10101215,2,SELLING AVOCADO,62,2,,2,2,,0,0,,7,2005,Own-savings from agriculture,,,,Traditional market place,No,,Final consumers,,No,No,No,No,No,,,,,average,high,high,average,high,high,high,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,,,,,Lack of cash,,Seasonal work,,No,Yes,,,,,1,28,5,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,400,High sales,,,,,0,300,200,0,200,0,0,0,0,0,0
101012150022,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150026,1,10101215,1,SELLIND DIESEL,62,1,,1,1,,0,0,,11,2009,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,high,high,low,low,low,average,,,,,,,,,,,,,,,,Yes,,,,,,1,6,12,6,,,,,,,,,,,,,0,,,,0,,,,0,,,,64000,Average sales,,,38000,71000,,,4000,0,50000,10000,0,0,0,0,0
101012150028,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150034,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150038,1,10101215,1,SELLING VITUMBUWA,31,1,,1,1,,0,0,,4,2010,Own-savings from agriculture,,,,Other fixed place,No,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,Yes,,,,,,1,3,12,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,Low sales,0,0,,,,,140,130,0,0,0,0,0,0,30
101012150040,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150045,1,10101215,1,BEER BREWING,31,1,,1,1,,0,0,,12,2009,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,low,low,low,average,high,,,,,,,,,,,,,,,,Yes,,,,,,1,6,24,5,,,,,,,,,,,,,0,,,,0,,,,0,,,,1500,High sales,,,,,500,1000,500,900,0,0,0,0,0,0,100
101012150048,1,10101215,1,GROCERY,62,1,,1,1,,0,0,,5,2004,Own-savings from non-agriculture,,,,Roadside,,,Final consumers,,No,No,Yes,Yes,No,,,,,high,high,high,high,high,high,high,high,low,low,low,high,,,,,,,,,,,,,,,,Yes,,,,,,1,6,9,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,22300,High sales,,,,,11800,0,3500,0,18000,800,0,0,0,0,0
101012150049,1,10101215,1,CARPENTER,33,1,,1,1,,1,0,About 25%,6,2009,Own-savings from agriculture,,,,Roadside,,,Final consumers,,No,No,No,No,No,,,,,,high,high,high,high,high,high,high,high,high,high,high,,,,,,,,,,,,,,,,Yes,,,,,,1,18,4,11,,,,,,,,,,,,,1,18,4,8000,0,,,,0,,,,18000,High sales,,,,,0,0,9400,8600,0,200,0,0,0,0,0
101012150053,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150059,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150060,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012150074,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190012,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190018,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190025,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190032,1,10101219,1,SELLING COOKED RICE,62,2,,2,2,,0,0,,8,2006,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,Yes,No,No,,,,,,,,,,,,,,average,average,average,average,high,high,high,high,high,high,average,average,,,,,,,Yes,,,,,,2,4,36,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,4000,Average sales,,,0,10000,,,2000,1800,0,0,0,0,0,0,200
101012190032,1,10101219,2,TAILOR,32,1,,1,1,,0,0,,2,2003,Gift from family/friends,,,,Home (inside residence),,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,,average,average,average,average,average,average,average,average,average,average,average,average,,,,,,,Yes,,,,,,1,20,80,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,13000,Average sales,,,0,0,,,2500,300,0,0,100,0,0,0,0
101012190045,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190052,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190059,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190065,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190079,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190086,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190092,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190099,1,10101219,1,BEER BREWING,31,2,,2,2,,0,0,,6,2001,Loan from family/friends,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,,low,low,low,low,average,average,average,average,NONE:NOT IN OPERATION,high,high,low,,,Own-Illness/Need to care for household members,,,,Yes,,,,,,1,25,112,11,,,,,,,,,,,,,0,,,,0,,,,0,,,,8000,Low sales,12000,16000,,,,,2000,30000,0,0,0,0,0,0,300
101012190112,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190119,1,10101219,1,MAIZE MILL,31,1,2,1,1,2,1,0,About 25%,8,2005,Own-savings from non-agriculture,,,,Home (inside residence),,,Final consumers,,No,No,Yes,Yes,No,,,,,,,,,,,,,,low,low,low,low,low,high,high,high,high,high,high,low,,,,,,,Yes,,,,,,1,10,140,12,,,,,,,,,,,,,1,18,6,3500,0,,,,0,,,,18000,Low sales,25000,35000,,,,,15000,0,0,600,5000,0,0,0,0
101012190126,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101012190139,1,10101219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550014,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550023,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550032,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550042,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550060,1,10101355,1,TRADITIONAL BEER BREWERY,31,1,2,2,1,2,0,0,,4,2007,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,high,average,average,low,low,low,low,low,average,average,high,high,,,,,,,,Yes,,,,,,1,4,20,12,2,10,50,12,,,,,,,,,0,,,,0,,,,0,,,,12500,High sales,,,,,5000,8000,7000,5500,0,0,0,0,0,0,0
101013550070,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550079,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550089,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550107,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550117,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550126,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550135,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550154,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013550164,1,10101355,1,BEER BREWING,31,2,,2,2,,0,0,,1,2010,Own-savings from agriculture,,,,Home (outside residence),,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,low,low,low,average,average,high,high,high,average,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,Lack of cash,,,,No,Yes,,,,,1,21,126,9,,,,,,,,,,,,,0,,,,0,,,,0,,,,6000,Average sales,,,4300,7500,,,2200,2400,0,0,0,0,0,0,600
101013550173,1,10101355,1,BEER BREWING,31,2,,2,2,,0,0,,6,2008,Own-savings from agriculture,,,,Other fixed place,No,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,average,low,average,high,NONE:NOT IN OPERATION,high,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,Lack of cash,,Not profitable,,No,Yes,,,,,2,12,96,5,,,,,,,,,,,,,0,,,,0,,,,0,,,,6000,High sales,,,,,3500,5000,4000,1200,0,0,0,0,0,0,600
101013550192,1,10101355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101013740006,1,10101374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
